runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.2216775078,0.248101965,0.2467981598,0.2518015389
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.2375052514,0.2541499896,0.2493380842,0.2642776063
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.24779078570000002,0.26335545920000003,0.2541585066,0.2795534391
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.24731482440000002,0.2636250459,0.25645863010000003,0.276323478
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.2490319229,0.2631097394,0.2568601574,0.2751873309
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.2478801368,0.2668957732,0.25759888540000003,0.27727490600000004
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.2512016201,0.2645816834,0.2590186087,0.2771496383
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.250375856,0.2644110764,0.2573861913,0.2756366221
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.25033904220000003,0.2651269995,0.2548475009,0.2780673346
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.2487322055,0.2659935949,0.2567153366,0.2796350412
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.2477271675,0.2649360653,0.2554685316,0.27874065600000003
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.2364659371,0.256664288,0.24401534630000002,0.2653421381
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.2367495587,0.2569766724,0.25097858300000003,0.2654842517
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.2376972022,0.2562313095,0.247330615,0.266345716
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.2403101104,0.2583611151,0.2462641321,0.26977899240000003
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.2412952372,0.2556142046,0.25042464610000004,0.2667885846
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.2406677525,0.2576683543,0.2493722759,0.27267235430000003
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.24334497430000002,0.2555835819,0.250079663,0.2656280115
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.2327514745,0.2468895468,0.2458418638,0.2544104558
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.2439225146,0.26009059560000003,0.2489195787,0.273633795
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.2416621706,0.2575807804,0.2476075791,0.2679494604
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.2472490176,0.25987380260000004,0.2492828664,0.27035352760000003
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.24459668010000002,0.25697605500000004,0.25072384870000003,0.2673734888
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.24505959970000002,0.2626823434,0.25312895150000003,0.2747349813
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.2460008717,0.26348408360000003,0.2565952952,0.2758804259
1p46G-gemma-orion-ru-29BT,6,8000,16.777216,0.24733821500000003,0.25997523100000003,0.2567657709,0.2797945035
