runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.45241519620000004,0.5324017001,0.4433214487,0.47053923940000003
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.4685158327,0.4887982435,0.4441070421,0.45661812100000004
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.4374435984,0.44566312140000003,0.41798908230000004,0.4424210378
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.4363347031,0.4447113448,0.4202914753,0.43689972600000004
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.4291102651,0.4440979776,0.4210861333,0.44419668040000004
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.4325578116,0.4457447023,0.42125533800000003,0.4330362179
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.43123438880000003,0.44656051080000003,0.4185812988,0.4424744179
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.4297024817,0.44591390700000005,0.4168771654,0.4315788414
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.4317661752,0.4402274192,0.4133691886,0.43208645560000003
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.4312374104,0.4453035614,0.41498569820000003,0.4359691
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.43295060830000004,0.4404902909,0.41658105710000004,0.4432690758
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.46704939170000004,0.4804437596,0.4399736121,0.45090443960000004
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.4573080332,0.4747602933,0.4427564258,0.45537426480000004
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.4472735879,0.46192188380000004,0.4328549271,0.45117637580000003
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.4465282814,0.4631969624,0.4339124567,0.4361352832
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.45056804450000004,0.4642001047,0.4364384417,0.4402787849
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.4495367013,0.4668046491,0.43556220290000003,0.4467720168
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.4424885182,0.4512559423,0.4325286037,0.43071771010000004
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.4517202482,0.5142454274,0.45747119490000004,0.4485728386
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.44121746840000003,0.4563502135,0.4270687294,0.44396704540000004
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.4493181452,0.45906957540000004,0.4377014342,0.4436084925
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.44396704540000004,0.4507150915,0.4258057368,0.43893119010000003
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.4352227862,0.44096466840000004,0.421361091,0.4462069938
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.4380025784,0.44768149220000003,0.4182308033,0.4341571993
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.4432479252,0.4531232375,0.4286671098,0.4427010313
1p46G-gemma-orion-ru-29BT,6,8000,16.777216,0.4353073886,0.4504431553,0.42090484250000004,0.44965151880000004
1p46G-gemma-orion-ru-29BT,6,8500,17.825792,0.43043066630000004,0.4441584079,0.41540568850000004,0.44069575380000003
1p46G-gemma-orion-ru-29BT,6,9000,18.874368,0.4356760132,0.4484942793,0.4159556039,0.4395626863
1p46G-gemma-orion-ru-29BT,6,9500,19.922944,0.4382473209,0.44480501170000003,0.4198382483,0.4429306663
1p46G-gemma-helios-ru-29BT,6,0,0.0,0.45241519620000004,0.5324017001,0.4433214487,0.47053923940000003
1p46G-gemma-helios-ru-29BT,6,1000,2.097152,0.4593646765,0.475270929,0.4388163726,0.44540528560000003
1p46G-gemma-helios-ru-29BT,6,10000,20.97152,0.4262216985,0.452207719,0.4285734429,0.4463822416
1p46G-gemma-helios-ru-29BT,6,10500,22.020096,0.43059080650000003,0.4563653211,0.43235033440000004,0.45211707360000003
1p46G-gemma-helios-ru-29BT,6,11000,23.068672,0.42714326,0.45357042140000003,0.4263616953,0.4438683426
1p46G-gemma-helios-ru-29BT,6,11500,24.117248,0.4266356458,0.4501440255,0.4236453549,0.4474760293
1p46G-gemma-helios-ru-29BT,6,12000,25.165824,0.43257896220000003,0.4482404722,0.4280960438,0.45323805500000003
1p46G-gemma-helios-ru-29BT,6,12500,26.2144,0.4271855612,0.45509326400000005,0.4265097494,0.45271231170000004
1p46G-gemma-helios-ru-29BT,6,13000,27.262976,0.42613508180000004,0.4553380066,0.4351603416,0.4490502377
1p46G-gemma-helios-ru-29BT,6,13500,28.311552,0.4279167674,0.45513556520000004,0.42931371360000004,0.44594110060000003
1p46G-gemma-helios-ru-29BT,6,14000,29.360128,0.4274393683,0.4565526549,0.42576947870000004,0.4500533801
1p46G-gemma-helios-ru-29BT,6,1500,3.145728,0.4524091532,0.46365623240000003,0.4388133511,0.4305162759
