runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.495,0.49,0.48,0.48750000000000004
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.5075000000000001,0.49,0.525,0.4975
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.595,0.555,0.59,0.5775
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.585,0.535,0.6025,0.5875
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.59,0.5325,0.595,0.595
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.6000000000000001,0.55,0.6175,0.5825
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.61,0.56,0.595,0.5825
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.5925,0.5425,0.595,0.5925
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.5975,0.5425,0.5975,0.5775
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.5975,0.535,0.6000000000000001,0.5825
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.5975,0.54,0.6025,0.58
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.5375,0.49,0.5175000000000001,0.5175000000000001
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.5475,0.53,0.5425,0.55
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.53,0.51,0.5375,0.5575
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.545,0.5225000000000001,0.5625,0.54
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.5625,0.505,0.5525,0.5700000000000001
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.5525,0.495,0.56,0.535
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.56,0.52,0.55,0.5700000000000001
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.5225000000000001,0.5,0.555,0.4975
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.5625,0.5225000000000001,0.5650000000000001,0.5975
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.5775,0.5525,0.5675,0.5925
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.5825,0.5575,0.5725,0.5625
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.5725,0.54,0.585,0.6000000000000001
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.5750000000000001,0.5525,0.595,0.5775
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.585,0.5700000000000001,0.6075,0.6025
1p46G-gemma-orion-ru-29BT,6,8000,16.777216,0.5875,0.5475,0.6025,0.5975
1p46G-gemma-orion-ru-29BT,6,8500,17.825792,0.585,0.5375,0.6025,0.5650000000000001
1p46G-gemma-orion-ru-29BT,6,9000,18.874368,0.5825,0.535,0.585,0.5700000000000001
1p46G-gemma-orion-ru-29BT,6,9500,19.922944,0.585,0.55,0.585,0.585
1p46G-gemma-helios-ru-29BT,6,0,0.0,0.495,0.49,0.48,0.48750000000000004
1p46G-gemma-helios-ru-29BT,6,1000,2.097152,0.53,0.525,0.5325,0.54
1p46G-gemma-helios-ru-29BT,6,10000,20.97152,0.605,0.5675,0.6425000000000001,0.6275000000000001
1p46G-gemma-helios-ru-29BT,6,10500,22.020096,0.6175,0.5750000000000001,0.635,0.625
1p46G-gemma-helios-ru-29BT,6,11000,23.068672,0.61,0.5775,0.6325000000000001,0.63
1p46G-gemma-helios-ru-29BT,6,11500,24.117248,0.6125,0.585,0.6325000000000001,0.6225
1p46G-gemma-helios-ru-29BT,6,12000,25.165824,0.6175,0.5750000000000001,0.635,0.63
1p46G-gemma-helios-ru-29BT,6,12500,26.2144,0.615,0.59,0.6525000000000001,0.615
1p46G-gemma-helios-ru-29BT,6,13000,27.262976,0.615,0.5750000000000001,0.635,0.64
1p46G-gemma-helios-ru-29BT,6,13500,28.311552,0.615,0.5775,0.6375000000000001,0.655
