runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.4413265306,0.4795918367,0.4413265306,0.4948979592
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.5892857143,0.5892857143,0.5892857143,0.5663265306
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.5816326531,0.6428571429000001,0.5816326531,0.6020408163000001
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.5918367347,0.6403061224000001,0.5918367347,0.5969387755000001
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.6071428571,0.6275510204,0.6071428571,0.5994897959000001
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.5892857143,0.6607142857,0.5892857143,0.5943877551
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.5969387755000001,0.6173469388,0.5969387755000001,0.6096938776
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.5943877551,0.6454081633000001,0.5943877551,0.5918367347
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.5969387755000001,0.6352040816,0.5969387755000001,0.5816326531
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.6020408163000001,0.6428571429000001,0.6020408163000001,0.6071428571
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.5943877551,0.6428571429000001,0.5943877551,0.5790816327
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.5637755102,0.5892857143,0.5637755102,0.5714285714
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.5714285714,0.6173469388,0.5714285714,0.5714285714
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.6020408163000001,0.5943877551,0.6020408163000001,0.5816326531
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.6173469388,0.6301020408,0.6173469388,0.5637755102
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.6071428571,0.6326530612,0.6071428571,0.6096938776
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.6071428571,0.6454081633000001,0.6071428571,0.6275510204
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.5841836735,0.6301020408,0.5841836735,0.5714285714
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.5280612245,0.5408163265,0.5280612245,0.5127551020000001
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.5892857143,0.612244898,0.5892857143,0.6045918367
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.5612244898000001,0.5943877551,0.5612244898000001,0.5867346939
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.5892857143,0.6020408163000001,0.5892857143,0.5586734694000001
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.5714285714,0.625,0.5714285714,0.5663265306
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.5969387755000001,0.6071428571,0.5969387755000001,0.5867346939
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.6071428571,0.6275510204,0.6071428571,0.5841836735
1p46G-gemma-orion-ru-29BT,6,8000,16.777216,0.5892857143,0.6224489796,0.5892857143,0.5433673469
1p46G-gemma-orion-ru-29BT,6,8500,17.825792,0.612244898,0.6198979592,0.612244898,0.5918367347
