runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.23616952630000002,0.24719968280000001,0.24800519810000002,0.2534138045
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.2264040464,0.23760837270000001,0.2395521516,0.25438704300000003
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.24546873260000002,0.2556092162,0.248563216,0.2849476909
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.2502994592,0.2592636522,0.25569330900000004,0.28478516470000004
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.2484362235,0.2540375609,0.25391981280000003,0.2858180169
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.24951192560000002,0.2563444549,0.2524947185,0.2843553909
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.250008371,0.2545265592,0.2507050721,0.2802918567
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.24727586070000002,0.25791746930000004,0.253751486,0.2855855874
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.24485316010000002,0.2555463637,0.2506423749,0.2793789398
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.2500178906,0.2552163032,0.2515736953,0.28114362600000004
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.2503087571,0.2568792145,0.2514577323,0.2822626864
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.23085016100000003,0.2467074264,0.2459150819,0.2613676559
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.23550066760000002,0.2459018927,0.2419054622,0.2659437123
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.235346826,0.250236379,0.2459445241,0.26701906400000003
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.23760510940000001,0.2481890549,0.2396093159,0.2624453822
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.23744282690000001,0.2504246328,0.2492913387,0.2634431025
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.23998248460000002,0.2493012312,0.2508170991,0.2679648377
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.24352263070000002,0.2447785945,0.2455718735,0.26685858160000003
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.2308310856,0.2413606002,0.24381600650000002,0.2516030519
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.2462477995,0.2495569538,0.24846501680000002,0.26823909560000003
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.2421438041,0.24960793800000003,0.2423852344,0.2674193891
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.2462415828,0.25098593950000003,0.2450294731,0.2680540711
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.2428278325,0.2467684538,0.2439919837,0.28007803200000003
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.2463590082,0.2506135828,0.24911259570000002,0.27319295400000004
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.25150707110000003,0.2506588453,0.24908222330000002,0.2748199827
1p46G-gemma-orion-ru-29BT,6,8000,16.777216,0.2476175699,0.2509612593,0.2530242364,0.276254536
1p46G-gemma-orion-ru-29BT,6,8500,17.825792,0.25014408320000003,0.2511939005,0.2512946202,0.2743786878
1p46G-gemma-orion-ru-29BT,6,9000,18.874368,0.2495146883,0.2520178207,0.2512296315,0.2794583041
1p46G-gemma-orion-ru-29BT,6,9500,19.922944,0.2482176221,0.25298431590000003,0.24885839180000002,0.2762542328
1p46G-gemma-helios-ru-29BT,6,0,0.0,0.23660245200000002,0.24694675400000002,0.2483282203,0.2538707257
1p46G-gemma-helios-ru-29BT,6,1000,2.097152,0.2299822913,0.2479112372,0.24469446350000001,0.2505111472
1p46G-gemma-helios-ru-29BT,6,10000,20.97152,0.2545673748,0.2532307716,0.2557677587,0.2845713569
1p46G-gemma-helios-ru-29BT,6,10500,22.020096,0.2490905193,0.2539086484,0.2541241718,0.2765119768
1p46G-gemma-helios-ru-29BT,6,11000,23.068672,0.2521546933,0.2535512283,0.2531209732,0.27147129400000003
1p46G-gemma-helios-ru-29BT,6,11500,24.117248,0.2566984996,0.25435929500000004,0.25589299790000003,0.2775603553
1p46G-gemma-helios-ru-29BT,6,12000,25.165824,0.25740042420000003,0.2534896285,0.2524896893,0.27375603800000003
1p46G-gemma-helios-ru-29BT,6,12500,26.2144,0.2565357858,0.2540813045,0.2534672683,0.27178484410000003
1p46G-gemma-helios-ru-29BT,6,13000,27.262976,0.2567222867,0.2551573414,0.2576014866,0.276453906
1p46G-gemma-helios-ru-29BT,6,13500,28.311552,0.2533074547,0.25334508980000003,0.25442958400000004,0.2777851136
1p46G-gemma-helios-ru-29BT,6,14000,29.360128,0.2568074396,0.2556565296,0.2556878571,0.2798166896
1p46G-gemma-helios-ru-29BT,6,1500,3.145728,0.23683362870000002,0.2486123137,0.25096419740000003,0.2573229862
1p46G-gemma-helios-ru-29BT,6,2000,4.194304,0.24245994640000001,0.2505018075,0.24952461650000002,0.2565420872
1p46G-gemma-helios-ru-29BT,6,2500,5.24288,0.24169169610000002,0.24680203800000003,0.24275808110000002,0.2713265017
1p46G-gemma-helios-ru-29BT,6,3000,6.291456,0.24120474150000001,0.2480504128,0.24553380330000002,0.271014486
