runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.0,2.5641e-05
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.008,0.0123710937
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.029,0.14741841390000002
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.027,0.1459285877
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.027,0.1418616636
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.027,0.1507289414
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.027,0.1582507575
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.031,0.1574344216
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.028,0.16400034600000002
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.03,0.1601648971
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.029,0.1652035768
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.01,0.0562491795
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.006,0.08477693580000001
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.011,0.0880947789
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.016,0.1119790016
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.018000000000000002,0.1105856332
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.016,0.1134485358
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.023,0.1375947944
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.002,0.0261969848
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.021,0.13543933
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.02,0.13323604320000001
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.023,0.1269474598
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.021,0.1398832598
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.029,0.145585135
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.023,0.137727778
1p46G-gemma-orion-ru-29BT,6,8000,16.777216,0.026000000000000002,0.1556851726
1p46G-gemma-orion-ru-29BT,6,8500,17.825792,0.027,0.14332196860000002
1p46G-gemma-orion-ru-29BT,6,9000,18.874368,0.028,0.13679751710000002
1p46G-gemma-orion-ru-29BT,6,9500,19.922944,0.026000000000000002,0.1607563376
1p46G-gemma-helios-ru-29BT,6,0,0.0,0.0,2.5641e-05
1p46G-gemma-helios-ru-29BT,6,1000,2.097152,0.002,0.0497061881
1p46G-gemma-helios-ru-29BT,6,10000,20.97152,0.026000000000000002,0.1470875864
1p46G-gemma-helios-ru-29BT,6,10500,22.020096,0.023,0.136884068
1p46G-gemma-helios-ru-29BT,6,11000,23.068672,0.028,0.15413804890000002
1p46G-gemma-helios-ru-29BT,6,11500,24.117248,0.029,0.1500630506
1p46G-gemma-helios-ru-29BT,6,12000,25.165824,0.026000000000000002,0.1414172548
1p46G-gemma-helios-ru-29BT,6,12500,26.2144,0.032,0.15670788230000002
1p46G-gemma-helios-ru-29BT,6,13000,27.262976,0.029,0.15284655900000002
1p46G-gemma-helios-ru-29BT,6,13500,28.311552,0.027,0.14945536610000001
1p46G-gemma-helios-ru-29BT,6,14000,29.360128,0.028,0.1479945098
1p46G-gemma-helios-ru-29BT,6,1500,3.145728,0.013000000000000001,0.0826855814
1p46G-gemma-helios-ru-29BT,6,2000,4.194304,0.011,0.0832839593
1p46G-gemma-helios-ru-29BT,6,2500,5.24288,0.018000000000000002,0.10577825140000001
1p46G-gemma-helios-ru-29BT,6,3000,6.291456,0.012,0.0940679016
