runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.045622688,0.0468753794
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.1615289766,0.19296039980000002
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.1528976572,0.2092807958
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.1565967941,0.2105216537
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.1528976572,0.2124352249
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.1713933416,0.22872923790000002
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.1701602959,0.2328220281
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.1627620222,0.2278331305
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.1602959309,0.22378682260000002
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.16522811340000002,0.22914737840000002
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.07274969170000001,0.0821981197
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.06535141800000001,0.1106812539
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.110974106,0.1194454934
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.10850801480000001,0.1380416827
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.1245376079,0.1320885541
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.13316892730000002,0.1641284681
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.1442663379,0.1737389232
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.0357583231,0.0203315688
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.1418002466,0.1798280562
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.1344019729,0.1661921704
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.1442663379,0.1908350002
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.1553637485,0.2032246918
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.1590628853,0.1990066212
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.1467324291,0.1978116841
1p46G-gemma-orion-ru-29BT,6,8000,16.777216,0.1491985203,0.2129648235
1p46G-gemma-orion-ru-29BT,6,8500,17.825792,0.16522811340000002,0.22198237610000002
1p46G-gemma-orion-ru-29BT,6,9000,18.874368,0.1639950678,0.21088633910000001
1p46G-gemma-orion-ru-29BT,6,9500,19.922944,0.15413070280000002,0.21419878790000002
1p46G-gemma-helios-ru-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-helios-ru-29BT,6,1000,2.097152,0.027127003700000003,0.06076519700000001
1p46G-gemma-helios-ru-29BT,6,10000,20.97152,0.1602959309,0.2165039491
1p46G-gemma-helios-ru-29BT,6,10500,22.020096,0.15043156600000002,0.20817002410000002
1p46G-gemma-helios-ru-29BT,6,11000,23.068672,0.1590628853,0.204852272
1p46G-gemma-helios-ru-29BT,6,11500,24.117248,0.1701602959,0.21566198120000002
1p46G-gemma-helios-ru-29BT,6,12000,25.165824,0.1553637485,0.2127406333
1p46G-gemma-helios-ru-29BT,6,12500,26.2144,0.18495684340000001,0.2333927952
1p46G-gemma-helios-ru-29BT,6,13000,27.262976,0.17385943280000002,0.219410245
1p46G-gemma-helios-ru-29BT,6,13500,28.311552,0.15043156600000002,0.2081814626
1p46G-gemma-helios-ru-29BT,6,14000,29.360128,0.16769420470000002,0.2131278654
1p46G-gemma-helios-ru-29BT,6,1500,3.145728,0.0937114673,0.11891112370000001
1p46G-gemma-helios-ru-29BT,6,2000,4.194304,0.1097410604,0.1382733553
1p46G-gemma-helios-ru-29BT,6,2500,5.24288,0.11220715170000001,0.14732321610000002
1p46G-gemma-helios-ru-29BT,6,3000,6.291456,0.110974106,0.1379539957
1p46G-gemma-helios-ru-29BT,6,3500,7.340032,0.1097410604,0.15879338980000002
1p46G-gemma-helios-ru-29BT,6,4000,8.388608,0.1048088779,0.14050012550000002
1p46G-gemma-helios-ru-29BT,6,4500,9.437184,0.110974106,0.1672503722
1p46G-gemma-helios-ru-29BT,6,500,1.048576,0.0012330456,0.00022419010000000001
1p46G-gemma-helios-ru-29BT,6,5000,10.48576,0.1048088779,0.1558098996
1p46G-gemma-helios-ru-29BT,6,5500,11.534336,0.1220715166,0.1896509801
1p46G-gemma-helios-ru-29BT,6,6000,12.582912,0.13070283600000002,0.18358220560000002
1p46G-gemma-helios-ru-29BT,6,6500,13.631488,0.1220715166,0.1802737925
1p46G-gemma-helios-ru-29BT,6,7000,14.680064,0.1294697904,0.1888566153
1p46G-gemma-helios-ru-29BT,6,7500,15.72864,0.1146732429,0.18821184900000001
1p46G-gemma-helios-ru-29BT,6,8000,16.777216,0.1270036991,0.1936487438
1p46G-gemma-helios-ru-29BT,6,8500,17.825792,0.1381011097,0.2085256892
1p46G-gemma-helios-ru-29BT,6,9000,18.874368,0.1368680641,0.19177350740000002
1p46G-gemma-helios-ru-29BT,6,9500,19.922944,0.1516646116,0.2040372689
1p46G-gemma-commoncrawl-ru-29BT,3,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-ru-29BT,3,1000,2.097152,0.0147965475,0.012691422400000001
1p46G-gemma-commoncrawl-ru-29BT,3,10000,20.97152,0.1344019729,0.2052990822
1p46G-gemma-commoncrawl-ru-29BT,3,10500,22.020096,0.1294697904,0.2002245393
1p46G-gemma-commoncrawl-ru-29BT,3,11000,23.068672,0.1294697904,0.19155070600000002
1p46G-gemma-commoncrawl-ru-29BT,3,11500,24.117248,0.11837237980000001,0.2030077263
1p46G-gemma-commoncrawl-ru-29BT,3,12000,25.165824,0.1196054254,0.1928016494
1p46G-gemma-commoncrawl-ru-29BT,3,12500,26.2144,0.1282367448,0.1988433769
1p46G-gemma-commoncrawl-ru-29BT,3,13000,27.262976,0.1257706535,0.1898097674
1p46G-gemma-commoncrawl-ru-29BT,3,13500,28.311552,0.1245376079,0.18790297320000002
1p46G-gemma-commoncrawl-ru-29BT,3,14000,29.360128,0.1344019729,0.1993415106
1p46G-gemma-commoncrawl-ru-29BT,3,1500,3.145728,0.0147965475,0.025462272100000002
1p46G-gemma-commoncrawl-ru-29BT,3,2000,4.194304,0.0937114673,0.10115398090000001
1p46G-gemma-commoncrawl-ru-29BT,3,2500,5.24288,0.0875462392,0.1267020942
1p46G-gemma-commoncrawl-ru-29BT,3,3000,6.291456,0.0863131936,0.14907882590000002
1p46G-gemma-commoncrawl-ru-29BT,3,3500,7.340032,0.0776818742,0.12617829090000002
1p46G-gemma-commoncrawl-ru-29BT,3,4000,8.388608,0.09247842170000001,0.1447433363
1p46G-gemma-commoncrawl-ru-29BT,3,4500,9.437184,0.0838471023,0.1452804238
1p46G-gemma-commoncrawl-ru-29BT,3,500,1.048576,0.0061652281000000005,0.0076302037
1p46G-gemma-commoncrawl-ru-29BT,3,5000,10.48576,0.10850801480000001,0.1560188512
1p46G-gemma-commoncrawl-ru-29BT,3,5500,11.534336,0.1196054254,0.1851052525
1p46G-gemma-commoncrawl-ru-29BT,3,6000,12.582912,0.1171393342,0.16697244900000002
1p46G-gemma-commoncrawl-ru-29BT,3,6500,13.631488,0.11590628850000001,0.172990745
1p46G-gemma-commoncrawl-ru-29BT,3,7000,14.680064,0.1171393342,0.1708691763
1p46G-gemma-commoncrawl-ru-29BT,3,7500,15.72864,0.1146732429,0.1890634129
1p46G-gemma-commoncrawl-ru-29BT,3,8000,16.777216,0.11590628850000001,0.1858169829
1p46G-gemma-commoncrawl-ru-29BT,3,8500,17.825792,0.10850801480000001,0.1602643064
1p46G-gemma-commoncrawl-ru-29BT,3,9000,18.874368,0.1257706535,0.1777546539
1p46G-gemma-commoncrawl-ru-29BT,3,9500,19.922944,0.110974106,0.17865691890000002
1p46G-gemma-commoncrawl-ru-29BT,5,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-ru-29BT,5,1000,2.097152,0.018495684300000002,0.035754380100000004
1p46G-gemma-commoncrawl-ru-29BT,5,10000,20.97152,0.1565967941,0.2309701502
1p46G-gemma-commoncrawl-ru-29BT,5,10500,22.020096,0.1454993835,0.20637068220000002
1p46G-gemma-commoncrawl-ru-29BT,5,11000,23.068672,0.1528976572,0.21515998290000002
1p46G-gemma-commoncrawl-ru-29BT,5,11500,24.117248,0.1516646116,0.2122533443
1p46G-gemma-commoncrawl-ru-29BT,5,12000,25.165824,0.1590628853,0.2268548904
1p46G-gemma-commoncrawl-ru-29BT,5,12500,26.2144,0.1627620222,0.22662233910000001
1p46G-gemma-commoncrawl-ru-29BT,5,13000,27.262976,0.1528976572,0.22214079220000002
1p46G-gemma-commoncrawl-ru-29BT,5,13500,28.311552,0.15043156600000002,0.22814994660000001
1p46G-gemma-commoncrawl-ru-29BT,5,14000,29.360128,0.1393341554,0.2114835935
1p46G-gemma-commoncrawl-ru-29BT,5,1500,3.145728,0.0357583231,0.062981085
1p46G-gemma-commoncrawl-ru-29BT,5,2000,4.194304,0.0431565968,0.0804800562
1p46G-gemma-commoncrawl-ru-29BT,5,2500,5.24288,0.0690505549,0.1091813687
1p46G-gemma-commoncrawl-ru-29BT,5,3000,6.291456,0.0678175092,0.1127948837
1p46G-gemma-commoncrawl-ru-29BT,5,3500,7.340032,0.1060419236,0.1577151979
1p46G-gemma-commoncrawl-ru-29BT,5,4000,8.388608,0.1072749692,0.1793256434
1p46G-gemma-commoncrawl-ru-29BT,5,4500,9.437184,0.1134401973,0.1762915995
1p46G-gemma-commoncrawl-ru-29BT,5,500,1.048576,0.0110974106,0.0202091159
1p46G-gemma-commoncrawl-ru-29BT,5,5000,10.48576,0.1146732429,0.16925342570000002
1p46G-gemma-commoncrawl-ru-29BT,5,5500,11.534336,0.1467324291,0.1958661135
1p46G-gemma-commoncrawl-ru-29BT,5,6000,12.582912,0.1294697904,0.18150458730000002
1p46G-gemma-commoncrawl-ru-29BT,5,6500,13.631488,0.1442663379,0.2075652174
1p46G-gemma-commoncrawl-ru-29BT,5,7000,14.680064,0.1528976572,0.2149388087
1p46G-gemma-commoncrawl-ru-29BT,5,7500,15.72864,0.1578298397,0.2171038904
1p46G-gemma-commoncrawl-ru-29BT,5,8000,16.777216,0.1528976572,0.22118293460000002
1p46G-gemma-commoncrawl-ru-29BT,5,8500,17.825792,0.1430332922,0.2179099841
1p46G-gemma-commoncrawl-ru-29BT,5,9000,18.874368,0.1491985203,0.2153270497
1p46G-gemma-commoncrawl-ru-29BT,5,9500,19.922944,0.1516646116,0.2127587464
1p46G-gemma-commoncrawl-ru-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-ru-29BT,6,1000,2.097152,0.029593094900000002,0.027952462600000002
1p46G-gemma-commoncrawl-ru-29BT,6,10000,20.97152,0.1257706535,0.2014509961
1p46G-gemma-commoncrawl-ru-29BT,6,10500,22.020096,0.1220715166,0.2033568576
1p46G-gemma-commoncrawl-ru-29BT,6,11000,23.068672,0.1356350185,0.2231358416
1p46G-gemma-commoncrawl-ru-29BT,6,11500,24.117248,0.14796547470000002,0.23605921200000002
1p46G-gemma-commoncrawl-ru-29BT,6,12000,25.165824,0.1220715166,0.2133318019
1p46G-gemma-commoncrawl-ru-29BT,6,12500,26.2144,0.1134401973,0.2137707411
1p46G-gemma-commoncrawl-ru-29BT,6,13000,27.262976,0.1245376079,0.2228050813
1p46G-gemma-commoncrawl-ru-29BT,6,13500,28.311552,0.1319358816,0.2272807793
1p46G-gemma-commoncrawl-ru-29BT,6,14000,29.360128,0.1294697904,0.2225248198
1p46G-gemma-commoncrawl-ru-29BT,6,1500,3.145728,0.0431565968,0.0659951914
1p46G-gemma-commoncrawl-ru-29BT,6,2000,4.194304,0.027127003700000003,0.065445232
1p46G-gemma-commoncrawl-ru-29BT,6,2500,5.24288,0.0875462392,0.1330580595
1p46G-gemma-commoncrawl-ru-29BT,6,3000,6.291456,0.1048088779,0.1559282732
1p46G-gemma-commoncrawl-ru-29BT,6,3500,7.340032,0.1072749692,0.1726844858
1p46G-gemma-commoncrawl-ru-29BT,6,4000,8.388608,0.1196054254,0.1730119812
1p46G-gemma-commoncrawl-ru-29BT,6,4500,9.437184,0.1220715166,0.1855877549
1p46G-gemma-commoncrawl-ru-29BT,6,500,1.048576,0.0135635018,0.0199615873
1p46G-gemma-commoncrawl-ru-29BT,6,5000,10.48576,0.1442663379,0.19841363480000002
1p46G-gemma-commoncrawl-ru-29BT,6,5500,11.534336,0.1220715166,0.16926572110000002
1p46G-gemma-commoncrawl-ru-29BT,6,6000,12.582912,0.1319358816,0.1899624353
1p46G-gemma-commoncrawl-ru-29BT,6,6500,13.631488,0.1282367448,0.1785061811
1p46G-gemma-commoncrawl-ru-29BT,6,7000,14.680064,0.1196054254,0.1828758319
1p46G-gemma-commoncrawl-ru-29BT,6,7500,15.72864,0.11837237980000001,0.2018413511
1p46G-gemma-commoncrawl-ru-29BT,6,8000,16.777216,0.1257706535,0.2088504652
1p46G-gemma-commoncrawl-ru-29BT,6,8500,17.825792,0.13316892730000002,0.2027262455
