runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.2028397566,0.2099391481,0.2089249493,0.2129817444
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.2058823529,0.2099391481,0.20689655170000001,0.2312373225
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.2484787018,0.2484787018,0.2464503043,0.3032454361
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.2535496957,0.252535497,0.2515212982,0.3204868154
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.2444219067,0.247464503,0.2494929006,0.331643002
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.2484787018,0.247464503,0.2464503043,0.3103448276
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.247464503,0.238336714,0.2535496957,0.3123732252
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.2413793103,0.2494929006,0.2535496957,0.32657200810000003
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.25557809330000003,0.2535496957,0.252535497,0.31744421910000004
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.2413793103,0.2444219067,0.25557809330000003,0.31947261660000004
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.24340770790000002,0.2454361055,0.252535497,0.31744421910000004
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.2170385396,0.22616632860000002,0.2119675456,0.20791075050000002
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.2109533469,0.2322515213,0.2221095335,0.2576064909
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.21805273830000002,0.2210953347,0.2139959432,0.2697768763
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.2200811359,0.2281947262,0.2170385396,0.28296146040000003
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.2190669371,0.2292089249,0.2139959432,0.2961460446
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.21805273830000002,0.2342799189,0.22515212980000002,0.3073022312
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.2170385396,0.2302231237,0.2312373225,0.2900608519
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.18255578090000002,0.2170385396,0.2048681542,0.20791075050000002
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.2170385396,0.22312373230000002,0.2271805274,0.3073022312
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.2221095335,0.24340770790000002,0.2413793103,0.3123732252
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.238336714,0.247464503,0.24340770790000002,0.3154158215
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.24036511160000001,0.2454361055,0.2363083164,0.3073022312
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.2413793103,0.24239350910000002,0.23529411760000002,0.3255578093
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.224137931,0.2413793103,0.2464503043,0.3113590264
