runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.47700000000000004,0.488,0.47700000000000004,0.457
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.5660000000000001,0.5670000000000001,0.5660000000000001,0.51
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.677,0.664,0.677,0.53
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.672,0.686,0.672,0.551
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.668,0.678,0.668,0.54
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.681,0.678,0.681,0.523
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.662,0.678,0.662,0.519
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.673,0.678,0.673,0.521
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.656,0.68,0.656,0.526
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.663,0.674,0.663,0.531
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.668,0.667,0.668,0.526
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.5660000000000001,0.5650000000000001,0.5660000000000001,0.501
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.601,0.609,0.601,0.51
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.597,0.579,0.597,0.467
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.638,0.628,0.638,0.547
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.657,0.65,0.657,0.536
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.608,0.653,0.608,0.545
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.607,0.633,0.607,0.525
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.555,0.53,0.555,0.515
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.651,0.685,0.651,0.5760000000000001
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.608,0.638,0.608,0.518
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.625,0.655,0.625,0.528
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.646,0.669,0.646,0.541
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.673,0.679,0.673,0.5760000000000001
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.683,0.664,0.683,0.523
1p46G-gemma-orion-ru-29BT,6,8000,16.777216,0.648,0.634,0.648,0.47100000000000003
1p46G-gemma-orion-ru-29BT,6,8500,17.825792,0.67,0.67,0.67,0.523
1p46G-gemma-orion-ru-29BT,6,9000,18.874368,0.674,0.671,0.674,0.529
1p46G-gemma-orion-ru-29BT,6,9500,19.922944,0.664,0.684,0.664,0.533
1p46G-gemma-helios-ru-29BT,6,0,0.0,0.47600000000000003,0.488,0.47600000000000003,0.456
1p46G-gemma-helios-ru-29BT,6,1000,2.097152,0.596,0.606,0.596,0.491
1p46G-gemma-helios-ru-29BT,6,10000,20.97152,0.653,0.681,0.653,0.5680000000000001
1p46G-gemma-helios-ru-29BT,6,10500,22.020096,0.665,0.6890000000000001,0.665,0.545
1p46G-gemma-helios-ru-29BT,6,11000,23.068672,0.655,0.677,0.655,0.554
1p46G-gemma-helios-ru-29BT,6,11500,24.117248,0.666,0.683,0.666,0.5630000000000001
1p46G-gemma-helios-ru-29BT,6,12000,25.165824,0.647,0.678,0.647,0.578
1p46G-gemma-helios-ru-29BT,6,12500,26.2144,0.648,0.684,0.648,0.554
1p46G-gemma-helios-ru-29BT,6,13000,27.262976,0.639,0.664,0.639,0.542
1p46G-gemma-helios-ru-29BT,6,13500,28.311552,0.642,0.677,0.642,0.5690000000000001
1p46G-gemma-helios-ru-29BT,6,14000,29.360128,0.66,0.677,0.66,0.586
1p46G-gemma-helios-ru-29BT,6,1500,3.145728,0.612,0.618,0.612,0.55
1p46G-gemma-helios-ru-29BT,6,2000,4.194304,0.633,0.648,0.633,0.528
1p46G-gemma-helios-ru-29BT,6,2500,5.24288,0.647,0.649,0.647,0.522
1p46G-gemma-helios-ru-29BT,6,3000,6.291456,0.631,0.66,0.631,0.507
1p46G-gemma-helios-ru-29BT,6,3500,7.340032,0.663,0.653,0.663,0.522
1p46G-gemma-helios-ru-29BT,6,4000,8.388608,0.678,0.682,0.678,0.535
1p46G-gemma-helios-ru-29BT,6,4500,9.437184,0.665,0.676,0.665,0.556
1p46G-gemma-helios-ru-29BT,6,500,1.048576,0.5,0.483,0.5,0.496
1p46G-gemma-helios-ru-29BT,6,5000,10.48576,0.638,0.679,0.638,0.586
1p46G-gemma-helios-ru-29BT,6,5500,11.534336,0.664,0.6910000000000001,0.664,0.548
1p46G-gemma-helios-ru-29BT,6,6000,12.582912,0.681,0.6900000000000001,0.681,0.548
