runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.497,0.5,0.497,0.501
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.54,0.553,0.54,0.496
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.626,0.643,0.626,0.546
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.646,0.656,0.646,0.543
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.645,0.648,0.645,0.543
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.628,0.641,0.628,0.542
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.629,0.645,0.629,0.536
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.635,0.64,0.635,0.542
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.63,0.636,0.63,0.539
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.624,0.637,0.624,0.54
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.623,0.643,0.623,0.526
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.557,0.5720000000000001,0.557,0.531
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.616,0.586,0.616,0.523
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.586,0.598,0.586,0.514
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.598,0.604,0.598,0.522
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.618,0.624,0.618,0.555
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.595,0.624,0.595,0.553
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.592,0.599,0.592,0.561
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.547,0.527,0.547,0.503
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.628,0.648,0.628,0.581
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.595,0.628,0.595,0.529
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.611,0.635,0.611,0.538
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.613,0.626,0.613,0.548
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.638,0.659,0.638,0.545
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.634,0.636,0.634,0.535
1p46G-gemma-orion-ru-29BT,6,8000,16.777216,0.61,0.629,0.61,0.496
1p46G-gemma-orion-ru-29BT,6,8500,17.825792,0.641,0.653,0.641,0.559
1p46G-gemma-orion-ru-29BT,6,9000,18.874368,0.639,0.648,0.639,0.556
1p46G-gemma-orion-ru-29BT,6,9500,19.922944,0.635,0.652,0.635,0.539
1p46G-gemma-helios-ru-29BT,6,0,0.0,0.495,0.5,0.495,0.502
1p46G-gemma-helios-ru-29BT,6,1000,2.097152,0.5690000000000001,0.597,0.5690000000000001,0.49
1p46G-gemma-helios-ru-29BT,6,10000,20.97152,0.625,0.645,0.625,0.529
1p46G-gemma-helios-ru-29BT,6,10500,22.020096,0.628,0.649,0.628,0.533
