runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.007,0.008893139500000001
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.038,0.0914100093
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.03,0.1051302471
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.038,0.0996581024
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.029,0.09833677810000001
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.037,0.1074003354
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.042,0.108736841
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.034,0.1096295807
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.035,0.1081398091
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.034,0.10737111020000001
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.01,0.0372747315
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.008,0.052366713
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.017,0.059955933
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.024,0.0703986577
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.015,0.061606858800000004
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.02,0.0746001121
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.031,0.0718736296
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.004,0.0108424221
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.028,0.0968419195
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.022,0.0844282276
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.024,0.0891325104
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.025,0.0933361333
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.033,0.0931078651
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.036000000000000004,0.1024424875
1p46G-gemma-orion-ru-29BT,6,8000,16.777216,0.031,0.12016960930000001
1p46G-gemma-orion-ru-29BT,6,8500,17.825792,0.037,0.10552548190000001
1p46G-gemma-orion-ru-29BT,6,9000,18.874368,0.038,0.101029437
1p46G-gemma-orion-ru-29BT,6,9500,19.922944,0.03,0.1170494234
1p46G-gemma-helios-ru-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-helios-ru-29BT,6,1000,2.097152,0.005,0.0261153545
1p46G-gemma-helios-ru-29BT,6,10000,20.97152,0.037,0.0913295615
1p46G-gemma-helios-ru-29BT,6,10500,22.020096,0.03,0.0863201373
1p46G-gemma-helios-ru-29BT,6,11000,23.068672,0.038,0.0900144657
1p46G-gemma-helios-ru-29BT,6,11500,24.117248,0.036000000000000004,0.0967235354
1p46G-gemma-helios-ru-29BT,6,12000,25.165824,0.038,0.0908805101
1p46G-gemma-helios-ru-29BT,6,12500,26.2144,0.049,0.09921954790000001
1p46G-gemma-helios-ru-29BT,6,13000,27.262976,0.039,0.09857488410000001
1p46G-gemma-helios-ru-29BT,6,13500,28.311552,0.038,0.0940283398
1p46G-gemma-helios-ru-29BT,6,14000,29.360128,0.035,0.09568393730000001
1p46G-gemma-helios-ru-29BT,6,1500,3.145728,0.017,0.0470857253
1p46G-gemma-helios-ru-29BT,6,2000,4.194304,0.012,0.0492512512
1p46G-gemma-helios-ru-29BT,6,2500,5.24288,0.019,0.0648362464
1p46G-gemma-helios-ru-29BT,6,3000,6.291456,0.015,0.0537766978
1p46G-gemma-helios-ru-29BT,6,3500,7.340032,0.021,0.06492931660000001
1p46G-gemma-helios-ru-29BT,6,4000,8.388608,0.024,0.056761191600000004
1p46G-gemma-helios-ru-29BT,6,4500,9.437184,0.021,0.07627844830000001
1p46G-gemma-helios-ru-29BT,6,500,1.048576,0.0,0.0
1p46G-gemma-helios-ru-29BT,6,5000,10.48576,0.019,0.07523962840000001
1p46G-gemma-helios-ru-29BT,6,5500,11.534336,0.028,0.0803688721
1p46G-gemma-helios-ru-29BT,6,6000,12.582912,0.024,0.07463651290000001
1p46G-gemma-helios-ru-29BT,6,6500,13.631488,0.024,0.0693831369
1p46G-gemma-helios-ru-29BT,6,7000,14.680064,0.028,0.0817367474
1p46G-gemma-helios-ru-29BT,6,7500,15.72864,0.029,0.0868886324
1p46G-gemma-helios-ru-29BT,6,8000,16.777216,0.031,0.0803837174
1p46G-gemma-helios-ru-29BT,6,8500,17.825792,0.026000000000000002,0.07894264250000001
1p46G-gemma-helios-ru-29BT,6,9000,18.874368,0.033,0.0920682689
1p46G-gemma-helios-ru-29BT,6,9500,19.922944,0.035,0.09532456900000001
1p46G-gemma-commoncrawl-ru-29BT,3,0,0.0,0.0,2.9411800000000002e-05
1p46G-gemma-commoncrawl-ru-29BT,3,1000,2.097152,0.003,0.0084312012
1p46G-gemma-commoncrawl-ru-29BT,3,10000,20.97152,0.033,0.1018950565
1p46G-gemma-commoncrawl-ru-29BT,3,10500,22.020096,0.037,0.111763889
1p46G-gemma-commoncrawl-ru-29BT,3,11000,23.068672,0.032,0.1020280689
1p46G-gemma-commoncrawl-ru-29BT,3,11500,24.117248,0.026000000000000002,0.1051312799
1p46G-gemma-commoncrawl-ru-29BT,3,12000,25.165824,0.028,0.10484664
1p46G-gemma-commoncrawl-ru-29BT,3,12500,26.2144,0.031,0.10736499370000001
1p46G-gemma-commoncrawl-ru-29BT,3,13000,27.262976,0.03,0.1084001958
1p46G-gemma-commoncrawl-ru-29BT,3,13500,28.311552,0.033,0.1130029382
1p46G-gemma-commoncrawl-ru-29BT,3,14000,29.360128,0.031,0.10815461380000001
1p46G-gemma-commoncrawl-ru-29BT,3,1500,3.145728,0.001,0.0068831888
1p46G-gemma-commoncrawl-ru-29BT,3,2000,4.194304,0.016,0.0513972197
1p46G-gemma-commoncrawl-ru-29BT,3,2500,5.24288,0.017,0.055361401000000005
1p46G-gemma-commoncrawl-ru-29BT,3,3000,6.291456,0.009000000000000001,0.0651311718
1p46G-gemma-commoncrawl-ru-29BT,3,3500,7.340032,0.014,0.0621079354
1p46G-gemma-commoncrawl-ru-29BT,3,4000,8.388608,0.015,0.07046647660000001
1p46G-gemma-commoncrawl-ru-29BT,3,4500,9.437184,0.018000000000000002,0.0782164212
1p46G-gemma-commoncrawl-ru-29BT,3,500,1.048576,0.003,0.0016583333
1p46G-gemma-commoncrawl-ru-29BT,3,5000,10.48576,0.022,0.0832844514
1p46G-gemma-commoncrawl-ru-29BT,3,5500,11.534336,0.015,0.0862964534
1p46G-gemma-commoncrawl-ru-29BT,3,6000,12.582912,0.023,0.0837735294
1p46G-gemma-commoncrawl-ru-29BT,3,6500,13.631488,0.031,0.0904771756
1p46G-gemma-commoncrawl-ru-29BT,3,7000,14.680064,0.027,0.09093213950000001
1p46G-gemma-commoncrawl-ru-29BT,3,7500,15.72864,0.03,0.0986652776
1p46G-gemma-commoncrawl-ru-29BT,3,8000,16.777216,0.026000000000000002,0.09639828900000001
1p46G-gemma-commoncrawl-ru-29BT,3,8500,17.825792,0.026000000000000002,0.08519248260000001
1p46G-gemma-commoncrawl-ru-29BT,3,9000,18.874368,0.032,0.0929253344
1p46G-gemma-commoncrawl-ru-29BT,3,9500,19.922944,0.031,0.1037552082
1p46G-gemma-commoncrawl-ru-29BT,5,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-ru-29BT,5,1000,2.097152,0.001,0.0199708062
1p46G-gemma-commoncrawl-ru-29BT,5,10000,20.97152,0.034,0.1181352106
1p46G-gemma-commoncrawl-ru-29BT,5,10500,22.020096,0.026000000000000002,0.09554076210000001
1p46G-gemma-commoncrawl-ru-29BT,5,11000,23.068672,0.029,0.09500962610000001
1p46G-gemma-commoncrawl-ru-29BT,5,11500,24.117248,0.034,0.1083426722
1p46G-gemma-commoncrawl-ru-29BT,5,12000,25.165824,0.032,0.1088648251
1p46G-gemma-commoncrawl-ru-29BT,5,12500,26.2144,0.04,0.1128315389
1p46G-gemma-commoncrawl-ru-29BT,5,13000,27.262976,0.029,0.10430842580000001
1p46G-gemma-commoncrawl-ru-29BT,5,13500,28.311552,0.03,0.11846205430000001
1p46G-gemma-commoncrawl-ru-29BT,5,14000,29.360128,0.031,0.11260846520000001
1p46G-gemma-commoncrawl-ru-29BT,5,1500,3.145728,0.007,0.0371579348
1p46G-gemma-commoncrawl-ru-29BT,5,2000,4.194304,0.007,0.0447230422
1p46G-gemma-commoncrawl-ru-29BT,5,2500,5.24288,0.013000000000000001,0.0504062767
1p46G-gemma-commoncrawl-ru-29BT,5,3000,6.291456,0.013000000000000001,0.049474079000000004
1p46G-gemma-commoncrawl-ru-29BT,5,3500,7.340032,0.02,0.079927408
1p46G-gemma-commoncrawl-ru-29BT,5,4000,8.388608,0.02,0.0759779082
1p46G-gemma-commoncrawl-ru-29BT,5,4500,9.437184,0.021,0.06918741240000001
1p46G-gemma-commoncrawl-ru-29BT,5,500,1.048576,0.002,0.0096099085
1p46G-gemma-commoncrawl-ru-29BT,5,5000,10.48576,0.026000000000000002,0.08055687040000001
1p46G-gemma-commoncrawl-ru-29BT,5,5500,11.534336,0.029,0.09189106920000001
1p46G-gemma-commoncrawl-ru-29BT,5,6000,12.582912,0.027,0.0856034382
1p46G-gemma-commoncrawl-ru-29BT,5,6500,13.631488,0.029,0.1062322319
