runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.47900000000000004,0.53,0.507,0.511
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.508,0.581,0.551,0.561
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.555,0.625,0.597,0.603
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.558,0.628,0.596,0.623
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.552,0.632,0.596,0.624
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.558,0.626,0.601,0.622
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.561,0.634,0.609,0.612
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.555,0.629,0.604,0.615
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.557,0.632,0.604,0.612
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.557,0.623,0.606,0.623
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.553,0.627,0.605,0.62
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.502,0.5710000000000001,0.546,0.5680000000000001
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.515,0.588,0.545,0.5750000000000001
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.522,0.5750000000000001,0.5630000000000001,0.583
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.524,0.603,0.559,0.584
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.542,0.595,0.5670000000000001,0.5750000000000001
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.529,0.603,0.5650000000000001,0.59
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.546,0.586,0.582,0.598
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.49,0.5630000000000001,0.528,0.548
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.544,0.612,0.594,0.603
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.549,0.611,0.584,0.592
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.547,0.613,0.58,0.6000000000000001
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.544,0.615,0.584,0.609
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.545,0.621,0.594,0.602
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.546,0.603,0.588,0.606
1p46G-gemma-orion-ru-29BT,6,8000,16.777216,0.543,0.617,0.597,0.611
1p46G-gemma-orion-ru-29BT,6,8500,17.825792,0.554,0.619,0.595,0.62
1p46G-gemma-orion-ru-29BT,6,9000,18.874368,0.554,0.631,0.608,0.619
1p46G-gemma-orion-ru-29BT,6,9500,19.922944,0.559,0.63,0.599,0.6000000000000001
1p46G-gemma-helios-ru-29BT,6,0,0.0,0.47900000000000004,0.531,0.507,0.511
1p46G-gemma-helios-ru-29BT,6,1000,2.097152,0.508,0.5760000000000001,0.534,0.551
1p46G-gemma-helios-ru-29BT,6,10000,20.97152,0.5630000000000001,0.641,0.615,0.657
1p46G-gemma-helios-ru-29BT,6,10500,22.020096,0.5760000000000001,0.648,0.622,0.654
1p46G-gemma-helios-ru-29BT,6,11000,23.068672,0.5690000000000001,0.647,0.623,0.64
1p46G-gemma-helios-ru-29BT,6,11500,24.117248,0.5690000000000001,0.646,0.618,0.657
1p46G-gemma-helios-ru-29BT,6,12000,25.165824,0.5710000000000001,0.647,0.622,0.648
1p46G-gemma-helios-ru-29BT,6,12500,26.2144,0.5710000000000001,0.654,0.626,0.659
1p46G-gemma-helios-ru-29BT,6,13000,27.262976,0.5690000000000001,0.645,0.624,0.66
1p46G-gemma-helios-ru-29BT,6,13500,28.311552,0.5710000000000001,0.645,0.627,0.664
