runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.47301587300000003,0.4857142857,0.4666666667,0.4857142857
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.5269841270000001,0.5269841270000001,0.5333333333,0.5428571429
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.5365079365000001,0.5269841270000001,0.5396825397,0.5015873016
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.5301587302,0.5333333333,0.5301587302,0.5015873016
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.5238095238,0.5206349206,0.5301587302,0.5111111111000001
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.5301587302,0.5206349206,0.5269841270000001,0.5301587302
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.5301587302,0.5396825397,0.5365079365000001,0.5174603175
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.5492063492,0.5301587302,0.5301587302,0.5047619048
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.5492063492,0.5365079365000001,0.5365079365000001,0.5142857143
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.5333333333,0.5333333333,0.5269841270000001,0.4984126984
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.5365079365000001,0.5365079365000001,0.5428571429,0.5079365079
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.5333333333,0.5269841270000001,0.5269841270000001,0.5333333333
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.5396825397,0.5396825397,0.5396825397,0.5333333333
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.5206349206,0.5396825397,0.5365079365000001,0.4984126984
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.5333333333,0.5365079365000001,0.5301587302,0.5015873016
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.5523809524000001,0.5333333333,0.5428571429,0.5206349206
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.5333333333,0.5238095238,0.5428571429,0.5301587302
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.5333333333,0.5111111111000001,0.5365079365000001,0.5206349206
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.5047619048,0.5015873016,0.5015873016,0.5111111111000001
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.5428571429,0.5301587302,0.5555555556,0.5301587302
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.5269841270000001,0.4984126984,0.5206349206,0.5047619048
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.5079365079,0.5269841270000001,0.5301587302,0.4920634921
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.546031746,0.5396825397,0.5301587302,0.5206349206
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.5206349206,0.5428571429,0.5238095238,0.5174603175
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.5428571429,0.5238095238,0.5365079365000001,0.5206349206
1p46G-gemma-orion-ru-29BT,6,8000,16.777216,0.5492063492,0.5333333333,0.5301587302,0.4984126984
1p46G-gemma-orion-ru-29BT,6,8500,17.825792,0.5492063492,0.5365079365000001,0.5428571429,0.5111111111000001
1p46G-gemma-orion-ru-29BT,6,9000,18.874368,0.5365079365000001,0.5301587302,0.5269841270000001,0.5015873016
1p46G-gemma-orion-ru-29BT,6,9500,19.922944,0.5333333333,0.5238095238,0.5301587302,0.5047619048
1p46G-gemma-helios-ru-29BT,6,0,0.0,0.47301587300000003,0.4857142857,0.4666666667,0.4857142857
1p46G-gemma-helios-ru-29BT,6,1000,2.097152,0.5269841270000001,0.5428571429,0.5206349206,0.5079365079
1p46G-gemma-helios-ru-29BT,6,10000,20.97152,0.5492063492,0.5301587302,0.5492063492,0.5206349206
1p46G-gemma-helios-ru-29BT,6,10500,22.020096,0.5333333333,0.5333333333,0.5587301587,0.5206349206
1p46G-gemma-helios-ru-29BT,6,11000,23.068672,0.5269841270000001,0.5174603175,0.5428571429,0.5269841270000001
1p46G-gemma-helios-ru-29BT,6,11500,24.117248,0.546031746,0.5365079365000001,0.5555555556,0.5333333333
1p46G-gemma-helios-ru-29BT,6,12000,25.165824,0.5301587302,0.5142857143,0.5619047619,0.5428571429
1p46G-gemma-helios-ru-29BT,6,12500,26.2144,0.5333333333,0.5301587302,0.5492063492,0.5365079365000001
1p46G-gemma-helios-ru-29BT,6,13000,27.262976,0.5333333333,0.5269841270000001,0.5619047619,0.5238095238
1p46G-gemma-helios-ru-29BT,6,13500,28.311552,0.5396825397,0.5174603175,0.5619047619,0.5269841270000001
1p46G-gemma-helios-ru-29BT,6,14000,29.360128,0.546031746,0.5333333333,0.5650793651,0.546031746
1p46G-gemma-helios-ru-29BT,6,1500,3.145728,0.5301587302,0.5269841270000001,0.5333333333,0.5238095238
1p46G-gemma-helios-ru-29BT,6,2000,4.194304,0.546031746,0.5428571429,0.5365079365000001,0.5142857143
1p46G-gemma-helios-ru-29BT,6,2500,5.24288,0.5619047619,0.5555555556,0.5396825397,0.5301587302
1p46G-gemma-helios-ru-29BT,6,3000,6.291456,0.5365079365000001,0.5555555556,0.546031746,0.5206349206
1p46G-gemma-helios-ru-29BT,6,3500,7.340032,0.546031746,0.5142857143,0.546031746,0.5015873016
1p46G-gemma-helios-ru-29BT,6,4000,8.388608,0.5269841270000001,0.5269841270000001,0.5301587302,0.5174603175
1p46G-gemma-helios-ru-29BT,6,4500,9.437184,0.5396825397,0.5238095238,0.5523809524000001,0.5174603175
1p46G-gemma-helios-ru-29BT,6,500,1.048576,0.4825396825,0.47301587300000003,0.4984126984,0.5015873016
1p46G-gemma-helios-ru-29BT,6,5000,10.48576,0.5333333333,0.546031746,0.5555555556,0.5206349206
1p46G-gemma-helios-ru-29BT,6,5500,11.534336,0.5396825397,0.5174603175,0.546031746,0.5238095238
1p46G-gemma-helios-ru-29BT,6,6000,12.582912,0.546031746,0.5523809524000001,0.5492063492,0.5206349206
1p46G-gemma-helios-ru-29BT,6,6500,13.631488,0.5238095238,0.5269841270000001,0.546031746,0.5142857143
1p46G-gemma-helios-ru-29BT,6,7000,14.680064,0.5269841270000001,0.5365079365000001,0.5523809524000001,0.5238095238
1p46G-gemma-helios-ru-29BT,6,7500,15.72864,0.5301587302,0.5142857143,0.5523809524000001,0.5174603175
1p46G-gemma-helios-ru-29BT,6,8000,16.777216,0.5206349206,0.5238095238,0.5396825397,0.5269841270000001
1p46G-gemma-helios-ru-29BT,6,8500,17.825792,0.5396825397,0.5396825397,0.5492063492,0.5269841270000001
1p46G-gemma-helios-ru-29BT,6,9000,18.874368,0.5492063492,0.5333333333,0.5587301587,0.5206349206
1p46G-gemma-helios-ru-29BT,6,9500,19.922944,0.5492063492,0.5333333333,0.5587301587,0.5174603175
1p46G-gemma-commoncrawl-ru-29BT,3,0,0.0,0.4984126984,0.4857142857,0.4920634921,0.5428571429
1p46G-gemma-commoncrawl-ru-29BT,3,1000,2.097152,0.5111111111000001,0.5238095238,0.5365079365000001,0.5333333333
1p46G-gemma-commoncrawl-ru-29BT,3,10000,20.97152,0.5619047619,0.5365079365000001,0.5396825397,0.5269841270000001
1p46G-gemma-commoncrawl-ru-29BT,3,10500,22.020096,0.5492063492,0.5428571429,0.5428571429,0.5174603175
1p46G-gemma-commoncrawl-ru-29BT,3,11000,23.068672,0.5587301587,0.5206349206,0.5396825397,0.5174603175
1p46G-gemma-commoncrawl-ru-29BT,3,11500,24.117248,0.546031746,0.5396825397,0.5333333333,0.5333333333
1p46G-gemma-commoncrawl-ru-29BT,3,12000,25.165824,0.546031746,0.5365079365000001,0.5365079365000001,0.5365079365000001
1p46G-gemma-commoncrawl-ru-29BT,3,12500,26.2144,0.5428571429,0.5333333333,0.5365079365000001,0.5269841270000001
1p46G-gemma-commoncrawl-ru-29BT,3,13000,27.262976,0.546031746,0.5365079365000001,0.5587301587,0.5301587302
1p46G-gemma-commoncrawl-ru-29BT,3,13500,28.311552,0.5555555556,0.5269841270000001,0.5523809524000001,0.5269841270000001
1p46G-gemma-commoncrawl-ru-29BT,3,14000,29.360128,0.5587301587,0.5269841270000001,0.5523809524000001,0.5142857143
1p46G-gemma-commoncrawl-ru-29BT,3,1500,3.145728,0.5301587302,0.5492063492,0.5365079365000001,0.546031746
1p46G-gemma-commoncrawl-ru-29BT,3,2000,4.194304,0.5174603175,0.5301587302,0.5365079365000001,0.5206349206
1p46G-gemma-commoncrawl-ru-29BT,3,2500,5.24288,0.5333333333,0.5333333333,0.5555555556,0.5206349206
1p46G-gemma-commoncrawl-ru-29BT,3,3000,6.291456,0.5269841270000001,0.5301587302,0.5428571429,0.5333333333
1p46G-gemma-commoncrawl-ru-29BT,3,3500,7.340032,0.5206349206,0.5079365079,0.5650793651,0.4984126984
1p46G-gemma-commoncrawl-ru-29BT,3,4000,8.388608,0.5269841270000001,0.5206349206,0.546031746,0.5269841270000001
1p46G-gemma-commoncrawl-ru-29BT,3,4500,9.437184,0.5333333333,0.5492063492,0.5206349206,0.5142857143
1p46G-gemma-commoncrawl-ru-29BT,3,500,1.048576,0.4952380952,0.48888888890000004,0.5269841270000001,0.5333333333
1p46G-gemma-commoncrawl-ru-29BT,3,5000,10.48576,0.5269841270000001,0.5428571429,0.5365079365000001,0.5174603175
1p46G-gemma-commoncrawl-ru-29BT,3,5500,11.534336,0.5269841270000001,0.5492063492,0.5396825397,0.5269841270000001
1p46G-gemma-commoncrawl-ru-29BT,3,6000,12.582912,0.5428571429,0.5301587302,0.5333333333,0.5333333333
1p46G-gemma-commoncrawl-ru-29BT,3,6500,13.631488,0.5523809524000001,0.5269841270000001,0.5523809524000001,0.5492063492
1p46G-gemma-commoncrawl-ru-29BT,3,7000,14.680064,0.5333333333,0.5365079365000001,0.5492063492,0.5301587302
1p46G-gemma-commoncrawl-ru-29BT,3,7500,15.72864,0.5365079365000001,0.5365079365000001,0.5333333333,0.5333333333
1p46G-gemma-commoncrawl-ru-29BT,3,8000,16.777216,0.5555555556,0.5396825397,0.5428571429,0.5428571429
1p46G-gemma-commoncrawl-ru-29BT,3,8500,17.825792,0.5619047619,0.5428571429,0.5587301587,0.5301587302
1p46G-gemma-commoncrawl-ru-29BT,3,9000,18.874368,0.546031746,0.546031746,0.546031746,0.5333333333
1p46G-gemma-commoncrawl-ru-29BT,3,9500,19.922944,0.5587301587,0.5047619048,0.5492063492,0.5142857143
1p46G-gemma-commoncrawl-ru-29BT,5,0,0.0,0.48888888890000004,0.4793650794,0.4857142857,0.4920634921
