runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-sw-29BT,5,0,0.0,0.202,0.23,0.254,0.258
1p46G-gemma-commoncrawl-sw-29BT,5,1000,2.097152,0.202,0.23,0.242,0.226
1p46G-gemma-commoncrawl-sw-29BT,5,10000,20.97152,0.218,0.216,0.214,0.234
1p46G-gemma-commoncrawl-sw-29BT,5,10500,22.020096,0.218,0.228,0.22,0.258
1p46G-gemma-commoncrawl-sw-29BT,5,11000,23.068672,0.21,0.226,0.224,0.254
1p46G-gemma-commoncrawl-sw-29BT,5,11500,24.117248,0.218,0.22,0.226,0.268
1p46G-gemma-commoncrawl-sw-29BT,5,12000,25.165824,0.21,0.216,0.22,0.256
1p46G-gemma-commoncrawl-sw-29BT,5,12500,26.2144,0.20800000000000002,0.224,0.228,0.25
1p46G-gemma-commoncrawl-sw-29BT,5,13000,27.262976,0.212,0.216,0.216,0.244
1p46G-gemma-commoncrawl-sw-29BT,5,13500,28.311552,0.21,0.222,0.212,0.278
1p46G-gemma-commoncrawl-sw-29BT,5,14000,29.360128,0.214,0.228,0.23,0.248
1p46G-gemma-commoncrawl-sw-29BT,5,1500,3.145728,0.188,0.202,0.212,0.24
1p46G-gemma-commoncrawl-sw-29BT,5,2000,4.194304,0.202,0.226,0.228,0.23600000000000002
1p46G-gemma-commoncrawl-sw-29BT,5,2500,5.24288,0.214,0.246,0.242,0.218
1p46G-gemma-commoncrawl-sw-29BT,5,3000,6.291456,0.202,0.22,0.20400000000000001,0.224
1p46G-gemma-commoncrawl-sw-29BT,5,3500,7.340032,0.22,0.232,0.214,0.234
1p46G-gemma-commoncrawl-sw-29BT,5,4000,8.388608,0.202,0.228,0.214,0.25
1p46G-gemma-commoncrawl-sw-29BT,5,4500,9.437184,0.20400000000000001,0.242,0.22,0.25
1p46G-gemma-commoncrawl-sw-29BT,5,500,1.048576,0.194,0.234,0.24,0.242
1p46G-gemma-commoncrawl-sw-29BT,5,5000,10.48576,0.2,0.222,0.20800000000000002,0.228
1p46G-gemma-commoncrawl-sw-29BT,5,5500,11.534336,0.22,0.226,0.224,0.252
1p46G-gemma-commoncrawl-sw-29BT,5,6000,12.582912,0.2,0.22,0.2,0.252
1p46G-gemma-commoncrawl-sw-29BT,5,6500,13.631488,0.21,0.234,0.22,0.262
1p46G-gemma-commoncrawl-sw-29BT,5,7000,14.680064,0.20800000000000002,0.234,0.222,0.258
1p46G-gemma-commoncrawl-sw-29BT,5,7500,15.72864,0.20400000000000001,0.23,0.20600000000000002,0.234
1p46G-gemma-commoncrawl-sw-29BT,5,8000,16.777216,0.20600000000000002,0.23800000000000002,0.216,0.246
1p46G-gemma-commoncrawl-sw-29BT,5,8500,17.825792,0.194,0.234,0.20600000000000002,0.23
1p46G-gemma-commoncrawl-sw-29BT,5,9000,18.874368,0.218,0.242,0.228,0.224
1p46G-gemma-commoncrawl-sw-29BT,5,9500,19.922944,0.218,0.234,0.232,0.262
1p46G-gemma-commoncrawl-sw-29BT,6,0,0.0,0.216,0.244,0.23800000000000002,0.25
1p46G-gemma-commoncrawl-sw-29BT,6,1000,2.097152,0.196,0.216,0.234,0.262
1p46G-gemma-commoncrawl-sw-29BT,6,10000,20.97152,0.23,0.242,0.234,0.226
1p46G-gemma-commoncrawl-sw-29BT,6,10500,22.020096,0.212,0.23,0.22,0.212
1p46G-gemma-commoncrawl-sw-29BT,6,11000,23.068672,0.212,0.23,0.22,0.20400000000000001
1p46G-gemma-commoncrawl-sw-29BT,6,11500,24.117248,0.186,0.214,0.198,0.228
1p46G-gemma-commoncrawl-sw-29BT,6,12000,25.165824,0.2,0.214,0.212,0.224
1p46G-gemma-commoncrawl-sw-29BT,6,12500,26.2144,0.20600000000000002,0.23600000000000002,0.22,0.24
1p46G-gemma-commoncrawl-sw-29BT,6,13000,27.262976,0.198,0.234,0.232,0.216
1p46G-gemma-commoncrawl-sw-29BT,6,13500,28.311552,0.20600000000000002,0.23,0.228,0.23
1p46G-gemma-commoncrawl-sw-29BT,6,14000,29.360128,0.20400000000000001,0.228,0.224,0.218
1p46G-gemma-commoncrawl-sw-29BT,6,1500,3.145728,0.19,0.228,0.20600000000000002,0.226
1p46G-gemma-commoncrawl-sw-29BT,6,2000,4.194304,0.21,0.242,0.226,0.244
1p46G-gemma-commoncrawl-sw-29BT,6,2500,5.24288,0.214,0.226,0.2,0.232
1p46G-gemma-commoncrawl-sw-29BT,6,3000,6.291456,0.214,0.23,0.218,0.258
1p46G-gemma-commoncrawl-sw-29BT,6,3500,7.340032,0.20400000000000001,0.20800000000000002,0.21,0.224
1p46G-gemma-commoncrawl-sw-29BT,6,4000,8.388608,0.224,0.242,0.224,0.246
1p46G-gemma-commoncrawl-sw-29BT,6,4500,9.437184,0.21,0.226,0.218,0.226
1p46G-gemma-commoncrawl-sw-29BT,6,500,1.048576,0.202,0.24,0.258,0.224
1p46G-gemma-commoncrawl-sw-29BT,6,5000,10.48576,0.23,0.246,0.216,0.216
1p46G-gemma-commoncrawl-sw-29BT,6,5500,11.534336,0.20400000000000001,0.224,0.202,0.228
1p46G-gemma-commoncrawl-sw-29BT,6,6000,12.582912,0.228,0.256,0.24,0.242
1p46G-gemma-commoncrawl-sw-29BT,6,6500,13.631488,0.226,0.232,0.224,0.218
