runname,seed,steps,tokens,acc,acc_norm,acc_norm_token
1p46G-gemma-commoncrawl-sw-29BT,5,0,0.0,0.5348837209,0.5145348837,0.5348837209
1p46G-gemma-commoncrawl-sw-29BT,5,1000,2.097152,0.5145348837,0.523255814,0.5145348837
1p46G-gemma-commoncrawl-sw-29BT,5,10000,20.97152,0.5377906977,0.5058139535,0.5377906977
1p46G-gemma-commoncrawl-sw-29BT,5,10500,22.020096,0.5436046512,0.523255814,0.5436046512
1p46G-gemma-commoncrawl-sw-29BT,5,11000,23.068672,0.5203488372,0.5087209302,0.5203488372
1p46G-gemma-commoncrawl-sw-29BT,5,11500,24.117248,0.5290697674,0.5290697674,0.5290697674
1p46G-gemma-commoncrawl-sw-29BT,5,12000,25.165824,0.5319767442000001,0.5203488372,0.5319767442000001
1p46G-gemma-commoncrawl-sw-29BT,5,12500,26.2144,0.5087209302,0.5203488372,0.5087209302
1p46G-gemma-commoncrawl-sw-29BT,5,13000,27.262976,0.5087209302,0.511627907,0.5087209302
1p46G-gemma-commoncrawl-sw-29BT,5,13500,28.311552,0.5261627907,0.5,0.5261627907
1p46G-gemma-commoncrawl-sw-29BT,5,14000,29.360128,0.511627907,0.5261627907,0.511627907
1p46G-gemma-commoncrawl-sw-29BT,5,1500,3.145728,0.476744186,0.5029069767000001,0.476744186
1p46G-gemma-commoncrawl-sw-29BT,5,2000,4.194304,0.4970930233,0.488372093,0.4970930233
1p46G-gemma-commoncrawl-sw-29BT,5,2500,5.24288,0.5290697674,0.5,0.5290697674
1p46G-gemma-commoncrawl-sw-29BT,5,3000,6.291456,0.5494186047,0.5203488372,0.5494186047
1p46G-gemma-commoncrawl-sw-29BT,5,3500,7.340032,0.5348837209,0.5523255814,0.5348837209
1p46G-gemma-commoncrawl-sw-29BT,5,4000,8.388608,0.4970930233,0.5290697674,0.4970930233
1p46G-gemma-commoncrawl-sw-29BT,5,4500,9.437184,0.5377906977,0.5290697674,0.5377906977
1p46G-gemma-commoncrawl-sw-29BT,5,500,1.048576,0.4738372093,0.4970930233,0.4738372093
1p46G-gemma-commoncrawl-sw-29BT,5,5000,10.48576,0.5174418605000001,0.5290697674,0.5174418605000001
1p46G-gemma-commoncrawl-sw-29BT,5,5500,11.534336,0.5348837209,0.5377906977,0.5348837209
1p46G-gemma-commoncrawl-sw-29BT,5,6000,12.582912,0.5319767442000001,0.5029069767000001,0.5319767442000001
1p46G-gemma-commoncrawl-sw-29BT,5,6500,13.631488,0.5203488372,0.511627907,0.5203488372
1p46G-gemma-commoncrawl-sw-29BT,5,7000,14.680064,0.5290697674,0.5203488372,0.5290697674
1p46G-gemma-commoncrawl-sw-29BT,5,7500,15.72864,0.523255814,0.511627907,0.523255814
1p46G-gemma-commoncrawl-sw-29BT,5,8000,16.777216,0.5261627907,0.5261627907,0.5261627907
