runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-sw-29BT,5,0,0.0,0.213,0.249,0.23900000000000002,0.264
1p46G-gemma-commoncrawl-sw-29BT,5,1000,2.097152,0.20500000000000002,0.224,0.231,0.233
1p46G-gemma-commoncrawl-sw-29BT,5,10000,20.97152,0.192,0.227,0.214,0.225
1p46G-gemma-commoncrawl-sw-29BT,5,10500,22.020096,0.192,0.224,0.212,0.232
1p46G-gemma-commoncrawl-sw-29BT,5,11000,23.068672,0.194,0.23700000000000002,0.203,0.217
1p46G-gemma-commoncrawl-sw-29BT,5,11500,24.117248,0.202,0.234,0.212,0.223
1p46G-gemma-commoncrawl-sw-29BT,5,12000,25.165824,0.193,0.234,0.215,0.232
1p46G-gemma-commoncrawl-sw-29BT,5,12500,26.2144,0.198,0.226,0.215,0.228
1p46G-gemma-commoncrawl-sw-29BT,5,13000,27.262976,0.2,0.228,0.214,0.22
1p46G-gemma-commoncrawl-sw-29BT,5,13500,28.311552,0.197,0.222,0.213,0.229
1p46G-gemma-commoncrawl-sw-29BT,5,14000,29.360128,0.193,0.23500000000000001,0.214,0.211
1p46G-gemma-commoncrawl-sw-29BT,5,1500,3.145728,0.201,0.217,0.224,0.227
1p46G-gemma-commoncrawl-sw-29BT,5,2000,4.194304,0.192,0.211,0.22,0.233
1p46G-gemma-commoncrawl-sw-29BT,5,2500,5.24288,0.195,0.21,0.226,0.222
1p46G-gemma-commoncrawl-sw-29BT,5,3000,6.291456,0.21,0.231,0.223,0.229
1p46G-gemma-commoncrawl-sw-29BT,5,3500,7.340032,0.2,0.219,0.216,0.22
1p46G-gemma-commoncrawl-sw-29BT,5,4000,8.388608,0.215,0.228,0.229,0.23900000000000002
1p46G-gemma-commoncrawl-sw-29BT,5,4500,9.437184,0.213,0.23,0.22,0.228
1p46G-gemma-commoncrawl-sw-29BT,5,500,1.048576,0.222,0.245,0.263,0.23
1p46G-gemma-commoncrawl-sw-29BT,5,5000,10.48576,0.222,0.225,0.212,0.23600000000000002
1p46G-gemma-commoncrawl-sw-29BT,5,5500,11.534336,0.209,0.231,0.224,0.219
1p46G-gemma-commoncrawl-sw-29BT,5,6000,12.582912,0.211,0.23800000000000002,0.23,0.227
1p46G-gemma-commoncrawl-sw-29BT,5,6500,13.631488,0.196,0.224,0.211,0.222
1p46G-gemma-commoncrawl-sw-29BT,5,7000,14.680064,0.209,0.23,0.221,0.227
1p46G-gemma-commoncrawl-sw-29BT,5,7500,15.72864,0.21,0.229,0.228,0.227
1p46G-gemma-commoncrawl-sw-29BT,5,8000,16.777216,0.20600000000000002,0.231,0.221,0.224
1p46G-gemma-commoncrawl-sw-29BT,5,8500,17.825792,0.211,0.23600000000000002,0.219,0.224
1p46G-gemma-commoncrawl-sw-29BT,5,9000,18.874368,0.193,0.23500000000000001,0.225,0.224
1p46G-gemma-commoncrawl-sw-29BT,5,9500,19.922944,0.198,0.233,0.216,0.221
1p46G-gemma-commoncrawl-sw-29BT,6,0,0.0,0.214,0.23600000000000002,0.252,0.267
1p46G-gemma-commoncrawl-sw-29BT,6,1000,2.097152,0.216,0.226,0.23500000000000001,0.249
1p46G-gemma-commoncrawl-sw-29BT,6,10000,20.97152,0.201,0.223,0.213,0.234
1p46G-gemma-commoncrawl-sw-29BT,6,10500,22.020096,0.182,0.22,0.223,0.227
1p46G-gemma-commoncrawl-sw-29BT,6,11000,23.068672,0.194,0.23,0.216,0.23
1p46G-gemma-commoncrawl-sw-29BT,6,11500,24.117248,0.193,0.214,0.213,0.218
1p46G-gemma-commoncrawl-sw-29BT,6,12000,25.165824,0.193,0.22,0.20800000000000002,0.222
1p46G-gemma-commoncrawl-sw-29BT,6,12500,26.2144,0.199,0.225,0.221,0.20800000000000002
1p46G-gemma-commoncrawl-sw-29BT,6,13000,27.262976,0.196,0.226,0.219,0.231
1p46G-gemma-commoncrawl-sw-29BT,6,13500,28.311552,0.196,0.228,0.221,0.226
1p46G-gemma-commoncrawl-sw-29BT,6,14000,29.360128,0.197,0.218,0.219,0.231
1p46G-gemma-commoncrawl-sw-29BT,6,1500,3.145728,0.209,0.217,0.228,0.234
1p46G-gemma-commoncrawl-sw-29BT,6,2000,4.194304,0.197,0.216,0.216,0.223
1p46G-gemma-commoncrawl-sw-29BT,6,2500,5.24288,0.213,0.233,0.218,0.226
1p46G-gemma-commoncrawl-sw-29BT,6,3000,6.291456,0.195,0.216,0.222,0.222
1p46G-gemma-commoncrawl-sw-29BT,6,3500,7.340032,0.189,0.215,0.213,0.211
1p46G-gemma-commoncrawl-sw-29BT,6,4000,8.388608,0.201,0.214,0.214,0.224
1p46G-gemma-commoncrawl-sw-29BT,6,4500,9.437184,0.187,0.215,0.218,0.215
