runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-sw-29BT,5,0,0.0,0.262,0.252,0.256,0.248
1p46G-gemma-commoncrawl-sw-29BT,5,1000,2.097152,0.265,0.28500000000000003,0.291,0.271
1p46G-gemma-commoncrawl-sw-29BT,5,10000,20.97152,0.301,0.322,0.323,0.271
1p46G-gemma-commoncrawl-sw-29BT,5,10500,22.020096,0.308,0.317,0.321,0.301
1p46G-gemma-commoncrawl-sw-29BT,5,11000,23.068672,0.323,0.324,0.335,0.293
1p46G-gemma-commoncrawl-sw-29BT,5,11500,24.117248,0.311,0.337,0.326,0.294
1p46G-gemma-commoncrawl-sw-29BT,5,12000,25.165824,0.321,0.336,0.334,0.29
1p46G-gemma-commoncrawl-sw-29BT,5,12500,26.2144,0.304,0.331,0.329,0.301
1p46G-gemma-commoncrawl-sw-29BT,5,13000,27.262976,0.304,0.322,0.327,0.304
1p46G-gemma-commoncrawl-sw-29BT,5,13500,28.311552,0.312,0.333,0.332,0.28700000000000003
1p46G-gemma-commoncrawl-sw-29BT,5,14000,29.360128,0.31,0.332,0.327,0.298
1p46G-gemma-commoncrawl-sw-29BT,5,1500,3.145728,0.266,0.302,0.292,0.27
1p46G-gemma-commoncrawl-sw-29BT,5,2000,4.194304,0.276,0.29,0.299,0.28300000000000003
1p46G-gemma-commoncrawl-sw-29BT,5,2500,5.24288,0.298,0.299,0.309,0.308
1p46G-gemma-commoncrawl-sw-29BT,5,3000,6.291456,0.28300000000000003,0.298,0.311,0.306
1p46G-gemma-commoncrawl-sw-29BT,5,3500,7.340032,0.296,0.321,0.316,0.316
1p46G-gemma-commoncrawl-sw-29BT,5,4000,8.388608,0.293,0.325,0.324,0.292
1p46G-gemma-commoncrawl-sw-29BT,5,4500,9.437184,0.29,0.302,0.309,0.292
1p46G-gemma-commoncrawl-sw-29BT,5,500,1.048576,0.244,0.275,0.272,0.273
1p46G-gemma-commoncrawl-sw-29BT,5,5000,10.48576,0.303,0.308,0.307,0.299
1p46G-gemma-commoncrawl-sw-29BT,5,5500,11.534336,0.302,0.325,0.326,0.296
1p46G-gemma-commoncrawl-sw-29BT,5,6000,12.582912,0.30000000000000004,0.313,0.318,0.27
1p46G-gemma-commoncrawl-sw-29BT,5,6500,13.631488,0.309,0.313,0.323,0.304
1p46G-gemma-commoncrawl-sw-29BT,5,7000,14.680064,0.312,0.327,0.318,0.305
1p46G-gemma-commoncrawl-sw-29BT,5,7500,15.72864,0.302,0.315,0.322,0.292
1p46G-gemma-commoncrawl-sw-29BT,5,8000,16.777216,0.305,0.318,0.308,0.303
1p46G-gemma-commoncrawl-sw-29BT,5,8500,17.825792,0.299,0.325,0.322,0.303
1p46G-gemma-commoncrawl-sw-29BT,5,9000,18.874368,0.31,0.338,0.323,0.296
1p46G-gemma-commoncrawl-sw-29BT,5,9500,19.922944,0.308,0.317,0.321,0.276
1p46G-gemma-commoncrawl-sw-29BT,6,0,0.0,0.23600000000000002,0.25,0.247,0.25
1p46G-gemma-commoncrawl-sw-29BT,6,1000,2.097152,0.269,0.289,0.292,0.292
1p46G-gemma-commoncrawl-sw-29BT,6,10000,20.97152,0.289,0.32,0.31,0.32
1p46G-gemma-commoncrawl-sw-29BT,6,10500,22.020096,0.302,0.315,0.305,0.332
1p46G-gemma-commoncrawl-sw-29BT,6,11000,23.068672,0.301,0.329,0.32,0.326
1p46G-gemma-commoncrawl-sw-29BT,6,11500,24.117248,0.309,0.314,0.32,0.318
1p46G-gemma-commoncrawl-sw-29BT,6,12000,25.165824,0.312,0.313,0.321,0.321
1p46G-gemma-commoncrawl-sw-29BT,6,12500,26.2144,0.299,0.323,0.316,0.327
1p46G-gemma-commoncrawl-sw-29BT,6,13000,27.262976,0.308,0.317,0.321,0.317
1p46G-gemma-commoncrawl-sw-29BT,6,13500,28.311552,0.311,0.314,0.309,0.32
1p46G-gemma-commoncrawl-sw-29BT,6,14000,29.360128,0.299,0.321,0.309,0.329
1p46G-gemma-commoncrawl-sw-29BT,6,1500,3.145728,0.30000000000000004,0.303,0.294,0.29
1p46G-gemma-commoncrawl-sw-29BT,6,2000,4.194304,0.293,0.298,0.297,0.28700000000000003
1p46G-gemma-commoncrawl-sw-29BT,6,2500,5.24288,0.295,0.301,0.306,0.294
1p46G-gemma-commoncrawl-sw-29BT,6,3000,6.291456,0.291,0.304,0.299,0.276
1p46G-gemma-commoncrawl-sw-29BT,6,3500,7.340032,0.31,0.312,0.305,0.314
1p46G-gemma-commoncrawl-sw-29BT,6,4000,8.388608,0.298,0.314,0.31,0.315
1p46G-gemma-commoncrawl-sw-29BT,6,4500,9.437184,0.307,0.315,0.314,0.31
1p46G-gemma-commoncrawl-sw-29BT,6,500,1.048576,0.241,0.264,0.271,0.264
1p46G-gemma-commoncrawl-sw-29BT,6,5000,10.48576,0.309,0.312,0.317,0.314
1p46G-gemma-commoncrawl-sw-29BT,6,5500,11.534336,0.307,0.311,0.312,0.303
1p46G-gemma-commoncrawl-sw-29BT,6,6000,12.582912,0.28700000000000003,0.317,0.307,0.308
1p46G-gemma-commoncrawl-sw-29BT,6,6500,13.631488,0.297,0.318,0.32,0.313
1p46G-gemma-commoncrawl-sw-29BT,6,7000,14.680064,0.30000000000000004,0.324,0.325,0.316
1p46G-gemma-commoncrawl-sw-29BT,6,7500,15.72864,0.291,0.315,0.301,0.329
1p46G-gemma-commoncrawl-sw-29BT,6,8000,16.777216,0.299,0.321,0.319,0.321
1p46G-gemma-commoncrawl-sw-29BT,6,8500,17.825792,0.28700000000000003,0.307,0.315,0.321
1p46G-gemma-commoncrawl-sw-29BT,6,9000,18.874368,0.291,0.313,0.317,0.32
1p46G-gemma-commoncrawl-sw-29BT,6,9500,19.922944,0.298,0.317,0.321,0.334
1p46G-gemma-commoncrawl-sw-29BT,8,0,0.0,0.248,0.241,0.247,0.242
1p46G-gemma-commoncrawl-sw-29BT,8,1000,2.097152,0.255,0.281,0.28700000000000003,0.28300000000000003
1p46G-gemma-commoncrawl-sw-29BT,8,10000,20.97152,0.33,0.341,0.322,0.321
1p46G-gemma-commoncrawl-sw-29BT,8,10500,22.020096,0.313,0.333,0.332,0.321
1p46G-gemma-commoncrawl-sw-29BT,8,11000,23.068672,0.312,0.342,0.319,0.322
1p46G-gemma-commoncrawl-sw-29BT,8,11500,24.117248,0.311,0.34,0.325,0.33
1p46G-gemma-commoncrawl-sw-29BT,8,12000,25.165824,0.31,0.333,0.327,0.326
1p46G-gemma-commoncrawl-sw-29BT,8,12500,26.2144,0.315,0.333,0.333,0.318
