runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-sw-29BT,5,0,0.0,0.21186440680000002,0.27118644070000003,0.2288135593,0.1610169492
1p46G-gemma-commoncrawl-sw-29BT,5,1000,2.097152,0.17796610170000002,0.1694915254,0.1610169492,0.1610169492
1p46G-gemma-commoncrawl-sw-29BT,5,10000,20.97152,0.21186440680000002,0.2288135593,0.2372881356,0.2457627119
1p46G-gemma-commoncrawl-sw-29BT,5,10500,22.020096,0.2033898305,0.2457627119,0.2457627119,0.2627118644
1p46G-gemma-commoncrawl-sw-29BT,5,11000,23.068672,0.2203389831,0.2288135593,0.2372881356,0.2627118644
1p46G-gemma-commoncrawl-sw-29BT,5,11500,24.117248,0.2203389831,0.2457627119,0.21186440680000002,0.2542372881
1p46G-gemma-commoncrawl-sw-29BT,5,12000,25.165824,0.2203389831,0.2203389831,0.2203389831,0.2542372881
1p46G-gemma-commoncrawl-sw-29BT,5,12500,26.2144,0.2203389831,0.2457627119,0.2203389831,0.2288135593
1p46G-gemma-commoncrawl-sw-29BT,5,13000,27.262976,0.2203389831,0.2372881356,0.2372881356,0.2372881356
1p46G-gemma-commoncrawl-sw-29BT,5,13500,28.311552,0.2203389831,0.2288135593,0.2203389831,0.2542372881
1p46G-gemma-commoncrawl-sw-29BT,5,14000,29.360128,0.2033898305,0.2288135593,0.2288135593,0.2796610169
1p46G-gemma-commoncrawl-sw-29BT,5,1500,3.145728,0.1949152542,0.1694915254,0.1610169492,0.2203389831
1p46G-gemma-commoncrawl-sw-29BT,5,2000,4.194304,0.186440678,0.186440678,0.17796610170000002,0.2288135593
1p46G-gemma-commoncrawl-sw-29BT,5,2500,5.24288,0.186440678,0.2033898305,0.2203389831,0.2457627119
1p46G-gemma-commoncrawl-sw-29BT,5,3000,6.291456,0.21186440680000002,0.2288135593,0.186440678,0.2203389831
1p46G-gemma-commoncrawl-sw-29BT,5,3500,7.340032,0.2033898305,0.2033898305,0.1949152542,0.27118644070000003
1p46G-gemma-commoncrawl-sw-29BT,5,4000,8.388608,0.1949152542,0.2288135593,0.21186440680000002,0.2372881356
1p46G-gemma-commoncrawl-sw-29BT,5,4500,9.437184,0.2033898305,0.2033898305,0.1949152542,0.2542372881
1p46G-gemma-commoncrawl-sw-29BT,5,500,1.048576,0.2372881356,0.2457627119,0.2542372881,0.17796610170000002
1p46G-gemma-commoncrawl-sw-29BT,5,5000,10.48576,0.1949152542,0.17796610170000002,0.186440678,0.2542372881
1p46G-gemma-commoncrawl-sw-29BT,5,5500,11.534336,0.2033898305,0.1949152542,0.2203389831,0.2881355932
1p46G-gemma-commoncrawl-sw-29BT,5,6000,12.582912,0.1949152542,0.21186440680000002,0.21186440680000002,0.2457627119
1p46G-gemma-commoncrawl-sw-29BT,5,6500,13.631488,0.21186440680000002,0.2203389831,0.21186440680000002,0.2288135593
1p46G-gemma-commoncrawl-sw-29BT,5,7000,14.680064,0.21186440680000002,0.2203389831,0.2203389831,0.2627118644
1p46G-gemma-commoncrawl-sw-29BT,5,7500,15.72864,0.1949152542,0.2288135593,0.2372881356,0.2627118644
1p46G-gemma-commoncrawl-sw-29BT,5,8000,16.777216,0.21186440680000002,0.2203389831,0.2203389831,0.27118644070000003
1p46G-gemma-commoncrawl-sw-29BT,5,8500,17.825792,0.2033898305,0.2457627119,0.2372881356,0.2288135593
1p46G-gemma-commoncrawl-sw-29BT,5,9000,18.874368,0.2203389831,0.2203389831,0.2203389831,0.2542372881
1p46G-gemma-commoncrawl-sw-29BT,5,9500,19.922944,0.2203389831,0.2457627119,0.2288135593,0.2881355932
1p46G-gemma-commoncrawl-sw-29BT,6,0,0.0,0.2457627119,0.186440678,0.2542372881,0.3050847458
1p46G-gemma-commoncrawl-sw-29BT,6,1000,2.097152,0.1949152542,0.17796610170000002,0.186440678,0.1949152542
1p46G-gemma-commoncrawl-sw-29BT,6,10000,20.97152,0.21186440680000002,0.2033898305,0.21186440680000002,0.2372881356
1p46G-gemma-commoncrawl-sw-29BT,6,10500,22.020096,0.2203389831,0.2033898305,0.1949152542,0.27118644070000003
1p46G-gemma-commoncrawl-sw-29BT,6,11000,23.068672,0.1949152542,0.17796610170000002,0.21186440680000002,0.2457627119
1p46G-gemma-commoncrawl-sw-29BT,6,11500,24.117248,0.21186440680000002,0.17796610170000002,0.21186440680000002,0.2627118644
1p46G-gemma-commoncrawl-sw-29BT,6,12000,25.165824,0.21186440680000002,0.2033898305,0.2203389831,0.2542372881
1p46G-gemma-commoncrawl-sw-29BT,6,12500,26.2144,0.2033898305,0.17796610170000002,0.1694915254,0.2627118644
1p46G-gemma-commoncrawl-sw-29BT,6,13000,27.262976,0.1949152542,0.1949152542,0.2033898305,0.2203389831
1p46G-gemma-commoncrawl-sw-29BT,6,13500,28.311552,0.1949152542,0.21186440680000002,0.2033898305,0.27118644070000003
1p46G-gemma-commoncrawl-sw-29BT,6,14000,29.360128,0.2033898305,0.21186440680000002,0.21186440680000002,0.2796610169
1p46G-gemma-commoncrawl-sw-29BT,6,1500,3.145728,0.2033898305,0.2372881356,0.2542372881,0.2542372881
1p46G-gemma-commoncrawl-sw-29BT,6,2000,4.194304,0.21186440680000002,0.186440678,0.2033898305,0.2457627119
1p46G-gemma-commoncrawl-sw-29BT,6,2500,5.24288,0.186440678,0.1949152542,0.21186440680000002,0.2203389831
1p46G-gemma-commoncrawl-sw-29BT,6,3000,6.291456,0.21186440680000002,0.1949152542,0.2203389831,0.2457627119
1p46G-gemma-commoncrawl-sw-29BT,6,3500,7.340032,0.2288135593,0.2372881356,0.27118644070000003,0.2966101695
1p46G-gemma-commoncrawl-sw-29BT,6,4000,8.388608,0.1949152542,0.21186440680000002,0.2372881356,0.2627118644
1p46G-gemma-commoncrawl-sw-29BT,6,4500,9.437184,0.2033898305,0.186440678,0.2033898305,0.2372881356
1p46G-gemma-commoncrawl-sw-29BT,6,500,1.048576,0.2203389831,0.2033898305,0.2372881356,0.2033898305
1p46G-gemma-commoncrawl-sw-29BT,6,5000,10.48576,0.1949152542,0.186440678,0.2033898305,0.2457627119
1p46G-gemma-commoncrawl-sw-29BT,6,5500,11.534336,0.1949152542,0.2288135593,0.2203389831,0.2881355932
1p46G-gemma-commoncrawl-sw-29BT,6,6000,12.582912,0.1949152542,0.1949152542,0.2033898305,0.2457627119
1p46G-gemma-commoncrawl-sw-29BT,6,6500,13.631488,0.2203389831,0.2203389831,0.2288135593,0.2966101695
1p46G-gemma-commoncrawl-sw-29BT,6,7000,14.680064,0.1949152542,0.2203389831,0.2203389831,0.2796610169
