runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-commoncrawl-sw-29BT,5,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-sw-29BT,5,1000,2.097152,0.0,0.0043647065
1p46G-gemma-commoncrawl-sw-29BT,5,10000,20.97152,0.0,0.042183217200000005
1p46G-gemma-commoncrawl-sw-29BT,5,10500,22.020096,0.0,0.0405228383
1p46G-gemma-commoncrawl-sw-29BT,5,11000,23.068672,0.0,0.0422376233
1p46G-gemma-commoncrawl-sw-29BT,5,11500,24.117248,0.0,0.042338623000000006
1p46G-gemma-commoncrawl-sw-29BT,5,12000,25.165824,0.0,0.041948157
1p46G-gemma-commoncrawl-sw-29BT,5,12500,26.2144,0.0,0.041254010800000004
1p46G-gemma-commoncrawl-sw-29BT,5,13000,27.262976,0.0,0.041041716400000004
1p46G-gemma-commoncrawl-sw-29BT,5,13500,28.311552,0.0,0.0440060423
1p46G-gemma-commoncrawl-sw-29BT,5,14000,29.360128,0.0,0.0415322338
1p46G-gemma-commoncrawl-sw-29BT,5,1500,3.145728,0.0,0.0221974971
1p46G-gemma-commoncrawl-sw-29BT,5,2000,4.194304,0.0,0.027801717
1p46G-gemma-commoncrawl-sw-29BT,5,2500,5.24288,0.0,0.033811807
1p46G-gemma-commoncrawl-sw-29BT,5,3000,6.291456,0.0,0.037005320200000004
1p46G-gemma-commoncrawl-sw-29BT,5,3500,7.340032,0.0,0.034253766500000005
1p46G-gemma-commoncrawl-sw-29BT,5,4000,8.388608,0.0,0.037361415200000005
1p46G-gemma-commoncrawl-sw-29BT,5,4500,9.437184,0.0,0.0399933076
1p46G-gemma-commoncrawl-sw-29BT,5,500,1.048576,0.0,0.0022325043000000003
1p46G-gemma-commoncrawl-sw-29BT,5,5000,10.48576,0.0,0.0394461849
1p46G-gemma-commoncrawl-sw-29BT,5,5500,11.534336,0.0,0.0412381787
1p46G-gemma-commoncrawl-sw-29BT,5,6000,12.582912,0.0,0.040035194600000004
1p46G-gemma-commoncrawl-sw-29BT,5,6500,13.631488,0.0,0.0414803532
1p46G-gemma-commoncrawl-sw-29BT,5,7000,14.680064,0.0,0.046433316
1p46G-gemma-commoncrawl-sw-29BT,5,7500,15.72864,0.0,0.0466012985
1p46G-gemma-commoncrawl-sw-29BT,5,8000,16.777216,0.0,0.0433033106
1p46G-gemma-commoncrawl-sw-29BT,5,8500,17.825792,0.0,0.0391757492
1p46G-gemma-commoncrawl-sw-29BT,5,9000,18.874368,0.0,0.0454117578
1p46G-gemma-commoncrawl-sw-29BT,5,9500,19.922944,0.0,0.0420672603
1p46G-gemma-commoncrawl-sw-29BT,6,0,0.0,0.0,5.8823500000000004e-05
1p46G-gemma-commoncrawl-sw-29BT,6,1000,2.097152,0.0,0.0089208241
1p46G-gemma-commoncrawl-sw-29BT,6,10000,20.97152,0.0,0.0398498095
1p46G-gemma-commoncrawl-sw-29BT,6,10500,22.020096,0.0,0.0348345241
1p46G-gemma-commoncrawl-sw-29BT,6,11000,23.068672,0.0,0.0369301376
1p46G-gemma-commoncrawl-sw-29BT,6,11500,24.117248,0.0,0.0352053479
1p46G-gemma-commoncrawl-sw-29BT,6,12000,25.165824,0.0,0.0353860944
1p46G-gemma-commoncrawl-sw-29BT,6,12500,26.2144,0.0,0.034529007
1p46G-gemma-commoncrawl-sw-29BT,6,13000,27.262976,0.0,0.0362365248
1p46G-gemma-commoncrawl-sw-29BT,6,13500,28.311552,0.0,0.034575339600000005
1p46G-gemma-commoncrawl-sw-29BT,6,14000,29.360128,0.0,0.038468447100000004
1p46G-gemma-commoncrawl-sw-29BT,6,1500,3.145728,0.0,0.0288923178
1p46G-gemma-commoncrawl-sw-29BT,6,2000,4.194304,0.0,0.023972786700000002
1p46G-gemma-commoncrawl-sw-29BT,6,2500,5.24288,0.0,0.0339425978
1p46G-gemma-commoncrawl-sw-29BT,6,3000,6.291456,0.0,0.0311493447
1p46G-gemma-commoncrawl-sw-29BT,6,3500,7.340032,0.0,0.0306523284
1p46G-gemma-commoncrawl-sw-29BT,6,4000,8.388608,0.0,0.028593264900000002
1p46G-gemma-commoncrawl-sw-29BT,6,4500,9.437184,0.0,0.0361142749
1p46G-gemma-commoncrawl-sw-29BT,6,500,1.048576,0.0,0.0135655445
1p46G-gemma-commoncrawl-sw-29BT,6,5000,10.48576,0.0,0.031682282900000004
1p46G-gemma-commoncrawl-sw-29BT,6,5500,11.534336,0.0,0.0348065742
1p46G-gemma-commoncrawl-sw-29BT,6,6000,12.582912,0.0,0.0371098352
1p46G-gemma-commoncrawl-sw-29BT,6,6500,13.631488,0.0,0.0357648569
1p46G-gemma-commoncrawl-sw-29BT,6,7000,14.680064,0.0,0.0346840127
1p46G-gemma-commoncrawl-sw-29BT,6,7500,15.72864,0.0,0.0334040888
1p46G-gemma-commoncrawl-sw-29BT,6,8000,16.777216,0.0,0.031877457500000005
1p46G-gemma-commoncrawl-sw-29BT,6,8500,17.825792,0.0,0.0301998386
1p46G-gemma-commoncrawl-sw-29BT,6,9000,18.874368,0.0,0.0286748551
1p46G-gemma-commoncrawl-sw-29BT,6,9500,19.922944,0.0,0.0370649238
1p46G-gemma-commoncrawl-sw-29BT,8,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-sw-29BT,8,1000,2.097152,0.0,0.020461911200000002
1p46G-gemma-commoncrawl-sw-29BT,8,10000,20.97152,0.0,0.0335228223
1p46G-gemma-commoncrawl-sw-29BT,8,10500,22.020096,0.0,0.037877137000000005
1p46G-gemma-commoncrawl-sw-29BT,8,11000,23.068672,0.0,0.0402029265
1p46G-gemma-commoncrawl-sw-29BT,8,11500,24.117248,0.0,0.0393700067
1p46G-gemma-commoncrawl-sw-29BT,8,12000,25.165824,0.0,0.0408566581
1p46G-gemma-commoncrawl-sw-29BT,8,12500,26.2144,0.0,0.0385386608
1p46G-gemma-commoncrawl-sw-29BT,8,13000,27.262976,0.0,0.0397619967
1p46G-gemma-commoncrawl-sw-29BT,8,13500,28.311552,0.0,0.0400434477
1p46G-gemma-commoncrawl-sw-29BT,8,14000,29.360128,0.0,0.0372992402
