runname,seed,steps,tokens,acc_norm,acc,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-sw-29BT,5,0,0.0,0.2576112412,0.2669789227,0.2669789227,0.25526932080000003
1p46G-gemma-commoncrawl-sw-29BT,5,1000,2.097152,0.2786885246,0.2950819672,0.2927400468,0.26463700230000003
1p46G-gemma-commoncrawl-sw-29BT,5,10000,20.97152,0.318501171,0.3138173302,0.2857142857,0.2599531616
1p46G-gemma-commoncrawl-sw-29BT,5,10500,22.020096,0.3231850117,0.318501171,0.299765808,0.2716627635
1p46G-gemma-commoncrawl-sw-29BT,5,11000,23.068672,0.32786885250000003,0.3231850117,0.3021077283,0.2693208431
1p46G-gemma-commoncrawl-sw-29BT,5,11500,24.117248,0.3138173302,0.3138173302,0.2903981265,0.262295082
1p46G-gemma-commoncrawl-sw-29BT,5,12000,25.165824,0.33723653400000003,0.299765808,0.2974238876,0.2786885246
1p46G-gemma-commoncrawl-sw-29BT,5,12500,26.2144,0.318501171,0.3021077283,0.2880562061,0.2857142857
1p46G-gemma-commoncrawl-sw-29BT,5,13000,27.262976,0.3325526932,0.3114754098,0.2927400468,0.2786885246
1p46G-gemma-commoncrawl-sw-29BT,5,13500,28.311552,0.3255269321,0.299765808,0.299765808,0.26463700230000003
1p46G-gemma-commoncrawl-sw-29BT,5,14000,29.360128,0.32786885250000003,0.299765808,0.2903981265,0.25526932080000003
1p46G-gemma-commoncrawl-sw-29BT,5,1500,3.145728,0.2903981265,0.3021077283,0.2693208431,0.2786885246
1p46G-gemma-commoncrawl-sw-29BT,5,2000,4.194304,0.2927400468,0.299765808,0.2716627635,0.2669789227
1p46G-gemma-commoncrawl-sw-29BT,5,2500,5.24288,0.281030445,0.299765808,0.2857142857,0.25526932080000003
1p46G-gemma-commoncrawl-sw-29BT,5,3000,6.291456,0.3161592506,0.2950819672,0.2857142857,0.27400468380000004
1p46G-gemma-commoncrawl-sw-29BT,5,3500,7.340032,0.3348946136,0.2950819672,0.3044496487,0.2599531616
1p46G-gemma-commoncrawl-sw-29BT,5,4000,8.388608,0.2950819672,0.3114754098,0.2857142857,0.2459016393
1p46G-gemma-commoncrawl-sw-29BT,5,4500,9.437184,0.2974238876,0.3091334895,0.27400468380000004,0.2341920375
1p46G-gemma-commoncrawl-sw-29BT,5,500,1.048576,0.2693208431,0.26463700230000003,0.27400468380000004,0.299765808
1p46G-gemma-commoncrawl-sw-29BT,5,5000,10.48576,0.2927400468,0.3114754098,0.2833723653,0.26463700230000003
1p46G-gemma-commoncrawl-sw-29BT,5,5500,11.534336,0.299765808,0.3091334895,0.2763466042,0.262295082
1p46G-gemma-commoncrawl-sw-29BT,5,6000,12.582912,0.299765808,0.3302107728,0.299765808,0.25058548010000004
1p46G-gemma-commoncrawl-sw-29BT,5,6500,13.631488,0.3348946136,0.32786885250000003,0.2763466042,0.2529274005
1p46G-gemma-commoncrawl-sw-29BT,5,7000,14.680064,0.32786885250000003,0.299765808,0.2857142857,0.25058548010000004
1p46G-gemma-commoncrawl-sw-29BT,5,7500,15.72864,0.3231850117,0.3231850117,0.2927400468,0.2693208431
1p46G-gemma-commoncrawl-sw-29BT,5,8000,16.777216,0.3302107728,0.3208430913,0.2927400468,0.2576112412
1p46G-gemma-commoncrawl-sw-29BT,5,8500,17.825792,0.3161592506,0.2950819672,0.2669789227,0.2365339578
1p46G-gemma-commoncrawl-sw-29BT,5,9000,18.874368,0.3114754098,0.3138173302,0.2786885246,0.2576112412
1p46G-gemma-commoncrawl-sw-29BT,5,9500,19.922944,0.3255269321,0.2950819672,0.2763466042,0.2599531616
1p46G-gemma-commoncrawl-sw-29BT,6,0,0.0,0.299765808,0.2599531616,0.2365339578,0.2786885246
1p46G-gemma-commoncrawl-sw-29BT,6,1000,2.097152,0.2880562061,0.2857142857,0.2903981265,0.2857142857
1p46G-gemma-commoncrawl-sw-29BT,6,10000,20.97152,0.3044496487,0.3091334895,0.2786885246,0.2576112412
1p46G-gemma-commoncrawl-sw-29BT,6,10500,22.020096,0.3161592506,0.3231850117,0.2950819672,0.2857142857
1p46G-gemma-commoncrawl-sw-29BT,6,11000,23.068672,0.318501171,0.3395784543,0.3044496487,0.2786885246
1p46G-gemma-commoncrawl-sw-29BT,6,11500,24.117248,0.299765808,0.3161592506,0.2857142857,0.2786885246
1p46G-gemma-commoncrawl-sw-29BT,6,12000,25.165824,0.3114754098,0.3067915691,0.2974238876,0.2786885246
1p46G-gemma-commoncrawl-sw-29BT,6,12500,26.2144,0.2950819672,0.3138173302,0.2880562061,0.27400468380000004
1p46G-gemma-commoncrawl-sw-29BT,6,13000,27.262976,0.3044496487,0.3114754098,0.3044496487,0.2763466042
1p46G-gemma-commoncrawl-sw-29BT,6,13500,28.311552,0.3021077283,0.318501171,0.299765808,0.2833723653
1p46G-gemma-commoncrawl-sw-29BT,6,14000,29.360128,0.2974238876,0.3021077283,0.281030445,0.299765808
1p46G-gemma-commoncrawl-sw-29BT,6,1500,3.145728,0.2903981265,0.2786885246,0.2786885246,0.2786885246
1p46G-gemma-commoncrawl-sw-29BT,6,2000,4.194304,0.2974238876,0.3021077283,0.2880562061,0.2716627635
1p46G-gemma-commoncrawl-sw-29BT,6,2500,5.24288,0.3091334895,0.3114754098,0.2927400468,0.3091334895
1p46G-gemma-commoncrawl-sw-29BT,6,3000,6.291456,0.3091334895,0.3114754098,0.2927400468,0.2857142857
1p46G-gemma-commoncrawl-sw-29BT,6,3500,7.340032,0.281030445,0.2903981265,0.281030445,0.3091334895
1p46G-gemma-commoncrawl-sw-29BT,6,4000,8.388608,0.2974238876,0.3067915691,0.2763466042,0.2763466042
