runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-sw-29BT,5,0,0.0,0.2210502714,0.2462659354,0.2472623043,0.2524227945
1p46G-gemma-commoncrawl-sw-29BT,5,1000,2.097152,0.2269165309,0.2485601647,0.2542239485,0.2551325056
1p46G-gemma-commoncrawl-sw-29BT,5,10000,20.97152,0.227192009,0.2488788007,0.2502920783,0.2531502744
1p46G-gemma-commoncrawl-sw-29BT,5,10500,22.020096,0.22973863830000002,0.2520186438,0.2541913869,0.257720583
1p46G-gemma-commoncrawl-sw-29BT,5,11000,23.068672,0.2274147864,0.24906919700000002,0.2503272677,0.2601393601
1p46G-gemma-commoncrawl-sw-29BT,5,11500,24.117248,0.2275298868,0.2528788815,0.2517483152,0.25363904800000003
1p46G-gemma-commoncrawl-sw-29BT,5,12000,25.165824,0.2275514952,0.2530140718,0.2531028118,0.2592078591
1p46G-gemma-commoncrawl-sw-29BT,5,12500,26.2144,0.2295355472,0.2521838969,0.2565761823,0.2562047319
1p46G-gemma-commoncrawl-sw-29BT,5,13000,27.262976,0.22812085780000002,0.2526700926,0.2528101815,0.253835224
1p46G-gemma-commoncrawl-sw-29BT,5,13500,28.311552,0.2307287374,0.255125682,0.2554950858,0.2591665072
1p46G-gemma-commoncrawl-sw-29BT,5,14000,29.360128,0.22861283000000002,0.2523391296,0.2564877014,0.2588616427
1p46G-gemma-commoncrawl-sw-29BT,5,1500,3.145728,0.23215315520000002,0.2509229452,0.2574987501,0.26138972120000004
1p46G-gemma-commoncrawl-sw-29BT,5,2000,4.194304,0.2309057539,0.2528208877,0.2558716952,0.2515138406
1p46G-gemma-commoncrawl-sw-29BT,5,2500,5.24288,0.2252994567,0.252915699,0.249771601,0.2527597964
1p46G-gemma-commoncrawl-sw-29BT,5,3000,6.291456,0.22645677390000002,0.2523158743,0.2530729791,0.2632858833
1p46G-gemma-commoncrawl-sw-29BT,5,3500,7.340032,0.2295342404,0.25099836070000003,0.25362419610000003,0.2535891737
