runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-commoncrawl-sw-29BT,5,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-sw-29BT,5,1000,2.097152,0.0140280561,0.0189191644
1p46G-gemma-commoncrawl-sw-29BT,5,10000,20.97152,0.0621242485,0.09592670860000001
1p46G-gemma-commoncrawl-sw-29BT,5,10500,22.020096,0.0541082164,0.0837872332
1p46G-gemma-commoncrawl-sw-29BT,5,11000,23.068672,0.0661322645,0.09912234360000001
1p46G-gemma-commoncrawl-sw-29BT,5,11500,24.117248,0.0440881764,0.0864090931
1p46G-gemma-commoncrawl-sw-29BT,5,12000,25.165824,0.0541082164,0.08681151250000001
1p46G-gemma-commoncrawl-sw-29BT,5,12500,26.2144,0.0761523046,0.0876863959
1p46G-gemma-commoncrawl-sw-29BT,5,13000,27.262976,0.0501002004,0.084173367
1p46G-gemma-commoncrawl-sw-29BT,5,13500,28.311552,0.0681362725,0.0868498386
1p46G-gemma-commoncrawl-sw-29BT,5,14000,29.360128,0.07214428860000001,0.0912051089
1p46G-gemma-commoncrawl-sw-29BT,5,1500,3.145728,0.0320641283,0.0450436355
1p46G-gemma-commoncrawl-sw-29BT,5,2000,4.194304,0.0280561122,0.0575610056
1p46G-gemma-commoncrawl-sw-29BT,5,2500,5.24288,0.0140280561,0.0755341659
1p46G-gemma-commoncrawl-sw-29BT,5,3000,6.291456,0.0200400802,0.0831715118
1p46G-gemma-commoncrawl-sw-29BT,5,3500,7.340032,0.030060120200000002,0.1010990789
1p46G-gemma-commoncrawl-sw-29BT,5,4000,8.388608,0.0200400802,0.09357987820000001
1p46G-gemma-commoncrawl-sw-29BT,5,4500,9.437184,0.0541082164,0.0901496678
1p46G-gemma-commoncrawl-sw-29BT,5,500,1.048576,0.0340681363,0.0453274106
1p46G-gemma-commoncrawl-sw-29BT,5,5000,10.48576,0.0140280561,0.082690417
1p46G-gemma-commoncrawl-sw-29BT,5,5500,11.534336,0.026052104200000002,0.074294049
1p46G-gemma-commoncrawl-sw-29BT,5,6000,12.582912,0.0140280561,0.0844979299
1p46G-gemma-commoncrawl-sw-29BT,5,6500,13.631488,0.0220440882,0.0767039519
1p46G-gemma-commoncrawl-sw-29BT,5,7000,14.680064,0.0240480962,0.0746133262
1p46G-gemma-commoncrawl-sw-29BT,5,7500,15.72864,0.0140280561,0.0657817035
1p46G-gemma-commoncrawl-sw-29BT,5,8000,16.777216,0.06412825650000001,0.0919327999
1p46G-gemma-commoncrawl-sw-29BT,5,8500,17.825792,0.0320641283,0.0723588263
1p46G-gemma-commoncrawl-sw-29BT,5,9000,18.874368,0.036072144300000004,0.0746200665
1p46G-gemma-commoncrawl-sw-29BT,5,9500,19.922944,0.0621242485,0.0733049236
1p46G-gemma-commoncrawl-sw-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-sw-29BT,6,1000,2.097152,0.0100200401,0.0253130049
1p46G-gemma-commoncrawl-sw-29BT,6,10000,20.97152,0.0561122244,0.0819367841
1p46G-gemma-commoncrawl-sw-29BT,6,10500,22.020096,0.052104208400000004,0.0865123955
1p46G-gemma-commoncrawl-sw-29BT,6,11000,23.068672,0.0501002004,0.0872234149
1p46G-gemma-commoncrawl-sw-29BT,6,11500,24.117248,0.0661322645,0.0773218719
1p46G-gemma-commoncrawl-sw-29BT,6,12000,25.165824,0.060120240500000005,0.0753977091
1p46G-gemma-commoncrawl-sw-29BT,6,12500,26.2144,0.0440881764,0.07932042360000001
