runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-sw-29BT,5,0,0.0,0.2833333333,0.2466666667,0.2833333333,0.2466666667
1p46G-gemma-commoncrawl-sw-29BT,5,1000,2.097152,0.3133333333,0.27,0.30000000000000004,0.2633333333
1p46G-gemma-commoncrawl-sw-29BT,5,10000,20.97152,0.30666666670000003,0.2833333333,0.3133333333,0.2966666667
1p46G-gemma-commoncrawl-sw-29BT,5,10500,22.020096,0.30000000000000004,0.2933333333,0.32,0.3033333333
1p46G-gemma-commoncrawl-sw-29BT,5,11000,23.068672,0.3033333333,0.3033333333,0.3166666667,0.2866666667
1p46G-gemma-commoncrawl-sw-29BT,5,11500,24.117248,0.3033333333,0.2933333333,0.3133333333,0.30000000000000004
1p46G-gemma-commoncrawl-sw-29BT,5,12000,25.165824,0.30666666670000003,0.30666666670000003,0.2966666667,0.2966666667
1p46G-gemma-commoncrawl-sw-29BT,5,12500,26.2144,0.30666666670000003,0.30000000000000004,0.32,0.2933333333
1p46G-gemma-commoncrawl-sw-29BT,5,13000,27.262976,0.2966666667,0.3033333333,0.3266666667,0.31
1p46G-gemma-commoncrawl-sw-29BT,5,13500,28.311552,0.3133333333,0.30666666670000003,0.3166666667,0.30666666670000003
1p46G-gemma-commoncrawl-sw-29BT,5,14000,29.360128,0.30666666670000003,0.3133333333,0.30000000000000004,0.2833333333
1p46G-gemma-commoncrawl-sw-29BT,5,1500,3.145728,0.2933333333,0.27,0.32,0.2433333333
1p46G-gemma-commoncrawl-sw-29BT,5,2000,4.194304,0.29,0.2633333333,0.2633333333,0.2433333333
1p46G-gemma-commoncrawl-sw-29BT,5,2500,5.24288,0.2766666667,0.2566666667,0.2933333333,0.19666666670000002
1p46G-gemma-commoncrawl-sw-29BT,5,3000,6.291456,0.2833333333,0.2533333333,0.28,0.24
1p46G-gemma-commoncrawl-sw-29BT,5,3500,7.340032,0.28,0.2933333333,0.3233333333,0.29
1p46G-gemma-commoncrawl-sw-29BT,5,4000,8.388608,0.2966666667,0.29,0.3133333333,0.2533333333
1p46G-gemma-commoncrawl-sw-29BT,5,4500,9.437184,0.2933333333,0.27333333330000004,0.32,0.3033333333
