runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-sw-29BT,5,0,0.0,0.542,0.524,0.528,0.51
1p46G-gemma-commoncrawl-sw-29BT,5,1000,2.097152,0.54,0.534,0.51,0.48
1p46G-gemma-commoncrawl-sw-29BT,5,10000,20.97152,0.5680000000000001,0.558,0.562,0.5700000000000001
1p46G-gemma-commoncrawl-sw-29BT,5,10500,22.020096,0.552,0.558,0.554,0.548
1p46G-gemma-commoncrawl-sw-29BT,5,11000,23.068672,0.558,0.548,0.538,0.55
1p46G-gemma-commoncrawl-sw-29BT,5,11500,24.117248,0.55,0.55,0.552,0.532
1p46G-gemma-commoncrawl-sw-29BT,5,12000,25.165824,0.558,0.55,0.552,0.552
1p46G-gemma-commoncrawl-sw-29BT,5,12500,26.2144,0.5700000000000001,0.558,0.55,0.5640000000000001
1p46G-gemma-commoncrawl-sw-29BT,5,13000,27.262976,0.56,0.5680000000000001,0.544,0.54
1p46G-gemma-commoncrawl-sw-29BT,5,13500,28.311552,0.554,0.552,0.542,0.542
1p46G-gemma-commoncrawl-sw-29BT,5,14000,29.360128,0.558,0.56,0.554,0.536
1p46G-gemma-commoncrawl-sw-29BT,5,1500,3.145728,0.504,0.526,0.512,0.47200000000000003
1p46G-gemma-commoncrawl-sw-29BT,5,2000,4.194304,0.562,0.528,0.52,0.482
1p46G-gemma-commoncrawl-sw-29BT,5,2500,5.24288,0.552,0.538,0.51,0.522
1p46G-gemma-commoncrawl-sw-29BT,5,3000,6.291456,0.554,0.546,0.518,0.538
1p46G-gemma-commoncrawl-sw-29BT,5,3500,7.340032,0.54,0.53,0.52,0.514
1p46G-gemma-commoncrawl-sw-29BT,5,4000,8.388608,0.56,0.528,0.518,0.518
1p46G-gemma-commoncrawl-sw-29BT,5,4500,9.437184,0.548,0.558,0.524,0.512
1p46G-gemma-commoncrawl-sw-29BT,5,500,1.048576,0.5660000000000001,0.542,0.54,0.518
1p46G-gemma-commoncrawl-sw-29BT,5,5000,10.48576,0.556,0.562,0.56,0.526
1p46G-gemma-commoncrawl-sw-29BT,5,5500,11.534336,0.5680000000000001,0.556,0.538,0.546
1p46G-gemma-commoncrawl-sw-29BT,5,6000,12.582912,0.552,0.54,0.542,0.528
1p46G-gemma-commoncrawl-sw-29BT,5,6500,13.631488,0.5640000000000001,0.54,0.552,0.52
1p46G-gemma-commoncrawl-sw-29BT,5,7000,14.680064,0.552,0.536,0.554,0.552
1p46G-gemma-commoncrawl-sw-29BT,5,7500,15.72864,0.55,0.548,0.544,0.528
1p46G-gemma-commoncrawl-sw-29BT,5,8000,16.777216,0.56,0.562,0.548,0.536
1p46G-gemma-commoncrawl-sw-29BT,5,8500,17.825792,0.546,0.56,0.554,0.52
1p46G-gemma-commoncrawl-sw-29BT,5,9000,18.874368,0.558,0.562,0.552,0.518
1p46G-gemma-commoncrawl-sw-29BT,5,9500,19.922944,0.558,0.5660000000000001,0.55,0.534
1p46G-gemma-commoncrawl-sw-29BT,6,0,0.0,0.528,0.51,0.518,0.516
1p46G-gemma-commoncrawl-sw-29BT,6,1000,2.097152,0.542,0.53,0.526,0.494
1p46G-gemma-commoncrawl-sw-29BT,6,10000,20.97152,0.554,0.55,0.532,0.528
1p46G-gemma-commoncrawl-sw-29BT,6,10500,22.020096,0.5700000000000001,0.55,0.53,0.524
1p46G-gemma-commoncrawl-sw-29BT,6,11000,23.068672,0.5660000000000001,0.538,0.526,0.526
1p46G-gemma-commoncrawl-sw-29BT,6,11500,24.117248,0.5740000000000001,0.544,0.514,0.536
1p46G-gemma-commoncrawl-sw-29BT,6,12000,25.165824,0.5720000000000001,0.562,0.524,0.528
1p46G-gemma-commoncrawl-sw-29BT,6,12500,26.2144,0.578,0.55,0.532,0.542
1p46G-gemma-commoncrawl-sw-29BT,6,13000,27.262976,0.5700000000000001,0.54,0.526,0.538
1p46G-gemma-commoncrawl-sw-29BT,6,13500,28.311552,0.5740000000000001,0.548,0.532,0.536
1p46G-gemma-commoncrawl-sw-29BT,6,14000,29.360128,0.58,0.544,0.534,0.53
1p46G-gemma-commoncrawl-sw-29BT,6,1500,3.145728,0.518,0.524,0.512,0.442
1p46G-gemma-commoncrawl-sw-29BT,6,2000,4.194304,0.528,0.518,0.508,0.47400000000000003
1p46G-gemma-commoncrawl-sw-29BT,6,2500,5.24288,0.55,0.53,0.526,0.47400000000000003
1p46G-gemma-commoncrawl-sw-29BT,6,3000,6.291456,0.554,0.532,0.518,0.47000000000000003
1p46G-gemma-commoncrawl-sw-29BT,6,3500,7.340032,0.546,0.53,0.524,0.488
1p46G-gemma-commoncrawl-sw-29BT,6,4000,8.388608,0.5640000000000001,0.546,0.52,0.504
1p46G-gemma-commoncrawl-sw-29BT,6,4500,9.437184,0.556,0.522,0.534,0.528
1p46G-gemma-commoncrawl-sw-29BT,6,500,1.048576,0.552,0.53,0.526,0.496
1p46G-gemma-commoncrawl-sw-29BT,6,5000,10.48576,0.562,0.546,0.548,0.544
1p46G-gemma-commoncrawl-sw-29BT,6,5500,11.534336,0.548,0.52,0.534,0.526
1p46G-gemma-commoncrawl-sw-29BT,6,6000,12.582912,0.56,0.546,0.534,0.552
1p46G-gemma-commoncrawl-sw-29BT,6,6500,13.631488,0.5740000000000001,0.548,0.538,0.538
1p46G-gemma-commoncrawl-sw-29BT,6,7000,14.680064,0.5660000000000001,0.542,0.542,0.5640000000000001
1p46G-gemma-commoncrawl-sw-29BT,6,7500,15.72864,0.56,0.546,0.53,0.554
1p46G-gemma-commoncrawl-sw-29BT,6,8000,16.777216,0.55,0.534,0.532,0.528
1p46G-gemma-commoncrawl-sw-29BT,6,8500,17.825792,0.578,0.548,0.544,0.522
1p46G-gemma-commoncrawl-sw-29BT,6,9000,18.874368,0.5740000000000001,0.548,0.54,0.538
1p46G-gemma-commoncrawl-sw-29BT,6,9500,19.922944,0.5740000000000001,0.552,0.542,0.506
1p46G-gemma-commoncrawl-sw-29BT,8,0,0.0,0.53,0.516,0.486,0.482
1p46G-gemma-commoncrawl-sw-29BT,8,1000,2.097152,0.558,0.538,0.544,0.548
1p46G-gemma-commoncrawl-sw-29BT,8,10000,20.97152,0.546,0.526,0.52,0.484
1p46G-gemma-commoncrawl-sw-29BT,8,10500,22.020096,0.552,0.534,0.544,0.508
1p46G-gemma-commoncrawl-sw-29BT,8,11000,23.068672,0.534,0.528,0.542,0.484
1p46G-gemma-commoncrawl-sw-29BT,8,11500,24.117248,0.546,0.54,0.54,0.47800000000000004
1p46G-gemma-commoncrawl-sw-29BT,8,12000,25.165824,0.554,0.548,0.542,0.498
1p46G-gemma-commoncrawl-sw-29BT,8,12500,26.2144,0.5680000000000001,0.544,0.554,0.498
1p46G-gemma-commoncrawl-sw-29BT,8,13000,27.262976,0.5640000000000001,0.55,0.534,0.51
1p46G-gemma-commoncrawl-sw-29BT,8,13500,28.311552,0.562,0.542,0.548,0.504
1p46G-gemma-commoncrawl-sw-29BT,8,14000,29.360128,0.5680000000000001,0.544,0.548,0.502
1p46G-gemma-commoncrawl-sw-29BT,8,1500,3.145728,0.544,0.544,0.53,0.512
1p46G-gemma-commoncrawl-sw-29BT,8,2000,4.194304,0.544,0.528,0.512,0.492
1p46G-gemma-commoncrawl-sw-29BT,8,2500,5.24288,0.556,0.534,0.524,0.506
1p46G-gemma-commoncrawl-sw-29BT,8,3000,6.291456,0.534,0.522,0.516,0.494
1p46G-gemma-commoncrawl-sw-29BT,8,3500,7.340032,0.534,0.536,0.528,0.504
1p46G-gemma-commoncrawl-sw-29BT,8,4000,8.388608,0.542,0.522,0.53,0.49
1p46G-gemma-commoncrawl-sw-29BT,8,4500,9.437184,0.532,0.546,0.536,0.508
1p46G-gemma-commoncrawl-sw-29BT,8,500,1.048576,0.548,0.53,0.508,0.518
1p46G-gemma-commoncrawl-sw-29BT,8,5000,10.48576,0.528,0.542,0.522,0.486
1p46G-gemma-commoncrawl-sw-29BT,8,5500,11.534336,0.532,0.532,0.532,0.5
