runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-sw-29BT,5,0,0.0,0.213,0.209,0.189,0.192
1p46G-gemma-commoncrawl-sw-29BT,5,1000,2.097152,0.169,0.219,0.203,0.219
1p46G-gemma-commoncrawl-sw-29BT,5,10000,20.97152,0.219,0.244,0.23900000000000002,0.259
1p46G-gemma-commoncrawl-sw-29BT,5,10500,22.020096,0.219,0.24,0.247,0.259
1p46G-gemma-commoncrawl-sw-29BT,5,11000,23.068672,0.227,0.232,0.254,0.26
1p46G-gemma-commoncrawl-sw-29BT,5,11500,24.117248,0.218,0.232,0.245,0.256
1p46G-gemma-commoncrawl-sw-29BT,5,12000,25.165824,0.218,0.233,0.246,0.257
1p46G-gemma-commoncrawl-sw-29BT,5,12500,26.2144,0.224,0.225,0.249,0.25
1p46G-gemma-commoncrawl-sw-29BT,5,13000,27.262976,0.216,0.232,0.244,0.241
1p46G-gemma-commoncrawl-sw-29BT,5,13500,28.311552,0.216,0.233,0.25,0.258
1p46G-gemma-commoncrawl-sw-29BT,5,14000,29.360128,0.224,0.23,0.23600000000000002,0.247
1p46G-gemma-commoncrawl-sw-29BT,5,1500,3.145728,0.189,0.224,0.218,0.218
1p46G-gemma-commoncrawl-sw-29BT,5,2000,4.194304,0.198,0.216,0.212,0.222
1p46G-gemma-commoncrawl-sw-29BT,5,2500,5.24288,0.198,0.224,0.23500000000000001,0.234
1p46G-gemma-commoncrawl-sw-29BT,5,3000,6.291456,0.218,0.225,0.23700000000000002,0.242
1p46G-gemma-commoncrawl-sw-29BT,5,3500,7.340032,0.212,0.248,0.25,0.221
1p46G-gemma-commoncrawl-sw-29BT,5,4000,8.388608,0.214,0.228,0.24,0.23600000000000002
1p46G-gemma-commoncrawl-sw-29BT,5,4500,9.437184,0.213,0.243,0.23900000000000002,0.23900000000000002
1p46G-gemma-commoncrawl-sw-29BT,5,500,1.048576,0.185,0.20600000000000002,0.197,0.217
1p46G-gemma-commoncrawl-sw-29BT,5,5000,10.48576,0.199,0.23600000000000002,0.23600000000000002,0.232
1p46G-gemma-commoncrawl-sw-29BT,5,5500,11.534336,0.20400000000000001,0.23500000000000001,0.241,0.23600000000000002
1p46G-gemma-commoncrawl-sw-29BT,5,6000,12.582912,0.213,0.23900000000000002,0.248,0.233
1p46G-gemma-commoncrawl-sw-29BT,5,6500,13.631488,0.215,0.228,0.252,0.246
1p46G-gemma-commoncrawl-sw-29BT,5,7000,14.680064,0.215,0.23800000000000002,0.254,0.23700000000000002
1p46G-gemma-commoncrawl-sw-29BT,5,7500,15.72864,0.20700000000000002,0.23700000000000002,0.252,0.257
1p46G-gemma-commoncrawl-sw-29BT,5,8000,16.777216,0.211,0.23700000000000002,0.253,0.241
1p46G-gemma-commoncrawl-sw-29BT,5,8500,17.825792,0.218,0.23800000000000002,0.242,0.256
1p46G-gemma-commoncrawl-sw-29BT,5,9000,18.874368,0.20400000000000001,0.24,0.23900000000000002,0.267
1p46G-gemma-commoncrawl-sw-29BT,5,9500,19.922944,0.20500000000000002,0.228,0.234,0.246
1p46G-gemma-commoncrawl-sw-29BT,6,0,0.0,0.202,0.215,0.20800000000000002,0.184
1p46G-gemma-commoncrawl-sw-29BT,6,1000,2.097152,0.178,0.226,0.214,0.20500000000000002
1p46G-gemma-commoncrawl-sw-29BT,6,10000,20.97152,0.189,0.234,0.23500000000000001,0.209
1p46G-gemma-commoncrawl-sw-29BT,6,10500,22.020096,0.197,0.245,0.246,0.224
1p46G-gemma-commoncrawl-sw-29BT,6,11000,23.068672,0.201,0.243,0.243,0.20500000000000002
1p46G-gemma-commoncrawl-sw-29BT,6,11500,24.117248,0.20400000000000001,0.244,0.241,0.213
1p46G-gemma-commoncrawl-sw-29BT,6,12000,25.165824,0.20400000000000001,0.252,0.23900000000000002,0.219
