runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-sw-29BT,5,0,0.0,0.498,0.497,0.498,0.526
1p46G-gemma-commoncrawl-sw-29BT,5,1000,2.097152,0.521,0.531,0.521,0.5
1p46G-gemma-commoncrawl-sw-29BT,5,10000,20.97152,0.54,0.524,0.54,0.512
1p46G-gemma-commoncrawl-sw-29BT,5,10500,22.020096,0.553,0.542,0.553,0.516
1p46G-gemma-commoncrawl-sw-29BT,5,11000,23.068672,0.541,0.53,0.541,0.511
1p46G-gemma-commoncrawl-sw-29BT,5,11500,24.117248,0.581,0.542,0.581,0.496
1p46G-gemma-commoncrawl-sw-29BT,5,12000,25.165824,0.536,0.527,0.536,0.508
1p46G-gemma-commoncrawl-sw-29BT,5,12500,26.2144,0.532,0.518,0.532,0.513
1p46G-gemma-commoncrawl-sw-29BT,5,13000,27.262976,0.542,0.52,0.542,0.5
1p46G-gemma-commoncrawl-sw-29BT,5,13500,28.311552,0.543,0.533,0.543,0.507
1p46G-gemma-commoncrawl-sw-29BT,5,14000,29.360128,0.545,0.535,0.545,0.52
1p46G-gemma-commoncrawl-sw-29BT,5,1500,3.145728,0.5630000000000001,0.524,0.5630000000000001,0.528
1p46G-gemma-commoncrawl-sw-29BT,5,2000,4.194304,0.51,0.506,0.51,0.496
1p46G-gemma-commoncrawl-sw-29BT,5,2500,5.24288,0.558,0.531,0.558,0.518
1p46G-gemma-commoncrawl-sw-29BT,5,3000,6.291456,0.546,0.532,0.546,0.513
1p46G-gemma-commoncrawl-sw-29BT,5,3500,7.340032,0.552,0.577,0.552,0.493
1p46G-gemma-commoncrawl-sw-29BT,5,4000,8.388608,0.5630000000000001,0.5700000000000001,0.5630000000000001,0.507
1p46G-gemma-commoncrawl-sw-29BT,5,4500,9.437184,0.5750000000000001,0.557,0.5750000000000001,0.532
1p46G-gemma-commoncrawl-sw-29BT,5,500,1.048576,0.491,0.488,0.491,0.501
1p46G-gemma-commoncrawl-sw-29BT,5,5000,10.48576,0.558,0.529,0.558,0.526
1p46G-gemma-commoncrawl-sw-29BT,5,5500,11.534336,0.558,0.548,0.558,0.52
1p46G-gemma-commoncrawl-sw-29BT,5,6000,12.582912,0.548,0.515,0.548,0.521
1p46G-gemma-commoncrawl-sw-29BT,5,6500,13.631488,0.525,0.518,0.525,0.51
1p46G-gemma-commoncrawl-sw-29BT,5,7000,14.680064,0.523,0.512,0.523,0.527
1p46G-gemma-commoncrawl-sw-29BT,5,7500,15.72864,0.562,0.534,0.562,0.517
1p46G-gemma-commoncrawl-sw-29BT,5,8000,16.777216,0.562,0.559,0.562,0.526
1p46G-gemma-commoncrawl-sw-29BT,5,8500,17.825792,0.549,0.542,0.549,0.515
1p46G-gemma-commoncrawl-sw-29BT,5,9000,18.874368,0.544,0.532,0.544,0.519
