runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-sw-29BT,5,0,0.0,0.5348837209,0.5145348837,0.5348837209,0.496,0.495,0.496,0.47400000000000003
1p46G-gemma-commoncrawl-sw-29BT,5,1000,2.097152,0.5145348837,0.523255814,0.5145348837,0.51,0.511,0.51,0.486
1p46G-gemma-commoncrawl-sw-29BT,5,10000,20.97152,0.5377906977,0.5058139535,0.5377906977,0.557,0.545,0.557,0.493
1p46G-gemma-commoncrawl-sw-29BT,5,10500,22.020096,0.5436046512,0.523255814,0.5436046512,0.557,0.549,0.557,0.498
1p46G-gemma-commoncrawl-sw-29BT,5,11000,23.068672,0.5203488372,0.5087209302,0.5203488372,0.545,0.54,0.545,0.506
1p46G-gemma-commoncrawl-sw-29BT,5,11500,24.117248,0.5290697674,0.5290697674,0.5290697674,0.562,0.56,0.562,0.494
1p46G-gemma-commoncrawl-sw-29BT,5,12000,25.165824,0.5319767442000001,0.5203488372,0.5319767442000001,0.541,0.542,0.541,0.501
1p46G-gemma-commoncrawl-sw-29BT,5,12500,26.2144,0.5087209302,0.5203488372,0.5087209302,0.553,0.539,0.553,0.488
1p46G-gemma-commoncrawl-sw-29BT,5,13000,27.262976,0.5087209302,0.511627907,0.5087209302,0.547,0.555,0.547,0.492
1p46G-gemma-commoncrawl-sw-29BT,5,13500,28.311552,0.5261627907,0.5,0.5261627907,0.557,0.552,0.557,0.502
1p46G-gemma-commoncrawl-sw-29BT,5,14000,29.360128,0.511627907,0.5261627907,0.511627907,0.548,0.551,0.548,0.497
1p46G-gemma-commoncrawl-sw-29BT,5,1500,3.145728,0.476744186,0.5029069767000001,0.476744186,0.521,0.525,0.521,0.512
1p46G-gemma-commoncrawl-sw-29BT,5,2000,4.194304,0.4970930233,0.488372093,0.4970930233,0.518,0.526,0.518,0.491
1p46G-gemma-commoncrawl-sw-29BT,5,2500,5.24288,0.5290697674,0.5,0.5290697674,0.522,0.52,0.522,0.47700000000000004
1p46G-gemma-commoncrawl-sw-29BT,5,3000,6.291456,0.5494186047,0.5203488372,0.5494186047,0.525,0.528,0.525,0.482
1p46G-gemma-commoncrawl-sw-29BT,5,3500,7.340032,0.5348837209,0.5523255814,0.5348837209,0.536,0.539,0.536,0.499
1p46G-gemma-commoncrawl-sw-29BT,5,4000,8.388608,0.4970930233,0.5290697674,0.4970930233,0.531,0.543,0.531,0.498
1p46G-gemma-commoncrawl-sw-29BT,5,4500,9.437184,0.5377906977,0.5290697674,0.5377906977,0.5640000000000001,0.546,0.5640000000000001,0.501
1p46G-gemma-commoncrawl-sw-29BT,5,500,1.048576,0.4738372093,0.4970930233,0.4738372093,0.508,0.488,0.508,0.499
1p46G-gemma-commoncrawl-sw-29BT,5,5000,10.48576,0.5174418605000001,0.5290697674,0.5174418605000001,0.538,0.535,0.538,0.503
1p46G-gemma-commoncrawl-sw-29BT,5,5500,11.534336,0.5348837209,0.5377906977,0.5348837209,0.5630000000000001,0.544,0.5630000000000001,0.505
1p46G-gemma-commoncrawl-sw-29BT,5,6000,12.582912,0.5319767442000001,0.5029069767000001,0.5319767442000001,0.551,0.544,0.551,0.502
1p46G-gemma-commoncrawl-sw-29BT,5,6500,13.631488,0.5203488372,0.511627907,0.5203488372,0.543,0.528,0.543,0.493
1p46G-gemma-commoncrawl-sw-29BT,5,7000,14.680064,0.5290697674,0.5203488372,0.5290697674,0.546,0.521,0.546,0.512
1p46G-gemma-commoncrawl-sw-29BT,5,7500,15.72864,0.523255814,0.511627907,0.523255814,0.555,0.555,0.555,0.502
1p46G-gemma-commoncrawl-sw-29BT,5,8000,16.777216,0.5261627907,0.5261627907,0.5261627907,0.557,0.551,0.557,0.5
1p46G-gemma-commoncrawl-sw-29BT,5,8500,17.825792,0.47965116280000003,0.5203488372,0.47965116280000003,0.5630000000000001,0.55,0.5630000000000001,0.499
1p46G-gemma-commoncrawl-sw-29BT,5,9000,18.874368,0.5145348837,0.523255814,0.5145348837,0.548,0.543,0.548,0.47800000000000004
1p46G-gemma-commoncrawl-sw-29BT,5,9500,19.922944,0.5348837209,0.5348837209,0.5348837209,0.5640000000000001,0.556,0.5640000000000001,0.491
1p46G-gemma-commoncrawl-sw-29BT,6,0,0.0,0.5145348837,0.4912790698,0.5145348837,0.502,0.521,0.502,0.535
1p46G-gemma-commoncrawl-sw-29BT,6,1000,2.097152,0.5058139535,0.5145348837,0.5058139535,0.499,0.517,0.499,0.521
1p46G-gemma-commoncrawl-sw-29BT,6,10000,20.97152,0.5348837209,0.511627907,0.5348837209,0.547,0.533,0.547,0.501
1p46G-gemma-commoncrawl-sw-29BT,6,10500,22.020096,0.5203488372,0.5029069767000001,0.5203488372,0.547,0.548,0.547,0.513
1p46G-gemma-commoncrawl-sw-29BT,6,11000,23.068672,0.5436046512,0.5058139535,0.5436046512,0.551,0.534,0.551,0.505
