runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-sw-29BT,5,0,0.0,0.468,0.489,0.487,0.501
1p46G-gemma-commoncrawl-sw-29BT,5,1000,2.097152,0.517,0.5740000000000001,0.556,0.52
1p46G-gemma-commoncrawl-sw-29BT,5,10000,20.97152,0.521,0.558,0.5750000000000001,0.5710000000000001
1p46G-gemma-commoncrawl-sw-29BT,5,10500,22.020096,0.516,0.5740000000000001,0.577,0.587
1p46G-gemma-commoncrawl-sw-29BT,5,11000,23.068672,0.522,0.5750000000000001,0.577,0.589
1p46G-gemma-commoncrawl-sw-29BT,5,11500,24.117248,0.518,0.5720000000000001,0.5730000000000001,0.5750000000000001
1p46G-gemma-commoncrawl-sw-29BT,5,12000,25.165824,0.522,0.5710000000000001,0.584,0.581
1p46G-gemma-commoncrawl-sw-29BT,5,12500,26.2144,0.519,0.5740000000000001,0.579,0.5710000000000001
1p46G-gemma-commoncrawl-sw-29BT,5,13000,27.262976,0.521,0.5670000000000001,0.5750000000000001,0.581
1p46G-gemma-commoncrawl-sw-29BT,5,13500,28.311552,0.526,0.5690000000000001,0.581,0.589
1p46G-gemma-commoncrawl-sw-29BT,5,14000,29.360128,0.52,0.5720000000000001,0.586,0.578
1p46G-gemma-commoncrawl-sw-29BT,5,1500,3.145728,0.52,0.558,0.551,0.536
1p46G-gemma-commoncrawl-sw-29BT,5,2000,4.194304,0.503,0.561,0.559,0.539
1p46G-gemma-commoncrawl-sw-29BT,5,2500,5.24288,0.517,0.559,0.5640000000000001,0.551
1p46G-gemma-commoncrawl-sw-29BT,5,3000,6.291456,0.524,0.5750000000000001,0.5760000000000001,0.556
1p46G-gemma-commoncrawl-sw-29BT,5,3500,7.340032,0.518,0.562,0.5720000000000001,0.5630000000000001
1p46G-gemma-commoncrawl-sw-29BT,5,4000,8.388608,0.521,0.5640000000000001,0.5710000000000001,0.5740000000000001
1p46G-gemma-commoncrawl-sw-29BT,5,4500,9.437184,0.523,0.5680000000000001,0.5720000000000001,0.5640000000000001
1p46G-gemma-commoncrawl-sw-29BT,5,500,1.048576,0.501,0.5630000000000001,0.559,0.551
1p46G-gemma-commoncrawl-sw-29BT,5,5000,10.48576,0.516,0.5670000000000001,0.5700000000000001,0.5690000000000001
1p46G-gemma-commoncrawl-sw-29BT,5,5500,11.534336,0.52,0.56,0.5640000000000001,0.556
1p46G-gemma-commoncrawl-sw-29BT,5,6000,12.582912,0.522,0.5650000000000001,0.577,0.584
1p46G-gemma-commoncrawl-sw-29BT,5,6500,13.631488,0.528,0.5660000000000001,0.589,0.5740000000000001
1p46G-gemma-commoncrawl-sw-29BT,5,7000,14.680064,0.521,0.578,0.579,0.582
1p46G-gemma-commoncrawl-sw-29BT,5,7500,15.72864,0.523,0.5670000000000001,0.5660000000000001,0.562
1p46G-gemma-commoncrawl-sw-29BT,5,8000,16.777216,0.518,0.5760000000000001,0.579,0.582
1p46G-gemma-commoncrawl-sw-29BT,5,8500,17.825792,0.515,0.5730000000000001,0.59,0.5720000000000001
1p46G-gemma-commoncrawl-sw-29BT,5,9000,18.874368,0.518,0.577,0.5730000000000001,0.579
1p46G-gemma-commoncrawl-sw-29BT,5,9500,19.922944,0.515,0.5740000000000001,0.5700000000000001,0.5650000000000001
1p46G-gemma-commoncrawl-sw-29BT,6,0,0.0,0.47200000000000003,0.48,0.482,0.497
1p46G-gemma-commoncrawl-sw-29BT,6,1000,2.097152,0.52,0.5680000000000001,0.5660000000000001,0.544
1p46G-gemma-commoncrawl-sw-29BT,6,10000,20.97152,0.527,0.5690000000000001,0.584,0.592
1p46G-gemma-commoncrawl-sw-29BT,6,10500,22.020096,0.537,0.58,0.578,0.581
1p46G-gemma-commoncrawl-sw-29BT,6,11000,23.068672,0.533,0.583,0.585,0.583
1p46G-gemma-commoncrawl-sw-29BT,6,11500,24.117248,0.521,0.58,0.58,0.603
1p46G-gemma-commoncrawl-sw-29BT,6,12000,25.165824,0.525,0.5730000000000001,0.5740000000000001,0.58
1p46G-gemma-commoncrawl-sw-29BT,6,12500,26.2144,0.53,0.589,0.579,0.59
1p46G-gemma-commoncrawl-sw-29BT,6,13000,27.262976,0.526,0.581,0.578,0.583
1p46G-gemma-commoncrawl-sw-29BT,6,13500,28.311552,0.522,0.583,0.591,0.58
1p46G-gemma-commoncrawl-sw-29BT,6,14000,29.360128,0.528,0.591,0.582,0.589
1p46G-gemma-commoncrawl-sw-29BT,6,1500,3.145728,0.512,0.5640000000000001,0.5640000000000001,0.558
1p46G-gemma-commoncrawl-sw-29BT,6,2000,4.194304,0.525,0.5690000000000001,0.5730000000000001,0.546
1p46G-gemma-commoncrawl-sw-29BT,6,2500,5.24288,0.541,0.5670000000000001,0.5710000000000001,0.5680000000000001
1p46G-gemma-commoncrawl-sw-29BT,6,3000,6.291456,0.516,0.5630000000000001,0.583,0.5660000000000001
1p46G-gemma-commoncrawl-sw-29BT,6,3500,7.340032,0.516,0.561,0.5650000000000001,0.5700000000000001
1p46G-gemma-commoncrawl-sw-29BT,6,4000,8.388608,0.517,0.5670000000000001,0.5690000000000001,0.59
1p46G-gemma-commoncrawl-sw-29BT,6,4500,9.437184,0.516,0.5740000000000001,0.58,0.5720000000000001
1p46G-gemma-commoncrawl-sw-29BT,6,500,1.048576,0.508,0.548,0.5640000000000001,0.507
1p46G-gemma-commoncrawl-sw-29BT,6,5000,10.48576,0.522,0.5680000000000001,0.579,0.5710000000000001
1p46G-gemma-commoncrawl-sw-29BT,6,5500,11.534336,0.529,0.5700000000000001,0.592,0.5650000000000001
1p46G-gemma-commoncrawl-sw-29BT,6,6000,12.582912,0.524,0.5690000000000001,0.578,0.583
1p46G-gemma-commoncrawl-sw-29BT,6,6500,13.631488,0.527,0.579,0.588,0.579
1p46G-gemma-commoncrawl-sw-29BT,6,7000,14.680064,0.527,0.5700000000000001,0.586,0.5740000000000001
1p46G-gemma-commoncrawl-sw-29BT,6,7500,15.72864,0.524,0.584,0.584,0.606
1p46G-gemma-commoncrawl-sw-29BT,6,8000,16.777216,0.53,0.579,0.577,0.595
1p46G-gemma-commoncrawl-sw-29BT,6,8500,17.825792,0.538,0.579,0.589,0.582
1p46G-gemma-commoncrawl-sw-29BT,6,9000,18.874368,0.544,0.594,0.591,0.594
1p46G-gemma-commoncrawl-sw-29BT,6,9500,19.922944,0.533,0.582,0.5750000000000001,0.594
1p46G-gemma-commoncrawl-sw-29BT,8,0,0.0,0.47500000000000003,0.47900000000000004,0.506,0.488
1p46G-gemma-commoncrawl-sw-29BT,8,1000,2.097152,0.514,0.561,0.554,0.537
1p46G-gemma-commoncrawl-sw-29BT,8,10000,20.97152,0.527,0.5730000000000001,0.592,0.581
1p46G-gemma-commoncrawl-sw-29BT,8,10500,22.020096,0.527,0.5660000000000001,0.579,0.5700000000000001
1p46G-gemma-commoncrawl-sw-29BT,8,11000,23.068672,0.527,0.583,0.579,0.5730000000000001
1p46G-gemma-commoncrawl-sw-29BT,8,11500,24.117248,0.526,0.58,0.5710000000000001,0.5710000000000001
1p46G-gemma-commoncrawl-sw-29BT,8,12000,25.165824,0.524,0.5730000000000001,0.5760000000000001,0.5750000000000001
1p46G-gemma-commoncrawl-sw-29BT,8,12500,26.2144,0.519,0.586,0.584,0.577
1p46G-gemma-commoncrawl-sw-29BT,8,13000,27.262976,0.523,0.583,0.582,0.582
1p46G-gemma-commoncrawl-sw-29BT,8,13500,28.311552,0.519,0.588,0.586,0.5760000000000001
1p46G-gemma-commoncrawl-sw-29BT,8,14000,29.360128,0.514,0.581,0.587,0.577
1p46G-gemma-commoncrawl-sw-29BT,8,1500,3.145728,0.522,0.5710000000000001,0.5650000000000001,0.553
1p46G-gemma-commoncrawl-sw-29BT,8,2000,4.194304,0.529,0.5650000000000001,0.5680000000000001,0.581
1p46G-gemma-commoncrawl-sw-29BT,8,2500,5.24288,0.513,0.5690000000000001,0.556,0.561
1p46G-gemma-commoncrawl-sw-29BT,8,3000,6.291456,0.518,0.559,0.551,0.551
1p46G-gemma-commoncrawl-sw-29BT,8,3500,7.340032,0.537,0.5750000000000001,0.5750000000000001,0.5630000000000001
