runname,seed,steps,tokens,acc_norm_token,acc_norm,acc_norm_pmi,acc
1p46G-gemma-commoncrawl-te-29BT,5,0,0.0,0.2577777778,0.2411111111,0.2422222222,0.0
1p46G-gemma-commoncrawl-te-29BT,5,1000,2.097152,0.24444444440000002,0.2377777778,0.2466666667,0.0
1p46G-gemma-commoncrawl-te-29BT,5,10000,20.97152,0.2622222222,0.2688888889,0.2755555556,0.0
1p46G-gemma-commoncrawl-te-29BT,5,10500,22.020096,0.2555555556,0.2622222222,0.2855555556,0.0
1p46G-gemma-commoncrawl-te-29BT,5,11000,23.068672,0.27,0.2688888889,0.2922222222,0.0
1p46G-gemma-commoncrawl-te-29BT,5,11500,24.117248,0.2611111111,0.2666666667,0.2855555556,0.0
1p46G-gemma-commoncrawl-te-29BT,5,12000,25.165824,0.2566666667,0.27222222220000003,0.28111111110000003,0.0
1p46G-gemma-commoncrawl-te-29BT,5,12500,26.2144,0.2622222222,0.2711111111,0.29888888890000004,0.0
1p46G-gemma-commoncrawl-te-29BT,5,13000,27.262976,0.2622222222,0.2677777778,0.2822222222,0.0
1p46G-gemma-commoncrawl-te-29BT,5,13500,28.311552,0.2611111111,0.2622222222,0.2866666667,0.0
1p46G-gemma-commoncrawl-te-29BT,5,14000,29.360128,0.2588888889,0.2677777778,0.2822222222,0.0
1p46G-gemma-commoncrawl-te-29BT,5,1500,3.145728,0.2566666667,0.2544444444,0.2466666667,0.0
1p46G-gemma-commoncrawl-te-29BT,5,2000,4.194304,0.2411111111,0.23555555560000002,0.2588888889,0.0
1p46G-gemma-commoncrawl-te-29BT,5,2500,5.24288,0.2422222222,0.2411111111,0.2744444444,0.0
1p46G-gemma-commoncrawl-te-29BT,5,3000,6.291456,0.2333333333,0.23555555560000002,0.2755555556,0.0
1p46G-gemma-commoncrawl-te-29BT,5,3500,7.340032,0.2422222222,0.2422222222,0.2566666667,0.0
1p46G-gemma-commoncrawl-te-29BT,5,4000,8.388608,0.2466666667,0.2455555556,0.2622222222,0.0
1p46G-gemma-commoncrawl-te-29BT,5,4500,9.437184,0.2522222222,0.2533333333,0.2611111111,0.0
1p46G-gemma-commoncrawl-te-29BT,5,500,1.048576,0.23,0.2155555556,0.23555555560000002,0.0
1p46G-gemma-commoncrawl-te-29BT,5,5000,10.48576,0.2566666667,0.2555555556,0.2755555556,0.0
1p46G-gemma-commoncrawl-te-29BT,5,5500,11.534336,0.25,0.2588888889,0.2766666667,0.0
1p46G-gemma-commoncrawl-te-29BT,5,6000,12.582912,0.24888888890000002,0.2555555556,0.2666666667,0.0
1p46G-gemma-commoncrawl-te-29BT,5,6500,13.631488,0.25,0.2555555556,0.2844444444,0.0
1p46G-gemma-commoncrawl-te-29BT,5,7000,14.680064,0.2611111111,0.2622222222,0.2755555556,0.0
1p46G-gemma-commoncrawl-te-29BT,5,7500,15.72864,0.2588888889,0.27222222220000003,0.2822222222,0.0
1p46G-gemma-commoncrawl-te-29BT,5,8000,16.777216,0.2666666667,0.2611111111,0.2822222222,0.0
1p46G-gemma-commoncrawl-te-29BT,5,8500,17.825792,0.2566666667,0.26,0.2822222222,0.0
1p46G-gemma-commoncrawl-te-29BT,5,9000,18.874368,0.2666666667,0.2588888889,0.2766666667,0.0
1p46G-gemma-commoncrawl-te-29BT,5,9500,19.922944,0.2566666667,0.2677777778,0.2744444444,0.0
1p46G-gemma-commoncrawl-te-29BT,7,0,0.0,0.23,0.24444444440000002,0.2166666667,0.0
1p46G-gemma-commoncrawl-te-29BT,7,1000,2.097152,0.2388888889,0.2422222222,0.2511111111,0.0
1p46G-gemma-commoncrawl-te-29BT,7,10000,20.97152,0.26,0.2511111111,0.27,0.0
1p46G-gemma-commoncrawl-te-29BT,7,10500,22.020096,0.2544444444,0.2411111111,0.28,0.0
1p46G-gemma-commoncrawl-te-29BT,7,11000,23.068672,0.2522222222,0.25,0.27222222220000003,0.0
1p46G-gemma-commoncrawl-te-29BT,7,11500,24.117248,0.2522222222,0.2533333333,0.2777777778,0.0
1p46G-gemma-commoncrawl-te-29BT,7,12000,25.165824,0.2566666667,0.2466666667,0.2688888889,0.0
1p46G-gemma-commoncrawl-te-29BT,7,12500,26.2144,0.26,0.2544444444,0.2677777778,0.0
1p46G-gemma-commoncrawl-te-29BT,7,13000,27.262976,0.2577777778,0.2588888889,0.2677777778,0.0
1p46G-gemma-commoncrawl-te-29BT,7,13500,28.311552,0.2611111111,0.2555555556,0.26444444440000003,0.0
1p46G-gemma-commoncrawl-te-29BT,7,14000,29.360128,0.2622222222,0.26,0.2577777778,0.0
1p46G-gemma-commoncrawl-te-29BT,7,1500,3.145728,0.2522222222,0.2588888889,0.2466666667,0.0
1p46G-gemma-commoncrawl-te-29BT,7,2000,4.194304,0.25,0.2555555556,0.26444444440000003,0.0
1p46G-gemma-commoncrawl-te-29BT,7,2500,5.24288,0.24444444440000002,0.2511111111,0.2655555556,0.0
1p46G-gemma-commoncrawl-te-29BT,7,3000,6.291456,0.2566666667,0.24777777780000002,0.27333333330000004,0.0
1p46G-gemma-commoncrawl-te-29BT,7,3500,7.340032,0.2422222222,0.26,0.2766666667,0.0
1p46G-gemma-commoncrawl-te-29BT,7,4000,8.388608,0.26,0.2511111111,0.2666666667,0.0
1p46G-gemma-commoncrawl-te-29BT,7,4500,9.437184,0.2466666667,0.2555555556,0.2588888889,0.0
1p46G-gemma-commoncrawl-te-29BT,7,500,1.048576,0.23111111110000002,0.2211111111,0.2466666667,0.0
1p46G-gemma-commoncrawl-te-29BT,7,5000,10.48576,0.2466666667,0.2433333333,0.2511111111,0.0
1p46G-gemma-commoncrawl-te-29BT,7,5500,11.534336,0.2588888889,0.2666666667,0.28111111110000003,0.0
1p46G-gemma-commoncrawl-te-29BT,7,6000,12.582912,0.2455555556,0.24444444440000002,0.27333333330000004,0.0
1p46G-gemma-commoncrawl-te-29BT,7,6500,13.631488,0.2588888889,0.2555555556,0.2677777778,0.0
1p46G-gemma-commoncrawl-te-29BT,7,7000,14.680064,0.2511111111,0.2522222222,0.2755555556,0.0
1p46G-gemma-commoncrawl-te-29BT,7,7500,15.72864,0.25,0.2577777778,0.2777777778,0.0
1p46G-gemma-commoncrawl-te-29BT,7,8000,16.777216,0.25,0.2522222222,0.2655555556,0.0
1p46G-gemma-commoncrawl-te-29BT,7,8500,17.825792,0.2455555556,0.2466666667,0.28,0.0
1p46G-gemma-commoncrawl-te-29BT,7,9000,18.874368,0.2522222222,0.2466666667,0.2633333333,0.0
1p46G-gemma-commoncrawl-te-29BT,7,9500,19.922944,0.2577777778,0.2566666667,0.2744444444,0.0
baseline-te-,42,0,0.0,0.25,0.25,0.25,0.25
1p46G-gemma-commoncrawl-te-29BT,8,0,0.0,0.2388888889,0.24444444440000002,0.2511111111,0.0
