runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-te-29BT,5,0,0.0,0.483,0.484,0.496,0.501
1p46G-gemma-commoncrawl-te-29BT,5,1000,2.097152,0.521,0.519,0.519,0.509
1p46G-gemma-commoncrawl-te-29BT,5,10000,20.97152,0.521,0.518,0.518,0.527
1p46G-gemma-commoncrawl-te-29BT,5,10500,22.020096,0.521,0.519,0.52,0.519
1p46G-gemma-commoncrawl-te-29BT,5,11000,23.068672,0.523,0.517,0.518,0.521
1p46G-gemma-commoncrawl-te-29BT,5,11500,24.117248,0.523,0.518,0.517,0.509
1p46G-gemma-commoncrawl-te-29BT,5,12000,25.165824,0.522,0.518,0.514,0.542
1p46G-gemma-commoncrawl-te-29BT,5,12500,26.2144,0.52,0.519,0.518,0.527
1p46G-gemma-commoncrawl-te-29BT,5,13000,27.262976,0.522,0.522,0.517,0.523
1p46G-gemma-commoncrawl-te-29BT,5,13500,28.311552,0.521,0.521,0.518,0.526
1p46G-gemma-commoncrawl-te-29BT,5,14000,29.360128,0.524,0.52,0.517,0.515
1p46G-gemma-commoncrawl-te-29BT,5,1500,3.145728,0.506,0.508,0.513,0.517
1p46G-gemma-commoncrawl-te-29BT,5,2000,4.194304,0.516,0.513,0.517,0.517
1p46G-gemma-commoncrawl-te-29BT,5,2500,5.24288,0.525,0.518,0.519,0.528
1p46G-gemma-commoncrawl-te-29BT,5,3000,6.291456,0.528,0.522,0.516,0.521
1p46G-gemma-commoncrawl-te-29BT,5,3500,7.340032,0.517,0.523,0.521,0.517
1p46G-gemma-commoncrawl-te-29BT,5,4000,8.388608,0.524,0.522,0.521,0.514
1p46G-gemma-commoncrawl-te-29BT,5,4500,9.437184,0.523,0.523,0.516,0.522
1p46G-gemma-commoncrawl-te-29BT,5,500,1.048576,0.528,0.52,0.518,0.51
1p46G-gemma-commoncrawl-te-29BT,5,5000,10.48576,0.527,0.523,0.522,0.516
1p46G-gemma-commoncrawl-te-29BT,5,5500,11.534336,0.523,0.522,0.524,0.505
1p46G-gemma-commoncrawl-te-29BT,5,6000,12.582912,0.522,0.52,0.522,0.501
1p46G-gemma-commoncrawl-te-29BT,5,6500,13.631488,0.532,0.522,0.519,0.508
1p46G-gemma-commoncrawl-te-29BT,5,7000,14.680064,0.528,0.525,0.521,0.52
