runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-commoncrawl-te-29BT,5,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-te-29BT,5,1000,2.097152,0.018669778300000002,0.017451374000000002
1p46G-gemma-commoncrawl-te-29BT,5,10000,20.97152,0.024504084000000002,0.0169917921
1p46G-gemma-commoncrawl-te-29BT,5,10500,22.020096,0.028004667400000002,0.0226012222
1p46G-gemma-commoncrawl-te-29BT,5,11000,23.068672,0.022170361700000002,0.0191371218
1p46G-gemma-commoncrawl-te-29BT,5,11500,24.117248,0.0268378063,0.0204654532
1p46G-gemma-commoncrawl-te-29BT,5,12000,25.165824,0.0233372229,0.022361859600000002
1p46G-gemma-commoncrawl-te-29BT,5,12500,26.2144,0.021003500600000002,0.0196994468
1p46G-gemma-commoncrawl-te-29BT,5,13000,27.262976,0.022170361700000002,0.0219444014
1p46G-gemma-commoncrawl-te-29BT,5,13500,28.311552,0.024504084000000002,0.0222506037
1p46G-gemma-commoncrawl-te-29BT,5,14000,29.360128,0.0268378063,0.022940837800000002
1p46G-gemma-commoncrawl-te-29BT,5,1500,3.145728,0.0198366394,0.020520135300000002
1p46G-gemma-commoncrawl-te-29BT,5,2000,4.194304,0.024504084000000002,0.0209705308
1p46G-gemma-commoncrawl-te-29BT,5,2500,5.24288,0.028004667400000002,0.022626109800000002
1p46G-gemma-commoncrawl-te-29BT,5,3000,6.291456,0.0291715286,0.0251477519
1p46G-gemma-commoncrawl-te-29BT,5,3500,7.340032,0.0233372229,0.020867930200000002
1p46G-gemma-commoncrawl-te-29BT,5,4000,8.388608,0.031505250900000004,0.0227708859
1p46G-gemma-commoncrawl-te-29BT,5,4500,9.437184,0.0268378063,0.02613605
1p46G-gemma-commoncrawl-te-29BT,5,500,1.048576,0.018669778300000002,0.0074716674000000005
1p46G-gemma-commoncrawl-te-29BT,5,5000,10.48576,0.037339556600000004,0.028111597300000003
1p46G-gemma-commoncrawl-te-29BT,5,5500,11.534336,0.0268378063,0.025320204500000002
1p46G-gemma-commoncrawl-te-29BT,5,6000,12.582912,0.028004667400000002,0.0256553086
1p46G-gemma-commoncrawl-te-29BT,5,6500,13.631488,0.021003500600000002,0.020971599400000002
1p46G-gemma-commoncrawl-te-29BT,5,7000,14.680064,0.030338389700000003,0.0247279267
1p46G-gemma-commoncrawl-te-29BT,5,7500,15.72864,0.033838973200000004,0.0278708618
1p46G-gemma-commoncrawl-te-29BT,5,8000,16.777216,0.030338389700000003,0.028459173100000002
1p46G-gemma-commoncrawl-te-29BT,5,8500,17.825792,0.0256709452,0.023406840800000002
1p46G-gemma-commoncrawl-te-29BT,5,9000,18.874368,0.0268378063,0.0266373229
1p46G-gemma-commoncrawl-te-29BT,5,9500,19.922944,0.0268378063,0.0207533281
1p46G-gemma-commoncrawl-te-29BT,7,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-te-29BT,7,1000,2.097152,0.0128354726,0.0175108957
1p46G-gemma-commoncrawl-te-29BT,7,10000,20.97152,0.024504084000000002,0.0216541497
1p46G-gemma-commoncrawl-te-29BT,7,10500,22.020096,0.021003500600000002,0.0213128114
1p46G-gemma-commoncrawl-te-29BT,7,11000,23.068672,0.0233372229,0.0197553905
1p46G-gemma-commoncrawl-te-29BT,7,11500,24.117248,0.022170361700000002,0.0204604137
1p46G-gemma-commoncrawl-te-29BT,7,12000,25.165824,0.0233372229,0.0227862232
1p46G-gemma-commoncrawl-te-29BT,7,12500,26.2144,0.0233372229,0.0247192497
