runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-te-29BT,5,0,0.0,0.55,0.496,0.546,0.546
1p46G-gemma-commoncrawl-te-29BT,5,1000,2.097152,0.5680000000000001,0.542,0.55,0.47000000000000003
1p46G-gemma-commoncrawl-te-29BT,5,10000,20.97152,0.5660000000000001,0.54,0.548,0.52
1p46G-gemma-commoncrawl-te-29BT,5,10500,22.020096,0.5700000000000001,0.544,0.562,0.526
1p46G-gemma-commoncrawl-te-29BT,5,11000,23.068672,0.5660000000000001,0.536,0.556,0.498
1p46G-gemma-commoncrawl-te-29BT,5,11500,24.117248,0.5660000000000001,0.55,0.558,0.52
1p46G-gemma-commoncrawl-te-29BT,5,12000,25.165824,0.562,0.546,0.556,0.518
1p46G-gemma-commoncrawl-te-29BT,5,12500,26.2144,0.5680000000000001,0.546,0.558,0.514
1p46G-gemma-commoncrawl-te-29BT,5,13000,27.262976,0.582,0.54,0.556,0.51
1p46G-gemma-commoncrawl-te-29BT,5,13500,28.311552,0.5680000000000001,0.544,0.5640000000000001,0.516
1p46G-gemma-commoncrawl-te-29BT,5,14000,29.360128,0.562,0.544,0.554,0.506
1p46G-gemma-commoncrawl-te-29BT,5,1500,3.145728,0.582,0.534,0.524,0.488
1p46G-gemma-commoncrawl-te-29BT,5,2000,4.194304,0.546,0.508,0.528,0.494
1p46G-gemma-commoncrawl-te-29BT,5,2500,5.24288,0.562,0.522,0.53,0.512
1p46G-gemma-commoncrawl-te-29BT,5,3000,6.291456,0.55,0.51,0.526,0.502
1p46G-gemma-commoncrawl-te-29BT,5,3500,7.340032,0.5660000000000001,0.532,0.552,0.47600000000000003
1p46G-gemma-commoncrawl-te-29BT,5,4000,8.388608,0.578,0.528,0.544,0.492
1p46G-gemma-commoncrawl-te-29BT,5,4500,9.437184,0.546,0.538,0.548,0.526
1p46G-gemma-commoncrawl-te-29BT,5,500,1.048576,0.556,0.514,0.506,0.492
1p46G-gemma-commoncrawl-te-29BT,5,5000,10.48576,0.5760000000000001,0.54,0.546,0.5
1p46G-gemma-commoncrawl-te-29BT,5,5500,11.534336,0.5700000000000001,0.554,0.548,0.532
1p46G-gemma-commoncrawl-te-29BT,5,6000,12.582912,0.588,0.538,0.536,0.514
1p46G-gemma-commoncrawl-te-29BT,5,6500,13.631488,0.5640000000000001,0.548,0.56,0.514
1p46G-gemma-commoncrawl-te-29BT,5,7000,14.680064,0.5700000000000001,0.54,0.558,0.542
1p46G-gemma-commoncrawl-te-29BT,5,7500,15.72864,0.5760000000000001,0.544,0.5740000000000001,0.536
1p46G-gemma-commoncrawl-te-29BT,5,8000,16.777216,0.5760000000000001,0.552,0.5660000000000001,0.522
1p46G-gemma-commoncrawl-te-29BT,5,8500,17.825792,0.5740000000000001,0.5660000000000001,0.5720000000000001,0.528
1p46G-gemma-commoncrawl-te-29BT,5,9000,18.874368,0.5660000000000001,0.536,0.552,0.522
1p46G-gemma-commoncrawl-te-29BT,5,9500,19.922944,0.556,0.534,0.552,0.512
1p46G-gemma-commoncrawl-te-29BT,7,0,0.0,0.554,0.488,0.524,0.488
1p46G-gemma-commoncrawl-te-29BT,7,1000,2.097152,0.584,0.52,0.53,0.466
1p46G-gemma-commoncrawl-te-29BT,7,10000,20.97152,0.578,0.552,0.548,0.542
1p46G-gemma-commoncrawl-te-29BT,7,10500,22.020096,0.578,0.556,0.548,0.524
1p46G-gemma-commoncrawl-te-29BT,7,11000,23.068672,0.5700000000000001,0.546,0.56,0.5
1p46G-gemma-commoncrawl-te-29BT,7,11500,24.117248,0.5740000000000001,0.5720000000000001,0.56,0.532
1p46G-gemma-commoncrawl-te-29BT,7,12000,25.165824,0.582,0.5640000000000001,0.56,0.528
1p46G-gemma-commoncrawl-te-29BT,7,12500,26.2144,0.5700000000000001,0.562,0.544,0.512
1p46G-gemma-commoncrawl-te-29BT,7,13000,27.262976,0.5740000000000001,0.562,0.556,0.54
1p46G-gemma-commoncrawl-te-29BT,7,13500,28.311552,0.5700000000000001,0.558,0.558,0.532
1p46G-gemma-commoncrawl-te-29BT,7,14000,29.360128,0.5760000000000001,0.558,0.548,0.518
1p46G-gemma-commoncrawl-te-29BT,7,1500,3.145728,0.552,0.518,0.512,0.498
1p46G-gemma-commoncrawl-te-29BT,7,2000,4.194304,0.5720000000000001,0.54,0.522,0.512
1p46G-gemma-commoncrawl-te-29BT,7,2500,5.24288,0.5740000000000001,0.538,0.546,0.52
1p46G-gemma-commoncrawl-te-29BT,7,3000,6.291456,0.5640000000000001,0.534,0.546,0.528
1p46G-gemma-commoncrawl-te-29BT,7,3500,7.340032,0.5740000000000001,0.554,0.55,0.536
1p46G-gemma-commoncrawl-te-29BT,7,4000,8.388608,0.5720000000000001,0.538,0.558,0.522
1p46G-gemma-commoncrawl-te-29BT,7,4500,9.437184,0.5700000000000001,0.54,0.548,0.524
1p46G-gemma-commoncrawl-te-29BT,7,500,1.048576,0.584,0.53,0.546,0.486
1p46G-gemma-commoncrawl-te-29BT,7,5000,10.48576,0.58,0.55,0.56,0.532
1p46G-gemma-commoncrawl-te-29BT,7,5500,11.534336,0.5640000000000001,0.5680000000000001,0.552,0.536
1p46G-gemma-commoncrawl-te-29BT,7,6000,12.582912,0.5680000000000001,0.55,0.546,0.506
1p46G-gemma-commoncrawl-te-29BT,7,6500,13.631488,0.5740000000000001,0.55,0.544,0.512
1p46G-gemma-commoncrawl-te-29BT,7,7000,14.680064,0.5700000000000001,0.562,0.54,0.544
1p46G-gemma-commoncrawl-te-29BT,7,7500,15.72864,0.5720000000000001,0.56,0.556,0.536
1p46G-gemma-commoncrawl-te-29BT,7,8000,16.777216,0.5660000000000001,0.556,0.548,0.552
1p46G-gemma-commoncrawl-te-29BT,7,8500,17.825792,0.5760000000000001,0.5700000000000001,0.556,0.552
1p46G-gemma-commoncrawl-te-29BT,7,9000,18.874368,0.5720000000000001,0.552,0.53,0.53
1p46G-gemma-commoncrawl-te-29BT,7,9500,19.922944,0.5660000000000001,0.558,0.56,0.532
baseline-te-,42,0,0.0,0.5,0.5,0.5,0.5
1p46G-gemma-commoncrawl-te-29BT,8,0,0.0,0.544,0.496,0.534,0.514
1p46G-gemma-commoncrawl-te-29BT,8,1000,2.097152,0.556,0.526,0.534,0.484
1p46G-gemma-commoncrawl-te-29BT,8,10000,20.97152,0.5680000000000001,0.5720000000000001,0.558,0.516
1p46G-gemma-commoncrawl-te-29BT,8,10500,22.020096,0.5760000000000001,0.56,0.554,0.548
1p46G-gemma-commoncrawl-te-29BT,8,11000,23.068672,0.5700000000000001,0.562,0.552,0.542
