runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-te-29BT,5,0,0.0,0.222,0.251,0.253,0.233
1p46G-gemma-commoncrawl-te-29BT,5,1000,2.097152,0.189,0.223,0.225,0.21
1p46G-gemma-commoncrawl-te-29BT,5,10000,20.97152,0.187,0.24,0.225,0.228
1p46G-gemma-commoncrawl-te-29BT,5,10500,22.020096,0.17400000000000002,0.229,0.20800000000000002,0.223
1p46G-gemma-commoncrawl-te-29BT,5,11000,23.068672,0.183,0.231,0.217,0.229
1p46G-gemma-commoncrawl-te-29BT,5,11500,24.117248,0.183,0.23600000000000002,0.223,0.23
1p46G-gemma-commoncrawl-te-29BT,5,12000,25.165824,0.185,0.24,0.214,0.221
1p46G-gemma-commoncrawl-te-29BT,5,12500,26.2144,0.18,0.23500000000000001,0.214,0.224
1p46G-gemma-commoncrawl-te-29BT,5,13000,27.262976,0.182,0.227,0.218,0.232
1p46G-gemma-commoncrawl-te-29BT,5,13500,28.311552,0.184,0.23,0.221,0.224
1p46G-gemma-commoncrawl-te-29BT,5,14000,29.360128,0.18,0.23600000000000002,0.222,0.228
1p46G-gemma-commoncrawl-te-29BT,5,1500,3.145728,0.184,0.23700000000000002,0.227,0.221
1p46G-gemma-commoncrawl-te-29BT,5,2000,4.194304,0.19,0.227,0.228,0.215
1p46G-gemma-commoncrawl-te-29BT,5,2500,5.24288,0.181,0.224,0.214,0.224
1p46G-gemma-commoncrawl-te-29BT,5,3000,6.291456,0.186,0.231,0.215,0.23900000000000002
1p46G-gemma-commoncrawl-te-29BT,5,3500,7.340032,0.191,0.23600000000000002,0.22,0.23500000000000001
1p46G-gemma-commoncrawl-te-29BT,5,4000,8.388608,0.183,0.246,0.216,0.217
1p46G-gemma-commoncrawl-te-29BT,5,4500,9.437184,0.186,0.23,0.214,0.222
1p46G-gemma-commoncrawl-te-29BT,5,500,1.048576,0.201,0.251,0.228,0.226
1p46G-gemma-commoncrawl-te-29BT,5,5000,10.48576,0.185,0.23,0.212,0.224
1p46G-gemma-commoncrawl-te-29BT,5,5500,11.534336,0.178,0.228,0.216,0.20600000000000002
1p46G-gemma-commoncrawl-te-29BT,5,6000,12.582912,0.171,0.227,0.21,0.216
1p46G-gemma-commoncrawl-te-29BT,5,6500,13.631488,0.18,0.232,0.212,0.20600000000000002
1p46G-gemma-commoncrawl-te-29BT,5,7000,14.680064,0.178,0.224,0.21,0.227
1p46G-gemma-commoncrawl-te-29BT,5,7500,15.72864,0.185,0.228,0.217,0.226
1p46G-gemma-commoncrawl-te-29BT,5,8000,16.777216,0.17400000000000002,0.222,0.216,0.223
1p46G-gemma-commoncrawl-te-29BT,5,8500,17.825792,0.187,0.23600000000000002,0.22,0.23600000000000002
1p46G-gemma-commoncrawl-te-29BT,5,9000,18.874368,0.18,0.233,0.215,0.222
1p46G-gemma-commoncrawl-te-29BT,5,9500,19.922944,0.171,0.23500000000000001,0.209,0.225
1p46G-gemma-commoncrawl-te-29BT,7,0,0.0,0.214,0.251,0.234,0.234
1p46G-gemma-commoncrawl-te-29BT,7,1000,2.097152,0.184,0.224,0.212,0.227
1p46G-gemma-commoncrawl-te-29BT,7,10000,20.97152,0.184,0.229,0.212,0.248
1p46G-gemma-commoncrawl-te-29BT,7,10500,22.020096,0.184,0.228,0.216,0.248
1p46G-gemma-commoncrawl-te-29BT,7,11000,23.068672,0.182,0.229,0.221,0.23
1p46G-gemma-commoncrawl-te-29BT,7,11500,24.117248,0.18,0.23,0.218,0.228
1p46G-gemma-commoncrawl-te-29BT,7,12000,25.165824,0.18,0.232,0.209,0.218
1p46G-gemma-commoncrawl-te-29BT,7,12500,26.2144,0.177,0.227,0.214,0.219
1p46G-gemma-commoncrawl-te-29BT,7,13000,27.262976,0.18,0.231,0.218,0.24
1p46G-gemma-commoncrawl-te-29BT,7,13500,28.311552,0.177,0.234,0.215,0.226
1p46G-gemma-commoncrawl-te-29BT,7,14000,29.360128,0.177,0.229,0.219,0.217
1p46G-gemma-commoncrawl-te-29BT,7,1500,3.145728,0.183,0.214,0.21,0.229
1p46G-gemma-commoncrawl-te-29BT,7,2000,4.194304,0.187,0.217,0.219,0.225
1p46G-gemma-commoncrawl-te-29BT,7,2500,5.24288,0.197,0.224,0.216,0.217
1p46G-gemma-commoncrawl-te-29BT,7,3000,6.291456,0.187,0.22,0.21,0.224
1p46G-gemma-commoncrawl-te-29BT,7,3500,7.340032,0.184,0.215,0.213,0.23700000000000002
1p46G-gemma-commoncrawl-te-29BT,7,4000,8.388608,0.181,0.226,0.20700000000000002,0.255
1p46G-gemma-commoncrawl-te-29BT,7,4500,9.437184,0.185,0.218,0.209,0.23800000000000002
1p46G-gemma-commoncrawl-te-29BT,7,500,1.048576,0.193,0.242,0.231,0.243
1p46G-gemma-commoncrawl-te-29BT,7,5000,10.48576,0.188,0.216,0.20500000000000002,0.229
1p46G-gemma-commoncrawl-te-29BT,7,5500,11.534336,0.187,0.214,0.20500000000000002,0.23700000000000002
1p46G-gemma-commoncrawl-te-29BT,7,6000,12.582912,0.187,0.22,0.21,0.246
1p46G-gemma-commoncrawl-te-29BT,7,6500,13.631488,0.185,0.22,0.20700000000000002,0.234
1p46G-gemma-commoncrawl-te-29BT,7,7000,14.680064,0.179,0.222,0.218,0.23600000000000002
1p46G-gemma-commoncrawl-te-29BT,7,7500,15.72864,0.176,0.224,0.20500000000000002,0.211
1p46G-gemma-commoncrawl-te-29BT,7,8000,16.777216,0.19,0.227,0.20500000000000002,0.241
1p46G-gemma-commoncrawl-te-29BT,7,8500,17.825792,0.185,0.225,0.215,0.24
1p46G-gemma-commoncrawl-te-29BT,7,9000,18.874368,0.182,0.222,0.219,0.23900000000000002
1p46G-gemma-commoncrawl-te-29BT,7,9500,19.922944,0.179,0.229,0.221,0.23600000000000002
baseline-te-,42,0,0.0,0.2501608187,0.2501608187,0.2501608187,0.2501608187
1p46G-gemma-commoncrawl-te-29BT,8,0,0.0,0.218,0.251,0.24,0.267
1p46G-gemma-commoncrawl-te-29BT,8,1000,2.097152,0.192,0.246,0.228,0.246
1p46G-gemma-commoncrawl-te-29BT,8,10000,20.97152,0.181,0.223,0.217,0.229
1p46G-gemma-commoncrawl-te-29BT,8,10500,22.020096,0.17500000000000002,0.227,0.211,0.227
1p46G-gemma-commoncrawl-te-29BT,8,11000,23.068672,0.18,0.23,0.217,0.242
1p46G-gemma-commoncrawl-te-29BT,8,11500,24.117248,0.17500000000000002,0.222,0.22,0.234
1p46G-gemma-commoncrawl-te-29BT,8,12000,25.165824,0.177,0.222,0.20800000000000002,0.244
1p46G-gemma-commoncrawl-te-29BT,8,12500,26.2144,0.176,0.229,0.218,0.23500000000000001
1p46G-gemma-commoncrawl-te-29BT,8,13000,27.262976,0.178,0.23600000000000002,0.221,0.234
1p46G-gemma-commoncrawl-te-29BT,8,13500,28.311552,0.17500000000000002,0.233,0.211,0.243
1p46G-gemma-commoncrawl-te-29BT,8,14000,29.360128,0.17300000000000001,0.226,0.21,0.23800000000000002
1p46G-gemma-commoncrawl-te-29BT,8,1500,3.145728,0.187,0.241,0.231,0.224
1p46G-gemma-commoncrawl-te-29BT,8,2000,4.194304,0.17200000000000001,0.231,0.215,0.224
1p46G-gemma-commoncrawl-te-29BT,8,2500,5.24288,0.183,0.223,0.226,0.222
1p46G-gemma-commoncrawl-te-29BT,8,3000,6.291456,0.178,0.219,0.213,0.209
1p46G-gemma-commoncrawl-te-29BT,8,3500,7.340032,0.178,0.222,0.20600000000000002,0.225
1p46G-gemma-commoncrawl-te-29BT,8,4000,8.388608,0.18,0.223,0.225,0.20600000000000002
1p46G-gemma-commoncrawl-te-29BT,8,4500,9.437184,0.186,0.224,0.209,0.209
