runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-te-29BT,5,0,0.0,0.255,0.269,0.274,0.265
1p46G-gemma-commoncrawl-te-29BT,5,1000,2.097152,0.259,0.261,0.26,0.279
1p46G-gemma-commoncrawl-te-29BT,5,10000,20.97152,0.256,0.273,0.27,0.271
1p46G-gemma-commoncrawl-te-29BT,5,10500,22.020096,0.259,0.269,0.271,0.28500000000000003
1p46G-gemma-commoncrawl-te-29BT,5,11000,23.068672,0.262,0.275,0.264,0.278
1p46G-gemma-commoncrawl-te-29BT,5,11500,24.117248,0.264,0.267,0.269,0.294
1p46G-gemma-commoncrawl-te-29BT,5,12000,25.165824,0.262,0.27,0.265,0.271
1p46G-gemma-commoncrawl-te-29BT,5,12500,26.2144,0.258,0.265,0.269,0.28500000000000003
1p46G-gemma-commoncrawl-te-29BT,5,13000,27.262976,0.259,0.268,0.272,0.28700000000000003
1p46G-gemma-commoncrawl-te-29BT,5,13500,28.311552,0.26,0.261,0.262,0.28200000000000003
1p46G-gemma-commoncrawl-te-29BT,5,14000,29.360128,0.257,0.259,0.269,0.28400000000000003
1p46G-gemma-commoncrawl-te-29BT,5,1500,3.145728,0.256,0.262,0.264,0.301
1p46G-gemma-commoncrawl-te-29BT,5,2000,4.194304,0.259,0.267,0.273,0.306
1p46G-gemma-commoncrawl-te-29BT,5,2500,5.24288,0.252,0.262,0.26,0.301
1p46G-gemma-commoncrawl-te-29BT,5,3000,6.291456,0.258,0.268,0.266,0.295
1p46G-gemma-commoncrawl-te-29BT,5,3500,7.340032,0.263,0.266,0.27,0.28400000000000003
1p46G-gemma-commoncrawl-te-29BT,5,4000,8.388608,0.25,0.265,0.272,0.296
1p46G-gemma-commoncrawl-te-29BT,5,4500,9.437184,0.253,0.273,0.28,0.28600000000000003
1p46G-gemma-commoncrawl-te-29BT,5,500,1.048576,0.258,0.254,0.252,0.302
1p46G-gemma-commoncrawl-te-29BT,5,5000,10.48576,0.253,0.269,0.273,0.295
1p46G-gemma-commoncrawl-te-29BT,5,5500,11.534336,0.254,0.278,0.273,0.279
1p46G-gemma-commoncrawl-te-29BT,5,6000,12.582912,0.252,0.271,0.276,0.28700000000000003
1p46G-gemma-commoncrawl-te-29BT,5,6500,13.631488,0.258,0.271,0.279,0.296
1p46G-gemma-commoncrawl-te-29BT,5,7000,14.680064,0.26,0.276,0.279,0.296
1p46G-gemma-commoncrawl-te-29BT,5,7500,15.72864,0.256,0.269,0.275,0.279
1p46G-gemma-commoncrawl-te-29BT,5,8000,16.777216,0.25,0.27,0.271,0.28700000000000003
1p46G-gemma-commoncrawl-te-29BT,5,8500,17.825792,0.258,0.273,0.28,0.28400000000000003
1p46G-gemma-commoncrawl-te-29BT,5,9000,18.874368,0.258,0.273,0.271,0.281
1p46G-gemma-commoncrawl-te-29BT,5,9500,19.922944,0.257,0.271,0.279,0.28800000000000003
1p46G-gemma-commoncrawl-te-29BT,7,0,0.0,0.254,0.255,0.262,0.258
1p46G-gemma-commoncrawl-te-29BT,7,1000,2.097152,0.256,0.26,0.259,0.301
1p46G-gemma-commoncrawl-te-29BT,7,10000,20.97152,0.253,0.256,0.26,0.292
1p46G-gemma-commoncrawl-te-29BT,7,10500,22.020096,0.248,0.259,0.255,0.289
1p46G-gemma-commoncrawl-te-29BT,7,11000,23.068672,0.245,0.26,0.262,0.301
1p46G-gemma-commoncrawl-te-29BT,7,11500,24.117248,0.251,0.255,0.255,0.293
1p46G-gemma-commoncrawl-te-29BT,7,12000,25.165824,0.25,0.259,0.254,0.297
1p46G-gemma-commoncrawl-te-29BT,7,12500,26.2144,0.256,0.259,0.254,0.298
1p46G-gemma-commoncrawl-te-29BT,7,13000,27.262976,0.249,0.258,0.262,0.297
1p46G-gemma-commoncrawl-te-29BT,7,13500,28.311552,0.252,0.262,0.258,0.298
1p46G-gemma-commoncrawl-te-29BT,7,14000,29.360128,0.25,0.265,0.259,0.301
1p46G-gemma-commoncrawl-te-29BT,7,1500,3.145728,0.263,0.262,0.275,0.29
1p46G-gemma-commoncrawl-te-29BT,7,2000,4.194304,0.249,0.263,0.274,0.30000000000000004
1p46G-gemma-commoncrawl-te-29BT,7,2500,5.24288,0.253,0.26,0.271,0.292
1p46G-gemma-commoncrawl-te-29BT,7,3000,6.291456,0.249,0.263,0.265,0.291
1p46G-gemma-commoncrawl-te-29BT,7,3500,7.340032,0.243,0.259,0.259,0.274
1p46G-gemma-commoncrawl-te-29BT,7,4000,8.388608,0.257,0.262,0.272,0.307
1p46G-gemma-commoncrawl-te-29BT,7,4500,9.437184,0.253,0.246,0.259,0.28800000000000003
1p46G-gemma-commoncrawl-te-29BT,7,500,1.048576,0.257,0.253,0.24,0.297
1p46G-gemma-commoncrawl-te-29BT,7,5000,10.48576,0.253,0.26,0.258,0.28600000000000003
1p46G-gemma-commoncrawl-te-29BT,7,5500,11.534336,0.25,0.244,0.254,0.294
1p46G-gemma-commoncrawl-te-29BT,7,6000,12.582912,0.251,0.256,0.249,0.302
1p46G-gemma-commoncrawl-te-29BT,7,6500,13.631488,0.249,0.257,0.249,0.299
1p46G-gemma-commoncrawl-te-29BT,7,7000,14.680064,0.251,0.25,0.257,0.299
1p46G-gemma-commoncrawl-te-29BT,7,7500,15.72864,0.249,0.253,0.271,0.299
1p46G-gemma-commoncrawl-te-29BT,7,8000,16.777216,0.256,0.263,0.254,0.28500000000000003
1p46G-gemma-commoncrawl-te-29BT,7,8500,17.825792,0.25,0.255,0.261,0.28600000000000003
1p46G-gemma-commoncrawl-te-29BT,7,9000,18.874368,0.248,0.259,0.265,0.291
1p46G-gemma-commoncrawl-te-29BT,7,9500,19.922944,0.246,0.256,0.257,0.298
baseline-te-,42,0,0.0,0.25,0.25,0.25,0.25
1p46G-gemma-commoncrawl-te-29BT,8,0,0.0,0.254,0.251,0.259,0.259
1p46G-gemma-commoncrawl-te-29BT,8,1000,2.097152,0.256,0.262,0.266,0.291
1p46G-gemma-commoncrawl-te-29BT,8,10000,20.97152,0.254,0.26,0.276,0.28800000000000003
1p46G-gemma-commoncrawl-te-29BT,8,10500,22.020096,0.254,0.272,0.281,0.289
1p46G-gemma-commoncrawl-te-29BT,8,11000,23.068672,0.251,0.271,0.275,0.303
1p46G-gemma-commoncrawl-te-29BT,8,11500,24.117248,0.253,0.273,0.276,0.292
1p46G-gemma-commoncrawl-te-29BT,8,12000,25.165824,0.257,0.268,0.281,0.296
1p46G-gemma-commoncrawl-te-29BT,8,12500,26.2144,0.259,0.272,0.273,0.296
1p46G-gemma-commoncrawl-te-29BT,8,13000,27.262976,0.252,0.271,0.278,0.296
1p46G-gemma-commoncrawl-te-29BT,8,13500,28.311552,0.253,0.266,0.274,0.294
1p46G-gemma-commoncrawl-te-29BT,8,14000,29.360128,0.253,0.269,0.276,0.295
1p46G-gemma-commoncrawl-te-29BT,8,1500,3.145728,0.267,0.267,0.27,0.316
1p46G-gemma-commoncrawl-te-29BT,8,2000,4.194304,0.254,0.275,0.276,0.292
1p46G-gemma-commoncrawl-te-29BT,8,2500,5.24288,0.244,0.258,0.274,0.281
1p46G-gemma-commoncrawl-te-29BT,8,3000,6.291456,0.255,0.266,0.277,0.28700000000000003
1p46G-gemma-commoncrawl-te-29BT,8,3500,7.340032,0.251,0.254,0.266,0.291
1p46G-gemma-commoncrawl-te-29BT,8,4000,8.388608,0.255,0.271,0.276,0.294
1p46G-gemma-commoncrawl-te-29BT,8,4500,9.437184,0.258,0.272,0.269,0.293
1p46G-gemma-commoncrawl-te-29BT,8,500,1.048576,0.261,0.256,0.253,0.292
1p46G-gemma-commoncrawl-te-29BT,8,5000,10.48576,0.251,0.266,0.274,0.299
1p46G-gemma-commoncrawl-te-29BT,8,5500,11.534336,0.249,0.268,0.274,0.289
1p46G-gemma-commoncrawl-te-29BT,8,6000,12.582912,0.256,0.261,0.271,0.291
1p46G-gemma-commoncrawl-te-29BT,8,6500,13.631488,0.255,0.262,0.28400000000000003,0.293
1p46G-gemma-commoncrawl-te-29BT,8,7000,14.680064,0.256,0.27,0.278,0.292
1p46G-gemma-commoncrawl-te-29BT,8,7500,15.72864,0.262,0.276,0.281,0.305
1p46G-gemma-commoncrawl-te-29BT,8,8000,16.777216,0.255,0.272,0.278,0.279
1p46G-gemma-commoncrawl-te-29BT,8,8500,17.825792,0.256,0.272,0.28400000000000003,0.297
1p46G-gemma-commoncrawl-te-29BT,8,9000,18.874368,0.257,0.268,0.28200000000000003,0.299
1p46G-gemma-commoncrawl-te-29BT,8,9500,19.922944,0.255,0.273,0.276,0.296
