runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-te-29BT,5,0,0.0,0.2666666667,0.2808510638,0.2624113475,0.2482269504
1p46G-gemma-commoncrawl-te-29BT,5,1000,2.097152,0.2666666667,0.2482269504,0.24113475180000002,0.3163120567
1p46G-gemma-commoncrawl-te-29BT,5,10000,20.97152,0.2539007092,0.2524822695,0.24113475180000002,0.3134751773
1p46G-gemma-commoncrawl-te-29BT,5,10500,22.020096,0.2595744681,0.2524822695,0.2581560284,0.3205673759
1p46G-gemma-commoncrawl-te-29BT,5,11000,23.068672,0.2581560284,0.2439716312,0.24113475180000002,0.3262411348
1p46G-gemma-commoncrawl-te-29BT,5,11500,24.117248,0.2524822695,0.2510638298,0.2453900709,0.3078014184
1p46G-gemma-commoncrawl-te-29BT,5,12000,25.165824,0.2638297872,0.2439716312,0.24255319150000001,0.3163120567
1p46G-gemma-commoncrawl-te-29BT,5,12500,26.2144,0.2567375887,0.2496453901,0.2453900709,0.30921985820000003
1p46G-gemma-commoncrawl-te-29BT,5,13000,27.262976,0.2638297872,0.24255319150000001,0.2453900709,0.3134751773
1p46G-gemma-commoncrawl-te-29BT,5,13500,28.311552,0.2581560284,0.2496453901,0.2468085106,0.3177304965
1p46G-gemma-commoncrawl-te-29BT,5,14000,29.360128,0.2595744681,0.2397163121,0.24113475180000002,0.3234042553
1p46G-gemma-commoncrawl-te-29BT,5,1500,3.145728,0.2553191489,0.2496453901,0.2468085106,0.30638297870000003
1p46G-gemma-commoncrawl-te-29BT,5,2000,4.194304,0.2808510638,0.2624113475,0.2539007092,0.3177304965
1p46G-gemma-commoncrawl-te-29BT,5,2500,5.24288,0.2624113475,0.2581560284,0.2581560284,0.30921985820000003
1p46G-gemma-commoncrawl-te-29BT,5,3000,6.291456,0.2666666667,0.2524822695,0.2468085106,0.3489361702
1p46G-gemma-commoncrawl-te-29BT,5,3500,7.340032,0.2595744681,0.2482269504,0.2326241135,0.3219858156
1p46G-gemma-commoncrawl-te-29BT,5,4000,8.388608,0.265248227,0.2553191489,0.2524822695,0.3191489362
1p46G-gemma-commoncrawl-te-29BT,5,4500,9.437184,0.2624113475,0.2567375887,0.2510638298,0.3276595745
1p46G-gemma-commoncrawl-te-29BT,5,500,1.048576,0.2609929078,0.2496453901,0.2453900709,0.3106382979
1p46G-gemma-commoncrawl-te-29BT,5,5000,10.48576,0.2609929078,0.2439716312,0.2397163121,0.3219858156
1p46G-gemma-commoncrawl-te-29BT,5,5500,11.534336,0.2595744681,0.2539007092,0.2496453901,0.3276595745
1p46G-gemma-commoncrawl-te-29BT,5,6000,12.582912,0.2624113475,0.2567375887,0.2567375887,0.33475177300000003
1p46G-gemma-commoncrawl-te-29BT,5,6500,13.631488,0.265248227,0.2468085106,0.2539007092,0.3262411348
1p46G-gemma-commoncrawl-te-29BT,5,7000,14.680064,0.2723404255,0.2524822695,0.2524822695,0.3163120567
1p46G-gemma-commoncrawl-te-29BT,5,7500,15.72864,0.2595744681,0.2468085106,0.2453900709,0.3304964539
1p46G-gemma-commoncrawl-te-29BT,5,8000,16.777216,0.2638297872,0.2581560284,0.2581560284,0.3120567376
1p46G-gemma-commoncrawl-te-29BT,5,8500,17.825792,0.2709219858,0.2510638298,0.2581560284,0.3205673759
1p46G-gemma-commoncrawl-te-29BT,5,9000,18.874368,0.2609929078,0.2468085106,0.2539007092,0.3234042553
1p46G-gemma-commoncrawl-te-29BT,5,9500,19.922944,0.2609929078,0.2510638298,0.2524822695,0.3106382979
1p46G-gemma-commoncrawl-te-29BT,7,0,0.0,0.2595744681,0.2666666667,0.2368794326,0.2397163121
