runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-commoncrawl-te-29BT,5,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-te-29BT,5,1000,2.097152,0.0284005979,0.0334458518
1p46G-gemma-commoncrawl-te-29BT,5,10000,20.97152,0.023916293,0.0440072378
1p46G-gemma-commoncrawl-te-29BT,5,10500,22.020096,0.0254110613,0.043270862
1p46G-gemma-commoncrawl-te-29BT,5,11000,23.068672,0.0313901345,0.045330853000000004
1p46G-gemma-commoncrawl-te-29BT,5,11500,24.117248,0.0284005979,0.0459791577
1p46G-gemma-commoncrawl-te-29BT,5,12000,25.165824,0.0254110613,0.0467204607
1p46G-gemma-commoncrawl-te-29BT,5,12500,26.2144,0.0269058296,0.0414942141
1p46G-gemma-commoncrawl-te-29BT,5,13000,27.262976,0.0284005979,0.0433846555
1p46G-gemma-commoncrawl-te-29BT,5,13500,28.311552,0.0269058296,0.043874563400000004
1p46G-gemma-commoncrawl-te-29BT,5,14000,29.360128,0.029895366200000002,0.0426443837
1p46G-gemma-commoncrawl-te-29BT,5,1500,3.145728,0.023916293,0.0302992079
1p46G-gemma-commoncrawl-te-29BT,5,2000,4.194304,0.0269058296,0.0285050742
1p46G-gemma-commoncrawl-te-29BT,5,2500,5.24288,0.014947683100000001,0.0274811665
1p46G-gemma-commoncrawl-te-29BT,5,3000,6.291456,0.0284005979,0.0396405122
1p46G-gemma-commoncrawl-te-29BT,5,3500,7.340032,0.0269058296,0.0332934728
1p46G-gemma-commoncrawl-te-29BT,5,4000,8.388608,0.0284005979,0.0361705329
1p46G-gemma-commoncrawl-te-29BT,5,4500,9.437184,0.0284005979,0.0463895853
1p46G-gemma-commoncrawl-te-29BT,5,500,1.048576,0.005979073200000001,0.008504703
1p46G-gemma-commoncrawl-te-29BT,5,5000,10.48576,0.0269058296,0.0508549862
1p46G-gemma-commoncrawl-te-29BT,5,5500,11.534336,0.0254110613,0.0511555988
1p46G-gemma-commoncrawl-te-29BT,5,6000,12.582912,0.029895366200000002,0.0513005364
1p46G-gemma-commoncrawl-te-29BT,5,6500,13.631488,0.0254110613,0.0458946841
1p46G-gemma-commoncrawl-te-29BT,5,7000,14.680064,0.0254110613,0.043270825900000004
1p46G-gemma-commoncrawl-te-29BT,5,7500,15.72864,0.023916293,0.0473945261
1p46G-gemma-commoncrawl-te-29BT,5,8000,16.777216,0.023916293,0.0380685258
1p46G-gemma-commoncrawl-te-29BT,5,8500,17.825792,0.023916293,0.0476164372
1p46G-gemma-commoncrawl-te-29BT,5,9000,18.874368,0.0269058296,0.0403756142
1p46G-gemma-commoncrawl-te-29BT,5,9500,19.922944,0.0269058296,0.041853559000000005
1p46G-gemma-commoncrawl-te-29BT,7,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-te-29BT,7,1000,2.097152,0.0224215247,0.031101405000000002
1p46G-gemma-commoncrawl-te-29BT,7,10000,20.97152,0.0284005979,0.0448200729
1p46G-gemma-commoncrawl-te-29BT,7,10500,22.020096,0.0313901345,0.037792651000000003
1p46G-gemma-commoncrawl-te-29BT,7,11000,23.068672,0.029895366200000002,0.0479370979
1p46G-gemma-commoncrawl-te-29BT,7,11500,24.117248,0.0313901345,0.0479943321
1p46G-gemma-commoncrawl-te-29BT,7,12000,25.165824,0.0313901345,0.044445985300000004
1p46G-gemma-commoncrawl-te-29BT,7,12500,26.2144,0.029895366200000002,0.047311105900000004
1p46G-gemma-commoncrawl-te-29BT,7,13000,27.262976,0.0254110613,0.0447403798
1p46G-gemma-commoncrawl-te-29BT,7,13500,28.311552,0.0284005979,0.0446726416
1p46G-gemma-commoncrawl-te-29BT,7,14000,29.360128,0.0284005979,0.044187679300000005
1p46G-gemma-commoncrawl-te-29BT,7,1500,3.145728,0.0254110613,0.0431688514
1p46G-gemma-commoncrawl-te-29BT,7,2000,4.194304,0.023916293,0.0351912953
1p46G-gemma-commoncrawl-te-29BT,7,2500,5.24288,0.029895366200000002,0.0362218648
1p46G-gemma-commoncrawl-te-29BT,7,3000,6.291456,0.0358744395,0.0507746044
1p46G-gemma-commoncrawl-te-29BT,7,3500,7.340032,0.0179372197,0.051377649000000004
1p46G-gemma-commoncrawl-te-29BT,7,4000,8.388608,0.029895366200000002,0.0547382478
1p46G-gemma-commoncrawl-te-29BT,7,4500,9.437184,0.0284005979,0.0516983333
1p46G-gemma-commoncrawl-te-29BT,7,500,1.048576,0.0119581465,0.0149805664
1p46G-gemma-commoncrawl-te-29BT,7,5000,10.48576,0.0343796712,0.0506563297
1p46G-gemma-commoncrawl-te-29BT,7,5500,11.534336,0.0313901345,0.061073125500000006
