runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-te-29BT,5,0,0.0,0.488,0.5720000000000001,0.496,0.5
1p46G-gemma-commoncrawl-te-29BT,5,1000,2.097152,0.547,0.586,0.5750000000000001,0.508
1p46G-gemma-commoncrawl-te-29BT,5,10000,20.97152,0.555,0.587,0.5740000000000001,0.54
1p46G-gemma-commoncrawl-te-29BT,5,10500,22.020096,0.557,0.584,0.5700000000000001,0.535
1p46G-gemma-commoncrawl-te-29BT,5,11000,23.068672,0.547,0.589,0.5740000000000001,0.539
1p46G-gemma-commoncrawl-te-29BT,5,11500,24.117248,0.556,0.587,0.5700000000000001,0.533
1p46G-gemma-commoncrawl-te-29BT,5,12000,25.165824,0.553,0.586,0.5760000000000001,0.537
1p46G-gemma-commoncrawl-te-29BT,5,12500,26.2144,0.553,0.58,0.5710000000000001,0.535
1p46G-gemma-commoncrawl-te-29BT,5,13000,27.262976,0.551,0.589,0.5720000000000001,0.539
1p46G-gemma-commoncrawl-te-29BT,5,13500,28.311552,0.551,0.587,0.5730000000000001,0.534
1p46G-gemma-commoncrawl-te-29BT,5,14000,29.360128,0.56,0.586,0.578,0.538
1p46G-gemma-commoncrawl-te-29BT,5,1500,3.145728,0.546,0.581,0.553,0.483
1p46G-gemma-commoncrawl-te-29BT,5,2000,4.194304,0.524,0.587,0.554,0.487
1p46G-gemma-commoncrawl-te-29BT,5,2500,5.24288,0.548,0.577,0.5680000000000001,0.505
1p46G-gemma-commoncrawl-te-29BT,5,3000,6.291456,0.54,0.5700000000000001,0.551,0.497
1p46G-gemma-commoncrawl-te-29BT,5,3500,7.340032,0.54,0.583,0.5640000000000001,0.519
1p46G-gemma-commoncrawl-te-29BT,5,4000,8.388608,0.544,0.587,0.559,0.506
1p46G-gemma-commoncrawl-te-29BT,5,4500,9.437184,0.537,0.577,0.56,0.517
1p46G-gemma-commoncrawl-te-29BT,5,500,1.048576,0.541,0.577,0.5670000000000001,0.522
1p46G-gemma-commoncrawl-te-29BT,5,5000,10.48576,0.545,0.578,0.559,0.529
1p46G-gemma-commoncrawl-te-29BT,5,5500,11.534336,0.542,0.5750000000000001,0.5660000000000001,0.537
1p46G-gemma-commoncrawl-te-29BT,5,6000,12.582912,0.554,0.579,0.5680000000000001,0.527
1p46G-gemma-commoncrawl-te-29BT,5,6500,13.631488,0.557,0.58,0.5650000000000001,0.527
1p46G-gemma-commoncrawl-te-29BT,5,7000,14.680064,0.558,0.583,0.5730000000000001,0.53
1p46G-gemma-commoncrawl-te-29BT,5,7500,15.72864,0.541,0.579,0.5650000000000001,0.534
1p46G-gemma-commoncrawl-te-29BT,5,8000,16.777216,0.554,0.59,0.5680000000000001,0.535
1p46G-gemma-commoncrawl-te-29BT,5,8500,17.825792,0.547,0.581,0.562,0.535
1p46G-gemma-commoncrawl-te-29BT,5,9000,18.874368,0.55,0.58,0.577,0.533
1p46G-gemma-commoncrawl-te-29BT,5,9500,19.922944,0.559,0.58,0.56,0.547
1p46G-gemma-commoncrawl-te-29BT,7,0,0.0,0.481,0.5750000000000001,0.46900000000000003,0.452
1p46G-gemma-commoncrawl-te-29BT,7,1000,2.097152,0.538,0.5680000000000001,0.557,0.505
1p46G-gemma-commoncrawl-te-29BT,7,10000,20.97152,0.553,0.5730000000000001,0.55,0.528
1p46G-gemma-commoncrawl-te-29BT,7,10500,22.020096,0.55,0.5710000000000001,0.553,0.53
1p46G-gemma-commoncrawl-te-29BT,7,11000,23.068672,0.56,0.583,0.5640000000000001,0.533
1p46G-gemma-commoncrawl-te-29BT,7,11500,24.117248,0.555,0.579,0.553,0.526
1p46G-gemma-commoncrawl-te-29BT,7,12000,25.165824,0.557,0.5700000000000001,0.555,0.538
1p46G-gemma-commoncrawl-te-29BT,7,12500,26.2144,0.555,0.5740000000000001,0.555,0.53
1p46G-gemma-commoncrawl-te-29BT,7,13000,27.262976,0.558,0.583,0.558,0.525
1p46G-gemma-commoncrawl-te-29BT,7,13500,28.311552,0.55,0.5750000000000001,0.556,0.521
1p46G-gemma-commoncrawl-te-29BT,7,14000,29.360128,0.548,0.5730000000000001,0.553,0.524
1p46G-gemma-commoncrawl-te-29BT,7,1500,3.145728,0.54,0.5680000000000001,0.558,0.5
1p46G-gemma-commoncrawl-te-29BT,7,2000,4.194304,0.538,0.581,0.5640000000000001,0.5
1p46G-gemma-commoncrawl-te-29BT,7,2500,5.24288,0.547,0.592,0.5730000000000001,0.519
1p46G-gemma-commoncrawl-te-29BT,7,3000,6.291456,0.541,0.59,0.559,0.52
1p46G-gemma-commoncrawl-te-29BT,7,3500,7.340032,0.532,0.585,0.5750000000000001,0.516
1p46G-gemma-commoncrawl-te-29BT,7,4000,8.388608,0.549,0.578,0.5650000000000001,0.54
1p46G-gemma-commoncrawl-te-29BT,7,4500,9.437184,0.543,0.578,0.558,0.52
1p46G-gemma-commoncrawl-te-29BT,7,500,1.048576,0.542,0.562,0.542,0.521
1p46G-gemma-commoncrawl-te-29BT,7,5000,10.48576,0.546,0.591,0.558,0.528
1p46G-gemma-commoncrawl-te-29BT,7,5500,11.534336,0.544,0.577,0.551,0.513
1p46G-gemma-commoncrawl-te-29BT,7,6000,12.582912,0.545,0.5760000000000001,0.5670000000000001,0.534
1p46G-gemma-commoncrawl-te-29BT,7,6500,13.631488,0.545,0.589,0.559,0.53
1p46G-gemma-commoncrawl-te-29BT,7,7000,14.680064,0.537,0.5690000000000001,0.5650000000000001,0.508
1p46G-gemma-commoncrawl-te-29BT,7,7500,15.72864,0.543,0.5750000000000001,0.56,0.516
1p46G-gemma-commoncrawl-te-29BT,7,8000,16.777216,0.558,0.586,0.5680000000000001,0.517
1p46G-gemma-commoncrawl-te-29BT,7,8500,17.825792,0.553,0.58,0.5640000000000001,0.532
1p46G-gemma-commoncrawl-te-29BT,7,9000,18.874368,0.554,0.5740000000000001,0.552,0.516
1p46G-gemma-commoncrawl-te-29BT,7,9500,19.922944,0.549,0.5740000000000001,0.545,0.517
baseline-te-,42,0,0.0,0.5,0.5,0.5,0.5
1p46G-gemma-commoncrawl-te-29BT,8,0,0.0,0.494,0.5690000000000001,0.504,0.495
1p46G-gemma-commoncrawl-te-29BT,8,1000,2.097152,0.531,0.5690000000000001,0.542,0.498
1p46G-gemma-commoncrawl-te-29BT,8,10000,20.97152,0.549,0.577,0.558,0.533
1p46G-gemma-commoncrawl-te-29BT,8,10500,22.020096,0.549,0.589,0.552,0.54
1p46G-gemma-commoncrawl-te-29BT,8,11000,23.068672,0.548,0.585,0.562,0.539
1p46G-gemma-commoncrawl-te-29BT,8,11500,24.117248,0.55,0.586,0.5660000000000001,0.535
1p46G-gemma-commoncrawl-te-29BT,8,12000,25.165824,0.548,0.588,0.5680000000000001,0.53
1p46G-gemma-commoncrawl-te-29BT,8,12500,26.2144,0.548,0.579,0.56,0.544
1p46G-gemma-commoncrawl-te-29BT,8,13000,27.262976,0.551,0.588,0.557,0.535
1p46G-gemma-commoncrawl-te-29BT,8,13500,28.311552,0.552,0.582,0.56,0.554
1p46G-gemma-commoncrawl-te-29BT,8,14000,29.360128,0.553,0.58,0.5720000000000001,0.543
1p46G-gemma-commoncrawl-te-29BT,8,1500,3.145728,0.533,0.579,0.56,0.506
1p46G-gemma-commoncrawl-te-29BT,8,2000,4.194304,0.536,0.579,0.549,0.499
1p46G-gemma-commoncrawl-te-29BT,8,2500,5.24288,0.536,0.5760000000000001,0.55,0.508
1p46G-gemma-commoncrawl-te-29BT,8,3000,6.291456,0.539,0.5760000000000001,0.553,0.522
1p46G-gemma-commoncrawl-te-29BT,8,3500,7.340032,0.538,0.584,0.561,0.519
1p46G-gemma-commoncrawl-te-29BT,8,4000,8.388608,0.531,0.5750000000000001,0.55,0.536
1p46G-gemma-commoncrawl-te-29BT,8,4500,9.437184,0.552,0.5710000000000001,0.558,0.541
1p46G-gemma-commoncrawl-te-29BT,8,500,1.048576,0.545,0.5720000000000001,0.547,0.498
1p46G-gemma-commoncrawl-te-29BT,8,5000,10.48576,0.546,0.5720000000000001,0.561,0.54
1p46G-gemma-commoncrawl-te-29BT,8,5500,11.534336,0.538,0.582,0.562,0.524
1p46G-gemma-commoncrawl-te-29BT,8,6000,12.582912,0.549,0.591,0.556,0.514
1p46G-gemma-commoncrawl-te-29BT,8,6500,13.631488,0.547,0.585,0.561,0.529
1p46G-gemma-commoncrawl-te-29BT,8,7000,14.680064,0.552,0.581,0.554,0.523
1p46G-gemma-commoncrawl-te-29BT,8,7500,15.72864,0.549,0.5720000000000001,0.549,0.52
1p46G-gemma-commoncrawl-te-29BT,8,8000,16.777216,0.547,0.582,0.558,0.528
1p46G-gemma-commoncrawl-te-29BT,8,8500,17.825792,0.543,0.578,0.5630000000000001,0.525
1p46G-gemma-commoncrawl-te-29BT,8,9000,18.874368,0.545,0.5730000000000001,0.552,0.529
1p46G-gemma-commoncrawl-te-29BT,8,9500,19.922944,0.547,0.58,0.559,0.531
