runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-th-29BT,3,0,0.0,0.22683113770000002,0.2623723569,0.2482991926,0.2560007138
1p46G-gemma-commoncrawl-th-29BT,3,1000,2.097152,0.2306158636,0.2507470933,0.2439658046,0.2626279218
1p46G-gemma-commoncrawl-th-29BT,3,10000,20.97152,0.2363908516,0.253642967,0.2391230288,0.2655929668
1p46G-gemma-commoncrawl-th-29BT,3,10500,22.020096,0.2365055757,0.2527996325,0.239353119,0.2649261831
1p46G-gemma-commoncrawl-th-29BT,3,11000,23.068672,0.2355843349,0.2496275996,0.2384504191,0.2638246428
1p46G-gemma-commoncrawl-th-29BT,3,11500,24.117248,0.23471201020000002,0.2541714449,0.2400693164,0.2627198718
1p46G-gemma-commoncrawl-th-29BT,3,12000,25.165824,0.2354424458,0.2542534226,0.2381779379,0.2628065296
1p46G-gemma-commoncrawl-th-29BT,3,12500,26.2144,0.2354103652,0.2559855042,0.2415685327,0.2662196363
1p46G-gemma-commoncrawl-th-29BT,3,13000,27.262976,0.23612325280000002,0.2545005913,0.23997089030000002,0.2619062602
1p46G-gemma-commoncrawl-th-29BT,3,13500,28.311552,0.23556574560000001,0.2513311955,0.2393388998,0.2630266563
1p46G-gemma-commoncrawl-th-29BT,3,14000,29.360128,0.2356989982,0.2521026351,0.2389308357,0.2626212485
1p46G-gemma-commoncrawl-th-29BT,3,1500,3.145728,0.2263495596,0.2478755064,0.24139469770000002,0.2645407105
1p46G-gemma-commoncrawl-th-29BT,3,2000,4.194304,0.233232191,0.251977218,0.2429179475,0.2707198488
1p46G-gemma-commoncrawl-th-29BT,3,2500,5.24288,0.23463850900000002,0.2534340518,0.24406626820000002,0.2669221368
1p46G-gemma-commoncrawl-th-29BT,3,3000,6.291456,0.23140153460000001,0.2520129699,0.24362132720000002,0.26459559320000003
1p46G-gemma-commoncrawl-th-29BT,3,3500,7.340032,0.2316979274,0.2506934209,0.2413464643,0.2660738254
1p46G-gemma-commoncrawl-th-29BT,3,4000,8.388608,0.2345023977,0.24811234880000002,0.2360735958,0.2672600748
1p46G-gemma-commoncrawl-th-29BT,3,4500,9.437184,0.2370733293,0.24702751180000002,0.2433469829,0.265071121
