runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-commoncrawl-th-29BT,3,0,0.0,0.0009202115,0.0
1p46G-gemma-commoncrawl-th-29BT,3,1000,2.097152,0.0066934074,0.0095593686
1p46G-gemma-commoncrawl-th-29BT,3,10000,20.97152,0.0091962402,0.0235746688
1p46G-gemma-commoncrawl-th-29BT,3,10500,22.020096,0.0064239049,0.0197016476
1p46G-gemma-commoncrawl-th-29BT,3,11000,23.068672,0.0080162581,0.025716122600000002
1p46G-gemma-commoncrawl-th-29BT,3,11500,24.117248,0.0072486472000000005,0.024763929400000002
1p46G-gemma-commoncrawl-th-29BT,3,12000,25.165824,0.007603887,0.023227981800000002
1p46G-gemma-commoncrawl-th-29BT,3,12500,26.2144,0.007191515900000001,0.0264368166
1p46G-gemma-commoncrawl-th-29BT,3,13000,27.262976,0.0063096422,0.017956424500000002
1p46G-gemma-commoncrawl-th-29BT,3,13500,28.311552,0.0072486472000000005,0.024533739500000002
1p46G-gemma-commoncrawl-th-29BT,3,14000,29.360128,0.007191515900000001,0.0234973755
1p46G-gemma-commoncrawl-th-29BT,3,1500,3.145728,0.0070486472,0.0064060452
1p46G-gemma-commoncrawl-th-29BT,3,2000,4.194304,0.0064239049,0.0096473883
1p46G-gemma-commoncrawl-th-29BT,3,2500,5.24288,0.0042191806000000005,0.0058978036
1p46G-gemma-commoncrawl-th-29BT,3,3000,6.291456,0.0074610183,0.0132663542
1p46G-gemma-commoncrawl-th-29BT,3,3500,7.340032,0.0062810363,0.008910734
1p46G-gemma-commoncrawl-th-29BT,3,4000,8.388608,0.0096657427,0.0159610356
1p46G-gemma-commoncrawl-th-29BT,3,4500,9.437184,0.0078733895,0.0131917818
1p46G-gemma-commoncrawl-th-29BT,3,500,1.048576,0.005456294,0.0085601972
1p46G-gemma-commoncrawl-th-29BT,3,5000,10.48576,0.0072486472000000005,0.0141379652
1p46G-gemma-commoncrawl-th-29BT,3,5500,11.534336,0.0072486472000000005,0.0170148395
1p46G-gemma-commoncrawl-th-29BT,3,6000,12.582912,0.009405746000000001,0.0240128128
1p46G-gemma-commoncrawl-th-29BT,3,6500,13.631488,0.007191515900000001,0.0188103838
1p46G-gemma-commoncrawl-th-29BT,3,7000,14.680064,0.0076610183,0.0220474458
1p46G-gemma-commoncrawl-th-29BT,3,7500,15.72864,0.0080733895,0.023559743
1p46G-gemma-commoncrawl-th-29BT,3,8000,16.777216,0.0091962402,0.0198357818
1p46G-gemma-commoncrawl-th-29BT,3,8500,17.825792,0.0084857606,0.024881158100000002
1p46G-gemma-commoncrawl-th-29BT,3,9000,18.874368,0.0068362761,0.0231856369
1p46G-gemma-commoncrawl-th-29BT,3,9500,19.922944,0.00955148,0.0263974448
baseline-th-,42,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,0,0.0,0.0005649718,1.61473e-05
1p46G-gemma-commoncrawl-th-29BT,4,1000,2.097152,0.004986791500000001,0.0061457124
1p46G-gemma-commoncrawl-th-29BT,4,10000,20.97152,0.006011533800000001,0.0202370921
1p46G-gemma-commoncrawl-th-29BT,4,10500,22.020096,0.0059544025,0.0198952054
1p46G-gemma-commoncrawl-th-29BT,4,11000,23.068672,0.006011533800000001,0.0229365456
1p46G-gemma-commoncrawl-th-29BT,4,11500,24.117248,0.0074324929000000005,0.021089398000000002
1p46G-gemma-commoncrawl-th-29BT,4,12000,25.165824,0.0083143666,0.0261981508
1p46G-gemma-commoncrawl-th-29BT,4,12500,26.2144,0.008879338300000001,0.0237437303
1p46G-gemma-commoncrawl-th-29BT,4,13000,27.262976,0.0076422249,0.0254711671
1p46G-gemma-commoncrawl-th-29BT,4,13500,28.311552,0.0066648820000000004,0.0236817413
