runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-commoncrawl-th-29BT,3,0,0.0,0.0,7.94025e-05
1p46G-gemma-commoncrawl-th-29BT,3,1000,2.097152,0.003,0.029211058600000003
1p46G-gemma-commoncrawl-th-29BT,3,10000,20.97152,0.015,0.1250286673
1p46G-gemma-commoncrawl-th-29BT,3,10500,22.020096,0.011,0.12840107650000002
1p46G-gemma-commoncrawl-th-29BT,3,11000,23.068672,0.011,0.1199142752
1p46G-gemma-commoncrawl-th-29BT,3,11500,24.117248,0.01,0.1263585679
1p46G-gemma-commoncrawl-th-29BT,3,12000,25.165824,0.014,0.137651132
1p46G-gemma-commoncrawl-th-29BT,3,12500,26.2144,0.01,0.1313931908
1p46G-gemma-commoncrawl-th-29BT,3,13000,27.262976,0.01,0.12021708730000001
1p46G-gemma-commoncrawl-th-29BT,3,13500,28.311552,0.01,0.13549299380000002
1p46G-gemma-commoncrawl-th-29BT,3,14000,29.360128,0.009000000000000001,0.1265080601
1p46G-gemma-commoncrawl-th-29BT,3,1500,3.145728,0.007,0.0676099185
1p46G-gemma-commoncrawl-th-29BT,3,2000,4.194304,0.007,0.0770872236
1p46G-gemma-commoncrawl-th-29BT,3,2500,5.24288,0.006,0.06667323580000001
1p46G-gemma-commoncrawl-th-29BT,3,3000,6.291456,0.007,0.08309856
1p46G-gemma-commoncrawl-th-29BT,3,3500,7.340032,0.011,0.0858298499
1p46G-gemma-commoncrawl-th-29BT,3,4000,8.388608,0.008,0.09039400060000001
1p46G-gemma-commoncrawl-th-29BT,3,4500,9.437184,0.009000000000000001,0.1155178941
1p46G-gemma-commoncrawl-th-29BT,3,500,1.048576,0.012,0.028090943900000002
1p46G-gemma-commoncrawl-th-29BT,3,5000,10.48576,0.016,0.10659135410000001
1p46G-gemma-commoncrawl-th-29BT,3,5500,11.534336,0.012,0.11207858400000001
1p46G-gemma-commoncrawl-th-29BT,3,6000,12.582912,0.015,0.11494153
1p46G-gemma-commoncrawl-th-29BT,3,6500,13.631488,0.009000000000000001,0.11368565970000001
1p46G-gemma-commoncrawl-th-29BT,3,7000,14.680064,0.013000000000000001,0.11045867940000001
1p46G-gemma-commoncrawl-th-29BT,3,7500,15.72864,0.015,0.11450644400000001
1p46G-gemma-commoncrawl-th-29BT,3,8000,16.777216,0.013000000000000001,0.1193738567
1p46G-gemma-commoncrawl-th-29BT,3,8500,17.825792,0.02,0.1139780202
1p46G-gemma-commoncrawl-th-29BT,3,9000,18.874368,0.009000000000000001,0.1198552338
1p46G-gemma-commoncrawl-th-29BT,3,9500,19.922944,0.018000000000000002,0.1319704542
baseline-th-,42,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,1000,2.097152,0.005,0.0489211897
1p46G-gemma-commoncrawl-th-29BT,4,10000,20.97152,0.023,0.12284784300000001
1p46G-gemma-commoncrawl-th-29BT,4,10500,22.020096,0.032,0.1170898618
1p46G-gemma-commoncrawl-th-29BT,4,11000,23.068672,0.031,0.12270065270000001
1p46G-gemma-commoncrawl-th-29BT,4,11500,24.117248,0.032,0.1255683124
1p46G-gemma-commoncrawl-th-29BT,4,12000,25.165824,0.031,0.1245015587
1p46G-gemma-commoncrawl-th-29BT,4,12500,26.2144,0.036000000000000004,0.1224192983
1p46G-gemma-commoncrawl-th-29BT,4,13000,27.262976,0.03,0.12844052320000002
1p46G-gemma-commoncrawl-th-29BT,4,13500,28.311552,0.035,0.12933601620000001
1p46G-gemma-commoncrawl-th-29BT,4,14000,29.360128,0.034,0.1273373855
1p46G-gemma-commoncrawl-th-29BT,4,1500,3.145728,0.001,0.0731700371
1p46G-gemma-commoncrawl-th-29BT,4,2000,4.194304,0.002,0.051194778100000005
1p46G-gemma-commoncrawl-th-29BT,4,2500,5.24288,0.007,0.0814318658
1p46G-gemma-commoncrawl-th-29BT,4,3000,6.291456,0.01,0.0849312176
1p46G-gemma-commoncrawl-th-29BT,4,3500,7.340032,0.007,0.0901540791
1p46G-gemma-commoncrawl-th-29BT,4,4000,8.388608,0.01,0.0899663569
1p46G-gemma-commoncrawl-th-29BT,4,4500,9.437184,0.006,0.09535045410000001
1p46G-gemma-commoncrawl-th-29BT,4,500,1.048576,0.002,0.019055634800000002
1p46G-gemma-commoncrawl-th-29BT,4,5000,10.48576,0.011,0.08594323150000001
1p46G-gemma-commoncrawl-th-29BT,4,5500,11.534336,0.019,0.0954900278
1p46G-gemma-commoncrawl-th-29BT,4,6000,12.582912,0.023,0.101140137
1p46G-gemma-commoncrawl-th-29BT,4,6500,13.631488,0.022,0.0970373398
1p46G-gemma-commoncrawl-th-29BT,4,7000,14.680064,0.022,0.1156542069
1p46G-gemma-commoncrawl-th-29BT,4,7500,15.72864,0.018000000000000002,0.11341277570000001
1p46G-gemma-commoncrawl-th-29BT,4,8000,16.777216,0.021,0.1139460822
1p46G-gemma-commoncrawl-th-29BT,4,8500,17.825792,0.022,0.1189755272
1p46G-gemma-commoncrawl-th-29BT,4,9000,18.874368,0.021,0.11325762930000001
1p46G-gemma-commoncrawl-th-29BT,4,9500,19.922944,0.029,0.1149960679
1p46G-gemma-lynx-th-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-lynx-th-29BT,6,1000,2.097152,0.01,0.030881416800000002
1p46G-gemma-lynx-th-29BT,6,10000,20.97152,0.026000000000000002,0.0845789655
1p46G-gemma-lynx-th-29BT,6,10500,22.020096,0.027,0.088035869
1p46G-gemma-lynx-th-29BT,6,11000,23.068672,0.027,0.0822143234
1p46G-gemma-lynx-th-29BT,6,11500,24.117248,0.018000000000000002,0.0829955923
1p46G-gemma-lynx-th-29BT,6,12000,25.165824,0.025,0.0869333951
1p46G-gemma-lynx-th-29BT,6,12500,26.2144,0.028,0.08813557820000001
1p46G-gemma-lynx-th-29BT,6,13000,27.262976,0.028,0.0826705813
1p46G-gemma-lynx-th-29BT,6,13500,28.311552,0.034,0.0854426925
1p46G-gemma-lynx-th-29BT,6,14000,29.360128,0.029,0.08905521150000001
1p46G-gemma-lynx-th-29BT,6,1500,3.145728,0.002,0.0457103125
1p46G-gemma-lynx-th-29BT,6,2000,4.194304,0.005,0.0518170405
1p46G-gemma-lynx-th-29BT,6,2500,5.24288,0.011,0.0602194578
1p46G-gemma-lynx-th-29BT,6,3000,6.291456,0.009000000000000001,0.0476831834
1p46G-gemma-lynx-th-29BT,6,3500,7.340032,0.014,0.056143559600000004
1p46G-gemma-lynx-th-29BT,6,4000,8.388608,0.027,0.0720748105
1p46G-gemma-lynx-th-29BT,6,4500,9.437184,0.025,0.0765225868
1p46G-gemma-lynx-th-29BT,6,500,1.048576,0.009000000000000001,0.015121988000000001
1p46G-gemma-lynx-th-29BT,6,5000,10.48576,0.015,0.0637766434
1p46G-gemma-lynx-th-29BT,6,5500,11.534336,0.03,0.0699321447
1p46G-gemma-lynx-th-29BT,6,6000,12.582912,0.019,0.0688216663
1p46G-gemma-lynx-th-29BT,6,6500,13.631488,0.017,0.0726796124
1p46G-gemma-lynx-th-29BT,6,7000,14.680064,0.03,0.0760267863
1p46G-gemma-lynx-th-29BT,6,7500,15.72864,0.025,0.0776585972
1p46G-gemma-lynx-th-29BT,6,8000,16.777216,0.034,0.0832781081
1p46G-gemma-lynx-th-29BT,6,8500,17.825792,0.029,0.083461135
1p46G-gemma-lynx-th-29BT,6,9000,18.874368,0.025,0.0786427848
1p46G-gemma-lynx-th-29BT,6,9500,19.922944,0.028,0.0896282466
1p46G-gemma-orion-th-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-orion-th-29BT,6,1000,2.097152,0.007,0.0614249029
1p46G-gemma-orion-th-29BT,6,10000,20.97152,0.024,0.12888341420000002
1p46G-gemma-orion-th-29BT,6,10500,22.020096,0.026000000000000002,0.1258152514
1p46G-gemma-orion-th-29BT,6,11000,23.068672,0.024,0.126403394
1p46G-gemma-orion-th-29BT,6,11500,24.117248,0.033,0.1370403712
1p46G-gemma-orion-th-29BT,6,12000,25.165824,0.027,0.1411507734
1p46G-gemma-orion-th-29BT,6,12500,26.2144,0.03,0.1475062116
1p46G-gemma-orion-th-29BT,6,13000,27.262976,0.026000000000000002,0.144522793
1p46G-gemma-orion-th-29BT,6,13500,28.311552,0.025,0.1441615858
1p46G-gemma-orion-th-29BT,6,14000,29.360128,0.027,0.1370365054
1p46G-gemma-orion-th-29BT,6,1500,3.145728,0.0,0.0643941373
1p46G-gemma-orion-th-29BT,6,2000,4.194304,0.003,0.0700739645
1p46G-gemma-orion-th-29BT,6,2500,5.24288,0.008,0.0659626811
1p46G-gemma-orion-th-29BT,6,3000,6.291456,0.011,0.0846955237
1p46G-gemma-orion-th-29BT,6,3500,7.340032,0.003,0.07839106950000001
1p46G-gemma-orion-th-29BT,6,4000,8.388608,0.011,0.0890285236
1p46G-gemma-orion-th-29BT,6,4500,9.437184,0.012,0.0854315368
1p46G-gemma-orion-th-29BT,6,500,1.048576,0.012,0.0489437755
1p46G-gemma-orion-th-29BT,6,5000,10.48576,0.02,0.08896367050000001
1p46G-gemma-orion-th-29BT,6,5500,11.534336,0.016,0.1062186554
1p46G-gemma-orion-th-29BT,6,6000,12.582912,0.023,0.09812383470000001
1p46G-gemma-orion-th-29BT,6,6500,13.631488,0.028,0.1048264944
1p46G-gemma-orion-th-29BT,6,7000,14.680064,0.022,0.1240034456
1p46G-gemma-orion-th-29BT,6,7500,15.72864,0.022,0.1068558175
1p46G-gemma-orion-th-29BT,6,8000,16.777216,0.028,0.1144792964
1p46G-gemma-orion-th-29BT,6,8500,17.825792,0.025,0.1132242569
1p46G-gemma-orion-th-29BT,6,9000,18.874368,0.028,0.12204351570000001
1p46G-gemma-orion-th-29BT,6,9500,19.922944,0.022,0.11855183200000001
