runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-th-29BT,3,0,0.0,0.498245614,0.48771929820000004,0.4807017544,0.47719298250000003
1p46G-gemma-commoncrawl-th-29BT,3,1000,2.097152,0.498245614,0.5192982456,0.5157894737000001,0.4947368421
1p46G-gemma-commoncrawl-th-29BT,3,10000,20.97152,0.5263157895,0.5052631579,0.5122807018000001,0.4947368421
1p46G-gemma-commoncrawl-th-29BT,3,10500,22.020096,0.5368421053,0.5403508772,0.5263157895,0.47368421050000004
1p46G-gemma-commoncrawl-th-29BT,3,11000,23.068672,0.5122807018000001,0.5122807018000001,0.5122807018000001,0.4666666667
1p46G-gemma-commoncrawl-th-29BT,3,11500,24.117248,0.5192982456,0.501754386,0.5192982456,0.501754386
1p46G-gemma-commoncrawl-th-29BT,3,12000,25.165824,0.501754386,0.5087719298,0.5122807018000001,0.49122807020000003
1p46G-gemma-commoncrawl-th-29BT,3,12500,26.2144,0.5192982456,0.501754386,0.5192982456,0.49122807020000003
1p46G-gemma-commoncrawl-th-29BT,3,13000,27.262976,0.5122807018000001,0.498245614,0.5157894737000001,0.48771929820000004
1p46G-gemma-commoncrawl-th-29BT,3,13500,28.311552,0.5157894737000001,0.5052631579,0.5052631579,0.48771929820000004
1p46G-gemma-commoncrawl-th-29BT,3,14000,29.360128,0.5403508772,0.5087719298,0.5192982456,0.498245614
1p46G-gemma-commoncrawl-th-29BT,3,1500,3.145728,0.48771929820000004,0.498245614,0.5403508772,0.47719298250000003
1p46G-gemma-commoncrawl-th-29BT,3,2000,4.194304,0.5052631579,0.501754386,0.5157894737000001,0.5087719298
1p46G-gemma-commoncrawl-th-29BT,3,2500,5.24288,0.501754386,0.5122807018000001,0.5157894737000001,0.47368421050000004
1p46G-gemma-commoncrawl-th-29BT,3,3000,6.291456,0.5228070175,0.5192982456,0.5263157895,0.501754386
1p46G-gemma-commoncrawl-th-29BT,3,3500,7.340032,0.49122807020000003,0.5228070175,0.5157894737000001,0.48771929820000004
1p46G-gemma-commoncrawl-th-29BT,3,4000,8.388608,0.5192982456,0.5087719298,0.5052631579,0.5192982456
1p46G-gemma-commoncrawl-th-29BT,3,4500,9.437184,0.5087719298,0.5298245614,0.5122807018000001,0.501754386
1p46G-gemma-commoncrawl-th-29BT,3,500,1.048576,0.5122807018000001,0.5192982456,0.5087719298,0.4947368421
1p46G-gemma-commoncrawl-th-29BT,3,5000,10.48576,0.5228070175,0.5228070175,0.5192982456,0.4947368421
1p46G-gemma-commoncrawl-th-29BT,3,5500,11.534336,0.5298245614,0.5157894737000001,0.5122807018000001,0.5263157895
1p46G-gemma-commoncrawl-th-29BT,3,6000,12.582912,0.5228070175,0.5087719298,0.5087719298,0.5087719298
1p46G-gemma-commoncrawl-th-29BT,3,6500,13.631488,0.501754386,0.5157894737000001,0.5157894737000001,0.498245614
1p46G-gemma-commoncrawl-th-29BT,3,7000,14.680064,0.5122807018000001,0.5052631579,0.5052631579,0.5122807018000001
1p46G-gemma-commoncrawl-th-29BT,3,7500,15.72864,0.5122807018000001,0.5192982456,0.5052631579,0.5228070175
1p46G-gemma-commoncrawl-th-29BT,3,8000,16.777216,0.5228070175,0.5298245614,0.5087719298,0.5087719298
1p46G-gemma-commoncrawl-th-29BT,3,8500,17.825792,0.5228070175,0.5087719298,0.5263157895,0.5087719298
1p46G-gemma-commoncrawl-th-29BT,3,9000,18.874368,0.498245614,0.501754386,0.5052631579,0.4842105263
1p46G-gemma-commoncrawl-th-29BT,3,9500,19.922944,0.5614035088,0.5403508772,0.5403508772,0.5052631579
baseline-th-,42,0,0.0,0.5,0.5,0.5,0.5
1p46G-gemma-commoncrawl-th-29BT,4,0,0.0,0.0384615385,0.0384615385,0.0384615385,0.0384615385
1p46G-gemma-commoncrawl-th-29BT,4,1000,2.097152,0.0,0.0,0.0,0.0384615385
1p46G-gemma-commoncrawl-th-29BT,4,10000,20.97152,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,10500,22.020096,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,11000,23.068672,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,11500,24.117248,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,12000,25.165824,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,12500,26.2144,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,13000,27.262976,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,13500,28.311552,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,14000,29.360128,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,1500,3.145728,0.0,0.0,0.0,0.0769230769
1p46G-gemma-commoncrawl-th-29BT,4,2000,4.194304,0.0,0.0,0.0,0.0384615385
1p46G-gemma-commoncrawl-th-29BT,4,2500,5.24288,0.0,0.0,0.0,0.0384615385
1p46G-gemma-commoncrawl-th-29BT,4,3000,6.291456,0.0,0.0,0.0,0.0384615385
1p46G-gemma-commoncrawl-th-29BT,4,3500,7.340032,0.0,0.0,0.0,0.0384615385
1p46G-gemma-commoncrawl-th-29BT,4,4000,8.388608,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,4500,9.437184,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,500,1.048576,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,5000,10.48576,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,5500,11.534336,0.0,0.0,0.0,0.0384615385
1p46G-gemma-commoncrawl-th-29BT,4,6000,12.582912,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,6500,13.631488,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,7000,14.680064,0.0,0.0,0.0,0.0384615385
1p46G-gemma-commoncrawl-th-29BT,4,7500,15.72864,0.0,0.0,0.0,0.0384615385
1p46G-gemma-commoncrawl-th-29BT,4,8000,16.777216,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,8500,17.825792,0.0,0.0,0.0,0.0384615385
1p46G-gemma-commoncrawl-th-29BT,4,9000,18.874368,0.0,0.0,0.0,0.0769230769
1p46G-gemma-commoncrawl-th-29BT,4,9500,19.922944,0.0,0.0,0.0,0.0384615385
1p46G-gemma-lynx-th-29BT,6,0,0.0,0.5052631579,0.49122807020000003,0.4807017544,0.4701754386
1p46G-gemma-lynx-th-29BT,6,1000,2.097152,0.5157894737000001,0.5122807018000001,0.5298245614,0.5157894737000001
1p46G-gemma-lynx-th-29BT,6,10000,20.97152,0.5298245614,0.5263157895,0.5263157895,0.4947368421
1p46G-gemma-lynx-th-29BT,6,10500,22.020096,0.4947368421,0.5087719298,0.5122807018000001,0.5087719298
1p46G-gemma-lynx-th-29BT,6,11000,23.068672,0.5052631579,0.5263157895,0.5052631579,0.5052631579
1p46G-gemma-lynx-th-29BT,6,11500,24.117248,0.4947368421,0.5228070175,0.5192982456,0.498245614
1p46G-gemma-lynx-th-29BT,6,12000,25.165824,0.5087719298,0.5157894737000001,0.5192982456,0.48771929820000004
1p46G-gemma-lynx-th-29BT,6,12500,26.2144,0.501754386,0.5122807018000001,0.5122807018000001,0.498245614
1p46G-gemma-lynx-th-29BT,6,13000,27.262976,0.5228070175,0.5192982456,0.5122807018000001,0.5087719298
1p46G-gemma-lynx-th-29BT,6,13500,28.311552,0.5192982456,0.5298245614,0.5122807018000001,0.4807017544
1p46G-gemma-lynx-th-29BT,6,14000,29.360128,0.5052631579,0.5263157895,0.5157894737000001,0.47368421050000004
1p46G-gemma-lynx-th-29BT,6,1500,3.145728,0.5228070175,0.4947368421,0.5333333333,0.4947368421
1p46G-gemma-lynx-th-29BT,6,2000,4.194304,0.5157894737000001,0.5087719298,0.5157894737000001,0.5157894737000001
1p46G-gemma-lynx-th-29BT,6,2500,5.24288,0.501754386,0.5298245614,0.5052631579,0.47368421050000004
1p46G-gemma-lynx-th-29BT,6,3000,6.291456,0.5228070175,0.5157894737000001,0.5263157895,0.5192982456
1p46G-gemma-lynx-th-29BT,6,3500,7.340032,0.5157894737000001,0.5157894737000001,0.5192982456,0.501754386
1p46G-gemma-lynx-th-29BT,6,4000,8.388608,0.48771929820000004,0.4842105263,0.5333333333,0.5122807018000001
1p46G-gemma-lynx-th-29BT,6,4500,9.437184,0.5052631579,0.5087719298,0.5122807018000001,0.4666666667
1p46G-gemma-lynx-th-29BT,6,500,1.048576,0.5403508772,0.5403508772,0.5298245614,0.4842105263
1p46G-gemma-lynx-th-29BT,6,5000,10.48576,0.49122807020000003,0.498245614,0.5228070175,0.501754386
1p46G-gemma-lynx-th-29BT,6,5500,11.534336,0.5087719298,0.5263157895,0.5228070175,0.498245614
