runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-th-29BT,3,0,0.0,0.536,0.54,0.484,0.502
1p46G-gemma-commoncrawl-th-29BT,3,1000,2.097152,0.554,0.51,0.482,0.54
1p46G-gemma-commoncrawl-th-29BT,3,10000,20.97152,0.5760000000000001,0.524,0.522,0.582
1p46G-gemma-commoncrawl-th-29BT,3,10500,22.020096,0.592,0.532,0.532,0.6000000000000001
1p46G-gemma-commoncrawl-th-29BT,3,11000,23.068672,0.588,0.526,0.536,0.586
1p46G-gemma-commoncrawl-th-29BT,3,11500,24.117248,0.59,0.528,0.522,0.58
1p46G-gemma-commoncrawl-th-29BT,3,12000,25.165824,0.594,0.54,0.524,0.5740000000000001
1p46G-gemma-commoncrawl-th-29BT,3,12500,26.2144,0.592,0.518,0.53,0.5680000000000001
1p46G-gemma-commoncrawl-th-29BT,3,13000,27.262976,0.588,0.526,0.532,0.594
1p46G-gemma-commoncrawl-th-29BT,3,13500,28.311552,0.582,0.538,0.52,0.598
1p46G-gemma-commoncrawl-th-29BT,3,14000,29.360128,0.588,0.532,0.53,0.5740000000000001
1p46G-gemma-commoncrawl-th-29BT,3,1500,3.145728,0.5720000000000001,0.516,0.486,0.538
1p46G-gemma-commoncrawl-th-29BT,3,2000,4.194304,0.586,0.532,0.51,0.554
1p46G-gemma-commoncrawl-th-29BT,3,2500,5.24288,0.588,0.542,0.504,0.546
1p46G-gemma-commoncrawl-th-29BT,3,3000,6.291456,0.5760000000000001,0.518,0.522,0.56
1p46G-gemma-commoncrawl-th-29BT,3,3500,7.340032,0.5760000000000001,0.52,0.496,0.558
1p46G-gemma-commoncrawl-th-29BT,3,4000,8.388608,0.58,0.524,0.534,0.58
1p46G-gemma-commoncrawl-th-29BT,3,4500,9.437184,0.586,0.526,0.524,0.558
1p46G-gemma-commoncrawl-th-29BT,3,500,1.048576,0.55,0.524,0.488,0.482
1p46G-gemma-commoncrawl-th-29BT,3,5000,10.48576,0.5740000000000001,0.538,0.508,0.548
1p46G-gemma-commoncrawl-th-29BT,3,5500,11.534336,0.582,0.524,0.514,0.5720000000000001
1p46G-gemma-commoncrawl-th-29BT,3,6000,12.582912,0.5740000000000001,0.522,0.514,0.554
1p46G-gemma-commoncrawl-th-29BT,3,6500,13.631488,0.592,0.532,0.522,0.556
1p46G-gemma-commoncrawl-th-29BT,3,7000,14.680064,0.5680000000000001,0.526,0.514,0.5700000000000001
1p46G-gemma-commoncrawl-th-29BT,3,7500,15.72864,0.59,0.518,0.522,0.594
1p46G-gemma-commoncrawl-th-29BT,3,8000,16.777216,0.5740000000000001,0.524,0.5,0.5700000000000001
1p46G-gemma-commoncrawl-th-29BT,3,8500,17.825792,0.582,0.538,0.512,0.578
1p46G-gemma-commoncrawl-th-29BT,3,9000,18.874368,0.6000000000000001,0.53,0.524,0.592
1p46G-gemma-commoncrawl-th-29BT,3,9500,19.922944,0.58,0.538,0.522,0.598
baseline-th-,42,0,0.0,0.5,0.5,0.5,0.5
1p46G-gemma-commoncrawl-th-29BT,4,0,0.0,0.534,0.536,0.496,0.506
1p46G-gemma-commoncrawl-th-29BT,4,1000,2.097152,0.538,0.536,0.514,0.522
1p46G-gemma-commoncrawl-th-29BT,4,10000,20.97152,0.588,0.55,0.528,0.5740000000000001
1p46G-gemma-commoncrawl-th-29BT,4,10500,22.020096,0.578,0.546,0.516,0.5700000000000001
1p46G-gemma-commoncrawl-th-29BT,4,11000,23.068672,0.584,0.538,0.53,0.562
1p46G-gemma-commoncrawl-th-29BT,4,11500,24.117248,0.59,0.538,0.522,0.558
