runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-th-29BT,3,0,0.0,0.502,0.502,0.522,0.519
1p46G-gemma-commoncrawl-th-29BT,3,1000,2.097152,0.502,0.502,0.498,0.506
1p46G-gemma-commoncrawl-th-29BT,3,10000,20.97152,0.52,0.52,0.496,0.513
1p46G-gemma-commoncrawl-th-29BT,3,10500,22.020096,0.51,0.51,0.497,0.512
1p46G-gemma-commoncrawl-th-29BT,3,11000,23.068672,0.536,0.536,0.497,0.512
1p46G-gemma-commoncrawl-th-29BT,3,11500,24.117248,0.513,0.513,0.497,0.509
1p46G-gemma-commoncrawl-th-29BT,3,12000,25.165824,0.508,0.508,0.498,0.541
1p46G-gemma-commoncrawl-th-29BT,3,12500,26.2144,0.499,0.499,0.498,0.528
1p46G-gemma-commoncrawl-th-29BT,3,13000,27.262976,0.506,0.506,0.497,0.516
1p46G-gemma-commoncrawl-th-29BT,3,13500,28.311552,0.507,0.507,0.497,0.523
1p46G-gemma-commoncrawl-th-29BT,3,14000,29.360128,0.514,0.514,0.497,0.517
1p46G-gemma-commoncrawl-th-29BT,3,1500,3.145728,0.517,0.517,0.498,0.518
1p46G-gemma-commoncrawl-th-29BT,3,2000,4.194304,0.517,0.517,0.498,0.496
1p46G-gemma-commoncrawl-th-29BT,3,2500,5.24288,0.515,0.515,0.493,0.527
1p46G-gemma-commoncrawl-th-29BT,3,3000,6.291456,0.509,0.509,0.497,0.483
1p46G-gemma-commoncrawl-th-29BT,3,3500,7.340032,0.501,0.501,0.498,0.501
1p46G-gemma-commoncrawl-th-29BT,3,4000,8.388608,0.502,0.502,0.498,0.501
1p46G-gemma-commoncrawl-th-29BT,3,4500,9.437184,0.499,0.499,0.497,0.501
1p46G-gemma-commoncrawl-th-29BT,3,500,1.048576,0.515,0.515,0.5,0.515
1p46G-gemma-commoncrawl-th-29BT,3,5000,10.48576,0.499,0.499,0.498,0.513
1p46G-gemma-commoncrawl-th-29BT,3,5500,11.534336,0.501,0.501,0.5,0.506
1p46G-gemma-commoncrawl-th-29BT,3,6000,12.582912,0.503,0.503,0.499,0.51
1p46G-gemma-commoncrawl-th-29BT,3,6500,13.631488,0.504,0.504,0.5,0.499
1p46G-gemma-commoncrawl-th-29BT,3,7000,14.680064,0.501,0.501,0.497,0.5
1p46G-gemma-commoncrawl-th-29BT,3,7500,15.72864,0.518,0.518,0.503,0.509
1p46G-gemma-commoncrawl-th-29BT,3,8000,16.777216,0.511,0.511,0.497,0.522
1p46G-gemma-commoncrawl-th-29BT,3,8500,17.825792,0.507,0.507,0.498,0.503
1p46G-gemma-commoncrawl-th-29BT,3,9000,18.874368,0.505,0.505,0.497,0.502
1p46G-gemma-commoncrawl-th-29BT,3,9500,19.922944,0.502,0.502,0.496,0.505
baseline-th-,42,0,0.0,0.5,0.5,0.5,0.5
1p46G-gemma-commoncrawl-th-29BT,4,0,0.0,0.502,0.502,0.53,0.51
