runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-commoncrawl-th-29BT,3,0,0.0,0.0,3.7037000000000005e-05
1p46G-gemma-commoncrawl-th-29BT,3,1000,2.097152,0.0,0.0352661902
1p46G-gemma-commoncrawl-th-29BT,3,10000,20.97152,0.007,0.1009175575
1p46G-gemma-commoncrawl-th-29BT,3,10500,22.020096,0.009000000000000001,0.1037863412
1p46G-gemma-commoncrawl-th-29BT,3,11000,23.068672,0.01,0.1087052123
1p46G-gemma-commoncrawl-th-29BT,3,11500,24.117248,0.008,0.1060129486
1p46G-gemma-commoncrawl-th-29BT,3,12000,25.165824,0.015,0.1112863969
1p46G-gemma-commoncrawl-th-29BT,3,12500,26.2144,0.009000000000000001,0.1038114728
1p46G-gemma-commoncrawl-th-29BT,3,13000,27.262976,0.01,0.1033902453
1p46G-gemma-commoncrawl-th-29BT,3,13500,28.311552,0.01,0.1060134398
1p46G-gemma-commoncrawl-th-29BT,3,14000,29.360128,0.008,0.1152721008
1p46G-gemma-commoncrawl-th-29BT,3,1500,3.145728,0.001,0.0550640295
1p46G-gemma-commoncrawl-th-29BT,3,2000,4.194304,0.001,0.0709566263
1p46G-gemma-commoncrawl-th-29BT,3,2500,5.24288,0.001,0.045114269900000004
1p46G-gemma-commoncrawl-th-29BT,3,3000,6.291456,0.002,0.0722837842
1p46G-gemma-commoncrawl-th-29BT,3,3500,7.340032,0.0,0.0651573492
1p46G-gemma-commoncrawl-th-29BT,3,4000,8.388608,0.003,0.07518800860000001
1p46G-gemma-commoncrawl-th-29BT,3,4500,9.437184,0.004,0.0914301665
1p46G-gemma-commoncrawl-th-29BT,3,500,1.048576,0.0,0.019597631600000002
1p46G-gemma-commoncrawl-th-29BT,3,5000,10.48576,0.009000000000000001,0.07832873500000001
1p46G-gemma-commoncrawl-th-29BT,3,5500,11.534336,0.005,0.0912714307
1p46G-gemma-commoncrawl-th-29BT,3,6000,12.582912,0.008,0.08330136340000001
1p46G-gemma-commoncrawl-th-29BT,3,6500,13.631488,0.003,0.0963459725
1p46G-gemma-commoncrawl-th-29BT,3,7000,14.680064,0.003,0.0877827753
1p46G-gemma-commoncrawl-th-29BT,3,7500,15.72864,0.006,0.0871343715
1p46G-gemma-commoncrawl-th-29BT,3,8000,16.777216,0.009000000000000001,0.0901200982
1p46G-gemma-commoncrawl-th-29BT,3,8500,17.825792,0.014,0.09419774900000001
1p46G-gemma-commoncrawl-th-29BT,3,9000,18.874368,0.007,0.1036324606
1p46G-gemma-commoncrawl-th-29BT,3,9500,19.922944,0.012,0.1001066612
baseline-th-,42,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,4,0,0.0,0.0,5.8823500000000004e-05
1p46G-gemma-commoncrawl-th-29BT,4,1000,2.097152,0.0,0.0296748637
1p46G-gemma-commoncrawl-th-29BT,4,10000,20.97152,0.018000000000000002,0.0934048288
1p46G-gemma-commoncrawl-th-29BT,4,10500,22.020096,0.025,0.08996734170000001
1p46G-gemma-commoncrawl-th-29BT,4,11000,23.068672,0.026000000000000002,0.0846613944
1p46G-gemma-commoncrawl-th-29BT,4,11500,24.117248,0.025,0.0833991454
1p46G-gemma-commoncrawl-th-29BT,4,12000,25.165824,0.028,0.08749742590000001
1p46G-gemma-commoncrawl-th-29BT,4,12500,26.2144,0.03,0.0946389604
1p46G-gemma-commoncrawl-th-29BT,4,13000,27.262976,0.029,0.0935425737
1p46G-gemma-commoncrawl-th-29BT,4,13500,28.311552,0.025,0.0891034082
1p46G-gemma-commoncrawl-th-29BT,4,14000,29.360128,0.028,0.0933365897
1p46G-gemma-commoncrawl-th-29BT,4,1500,3.145728,0.0,0.0495637343
1p46G-gemma-commoncrawl-th-29BT,4,2000,4.194304,0.0,0.030765451200000002
1p46G-gemma-commoncrawl-th-29BT,4,2500,5.24288,0.003,0.06689234720000001
1p46G-gemma-commoncrawl-th-29BT,4,3000,6.291456,0.005,0.0628149424
1p46G-gemma-commoncrawl-th-29BT,4,3500,7.340032,0.005,0.0658359185
1p46G-gemma-commoncrawl-th-29BT,4,4000,8.388608,0.002,0.0766016873
1p46G-gemma-commoncrawl-th-29BT,4,4500,9.437184,0.002,0.0727434426
1p46G-gemma-commoncrawl-th-29BT,4,500,1.048576,0.001,0.0231528382
1p46G-gemma-commoncrawl-th-29BT,4,5000,10.48576,0.006,0.0758712077
1p46G-gemma-commoncrawl-th-29BT,4,5500,11.534336,0.011,0.07854146690000001
1p46G-gemma-commoncrawl-th-29BT,4,6000,12.582912,0.014,0.0783179685
1p46G-gemma-commoncrawl-th-29BT,4,6500,13.631488,0.011,0.0775664004
1p46G-gemma-commoncrawl-th-29BT,4,7000,14.680064,0.015,0.0771303528
1p46G-gemma-commoncrawl-th-29BT,4,7500,15.72864,0.009000000000000001,0.0791642055
1p46G-gemma-commoncrawl-th-29BT,4,8000,16.777216,0.014,0.0778271646
1p46G-gemma-commoncrawl-th-29BT,4,8500,17.825792,0.021,0.0909552032
1p46G-gemma-commoncrawl-th-29BT,4,9000,18.874368,0.018000000000000002,0.0857319463
1p46G-gemma-commoncrawl-th-29BT,4,9500,19.922944,0.026000000000000002,0.09029875500000001
1p46G-gemma-lynx-th-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-lynx-th-29BT,6,1000,2.097152,0.001,0.026954199999999998
1p46G-gemma-lynx-th-29BT,6,10000,20.97152,0.006,0.0635043151
1p46G-gemma-lynx-th-29BT,6,10500,22.020096,0.012,0.062213164300000005
1p46G-gemma-lynx-th-29BT,6,11000,23.068672,0.011,0.061911399400000004
1p46G-gemma-lynx-th-29BT,6,11500,24.117248,0.009000000000000001,0.067197848
1p46G-gemma-lynx-th-29BT,6,12000,25.165824,0.011,0.0662462446
1p46G-gemma-lynx-th-29BT,6,12500,26.2144,0.009000000000000001,0.0608192309
1p46G-gemma-lynx-th-29BT,6,13000,27.262976,0.008,0.0650351128
1p46G-gemma-lynx-th-29BT,6,13500,28.311552,0.009000000000000001,0.064165631
1p46G-gemma-lynx-th-29BT,6,14000,29.360128,0.013000000000000001,0.06561471590000001
1p46G-gemma-lynx-th-29BT,6,1500,3.145728,0.0,0.0377487691
1p46G-gemma-lynx-th-29BT,6,2000,4.194304,0.0,0.032744528200000005
1p46G-gemma-lynx-th-29BT,6,2500,5.24288,0.001,0.055264969000000004
1p46G-gemma-lynx-th-29BT,6,3000,6.291456,0.001,0.0431021206
1p46G-gemma-lynx-th-29BT,6,3500,7.340032,0.001,0.0416792173
1p46G-gemma-lynx-th-29BT,6,4000,8.388608,0.003,0.0613082927
1p46G-gemma-lynx-th-29BT,6,4500,9.437184,0.009000000000000001,0.065629215
1p46G-gemma-lynx-th-29BT,6,500,1.048576,0.007,0.012957336000000002
1p46G-gemma-lynx-th-29BT,6,5000,10.48576,0.001,0.053402260300000004
1p46G-gemma-lynx-th-29BT,6,5500,11.534336,0.003,0.0602834615
1p46G-gemma-lynx-th-29BT,6,6000,12.582912,0.005,0.0481866361
1p46G-gemma-lynx-th-29BT,6,6500,13.631488,0.009000000000000001,0.056375309900000004
1p46G-gemma-lynx-th-29BT,6,7000,14.680064,0.007,0.0506424586
1p46G-gemma-lynx-th-29BT,6,7500,15.72864,0.001,0.056262716600000005
1p46G-gemma-lynx-th-29BT,6,8000,16.777216,0.009000000000000001,0.060903873600000005
1p46G-gemma-lynx-th-29BT,6,8500,17.825792,0.006,0.06628111290000001
1p46G-gemma-lynx-th-29BT,6,9000,18.874368,0.008,0.0641195572
1p46G-gemma-lynx-th-29BT,6,9500,19.922944,0.008,0.0653142751
1p46G-gemma-orion-th-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-orion-th-29BT,6,1000,2.097152,0.002,0.0387320461
1p46G-gemma-orion-th-29BT,6,10000,20.97152,0.02,0.0961610254
1p46G-gemma-orion-th-29BT,6,10500,22.020096,0.021,0.09946429920000001
1p46G-gemma-orion-th-29BT,6,11000,23.068672,0.023,0.1050895824
1p46G-gemma-orion-th-29BT,6,11500,24.117248,0.031,0.1184046218
1p46G-gemma-orion-th-29BT,6,12000,25.165824,0.023,0.12285088400000001
1p46G-gemma-orion-th-29BT,6,12500,26.2144,0.022,0.1225425675
1p46G-gemma-orion-th-29BT,6,13000,27.262976,0.027,0.1160651327
1p46G-gemma-orion-th-29BT,6,13500,28.311552,0.023,0.11892234510000001
1p46G-gemma-orion-th-29BT,6,14000,29.360128,0.027,0.1115392775
1p46G-gemma-orion-th-29BT,6,1500,3.145728,0.0,0.0488759475
1p46G-gemma-orion-th-29BT,6,2000,4.194304,0.001,0.054829471500000004
1p46G-gemma-orion-th-29BT,6,2500,5.24288,0.003,0.0559634149
1p46G-gemma-orion-th-29BT,6,3000,6.291456,0.004,0.0618066923
1p46G-gemma-orion-th-29BT,6,3500,7.340032,0.001,0.0560287326
1p46G-gemma-orion-th-29BT,6,4000,8.388608,0.002,0.07211981790000001
1p46G-gemma-orion-th-29BT,6,4500,9.437184,0.007,0.07240001680000001
1p46G-gemma-orion-th-29BT,6,500,1.048576,0.004,0.046829083
1p46G-gemma-orion-th-29BT,6,5000,10.48576,0.006,0.0687912804
1p46G-gemma-orion-th-29BT,6,5500,11.534336,0.004,0.0794328546
1p46G-gemma-orion-th-29BT,6,6000,12.582912,0.007,0.081218647
1p46G-gemma-orion-th-29BT,6,6500,13.631488,0.021,0.08618495550000001
1p46G-gemma-orion-th-29BT,6,7000,14.680064,0.013000000000000001,0.084564184
1p46G-gemma-orion-th-29BT,6,7500,15.72864,0.013000000000000001,0.0871485153
1p46G-gemma-orion-th-29BT,6,8000,16.777216,0.021,0.09652594460000001
1p46G-gemma-orion-th-29BT,6,8500,17.825792,0.018000000000000002,0.0954901106
1p46G-gemma-orion-th-29BT,6,9000,18.874368,0.021,0.09032139010000001
1p46G-gemma-orion-th-29BT,6,9500,19.922944,0.014,0.0986837758
1p46G-gemma-commoncrawl-th-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-th-29BT,6,1000,2.097152,0.002,0.0466914394
1p46G-gemma-commoncrawl-th-29BT,6,10000,20.97152,0.022,0.0974676087
1p46G-gemma-commoncrawl-th-29BT,6,10500,22.020096,0.02,0.0866339066
1p46G-gemma-commoncrawl-th-29BT,6,11000,23.068672,0.015,0.09128825530000001
1p46G-gemma-commoncrawl-th-29BT,6,11500,24.117248,0.021,0.0947980971
1p46G-gemma-commoncrawl-th-29BT,6,12000,25.165824,0.021,0.0995042284
1p46G-gemma-commoncrawl-th-29BT,6,12500,26.2144,0.024,0.0999454343
1p46G-gemma-commoncrawl-th-29BT,6,13000,27.262976,0.021,0.10189347750000001
1p46G-gemma-commoncrawl-th-29BT,6,13500,28.311552,0.019,0.1018637955
1p46G-gemma-commoncrawl-th-29BT,6,14000,29.360128,0.017,0.0981703024
1p46G-gemma-commoncrawl-th-29BT,6,1500,3.145728,0.0,0.0602961642
1p46G-gemma-commoncrawl-th-29BT,6,2000,4.194304,0.001,0.049743519400000005
1p46G-gemma-commoncrawl-th-29BT,6,2500,5.24288,0.002,0.0737332891
1p46G-gemma-commoncrawl-th-29BT,6,3000,6.291456,0.007,0.0718418742
1p46G-gemma-commoncrawl-th-29BT,6,3500,7.340032,0.001,0.0650669628
1p46G-gemma-commoncrawl-th-29BT,6,4000,8.388608,0.004,0.0762752581
1p46G-gemma-commoncrawl-th-29BT,6,4500,9.437184,0.004,0.0665493315
1p46G-gemma-commoncrawl-th-29BT,6,500,1.048576,0.001,0.0108021848
1p46G-gemma-commoncrawl-th-29BT,6,5000,10.48576,0.014,0.0811095418
1p46G-gemma-commoncrawl-th-29BT,6,5500,11.534336,0.01,0.0858620045
1p46G-gemma-commoncrawl-th-29BT,6,6000,12.582912,0.011,0.08940814920000001
1p46G-gemma-commoncrawl-th-29BT,6,6500,13.631488,0.013000000000000001,0.0876115811
1p46G-gemma-commoncrawl-th-29BT,6,7000,14.680064,0.013000000000000001,0.08003225950000001
1p46G-gemma-commoncrawl-th-29BT,6,7500,15.72864,0.021,0.0887833879
1p46G-gemma-commoncrawl-th-29BT,6,8000,16.777216,0.01,0.0878042882
1p46G-gemma-commoncrawl-th-29BT,6,8500,17.825792,0.011,0.083572293
1p46G-gemma-commoncrawl-th-29BT,6,9000,18.874368,0.01,0.0915992013
1p46G-gemma-commoncrawl-th-29BT,6,9500,19.922944,0.017,0.0953703301
1p46G-gemma-commoncrawl-th-29BT,5,0,0.0,0.0,2.4691400000000002e-05
1p46G-gemma-commoncrawl-th-29BT,5,1000,2.097152,0.0,0.031887500400000005
1p46G-gemma-commoncrawl-th-29BT,5,10000,20.97152,0.02,0.1000167544
1p46G-gemma-commoncrawl-th-29BT,5,10500,22.020096,0.019,0.09862208210000001
1p46G-gemma-commoncrawl-th-29BT,5,11000,23.068672,0.019,0.1093982289
1p46G-gemma-commoncrawl-th-29BT,5,11500,24.117248,0.028,0.1095311572
1p46G-gemma-commoncrawl-th-29BT,5,12000,25.165824,0.025,0.11579208910000001
1p46G-gemma-commoncrawl-th-29BT,5,12500,26.2144,0.021,0.10196934690000001
1p46G-gemma-commoncrawl-th-29BT,5,13000,27.262976,0.021,0.1113687732
1p46G-gemma-commoncrawl-th-29BT,5,13500,28.311552,0.021,0.1131778318
1p46G-gemma-commoncrawl-th-29BT,5,14000,29.360128,0.019,0.1028883532
1p46G-gemma-commoncrawl-th-29BT,5,1500,3.145728,0.0,0.04634437
1p46G-gemma-commoncrawl-th-29BT,5,2000,4.194304,0.0,0.0661463857
1p46G-gemma-commoncrawl-th-29BT,5,2500,5.24288,0.002,0.0677048648
1p46G-gemma-commoncrawl-th-29BT,5,3000,6.291456,0.0,0.0706617947
1p46G-gemma-commoncrawl-th-29BT,5,3500,7.340032,0.0,0.07017608780000001
1p46G-gemma-commoncrawl-th-29BT,5,4000,8.388608,0.001,0.0725742297
1p46G-gemma-commoncrawl-th-29BT,5,4500,9.437184,0.009000000000000001,0.07507454100000001
1p46G-gemma-commoncrawl-th-29BT,5,500,1.048576,0.01,0.0137415603
1p46G-gemma-commoncrawl-th-29BT,5,5000,10.48576,0.008,0.0850097331
1p46G-gemma-commoncrawl-th-29BT,5,5500,11.534336,0.009000000000000001,0.07994496450000001
