runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-tr-29BT,6,0,0.0,0.271,0.272,0.245,0.258
1p46G-gemma-commoncrawl-tr-29BT,6,1000,2.097152,0.313,0.317,0.28600000000000003,0.302
1p46G-gemma-commoncrawl-tr-29BT,6,10000,20.97152,0.392,0.383,0.354,0.368
1p46G-gemma-commoncrawl-tr-29BT,6,10500,22.020096,0.39,0.37,0.34900000000000003,0.377
1p46G-gemma-commoncrawl-tr-29BT,6,11000,23.068672,0.386,0.386,0.34900000000000003,0.38
1p46G-gemma-commoncrawl-tr-29BT,6,11500,24.117248,0.389,0.385,0.34800000000000003,0.36
1p46G-gemma-commoncrawl-tr-29BT,6,12000,25.165824,0.39,0.378,0.34900000000000003,0.371
1p46G-gemma-commoncrawl-tr-29BT,6,12500,26.2144,0.395,0.389,0.34700000000000003,0.366
1p46G-gemma-commoncrawl-tr-29BT,6,13000,27.262976,0.383,0.389,0.34900000000000003,0.364
1p46G-gemma-commoncrawl-tr-29BT,6,13500,28.311552,0.398,0.389,0.34800000000000003,0.367
1p46G-gemma-commoncrawl-tr-29BT,6,14000,29.360128,0.394,0.399,0.343,0.369
1p46G-gemma-commoncrawl-tr-29BT,6,1500,3.145728,0.323,0.328,0.296,0.314
1p46G-gemma-commoncrawl-tr-29BT,6,2000,4.194304,0.341,0.34500000000000003,0.307,0.321
1p46G-gemma-commoncrawl-tr-29BT,6,2500,5.24288,0.341,0.34700000000000003,0.315,0.343
1p46G-gemma-commoncrawl-tr-29BT,6,3000,6.291456,0.364,0.363,0.335,0.329
1p46G-gemma-commoncrawl-tr-29BT,6,3500,7.340032,0.359,0.367,0.332,0.331
1p46G-gemma-commoncrawl-tr-29BT,6,4000,8.388608,0.34900000000000003,0.354,0.325,0.339
1p46G-gemma-commoncrawl-tr-29BT,6,4500,9.437184,0.362,0.356,0.339,0.34800000000000003
1p46G-gemma-commoncrawl-tr-29BT,6,500,1.048576,0.271,0.269,0.27,0.277
1p46G-gemma-commoncrawl-tr-29BT,6,5000,10.48576,0.314,0.327,0.309,0.276
1p46G-gemma-commoncrawl-tr-29BT,6,5500,11.534336,0.372,0.356,0.343,0.35100000000000003
1p46G-gemma-commoncrawl-tr-29BT,6,6000,12.582912,0.377,0.363,0.35100000000000003,0.341
1p46G-gemma-commoncrawl-tr-29BT,6,6500,13.631488,0.379,0.37,0.34500000000000003,0.35100000000000003
1p46G-gemma-commoncrawl-tr-29BT,6,7000,14.680064,0.382,0.365,0.34,0.34600000000000003
1p46G-gemma-commoncrawl-tr-29BT,6,7500,15.72864,0.394,0.373,0.34900000000000003,0.364
1p46G-gemma-commoncrawl-tr-29BT,6,8000,16.777216,0.394,0.38,0.34900000000000003,0.364
1p46G-gemma-commoncrawl-tr-29BT,6,8500,17.825792,0.388,0.363,0.337,0.369
1p46G-gemma-commoncrawl-tr-29BT,6,9000,18.874368,0.39,0.383,0.34500000000000003,0.352
1p46G-gemma-commoncrawl-tr-29BT,6,9500,19.922944,0.392,0.381,0.342,0.354
1p46G-gemma-orion-tr-29BT,6,0,0.0,0.271,0.272,0.245,0.258
1p46G-gemma-orion-tr-29BT,6,1000,2.097152,0.31,0.325,0.295,0.302
1p46G-gemma-orion-tr-29BT,6,10000,20.97152,0.40700000000000003,0.372,0.376,0.365
1p46G-gemma-orion-tr-29BT,6,10500,22.020096,0.397,0.381,0.372,0.37
1p46G-gemma-orion-tr-29BT,6,11000,23.068672,0.4,0.383,0.39,0.38
1p46G-gemma-orion-tr-29BT,6,11500,24.117248,0.397,0.381,0.378,0.362
1p46G-gemma-orion-tr-29BT,6,12000,25.165824,0.402,0.38,0.39,0.372
1p46G-gemma-orion-tr-29BT,6,12500,26.2144,0.397,0.389,0.384,0.363
1p46G-gemma-orion-tr-29BT,6,13000,27.262976,0.40700000000000003,0.385,0.378,0.37
1p46G-gemma-orion-tr-29BT,6,13500,28.311552,0.402,0.389,0.383,0.373
