runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-tr-29BT,6,0,0.0,0.27,0.268,0.262,0.23800000000000002
1p46G-gemma-commoncrawl-tr-29BT,6,1000,2.097152,0.28800000000000003,0.29,0.28,0.318
1p46G-gemma-commoncrawl-tr-29BT,6,10000,20.97152,0.325,0.352,0.363,0.352
1p46G-gemma-commoncrawl-tr-29BT,6,10500,22.020096,0.326,0.355,0.37,0.358
1p46G-gemma-commoncrawl-tr-29BT,6,11000,23.068672,0.327,0.35100000000000003,0.364,0.354
1p46G-gemma-commoncrawl-tr-29BT,6,11500,24.117248,0.335,0.353,0.371,0.34700000000000003
1p46G-gemma-commoncrawl-tr-29BT,6,12000,25.165824,0.327,0.357,0.366,0.353
1p46G-gemma-commoncrawl-tr-29BT,6,12500,26.2144,0.332,0.362,0.376,0.362
1p46G-gemma-commoncrawl-tr-29BT,6,13000,27.262976,0.333,0.365,0.37,0.358
1p46G-gemma-commoncrawl-tr-29BT,6,13500,28.311552,0.332,0.361,0.373,0.359
1p46G-gemma-commoncrawl-tr-29BT,6,14000,29.360128,0.333,0.36,0.377,0.353
1p46G-gemma-commoncrawl-tr-29BT,6,1500,3.145728,0.305,0.297,0.302,0.327
1p46G-gemma-commoncrawl-tr-29BT,6,2000,4.194304,0.296,0.315,0.307,0.34
1p46G-gemma-commoncrawl-tr-29BT,6,2500,5.24288,0.303,0.322,0.324,0.33
1p46G-gemma-commoncrawl-tr-29BT,6,3000,6.291456,0.301,0.319,0.315,0.34800000000000003
1p46G-gemma-commoncrawl-tr-29BT,6,3500,7.340032,0.303,0.335,0.329,0.328
1p46G-gemma-commoncrawl-tr-29BT,6,4000,8.388608,0.311,0.331,0.334,0.337
1p46G-gemma-commoncrawl-tr-29BT,6,4500,9.437184,0.312,0.335,0.34800000000000003,0.34800000000000003
1p46G-gemma-commoncrawl-tr-29BT,6,500,1.048576,0.28800000000000003,0.275,0.263,0.28800000000000003
1p46G-gemma-commoncrawl-tr-29BT,6,5000,10.48576,0.311,0.339,0.34700000000000003,0.34900000000000003
1p46G-gemma-commoncrawl-tr-29BT,6,5500,11.534336,0.313,0.342,0.352,0.35100000000000003
1p46G-gemma-commoncrawl-tr-29BT,6,6000,12.582912,0.317,0.341,0.356,0.368
1p46G-gemma-commoncrawl-tr-29BT,6,6500,13.631488,0.32,0.34900000000000003,0.367,0.357
1p46G-gemma-commoncrawl-tr-29BT,6,7000,14.680064,0.319,0.34900000000000003,0.366,0.362
1p46G-gemma-commoncrawl-tr-29BT,6,7500,15.72864,0.315,0.34600000000000003,0.354,0.355
1p46G-gemma-commoncrawl-tr-29BT,6,8000,16.777216,0.323,0.339,0.356,0.35000000000000003
1p46G-gemma-commoncrawl-tr-29BT,6,8500,17.825792,0.316,0.34700000000000003,0.367,0.354
1p46G-gemma-commoncrawl-tr-29BT,6,9000,18.874368,0.326,0.34700000000000003,0.37,0.34400000000000003
1p46G-gemma-commoncrawl-tr-29BT,6,9500,19.922944,0.323,0.352,0.374,0.36
1p46G-gemma-orion-tr-29BT,6,0,0.0,0.27,0.268,0.261,0.23800000000000002
1p46G-gemma-orion-tr-29BT,6,1000,2.097152,0.292,0.303,0.295,0.32
1p46G-gemma-orion-tr-29BT,6,10000,20.97152,0.322,0.363,0.369,0.374
1p46G-gemma-orion-tr-29BT,6,10500,22.020096,0.32,0.365,0.371,0.367
1p46G-gemma-orion-tr-29BT,6,11000,23.068672,0.321,0.363,0.373,0.371
1p46G-gemma-orion-tr-29BT,6,11500,24.117248,0.323,0.368,0.377,0.37
1p46G-gemma-orion-tr-29BT,6,12000,25.165824,0.327,0.361,0.373,0.374
1p46G-gemma-orion-tr-29BT,6,12500,26.2144,0.322,0.364,0.378,0.384
1p46G-gemma-orion-tr-29BT,6,13000,27.262976,0.322,0.371,0.376,0.364
1p46G-gemma-orion-tr-29BT,6,13500,28.311552,0.323,0.363,0.372,0.385
1p46G-gemma-orion-tr-29BT,6,14000,29.360128,0.32,0.363,0.382,0.386
1p46G-gemma-orion-tr-29BT,6,1500,3.145728,0.304,0.321,0.308,0.326
1p46G-gemma-orion-tr-29BT,6,2000,4.194304,0.298,0.312,0.32,0.334
1p46G-gemma-orion-tr-29BT,6,2500,5.24288,0.313,0.332,0.337,0.315
1p46G-gemma-orion-tr-29BT,6,3000,6.291456,0.317,0.331,0.337,0.332
1p46G-gemma-orion-tr-29BT,6,3500,7.340032,0.315,0.339,0.341,0.342
1p46G-gemma-orion-tr-29BT,6,4000,8.388608,0.311,0.335,0.341,0.355
1p46G-gemma-orion-tr-29BT,6,4500,9.437184,0.312,0.353,0.354,0.353
1p46G-gemma-orion-tr-29BT,6,500,1.048576,0.28800000000000003,0.28200000000000003,0.28400000000000003,0.313
1p46G-gemma-orion-tr-29BT,6,5000,10.48576,0.318,0.34600000000000003,0.34400000000000003,0.34700000000000003
1p46G-gemma-orion-tr-29BT,6,5500,11.534336,0.313,0.35000000000000003,0.34900000000000003,0.35100000000000003
1p46G-gemma-orion-tr-29BT,6,6000,12.582912,0.315,0.354,0.358,0.34800000000000003
1p46G-gemma-orion-tr-29BT,6,6500,13.631488,0.318,0.353,0.358,0.353
1p46G-gemma-orion-tr-29BT,6,7000,14.680064,0.312,0.34700000000000003,0.361,0.361
1p46G-gemma-orion-tr-29BT,6,7500,15.72864,0.325,0.34700000000000003,0.359,0.363
1p46G-gemma-orion-tr-29BT,6,8000,16.777216,0.321,0.358,0.35100000000000003,0.34900000000000003
1p46G-gemma-orion-tr-29BT,6,8500,17.825792,0.321,0.364,0.362,0.356
1p46G-gemma-orion-tr-29BT,6,9000,18.874368,0.322,0.356,0.357,0.363
1p46G-gemma-orion-tr-29BT,6,9500,19.922944,0.325,0.358,0.368,0.362
baseline-tr-,42,0,0.0,0.2500696405,0.2500696405,0.2500696405,0.2500696405
1p46G-gemma-aquila-tr-29BT,6,0,0.0,0.27,0.268,0.261,0.23800000000000002
1p46G-gemma-aquila-tr-29BT,6,1000,2.097152,0.295,0.31,0.303,0.319
1p46G-gemma-aquila-tr-29BT,6,10000,20.97152,0.332,0.367,0.366,0.34500000000000003
1p46G-gemma-aquila-tr-29BT,6,10500,22.020096,0.33,0.368,0.371,0.352
1p46G-gemma-aquila-tr-29BT,6,11000,23.068672,0.333,0.37,0.373,0.355
1p46G-gemma-aquila-tr-29BT,6,11500,24.117248,0.327,0.377,0.373,0.34700000000000003
1p46G-gemma-aquila-tr-29BT,6,12000,25.165824,0.332,0.369,0.374,0.34900000000000003
1p46G-gemma-aquila-tr-29BT,6,12500,26.2144,0.328,0.377,0.378,0.34900000000000003
1p46G-gemma-aquila-tr-29BT,6,13000,27.262976,0.329,0.382,0.368,0.353
1p46G-gemma-aquila-tr-29BT,6,13500,28.311552,0.332,0.37,0.373,0.34900000000000003
1p46G-gemma-aquila-tr-29BT,6,14000,29.360128,0.329,0.372,0.371,0.34400000000000003
1p46G-gemma-aquila-tr-29BT,6,1500,3.145728,0.309,0.318,0.311,0.321
1p46G-gemma-aquila-tr-29BT,6,2000,4.194304,0.306,0.326,0.331,0.327
1p46G-gemma-aquila-tr-29BT,6,2500,5.24288,0.311,0.335,0.335,0.34
1p46G-gemma-aquila-tr-29BT,6,3000,6.291456,0.303,0.34,0.34,0.336
1p46G-gemma-aquila-tr-29BT,6,3500,7.340032,0.317,0.34500000000000003,0.34400000000000003,0.353
1p46G-gemma-aquila-tr-29BT,6,4000,8.388608,0.323,0.34800000000000003,0.355,0.35000000000000003
1p46G-gemma-aquila-tr-29BT,6,4500,9.437184,0.322,0.335,0.34600000000000003,0.34700000000000003
1p46G-gemma-aquila-tr-29BT,6,500,1.048576,0.272,0.28300000000000003,0.267,0.275
1p46G-gemma-aquila-tr-29BT,6,5000,10.48576,0.316,0.339,0.34800000000000003,0.34400000000000003
1p46G-gemma-aquila-tr-29BT,6,5500,11.534336,0.318,0.361,0.353,0.34
1p46G-gemma-aquila-tr-29BT,6,6000,12.582912,0.315,0.35000000000000003,0.357,0.34900000000000003
1p46G-gemma-aquila-tr-29BT,6,6500,13.631488,0.322,0.357,0.371,0.34400000000000003
1p46G-gemma-aquila-tr-29BT,6,7000,14.680064,0.333,0.367,0.373,0.339
1p46G-gemma-aquila-tr-29BT,6,7500,15.72864,0.329,0.359,0.361,0.331
1p46G-gemma-aquila-tr-29BT,6,8000,16.777216,0.326,0.361,0.365,0.336
1p46G-gemma-aquila-tr-29BT,6,8500,17.825792,0.326,0.372,0.362,0.34400000000000003
1p46G-gemma-aquila-tr-29BT,6,9000,18.874368,0.33,0.368,0.368,0.34400000000000003
1p46G-gemma-aquila-tr-29BT,6,9500,19.922944,0.331,0.366,0.363,0.354
1p46G-gemma-commoncrawl-tr-29BT,3,0,0.0,0.268,0.255,0.225,0.23
1p46G-gemma-commoncrawl-tr-29BT,3,1000,2.097152,0.301,0.293,0.301,0.312
1p46G-gemma-commoncrawl-tr-29BT,3,10000,20.97152,0.326,0.338,0.34600000000000003,0.33
1p46G-gemma-commoncrawl-tr-29BT,3,10500,22.020096,0.319,0.34500000000000003,0.35000000000000003,0.334
1p46G-gemma-commoncrawl-tr-29BT,3,11000,23.068672,0.324,0.338,0.34800000000000003,0.337
1p46G-gemma-commoncrawl-tr-29BT,3,11500,24.117248,0.323,0.337,0.35100000000000003,0.34
1p46G-gemma-commoncrawl-tr-29BT,3,12000,25.165824,0.324,0.34400000000000003,0.352,0.335
1p46G-gemma-commoncrawl-tr-29BT,3,12500,26.2144,0.325,0.343,0.35100000000000003,0.332
1p46G-gemma-commoncrawl-tr-29BT,3,13000,27.262976,0.324,0.34600000000000003,0.353,0.334
1p46G-gemma-commoncrawl-tr-29BT,3,13500,28.311552,0.321,0.34600000000000003,0.34600000000000003,0.335
1p46G-gemma-commoncrawl-tr-29BT,3,14000,29.360128,0.325,0.354,0.353,0.333
1p46G-gemma-commoncrawl-tr-29BT,3,1500,3.145728,0.297,0.298,0.30000000000000004,0.337
1p46G-gemma-commoncrawl-tr-29BT,3,2000,4.194304,0.312,0.315,0.309,0.327
1p46G-gemma-commoncrawl-tr-29BT,3,2500,5.24288,0.303,0.318,0.322,0.34600000000000003
1p46G-gemma-commoncrawl-tr-29BT,3,3000,6.291456,0.304,0.32,0.318,0.326
1p46G-gemma-commoncrawl-tr-29BT,3,3500,7.340032,0.311,0.33,0.322,0.338
1p46G-gemma-commoncrawl-tr-29BT,3,4000,8.388608,0.306,0.321,0.323,0.335
1p46G-gemma-commoncrawl-tr-29BT,3,4500,9.437184,0.31,0.325,0.322,0.338
1p46G-gemma-commoncrawl-tr-29BT,3,500,1.048576,0.28200000000000003,0.271,0.264,0.278
1p46G-gemma-commoncrawl-tr-29BT,3,5000,10.48576,0.317,0.31,0.324,0.325
1p46G-gemma-commoncrawl-tr-29BT,3,5500,11.534336,0.316,0.323,0.334,0.338
1p46G-gemma-commoncrawl-tr-29BT,3,6000,12.582912,0.316,0.333,0.33,0.32
1p46G-gemma-commoncrawl-tr-29BT,3,6500,13.631488,0.324,0.324,0.325,0.339
1p46G-gemma-commoncrawl-tr-29BT,3,7000,14.680064,0.315,0.322,0.333,0.343
1p46G-gemma-commoncrawl-tr-29BT,3,7500,15.72864,0.312,0.336,0.342,0.342
1p46G-gemma-commoncrawl-tr-29BT,3,8000,16.777216,0.324,0.334,0.34500000000000003,0.342
1p46G-gemma-commoncrawl-tr-29BT,3,8500,17.825792,0.312,0.328,0.338,0.343
1p46G-gemma-commoncrawl-tr-29BT,3,9000,18.874368,0.309,0.329,0.341,0.334
1p46G-gemma-commoncrawl-tr-29BT,3,9500,19.922944,0.318,0.336,0.34,0.336
1p46G-gemma-lynx-tr-29BT,6,0,0.0,0.27,0.268,0.26,0.23900000000000002
1p46G-gemma-lynx-tr-29BT,6,1000,2.097152,0.298,0.271,0.28,0.28600000000000003
1p46G-gemma-lynx-tr-29BT,6,10000,20.97152,0.317,0.331,0.34500000000000003,0.338
1p46G-gemma-lynx-tr-29BT,6,10500,22.020096,0.317,0.337,0.34900000000000003,0.357
1p46G-gemma-lynx-tr-29BT,6,11000,23.068672,0.316,0.34900000000000003,0.343,0.34
1p46G-gemma-lynx-tr-29BT,6,11500,24.117248,0.316,0.339,0.34,0.339
1p46G-gemma-lynx-tr-29BT,6,12000,25.165824,0.319,0.342,0.343,0.334
1p46G-gemma-lynx-tr-29BT,6,12500,26.2144,0.312,0.343,0.34800000000000003,0.328
1p46G-gemma-lynx-tr-29BT,6,13000,27.262976,0.315,0.34500000000000003,0.34700000000000003,0.324
1p46G-gemma-lynx-tr-29BT,6,13500,28.311552,0.314,0.34700000000000003,0.355,0.341
1p46G-gemma-lynx-tr-29BT,6,14000,29.360128,0.317,0.354,0.353,0.331
1p46G-gemma-lynx-tr-29BT,6,1500,3.145728,0.29,0.292,0.29,0.31
1p46G-gemma-lynx-tr-29BT,6,2000,4.194304,0.28800000000000003,0.30000000000000004,0.293,0.316
1p46G-gemma-lynx-tr-29BT,6,2500,5.24288,0.298,0.302,0.298,0.315
1p46G-gemma-lynx-tr-29BT,6,3000,6.291456,0.297,0.308,0.306,0.327
1p46G-gemma-lynx-tr-29BT,6,3500,7.340032,0.308,0.316,0.323,0.326
1p46G-gemma-lynx-tr-29BT,6,4000,8.388608,0.302,0.315,0.308,0.335
1p46G-gemma-lynx-tr-29BT,6,4500,9.437184,0.307,0.323,0.327,0.327
1p46G-gemma-lynx-tr-29BT,6,500,1.048576,0.274,0.272,0.264,0.281
1p46G-gemma-lynx-tr-29BT,6,5000,10.48576,0.311,0.324,0.329,0.321
1p46G-gemma-lynx-tr-29BT,6,5500,11.534336,0.309,0.332,0.332,0.331
1p46G-gemma-lynx-tr-29BT,6,6000,12.582912,0.306,0.315,0.332,0.314
1p46G-gemma-lynx-tr-29BT,6,6500,13.631488,0.31,0.327,0.337,0.339
1p46G-gemma-lynx-tr-29BT,6,7000,14.680064,0.316,0.321,0.329,0.341
1p46G-gemma-lynx-tr-29BT,6,7500,15.72864,0.317,0.331,0.338,0.34400000000000003
1p46G-gemma-lynx-tr-29BT,6,8000,16.777216,0.318,0.324,0.332,0.332
1p46G-gemma-lynx-tr-29BT,6,8500,17.825792,0.319,0.34400000000000003,0.337,0.331
1p46G-gemma-lynx-tr-29BT,6,9000,18.874368,0.316,0.331,0.339,0.323
