runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-tr-29BT,6,0,0.0,0.2275907319,0.2511027222,0.2468445846,0.25487885450000003
1p46G-gemma-commoncrawl-tr-29BT,6,1000,2.097152,0.23355936800000002,0.25735045430000003,0.2541110961,0.2559018006
1p46G-gemma-commoncrawl-tr-29BT,6,10000,20.97152,0.2463474287,0.2696740006,0.2650753804,0.28519557160000003
1p46G-gemma-commoncrawl-tr-29BT,6,10500,22.020096,0.24958171580000002,0.2700852546,0.2646488265,0.2823176459
1p46G-gemma-commoncrawl-tr-29BT,6,11000,23.068672,0.2482303546,0.2678287858,0.2632241925,0.2818406094
1p46G-gemma-commoncrawl-tr-29BT,6,11500,24.117248,0.2481838952,0.2652544603,0.2628063967,0.2836996981
1p46G-gemma-commoncrawl-tr-29BT,6,12000,25.165824,0.2489212889,0.2678000417,0.2650558407,0.2799316982
1p46G-gemma-commoncrawl-tr-29BT,6,12500,26.2144,0.2479961468,0.2681178036,0.2651767142,0.2827858694
1p46G-gemma-commoncrawl-tr-29BT,6,13000,27.262976,0.249215394,0.2674980269,0.265831692,0.2780275994
1p46G-gemma-commoncrawl-tr-29BT,6,13500,28.311552,0.24882900870000002,0.27182820950000003,0.2647145307,0.2795623649
1p46G-gemma-commoncrawl-tr-29BT,6,14000,29.360128,0.2482821588,0.2709892827,0.26499340800000004,0.27990262860000004
1p46G-gemma-commoncrawl-tr-29BT,6,1500,3.145728,0.2351492571,0.25742368050000003,0.2487410477,0.2624472015
1p46G-gemma-commoncrawl-tr-29BT,6,2000,4.194304,0.2404970261,0.2586142245,0.2526772093,0.2724023459
1p46G-gemma-commoncrawl-tr-29BT,6,2500,5.24288,0.2388933362,0.2567466239,0.2529547225,0.269878406
1p46G-gemma-commoncrawl-tr-29BT,6,3000,6.291456,0.2390875584,0.25988222920000004,0.2548854034,0.2717029419
1p46G-gemma-commoncrawl-tr-29BT,6,3500,7.340032,0.2413357248,0.261062931,0.2587002299,0.271615587
1p46G-gemma-commoncrawl-tr-29BT,6,4000,8.388608,0.2393134935,0.2632316603,0.2575624499,0.2740402884
1p46G-gemma-commoncrawl-tr-29BT,6,4500,9.437184,0.2451963336,0.2668970299,0.2610594342,0.2797798259
1p46G-gemma-commoncrawl-tr-29BT,6,500,1.048576,0.23288942510000002,0.2589063155,0.2529508413,0.25619401810000003
1p46G-gemma-commoncrawl-tr-29BT,6,5000,10.48576,0.2405413374,0.2602091109,0.25672057400000003,0.26827044850000004
1p46G-gemma-commoncrawl-tr-29BT,6,5500,11.534336,0.2466246411,0.2692856598,0.2648717607,0.276393791
1p46G-gemma-commoncrawl-tr-29BT,6,6000,12.582912,0.2475862197,0.2665317647,0.2582971009,0.2759510685
1p46G-gemma-commoncrawl-tr-29BT,6,6500,13.631488,0.2487052076,0.2701748396,0.2625665765,0.2751297937
1p46G-gemma-commoncrawl-tr-29BT,6,7000,14.680064,0.24781715040000002,0.2661953326,0.26559414330000003,0.2808902957
1p46G-gemma-commoncrawl-tr-29BT,6,7500,15.72864,0.24523816710000002,0.26689647,0.2618141684,0.2779456822
1p46G-gemma-commoncrawl-tr-29BT,6,8000,16.777216,0.2465372443,0.26740016180000004,0.26216426400000004,0.2737387825
1p46G-gemma-commoncrawl-tr-29BT,6,8500,17.825792,0.24986114710000001,0.2667387688,0.2660845109,0.2776427224
1p46G-gemma-commoncrawl-tr-29BT,6,9000,18.874368,0.25027458880000003,0.2682194495,0.26221182260000003,0.2808649854
1p46G-gemma-commoncrawl-tr-29BT,6,9500,19.922944,0.2497605461,0.26342246550000004,0.2647282103,0.2839420701
1p46G-gemma-orion-tr-29BT,6,0,0.0,0.2275907319,0.2510851783,0.2470594583,0.2548963984
1p46G-gemma-orion-tr-29BT,6,1000,2.097152,0.2317993798,0.2573048463,0.25629846100000003,0.26010994190000003
1p46G-gemma-orion-tr-29BT,6,10000,20.97152,0.24782739650000002,0.26474042540000003,0.2617176283,0.2807285792
1p46G-gemma-orion-tr-29BT,6,10500,22.020096,0.24857608,0.2657170602,0.2660020386,0.2856001307
1p46G-gemma-orion-tr-29BT,6,11000,23.068672,0.2478289603,0.2675984753,0.2646542876,0.2877293314
1p46G-gemma-orion-tr-29BT,6,11500,24.117248,0.24674958600000002,0.2678519194,0.2660680112,0.29109332730000004
1p46G-gemma-orion-tr-29BT,6,12000,25.165824,0.2481393875,0.2668991752,0.2663065807,0.2865169705
1p46G-gemma-orion-tr-29BT,6,12500,26.2144,0.2493220501,0.2681126662,0.2640096926,0.2833561153
1p46G-gemma-orion-tr-29BT,6,13000,27.262976,0.24807841400000002,0.2670601569,0.2641545211,0.2856034611
1p46G-gemma-orion-tr-29BT,6,13500,28.311552,0.2498131201,0.265166087,0.2636347267,0.2850776688
1p46G-gemma-orion-tr-29BT,6,14000,29.360128,0.24713965340000002,0.2659725701,0.2650991816,0.2864475506
1p46G-gemma-orion-tr-29BT,6,1500,3.145728,0.2369590014,0.2576091569,0.2521873196,0.2688926549
1p46G-gemma-orion-tr-29BT,6,2000,4.194304,0.2368349431,0.2594369777,0.2555485369,0.2701993116
1p46G-gemma-orion-tr-29BT,6,2500,5.24288,0.23778737020000001,0.2574773987,0.2542425645,0.2652021592
1p46G-gemma-orion-tr-29BT,6,3000,6.291456,0.2388892547,0.260594841,0.25475270110000003,0.2716150007
1p46G-gemma-orion-tr-29BT,6,3500,7.340032,0.24256038060000001,0.2600318804,0.25851321790000004,0.2725638626
1p46G-gemma-orion-tr-29BT,6,4000,8.388608,0.24027374480000002,0.2596779553,0.2574013408,0.27009455
1p46G-gemma-orion-tr-29BT,6,4500,9.437184,0.24412390990000002,0.2601389243,0.25710154350000003,0.28071959700000004
1p46G-gemma-orion-tr-29BT,6,500,1.048576,0.2344213359,0.259637581,0.2548051804,0.25601172510000003
1p46G-gemma-orion-tr-29BT,6,5000,10.48576,0.24240315710000002,0.2637424236,0.2612456094,0.2807441081
1p46G-gemma-orion-tr-29BT,6,5500,11.534336,0.24315498900000002,0.2621016218,0.2569034052,0.27423369940000003
1p46G-gemma-orion-tr-29BT,6,6000,12.582912,0.24198703940000002,0.2633683654,0.2574430977,0.2773801535
1p46G-gemma-orion-tr-29BT,6,6500,13.631488,0.2410635069,0.2619207832,0.2568071956,0.2813155587
1p46G-gemma-orion-tr-29BT,6,7000,14.680064,0.2445451382,0.261399534,0.2611966799,0.27878813890000004
1p46G-gemma-orion-tr-29BT,6,7500,15.72864,0.2457416366,0.2634346132,0.2620458939,0.2872845308
1p46G-gemma-orion-tr-29BT,6,8000,16.777216,0.2487061781,0.26278628800000003,0.2662575103,0.2867798373
1p46G-gemma-orion-tr-29BT,6,8500,17.825792,0.2476129276,0.2641742414,0.2630676112,0.27955997400000004
1p46G-gemma-orion-tr-29BT,6,9000,18.874368,0.24806370630000002,0.2643216748,0.2643622302,0.2781489702
1p46G-gemma-orion-tr-29BT,6,9500,19.922944,0.2456519264,0.26548442710000003,0.26434662540000003,0.2784444032
baseline-tr-,42,0,0.0,0.25,0.25,0.25,0.25
1p46G-gemma-aquila-tr-29BT,6,0,0.0,0.2275907319,0.2510851783,0.2470594583,0.2548963984
1p46G-gemma-aquila-tr-29BT,6,1000,2.097152,0.24221917180000002,0.25823068720000003,0.2519107191,0.2712848378
1p46G-gemma-aquila-tr-29BT,6,10000,20.97152,0.2485012389,0.2675036813,0.26533552850000003,0.2840868216
1p46G-gemma-aquila-tr-29BT,6,10500,22.020096,0.24746620960000001,0.2674508634,0.2640542073,0.2801660655
1p46G-gemma-aquila-tr-29BT,6,11000,23.068672,0.2463899381,0.2676424596,0.2623787621,0.2873857389
1p46G-gemma-aquila-tr-29BT,6,11500,24.117248,0.2497530752,0.2682860294,0.2606815327,0.28549064960000003
1p46G-gemma-aquila-tr-29BT,6,12000,25.165824,0.2485872901,0.26650517760000003,0.2627419467,0.2831406931
1p46G-gemma-aquila-tr-29BT,6,12500,26.2144,0.2473928964,0.26566845,0.2633092158,0.2833828127
1p46G-gemma-aquila-tr-29BT,6,13000,27.262976,0.2515806705,0.26776972250000003,0.2648980667,0.28396028030000003
1p46G-gemma-aquila-tr-29BT,6,13500,28.311552,0.25112567210000003,0.2684753334,0.26385510630000003,0.2824614418
1p46G-gemma-aquila-tr-29BT,6,14000,29.360128,0.24897957380000002,0.2671517619,0.2622593992,0.280627715
1p46G-gemma-aquila-tr-29BT,6,1500,3.145728,0.23661198530000002,0.25919825080000003,0.2479861979,0.2693718062
1p46G-gemma-aquila-tr-29BT,6,2000,4.194304,0.23598494150000002,0.25963765580000003,0.25173690530000004,0.2693710093
1p46G-gemma-aquila-tr-29BT,6,2500,5.24288,0.24073630310000002,0.260831466,0.2554919661,0.2633891177
1p46G-gemma-aquila-tr-29BT,6,3000,6.291456,0.2439357527,0.261927597,0.2524401918,0.27157853200000004
1p46G-gemma-aquila-tr-29BT,6,3500,7.340032,0.2385130397,0.26312616850000003,0.2554664662,0.274451177
1p46G-gemma-aquila-tr-29BT,6,4000,8.388608,0.2486288482,0.26318037,0.25999574070000003,0.2774087
1p46G-gemma-aquila-tr-29BT,6,4500,9.437184,0.2506526766,0.264265366,0.2617714002,0.2815246376
1p46G-gemma-aquila-tr-29BT,6,500,1.048576,0.2284585198,0.25607210080000004,0.2473788621,0.260175888
1p46G-gemma-aquila-tr-29BT,6,5000,10.48576,0.2504275894,0.2684542843,0.26399494700000004,0.2815298335
1p46G-gemma-aquila-tr-29BT,6,5500,11.534336,0.248631452,0.2644591277,0.2605056114,0.2817288466
1p46G-gemma-aquila-tr-29BT,6,6000,12.582912,0.2474129487,0.2628020238,0.2594853429,0.284032242
1p46G-gemma-aquila-tr-29BT,6,6500,13.631488,0.2463125337,0.26485995700000003,0.2617535862,0.2775872574
1p46G-gemma-aquila-tr-29BT,6,7000,14.680064,0.2466498571,0.2630055671,0.2562016649,0.2823621707
1p46G-gemma-aquila-tr-29BT,6,7500,15.72864,0.24842003980000002,0.2614546336,0.2598712395,0.2832896824
1p46G-gemma-aquila-tr-29BT,6,8000,16.777216,0.2451243301,0.2639179431,0.2626789016,0.2807313696
1p46G-gemma-aquila-tr-29BT,6,8500,17.825792,0.2473296862,0.26416552260000004,0.2579291541,0.2838972256
1p46G-gemma-aquila-tr-29BT,6,9000,18.874368,0.2509161628,0.2661204216,0.2647438596,0.2854976845
1p46G-gemma-aquila-tr-29BT,6,9500,19.922944,0.24845576290000002,0.2656734456,0.2666586234,0.2811231024
1p46G-gemma-commoncrawl-tr-29BT,3,0,0.0,0.2245413295,0.2499986323,0.24465917380000002,0.2493435789
1p46G-gemma-commoncrawl-tr-29BT,3,1000,2.097152,0.24309309010000002,0.25692942350000003,0.2522385151,0.2565337097
1p46G-gemma-commoncrawl-tr-29BT,3,10000,20.97152,0.2489320922,0.26647982330000003,0.2603942006,0.2759129415
1p46G-gemma-commoncrawl-tr-29BT,3,10500,22.020096,0.2473302819,0.2702834608,0.2585798228,0.2831678415
1p46G-gemma-commoncrawl-tr-29BT,3,11000,23.068672,0.25012814510000003,0.26579314060000003,0.2641404166,0.2853951756
1p46G-gemma-commoncrawl-tr-29BT,3,11500,24.117248,0.2490200239,0.2637068179,0.261132497,0.2843537848
1p46G-gemma-commoncrawl-tr-29BT,3,12000,25.165824,0.2474015497,0.26669828570000004,0.2613954356,0.2818375509
1p46G-gemma-commoncrawl-tr-29BT,3,12500,26.2144,0.24817225410000002,0.2645928134,0.2606822592,0.28414927370000004
1p46G-gemma-commoncrawl-tr-29BT,3,13000,27.262976,0.24885468700000002,0.26646177190000003,0.2627856351,0.28661019990000003
1p46G-gemma-commoncrawl-tr-29BT,3,13500,28.311552,0.2489651705,0.2671387013,0.2606100045,0.2852159744
1p46G-gemma-commoncrawl-tr-29BT,3,14000,29.360128,0.24936143930000002,0.2655264747,0.2585481468,0.2790851482
1p46G-gemma-commoncrawl-tr-29BT,3,1500,3.145728,0.2400034875,0.2602607362,0.2559183667,0.2623092917
1p46G-gemma-commoncrawl-tr-29BT,3,2000,4.194304,0.2443786366,0.2601593886,0.2587027959,0.264199513
1p46G-gemma-commoncrawl-tr-29BT,3,2500,5.24288,0.2418760832,0.2667236328,0.2557570397,0.26272681000000003
1p46G-gemma-commoncrawl-tr-29BT,3,3000,6.291456,0.2456639344,0.2629847749,0.256709776,0.2643206462
1p46G-gemma-commoncrawl-tr-29BT,3,3500,7.340032,0.2424658421,0.2599302157,0.2548265038,0.2666411812
1p46G-gemma-commoncrawl-tr-29BT,3,4000,8.388608,0.2450231326,0.2615711915,0.2576516668,0.2738574511
1p46G-gemma-commoncrawl-tr-29BT,3,4500,9.437184,0.2470473693,0.2630075307,0.2588334258,0.27781243850000004
1p46G-gemma-commoncrawl-tr-29BT,3,500,1.048576,0.2300418556,0.2583613675,0.247388622,0.257630703
1p46G-gemma-commoncrawl-tr-29BT,3,5000,10.48576,0.2437593227,0.2569487318,0.2576684837,0.2709765865
1p46G-gemma-commoncrawl-tr-29BT,3,5500,11.534336,0.2435608586,0.2653707691,0.2590448365,0.2736254868
1p46G-gemma-commoncrawl-tr-29BT,3,6000,12.582912,0.24337755290000002,0.2634039857,0.25754039500000003,0.2762056673
1p46G-gemma-commoncrawl-tr-29BT,3,6500,13.631488,0.2481750777,0.2655464778,0.2573147577,0.2712867016
1p46G-gemma-commoncrawl-tr-29BT,3,7000,14.680064,0.2460201873,0.2626802408,0.2598803703,0.27403661300000004
1p46G-gemma-commoncrawl-tr-29BT,3,7500,15.72864,0.2444257646,0.263815872,0.2628763087,0.2776989051
1p46G-gemma-commoncrawl-tr-29BT,3,8000,16.777216,0.2494121753,0.26415347110000004,0.26052216300000003,0.2741800888
1p46G-gemma-commoncrawl-tr-29BT,3,8500,17.825792,0.2477766587,0.2645647619,0.2585653241,0.2764964182
1p46G-gemma-commoncrawl-tr-29BT,3,9000,18.874368,0.24776067370000002,0.2654566279,0.2583465278,0.2788958594
1p46G-gemma-commoncrawl-tr-29BT,3,9500,19.922944,0.2480426132,0.2621074899,0.2619807833,0.2744993019
1p46G-gemma-lynx-tr-29BT,6,0,0.0,0.22751574260000001,0.2510851783,0.2470825127,0.255003816
1p46G-gemma-lynx-tr-29BT,6,1000,2.097152,0.2312616066,0.2644174713,0.2534581355,0.2640812817
1p46G-gemma-lynx-tr-29BT,6,10000,20.97152,0.2429975271,0.26429095950000003,0.2611133255,0.2785540011
1p46G-gemma-lynx-tr-29BT,6,10500,22.020096,0.24280456890000002,0.2642226797,0.2567956179,0.2804271998
1p46G-gemma-lynx-tr-29BT,6,11000,23.068672,0.242715496,0.2677270704,0.2598847311,0.2739137484
1p46G-gemma-lynx-tr-29BT,6,11500,24.117248,0.2416166572,0.26446355320000003,0.25777144900000004,0.27586176020000003
1p46G-gemma-lynx-tr-29BT,6,12000,25.165824,0.2427185513,0.2624144865,0.2579342201,0.2748450308
1p46G-gemma-lynx-tr-29BT,6,12500,26.2144,0.2437926087,0.2631304413,0.260858931,0.2739435415
1p46G-gemma-lynx-tr-29BT,6,13000,27.262976,0.24207089980000002,0.26383622970000004,0.2584660425,0.2699821893
1p46G-gemma-lynx-tr-29BT,6,13500,28.311552,0.24113366700000002,0.26239222630000003,0.2592786438,0.27522648580000003
1p46G-gemma-lynx-tr-29BT,6,14000,29.360128,0.2440196258,0.2648646958,0.2564011534,0.2751607365
1p46G-gemma-lynx-tr-29BT,6,1500,3.145728,0.22769940660000001,0.2552220703,0.2569234917,0.26721284230000003
1p46G-gemma-lynx-tr-29BT,6,2000,4.194304,0.2360135556,0.257255446,0.2520320237,0.25900736700000004
1p46G-gemma-lynx-tr-29BT,6,2500,5.24288,0.23318077,0.254670098,0.25259492710000003,0.2609767556
1p46G-gemma-lynx-tr-29BT,6,3000,6.291456,0.23899159890000002,0.2626346946,0.2601897567,0.2678560856
1p46G-gemma-lynx-tr-29BT,6,3500,7.340032,0.234744308,0.25941776110000003,0.2580543551,0.2653674229
1p46G-gemma-lynx-tr-29BT,6,4000,8.388608,0.23867917430000002,0.2615251819,0.2563826962,0.2684373818
1p46G-gemma-lynx-tr-29BT,6,4500,9.437184,0.2392699772,0.25633160520000003,0.2541008241,0.2744972672
1p46G-gemma-lynx-tr-29BT,6,500,1.048576,0.22917875370000002,0.2591361694,0.25047866890000003,0.2509007989
1p46G-gemma-lynx-tr-29BT,6,5000,10.48576,0.23561769670000002,0.2638769646,0.2615643613,0.269881296
1p46G-gemma-lynx-tr-29BT,6,5500,11.534336,0.241516324,0.26445280520000003,0.2602687715,0.27318008590000004
1p46G-gemma-lynx-tr-29BT,6,6000,12.582912,0.2407321818,0.2628700754,0.25478628610000004,0.2763625764
1p46G-gemma-lynx-tr-29BT,6,6500,13.631488,0.23994899630000002,0.2588782613,0.2557568062,0.2689317457
1p46G-gemma-lynx-tr-29BT,6,7000,14.680064,0.2377209848,0.25663774500000003,0.25323180770000003,0.2748649723
1p46G-gemma-lynx-tr-29BT,6,7500,15.72864,0.2390442696,0.2587393448,0.2557530397,0.2672315746
1p46G-gemma-lynx-tr-29BT,6,8000,16.777216,0.2455864515,0.2625573814,0.261348174,0.2700000455
1p46G-gemma-lynx-tr-29BT,6,8500,17.825792,0.2438373657,0.2630349231,0.25890031950000003,0.27539121310000003
1p46G-gemma-lynx-tr-29BT,6,9000,18.874368,0.2418251885,0.2618574662,0.25676792930000003,0.2716081302
1p46G-gemma-lynx-tr-29BT,6,9500,19.922944,0.2428705023,0.261092684,0.2592062327,0.2774215977
1p46G-gemma-helios-tr-29BT,6,0,0.0,0.22751574260000001,0.2510851783,0.24721627980000002,0.2548062271
1p46G-gemma-helios-tr-29BT,6,1000,2.097152,0.2375845712,0.2589352484,0.2538731647,0.2590851281
1p46G-gemma-helios-tr-29BT,6,10000,20.97152,0.25078390440000004,0.2690842103,0.2678340184,0.2879608943
1p46G-gemma-helios-tr-29BT,6,10500,22.020096,0.2513641504,0.2702235485,0.26345237590000004,0.2780553669
1p46G-gemma-helios-tr-29BT,6,11000,23.068672,0.2500934306,0.2725647613,0.26567862270000003,0.28004432490000003
1p46G-gemma-helios-tr-29BT,6,11500,24.117248,0.25142816230000004,0.2715452115,0.2655703068,0.28163499410000004
1p46G-gemma-helios-tr-29BT,6,12000,25.165824,0.2496568721,0.2704455013,0.2663373926,0.2767694563
1p46G-gemma-helios-tr-29BT,6,12500,26.2144,0.2516202898,0.2718848951,0.2677532579,0.2791388133
1p46G-gemma-helios-tr-29BT,6,13000,27.262976,0.2492764925,0.26961762,0.2678173539,0.2799415879
1p46G-gemma-helios-tr-29BT,6,13500,28.311552,0.2517281589,0.267994718,0.2653451483,0.2795517911
1p46G-gemma-helios-tr-29BT,6,14000,29.360128,0.2512647538,0.2695213899,0.2644590712,0.278690292
1p46G-gemma-helios-tr-29BT,6,1500,3.145728,0.24098420980000002,0.2598597085,0.25496473210000004,0.26601411340000003
1p46G-gemma-helios-tr-29BT,6,2000,4.194304,0.23893677870000002,0.2570506315,0.2505958787,0.2729605036
1p46G-gemma-helios-tr-29BT,6,2500,5.24288,0.24525248400000002,0.2612676704,0.25654113370000003,0.2715846414
1p46G-gemma-helios-tr-29BT,6,3000,6.291456,0.247077806,0.2650589665,0.2549635637,0.2739985827
1p46G-gemma-helios-tr-29BT,6,3500,7.340032,0.24593760080000002,0.2650423301,0.26378363800000004,0.27458812250000003
1p46G-gemma-helios-tr-29BT,6,4000,8.388608,0.2458935871,0.2673430551,0.2590020046,0.2767532826
1p46G-gemma-helios-tr-29BT,6,4500,9.437184,0.2479957951,0.2684765716,0.2634449663,0.2741189663
1p46G-gemma-helios-tr-29BT,6,500,1.048576,0.23496940600000002,0.25374931230000003,0.2462626826,0.2593587627
1p46G-gemma-helios-tr-29BT,6,5000,10.48576,0.2460215781,0.2669301535,0.2586898219,0.2818282902
1p46G-gemma-helios-tr-29BT,6,5500,11.534336,0.24736896300000003,0.2681905149,0.2622554261,0.2808174921
1p46G-gemma-helios-tr-29BT,6,6000,12.582912,0.2466535514,0.2656996473,0.2622508758,0.27661057170000003
1p46G-gemma-helios-tr-29BT,6,6500,13.631488,0.2465786909,0.27162307820000003,0.2626379749,0.2756532657
1p46G-gemma-helios-tr-29BT,6,7000,14.680064,0.2481594269,0.2693986352,0.26159055000000003,0.2873042883
1p46G-gemma-helios-tr-29BT,6,7500,15.72864,0.24900561470000002,0.27074776500000003,0.2658846471,0.2809240834
1p46G-gemma-helios-tr-29BT,6,8000,16.777216,0.2456599523,0.2702125602,0.26500390420000003,0.28097826200000003
1p46G-gemma-helios-tr-29BT,6,8500,17.825792,0.2510166425,0.2701665536,0.2629634088,0.2769002344
1p46G-gemma-helios-tr-29BT,6,9000,18.874368,0.24936198780000002,0.27012348,0.2667994696,0.2754003161
1p46G-gemma-helios-tr-29BT,6,9500,19.922944,0.2505860814,0.2733936701,0.26760576,0.28034266080000003
1p46G-gemma-commoncrawl-tr-29BT,4,0,0.0,0.22494306700000002,0.2500345765,0.2491985954,0.24830604080000002
1p46G-gemma-commoncrawl-tr-29BT,4,1000,2.097152,0.2339782795,0.24993053550000002,0.24675667580000002,0.2522758118
1p46G-gemma-commoncrawl-tr-29BT,4,10000,20.97152,0.2474762076,0.26125342420000003,0.2595797843,0.2739639963
1p46G-gemma-commoncrawl-tr-29BT,4,10500,22.020096,0.2450833282,0.26367471400000003,0.2586137696,0.2712813754
1p46G-gemma-commoncrawl-tr-29BT,4,11000,23.068672,0.2468531495,0.2646722557,0.2604313744,0.2733078834
1p46G-gemma-commoncrawl-tr-29BT,4,11500,24.117248,0.2471149655,0.263451979,0.2623383239,0.27520340730000004
1p46G-gemma-commoncrawl-tr-29BT,4,12000,25.165824,0.24989313440000002,0.2672033004,0.2609732395,0.2772779717
1p46G-gemma-commoncrawl-tr-29BT,4,12500,26.2144,0.24932835320000002,0.2648870231,0.2646328632,0.2771769262
1p46G-gemma-commoncrawl-tr-29BT,4,13000,27.262976,0.2466896013,0.2627128314,0.26385223220000004,0.2795245481
1p46G-gemma-commoncrawl-tr-29BT,4,13500,28.311552,0.2484740336,0.2667849865,0.2650131481,0.27950226370000003
1p46G-gemma-commoncrawl-tr-29BT,4,14000,29.360128,0.24836942420000002,0.2649338015,0.2648714068,0.2770693255
1p46G-gemma-commoncrawl-tr-29BT,4,1500,3.145728,0.2374623523,0.2562393992,0.25528730980000003,0.2576291603
1p46G-gemma-commoncrawl-tr-29BT,4,2000,4.194304,0.2383023608,0.2568633725,0.25038129670000003,0.26418817510000003
1p46G-gemma-commoncrawl-tr-29BT,4,2500,5.24288,0.2389999348,0.25821722410000003,0.253267391,0.2650211945
1p46G-gemma-commoncrawl-tr-29BT,4,3000,6.291456,0.24097584200000002,0.2589898571,0.2543005138,0.2655345261
1p46G-gemma-commoncrawl-tr-29BT,4,3500,7.340032,0.2417394056,0.2559782952,0.2534961987,0.2715852022
1p46G-gemma-commoncrawl-tr-29BT,4,4000,8.388608,0.2431153087,0.2620475286,0.2574091935,0.2698602169
1p46G-gemma-commoncrawl-tr-29BT,4,4500,9.437184,0.24431740140000002,0.2578043652,0.25778321460000003,0.2712006513
1p46G-gemma-commoncrawl-tr-29BT,4,500,1.048576,0.2322491777,0.25572991300000003,0.24531181740000002,0.26262767260000003
1p46G-gemma-commoncrawl-tr-29BT,4,5000,10.48576,0.24481583580000002,0.2611702312,0.2579214463,0.2660253387
1p46G-gemma-commoncrawl-tr-29BT,4,5500,11.534336,0.24561853790000002,0.2610836787,0.2548368968,0.2744447022
1p46G-gemma-commoncrawl-tr-29BT,4,6000,12.582912,0.244719546,0.2630274473,0.2593347976,0.2738365575
1p46G-gemma-commoncrawl-tr-29BT,4,6500,13.631488,0.24705124650000002,0.2645683052,0.26144985600000004,0.27784760070000003
1p46G-gemma-commoncrawl-tr-29BT,4,7000,14.680064,0.2453207477,0.2647126644,0.2578563363,0.2714306791
1p46G-gemma-commoncrawl-tr-29BT,4,7500,15.72864,0.24456139300000002,0.2618031757,0.2560474579,0.27230448500000004
1p46G-gemma-commoncrawl-tr-29BT,4,8000,16.777216,0.24470882700000002,0.2652924236,0.2595589188,0.2730949652
1p46G-gemma-commoncrawl-tr-29BT,4,8500,17.825792,0.24421812140000002,0.2651692162,0.2630574013,0.2742102511
1p46G-gemma-commoncrawl-tr-29BT,4,9000,18.874368,0.2465386146,0.2694809661,0.2622455186,0.2809296586
1p46G-gemma-commoncrawl-tr-29BT,4,9500,19.922944,0.24706164120000002,0.2620653294,0.261560937,0.2758374004
