runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-tr-29BT,6,0,0.0,0.4577033669,0.5084610752000001,0.4499193721,0.4429892561
1p46G-gemma-commoncrawl-tr-29BT,6,1000,2.097152,0.4450418682,0.43487594960000003,0.41686872220000004,0.43408132730000004
1p46G-gemma-commoncrawl-tr-29BT,6,10000,20.97152,0.429853704,0.4334771036,0.41434885660000004,0.45581492490000003
1p46G-gemma-commoncrawl-tr-29BT,6,10500,22.020096,0.43157603310000003,0.43469235100000003,0.420661149,0.4570214295
1p46G-gemma-commoncrawl-tr-29BT,6,11000,23.068672,0.4256396806,0.4264187601,0.4137368615,0.4516213013
1p46G-gemma-commoncrawl-tr-29BT,6,11500,24.117248,0.4281809174,0.4280012046,0.4045773348,0.45271123550000003
1p46G-gemma-commoncrawl-tr-29BT,6,12000,25.165824,0.42787491990000004,0.4317751744,0.4169104933,0.4525188941
1p46G-gemma-commoncrawl-tr-29BT,6,12500,26.2144,0.42271376110000003,0.42699869830000003,0.4095636378,0.44592780400000004
1p46G-gemma-commoncrawl-tr-29BT,6,13000,27.262976,0.4300373026,0.4308134678,0.4104932875,0.4493161198
1p46G-gemma-commoncrawl-tr-29BT,6,13500,28.311552,0.4270793262,0.429682734,0.4148559383,0.4476229333
1p46G-gemma-commoncrawl-tr-29BT,6,14000,29.360128,0.4255289386,0.4277243496,0.4137689184,0.44859338270000004
1p46G-gemma-commoncrawl-tr-29BT,6,1500,3.145728,0.4504798819,0.4395912261,0.41368051910000003,0.42864331370000003
1p46G-gemma-commoncrawl-tr-29BT,6,2000,4.194304,0.4408948728,0.4323959123,0.41290046820000004,0.44143595420000004
1p46G-gemma-commoncrawl-tr-29BT,6,2500,5.24288,0.4501243419,0.43828563660000003,0.42329758500000003,0.4527636922
1p46G-gemma-commoncrawl-tr-29BT,6,3000,6.291456,0.4438295351,0.43960871170000004,0.4153659342,0.4425725166
1p46G-gemma-commoncrawl-tr-29BT,6,3500,7.340032,0.4383886072,0.4338967574,0.4146373686,0.44227623320000004
1p46G-gemma-commoncrawl-tr-29BT,6,4000,8.388608,0.43910163,0.4383643217,0.4191243613,0.4506799946
1p46G-gemma-commoncrawl-tr-29BT,6,4500,9.437184,0.4309280954,0.4374783859,0.4124720717,0.4358434847
1p46G-gemma-commoncrawl-tr-29BT,6,500,1.048576,0.45704182940000004,0.4888374036,0.46546696200000004,0.43884323210000004
1p46G-gemma-commoncrawl-tr-29BT,6,5000,10.48576,0.4428056576,0.44520992400000003,0.4238784947,0.4332527054
1p46G-gemma-commoncrawl-tr-29BT,6,5500,11.534336,0.43899768800000005,0.4425258884,0.4172747761,0.44222863360000003
1p46G-gemma-commoncrawl-tr-29BT,6,6000,12.582912,0.43532571740000003,0.4403839055,0.4071040003,0.44382273510000003
1p46G-gemma-commoncrawl-tr-29BT,6,6500,13.631488,0.4370480465,0.4397427678,0.41104991160000004,0.4454488936
1p46G-gemma-commoncrawl-tr-29BT,6,7000,14.680064,0.4309397525,0.4312768355,0.4041285384,0.43680907700000005
1p46G-gemma-commoncrawl-tr-29BT,6,7500,15.72864,0.434987663,0.4346398943,0.42480523010000004,0.4555526413
1p46G-gemma-commoncrawl-tr-29BT,6,8000,16.777216,0.42667132950000003,0.42927473720000003,0.4028491772,0.4449709545
1p46G-gemma-commoncrawl-tr-29BT,6,8500,17.825792,0.4357220571,0.4384138641,0.41621398460000003,0.4593479824
1p46G-gemma-commoncrawl-tr-29BT,6,9000,18.874368,0.4295088496,0.43227059900000003,0.4118892192,0.4550377883
1p46G-gemma-commoncrawl-tr-29BT,6,9500,19.922944,0.4255697383,0.43561908650000003,0.41741757490000003,0.44629402960000003
1p46G-gemma-orion-tr-29BT,6,0,0.0,0.4577033669,0.5084610752000001,0.4499193721,0.44258125930000003
1p46G-gemma-orion-tr-29BT,6,1000,2.097152,0.44759476210000004,0.4435371374,0.4155845039,0.43788346840000003
1p46G-gemma-orion-tr-29BT,6,10000,20.97152,0.4307503254,0.4314983194,0.40512230190000004,0.4566221756
1p46G-gemma-orion-tr-29BT,6,10500,22.020096,0.43388898600000003,0.4339055002,0.4064716054,0.46247207170000004
1p46G-gemma-orion-tr-29BT,6,11000,23.068672,0.4276990927,0.43354704590000004,0.40582755340000004,0.4649744516
1p46G-gemma-orion-tr-29BT,6,11500,24.117248,0.4262011618,0.4277126926,0.4044811642,0.4589681568
1p46G-gemma-orion-tr-29BT,6,12000,25.165824,0.4295875347,0.4321307144,0.40444036450000004,0.45991529210000004
1p46G-gemma-orion-tr-29BT,6,12500,26.2144,0.4321695712,0.4312943211,0.4060402945,0.45935575370000004
1p46G-gemma-orion-tr-29BT,6,13000,27.262976,0.4287423986,0.42907948160000003,0.4048075615,0.45939363910000003
1p46G-gemma-orion-tr-29BT,6,13500,28.311552,0.423415127,0.4318218026,0.3983000136,0.457181714
1p46G-gemma-orion-tr-29BT,6,14000,29.360128,0.4269559558,0.4308659245,0.39686911080000004,0.46002603410000004
1p46G-gemma-orion-tr-29BT,6,1500,3.145728,0.4498183443,0.44131355520000004,0.42155485610000004,0.44855646870000004
1p46G-gemma-orion-tr-29BT,6,2000,4.194304,0.44885080920000003,0.4492811486,0.42771657830000004,0.44263080180000003
1p46G-gemma-orion-tr-29BT,6,2500,5.24288,0.4427804006,0.45081113640000003,0.4210749743,0.44759670490000003
1p46G-gemma-orion-tr-29BT,6,3000,6.291456,0.43847603500000004,0.4437819355,0.41679683710000004,0.4498290299
1p46G-gemma-orion-tr-29BT,6,3500,7.340032,0.437986439,0.4404655048,0.4110965398,0.43545880200000003
1p46G-gemma-orion-tr-29BT,6,4000,8.388608,0.43173534610000003,0.44256668800000004,0.410676886,0.4484214412
1p46G-gemma-orion-tr-29BT,6,4500,9.437184,0.43890443160000003,0.4386295195,0.4166044957,0.46204853220000003
1p46G-gemma-orion-tr-29BT,6,500,1.048576,0.45410231,0.4694187018,0.4548833324,0.43528977480000003
1p46G-gemma-orion-tr-29BT,6,5000,10.48576,0.4422791475,0.4463698005,0.4187027647,0.4597520934
1p46G-gemma-orion-tr-29BT,6,5500,11.534336,0.4273348099,0.4326407103,0.4057488683,0.46003769110000003
1p46G-gemma-orion-tr-29BT,6,6000,12.582912,0.4327796235,0.4361378252,0.4035835713,0.4478249888
1p46G-gemma-orion-tr-29BT,6,6500,13.631488,0.4268452138,0.4265673875,0.39796487340000003,0.4524382662
1p46G-gemma-orion-tr-29BT,6,7000,14.680064,0.42984787550000003,0.43440092480000003,0.40618309340000003,0.4537865983
1p46G-gemma-orion-tr-29BT,6,7500,15.72864,0.4243360339,0.4303122146,0.39424044610000003,0.4674836316
1p46G-gemma-orion-tr-29BT,6,8000,16.777216,0.4299372462,0.43315944900000003,0.39841366980000004,0.46458976900000004
1p46G-gemma-orion-tr-29BT,6,8500,17.825792,0.4240300363,0.4326057392,0.3967904257,0.4587408444
1p46G-gemma-orion-tr-29BT,6,9000,18.874368,0.42006955370000004,0.4301286161,0.39329039650000003,0.4593848963
1p46G-gemma-orion-tr-29BT,6,9500,19.922944,0.4271395543,0.4253871112,0.3998416584,0.46099939770000004
baseline-tr-,42,0,0.0,0.4484092571,0.4484092571,0.4484092571,0.4484092571
1p46G-gemma-aquila-tr-29BT,6,0,0.0,0.4577033669,0.5084610752000001,0.4499193721,0.44258125930000003
1p46G-gemma-aquila-tr-29BT,6,1000,2.097152,0.4409036156,0.4428746284,0.414148744,0.42202016670000003
1p46G-gemma-aquila-tr-29BT,6,10000,20.97152,0.4188717919,0.4351149191,0.4079860504,0.4573886266
1p46G-gemma-aquila-tr-29BT,6,10500,22.020096,0.42273610380000004,0.4324308834,0.4077014241,0.4517786715
