runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-tr-29BT,6,0,0.0,0.507,0.491,0.497,0.47000000000000003
1p46G-gemma-commoncrawl-tr-29BT,6,1000,2.097152,0.489,0.499,0.5,0.492
1p46G-gemma-commoncrawl-tr-29BT,6,10000,20.97152,0.47600000000000003,0.48,0.492,0.487
1p46G-gemma-commoncrawl-tr-29BT,6,10500,22.020096,0.46900000000000003,0.47700000000000004,0.494,0.484
1p46G-gemma-commoncrawl-tr-29BT,6,11000,23.068672,0.486,0.49,0.497,0.497
1p46G-gemma-commoncrawl-tr-29BT,6,11500,24.117248,0.484,0.481,0.501,0.487
1p46G-gemma-commoncrawl-tr-29BT,6,12000,25.165824,0.486,0.485,0.503,0.496
1p46G-gemma-commoncrawl-tr-29BT,6,12500,26.2144,0.47400000000000003,0.481,0.482,0.481
1p46G-gemma-commoncrawl-tr-29BT,6,13000,27.262976,0.46900000000000003,0.482,0.48,0.5
1p46G-gemma-commoncrawl-tr-29BT,6,13500,28.311552,0.47700000000000004,0.486,0.47900000000000004,0.482
1p46G-gemma-commoncrawl-tr-29BT,6,14000,29.360128,0.47500000000000003,0.481,0.483,0.49
1p46G-gemma-commoncrawl-tr-29BT,6,1500,3.145728,0.509,0.507,0.505,0.51
1p46G-gemma-commoncrawl-tr-29BT,6,2000,4.194304,0.496,0.493,0.498,0.509
1p46G-gemma-commoncrawl-tr-29BT,6,2500,5.24288,0.493,0.496,0.499,0.508
1p46G-gemma-commoncrawl-tr-29BT,6,3000,6.291456,0.499,0.493,0.497,0.482
1p46G-gemma-commoncrawl-tr-29BT,6,3500,7.340032,0.488,0.47800000000000004,0.47700000000000004,0.482
1p46G-gemma-commoncrawl-tr-29BT,6,4000,8.388608,0.47900000000000004,0.493,0.484,0.482
1p46G-gemma-commoncrawl-tr-29BT,6,4500,9.437184,0.489,0.499,0.495,0.483
1p46G-gemma-commoncrawl-tr-29BT,6,500,1.048576,0.483,0.496,0.497,0.514
1p46G-gemma-commoncrawl-tr-29BT,6,5000,10.48576,0.47600000000000003,0.49,0.47100000000000003,0.47200000000000003
