runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-tr-29BT,6,0,0.0,0.2158634261,0.2412604592,0.2309442173,0.27110578820000003
1p46G-gemma-commoncrawl-tr-29BT,6,1000,2.097152,0.24314991400000002,0.2436737799,0.2288166648,0.2293074178
1p46G-gemma-commoncrawl-tr-29BT,6,10000,20.97152,0.2671733814,0.2669242542,0.2427061204,0.2827880143
1p46G-gemma-commoncrawl-tr-29BT,6,10500,22.020096,0.2655898061,0.2537492891,0.2408064786,0.2902753342
1p46G-gemma-commoncrawl-tr-29BT,6,11000,23.068672,0.2765393622,0.2587386614,0.24610718550000002,0.2795526345
1p46G-gemma-commoncrawl-tr-29BT,6,11500,24.117248,0.2813549447,0.2662314013,0.25544086850000003,0.29453610480000003
1p46G-gemma-commoncrawl-tr-29BT,6,12000,25.165824,0.2915070342,0.2636416583,0.2554995118,0.2755214965
1p46G-gemma-commoncrawl-tr-29BT,6,12500,26.2144,0.2913487233,0.2640785616,0.24655352830000002,0.28512444400000003
1p46G-gemma-commoncrawl-tr-29BT,6,13000,27.262976,0.2759789292,0.2710547636,0.24174443650000002,0.2808485791
1p46G-gemma-commoncrawl-tr-29BT,6,13500,28.311552,0.29151616340000003,0.2596810533,0.2465453671,0.28618866
1p46G-gemma-commoncrawl-tr-29BT,6,14000,29.360128,0.2902792215,0.2607305092,0.2399280001,0.2874051648
1p46G-gemma-commoncrawl-tr-29BT,6,1500,3.145728,0.266357858,0.2598284483,0.2374974614,0.2575132316
1p46G-gemma-commoncrawl-tr-29BT,6,2000,4.194304,0.2756946625,0.249390574,0.26001993700000003,0.2570556034
1p46G-gemma-commoncrawl-tr-29BT,6,2500,5.24288,0.2851205866,0.26959520330000003,0.2641445381,0.28149135950000004
1p46G-gemma-commoncrawl-tr-29BT,6,3000,6.291456,0.271388569,0.2498974217,0.2574402011,0.2672836094
1p46G-gemma-commoncrawl-tr-29BT,6,3500,7.340032,0.25328241490000003,0.24279484610000002,0.24534438990000002,0.2678553872
1p46G-gemma-commoncrawl-tr-29BT,6,4000,8.388608,0.2642690762,0.2627951873,0.2535946722,0.2517712347
1p46G-gemma-commoncrawl-tr-29BT,6,4500,9.437184,0.27553642640000003,0.2580864319,0.24311272700000003,0.2645985032
1p46G-gemma-commoncrawl-tr-29BT,6,500,1.048576,0.2417931606,0.2549589507,0.2296602499,0.2825669847
1p46G-gemma-commoncrawl-tr-29BT,6,5000,10.48576,0.26287139460000003,0.2543654121,0.24217127700000002,0.270646481
1p46G-gemma-commoncrawl-tr-29BT,6,5500,11.534336,0.27432742790000003,0.2614455095,0.25150072030000004,0.27361098
1p46G-gemma-commoncrawl-tr-29BT,6,6000,12.582912,0.28309859330000003,0.2590571662,0.2502702879,0.2679697173
1p46G-gemma-commoncrawl-tr-29BT,6,6500,13.631488,0.2563052826,0.25005090080000003,0.24073986660000002,0.285958824
1p46G-gemma-commoncrawl-tr-29BT,6,7000,14.680064,0.275964329,0.2602282859,0.2624113194,0.2729130681
1p46G-gemma-commoncrawl-tr-29BT,6,7500,15.72864,0.2750429021,0.2669463738,0.2565204297,0.2753924581
1p46G-gemma-commoncrawl-tr-29BT,6,8000,16.777216,0.2886110418,0.2631736716,0.2534128234,0.26977811300000004
1p46G-gemma-commoncrawl-tr-29BT,6,8500,17.825792,0.2787970228,0.2605880749,0.2533761259,0.3010634108
1p46G-gemma-commoncrawl-tr-29BT,6,9000,18.874368,0.27712949670000003,0.2522049343,0.2578330869,0.2980203406
1p46G-gemma-commoncrawl-tr-29BT,6,9500,19.922944,0.2696462932,0.2619579792,0.2475436977,0.2764988365
1p46G-gemma-orion-tr-29BT,6,0,0.0,0.2158634261,0.2412604592,0.23039112,0.27110578820000003
1p46G-gemma-orion-tr-29BT,6,1000,2.097152,0.2647758586,0.2337050228,0.2237830156,0.2433917381
1p46G-gemma-orion-tr-29BT,6,10000,20.97152,0.2657484014,0.2726980113,0.2573892684,0.2611541913
1p46G-gemma-orion-tr-29BT,6,10500,22.020096,0.2506994882,0.264171551,0.2548335861,0.24776841130000002
1p46G-gemma-orion-tr-29BT,6,11000,23.068672,0.2549335579,0.262235843,0.2672196175,0.2776822531
1p46G-gemma-orion-tr-29BT,6,11500,24.117248,0.25844579700000003,0.2709113051,0.254683408,0.2589857119
1p46G-gemma-orion-tr-29BT,6,12000,25.165824,0.25766138380000003,0.2631997929,0.25529007260000003,0.26324959
1p46G-gemma-orion-tr-29BT,6,12500,26.2144,0.27070037750000003,0.2781912821,0.2706017714,0.2517298447
1p46G-gemma-orion-tr-29BT,6,13000,27.262976,0.2608842118,0.2643642889,0.25713726800000003,0.2689668133
1p46G-gemma-orion-tr-29BT,6,13500,28.311552,0.268517565,0.2751751061,0.2611920485,0.2608919108
1p46G-gemma-orion-tr-29BT,6,14000,29.360128,0.2709654749,0.27539280990000004,0.2559370673,0.2514895773
1p46G-gemma-orion-tr-29BT,6,1500,3.145728,0.2613382264,0.2470510596,0.2375432374,0.2626122932
1p46G-gemma-orion-tr-29BT,6,2000,4.194304,0.25655235330000004,0.242755924,0.2409286819,0.2472674708
1p46G-gemma-orion-tr-29BT,6,2500,5.24288,0.2526177813,0.2185803393,0.2195103059,0.243470866
1p46G-gemma-orion-tr-29BT,6,3000,6.291456,0.2654504304,0.2589027156,0.2470889357,0.24278846280000002
1p46G-gemma-orion-tr-29BT,6,3500,7.340032,0.2616176146,0.235961889,0.2376709237,0.2406176959
1p46G-gemma-orion-tr-29BT,6,4000,8.388608,0.2562484795,0.2484260772,0.2529650227,0.23905174340000002
1p46G-gemma-orion-tr-29BT,6,4500,9.437184,0.2684964805,0.253163689,0.25199793260000003,0.2561372489
1p46G-gemma-orion-tr-29BT,6,500,1.048576,0.2542055655,0.2313581862,0.22806684900000002,0.2527072529
1p46G-gemma-orion-tr-29BT,6,5000,10.48576,0.253060608,0.2550389898,0.2517350981,0.26593406070000003
1p46G-gemma-orion-tr-29BT,6,5500,11.534336,0.2632202863,0.252939949,0.2491578822,0.2525656881
1p46G-gemma-orion-tr-29BT,6,6000,12.582912,0.2649070545,0.2418180527,0.2509759341,0.24728362550000002
