runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-commoncrawl-tr-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-tr-29BT,6,1000,2.097152,0.041,0.0517469723
1p46G-gemma-commoncrawl-tr-29BT,6,10000,20.97152,0.062,0.08535300650000001
1p46G-gemma-commoncrawl-tr-29BT,6,10500,22.020096,0.07,0.0810385082
1p46G-gemma-commoncrawl-tr-29BT,6,11000,23.068672,0.069,0.089125325
1p46G-gemma-commoncrawl-tr-29BT,6,11500,24.117248,0.065,0.0891933759
1p46G-gemma-commoncrawl-tr-29BT,6,12000,25.165824,0.062,0.0793125841
1p46G-gemma-commoncrawl-tr-29BT,6,12500,26.2144,0.066,0.07409168790000001
1p46G-gemma-commoncrawl-tr-29BT,6,13000,27.262976,0.065,0.0859602013
1p46G-gemma-commoncrawl-tr-29BT,6,13500,28.311552,0.068,0.0848253633
1p46G-gemma-commoncrawl-tr-29BT,6,14000,29.360128,0.07100000000000001,0.08521471430000001
1p46G-gemma-commoncrawl-tr-29BT,6,1500,3.145728,0.035,0.0473237371
1p46G-gemma-commoncrawl-tr-29BT,6,2000,4.194304,0.049,0.049060099600000004
1p46G-gemma-commoncrawl-tr-29BT,6,2500,5.24288,0.046,0.0543449711
1p46G-gemma-commoncrawl-tr-29BT,6,3000,6.291456,0.039,0.0637433465
1p46G-gemma-commoncrawl-tr-29BT,6,3500,7.340032,0.048,0.0622699212
1p46G-gemma-commoncrawl-tr-29BT,6,4000,8.388608,0.049,0.0691124708
1p46G-gemma-commoncrawl-tr-29BT,6,4500,9.437184,0.055,0.06868115770000001
1p46G-gemma-commoncrawl-tr-29BT,6,500,1.048576,0.01,0.013753248800000001
1p46G-gemma-commoncrawl-tr-29BT,6,5000,10.48576,0.043000000000000003,0.0778324153
1p46G-gemma-commoncrawl-tr-29BT,6,5500,11.534336,0.055,0.07179439010000001
1p46G-gemma-commoncrawl-tr-29BT,6,6000,12.582912,0.065,0.069063491
1p46G-gemma-commoncrawl-tr-29BT,6,6500,13.631488,0.053,0.0739677262
1p46G-gemma-commoncrawl-tr-29BT,6,7000,14.680064,0.062,0.0798874329
1p46G-gemma-commoncrawl-tr-29BT,6,7500,15.72864,0.064,0.0810468544
1p46G-gemma-commoncrawl-tr-29BT,6,8000,16.777216,0.061,0.07324862730000001
1p46G-gemma-commoncrawl-tr-29BT,6,8500,17.825792,0.066,0.0828017266
1p46G-gemma-commoncrawl-tr-29BT,6,9000,18.874368,0.059000000000000004,0.0797283292
1p46G-gemma-commoncrawl-tr-29BT,6,9500,19.922944,0.059000000000000004,0.07858525
1p46G-gemma-orion-tr-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-orion-tr-29BT,6,1000,2.097152,0.034,0.0486104927
1p46G-gemma-orion-tr-29BT,6,10000,20.97152,0.063,0.0819305381
1p46G-gemma-orion-tr-29BT,6,10500,22.020096,0.07100000000000001,0.0835691935
1p46G-gemma-orion-tr-29BT,6,11000,23.068672,0.055,0.0792175987
1p46G-gemma-orion-tr-29BT,6,11500,24.117248,0.062,0.08428998260000001
1p46G-gemma-orion-tr-29BT,6,12000,25.165824,0.064,0.0819407996
1p46G-gemma-orion-tr-29BT,6,12500,26.2144,0.058,0.08627368910000001
1p46G-gemma-orion-tr-29BT,6,13000,27.262976,0.063,0.0877397287
1p46G-gemma-orion-tr-29BT,6,13500,28.311552,0.063,0.0880440516
1p46G-gemma-orion-tr-29BT,6,14000,29.360128,0.067,0.08994378930000001
1p46G-gemma-orion-tr-29BT,6,1500,3.145728,0.047,0.058056491700000004
1p46G-gemma-orion-tr-29BT,6,2000,4.194304,0.056,0.0562877928
1p46G-gemma-orion-tr-29BT,6,2500,5.24288,0.055,0.06612936850000001
1p46G-gemma-orion-tr-29BT,6,3000,6.291456,0.051000000000000004,0.0646953594
1p46G-gemma-orion-tr-29BT,6,3500,7.340032,0.045,0.0630226362
1p46G-gemma-orion-tr-29BT,6,4000,8.388608,0.053,0.0620092208
1p46G-gemma-orion-tr-29BT,6,4500,9.437184,0.052000000000000005,0.06883537120000001
1p46G-gemma-orion-tr-29BT,6,500,1.048576,0.037,0.032473348
1p46G-gemma-orion-tr-29BT,6,5000,10.48576,0.07,0.0739537423
1p46G-gemma-orion-tr-29BT,6,5500,11.534336,0.058,0.0808796913
1p46G-gemma-orion-tr-29BT,6,6000,12.582912,0.053,0.07379865270000001
1p46G-gemma-orion-tr-29BT,6,6500,13.631488,0.06,0.0829966035
