runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-tr-29BT,6,0,0.0,0.513,0.491,0.513,0.49
1p46G-gemma-commoncrawl-tr-29BT,6,1000,2.097152,0.53,0.517,0.53,0.493
1p46G-gemma-commoncrawl-tr-29BT,6,10000,20.97152,0.581,0.619,0.581,0.53
1p46G-gemma-commoncrawl-tr-29BT,6,10500,22.020096,0.5660000000000001,0.588,0.5660000000000001,0.535
1p46G-gemma-commoncrawl-tr-29BT,6,11000,23.068672,0.587,0.607,0.587,0.528
1p46G-gemma-commoncrawl-tr-29BT,6,11500,24.117248,0.586,0.616,0.586,0.552
1p46G-gemma-commoncrawl-tr-29BT,6,12000,25.165824,0.582,0.608,0.582,0.545
1p46G-gemma-commoncrawl-tr-29BT,6,12500,26.2144,0.596,0.606,0.596,0.55
1p46G-gemma-commoncrawl-tr-29BT,6,13000,27.262976,0.599,0.628,0.599,0.556
1p46G-gemma-commoncrawl-tr-29BT,6,13500,28.311552,0.587,0.604,0.587,0.541
1p46G-gemma-commoncrawl-tr-29BT,6,14000,29.360128,0.599,0.612,0.599,0.541
1p46G-gemma-commoncrawl-tr-29BT,6,1500,3.145728,0.55,0.546,0.55,0.489
1p46G-gemma-commoncrawl-tr-29BT,6,2000,4.194304,0.544,0.553,0.544,0.496
1p46G-gemma-commoncrawl-tr-29BT,6,2500,5.24288,0.557,0.559,0.557,0.499
1p46G-gemma-commoncrawl-tr-29BT,6,3000,6.291456,0.554,0.583,0.554,0.524
1p46G-gemma-commoncrawl-tr-29BT,6,3500,7.340032,0.5750000000000001,0.5720000000000001,0.5750000000000001,0.515
1p46G-gemma-commoncrawl-tr-29BT,6,4000,8.388608,0.5640000000000001,0.587,0.5640000000000001,0.515
1p46G-gemma-commoncrawl-tr-29BT,6,4500,9.437184,0.594,0.608,0.594,0.522
1p46G-gemma-commoncrawl-tr-29BT,6,500,1.048576,0.503,0.496,0.503,0.47900000000000004
1p46G-gemma-commoncrawl-tr-29BT,6,5000,10.48576,0.584,0.603,0.584,0.503
1p46G-gemma-commoncrawl-tr-29BT,6,5500,11.534336,0.579,0.591,0.579,0.54
1p46G-gemma-commoncrawl-tr-29BT,6,6000,12.582912,0.549,0.582,0.549,0.538
1p46G-gemma-commoncrawl-tr-29BT,6,6500,13.631488,0.581,0.604,0.581,0.543
1p46G-gemma-commoncrawl-tr-29BT,6,7000,14.680064,0.59,0.607,0.59,0.535
1p46G-gemma-commoncrawl-tr-29BT,6,7500,15.72864,0.604,0.627,0.604,0.561
1p46G-gemma-commoncrawl-tr-29BT,6,8000,16.777216,0.5710000000000001,0.614,0.5710000000000001,0.5630000000000001
1p46G-gemma-commoncrawl-tr-29BT,6,8500,17.825792,0.561,0.587,0.561,0.5700000000000001
1p46G-gemma-commoncrawl-tr-29BT,6,9000,18.874368,0.555,0.594,0.555,0.533
1p46G-gemma-commoncrawl-tr-29BT,6,9500,19.922944,0.5660000000000001,0.6000000000000001,0.5660000000000001,0.52
1p46G-gemma-orion-tr-29BT,6,0,0.0,0.513,0.491,0.513,0.49
1p46G-gemma-orion-tr-29BT,6,1000,2.097152,0.546,0.5660000000000001,0.546,0.511
1p46G-gemma-orion-tr-29BT,6,10000,20.97152,0.594,0.624,0.594,0.612
1p46G-gemma-orion-tr-29BT,6,10500,22.020096,0.61,0.644,0.61,0.591
1p46G-gemma-orion-tr-29BT,6,11000,23.068672,0.626,0.649,0.626,0.598
