runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-tr-29BT,6,0,0.0,0.49,0.494,0.49,0.47000000000000003
1p46G-gemma-commoncrawl-tr-29BT,6,1000,2.097152,0.537,0.552,0.537,0.516
1p46G-gemma-commoncrawl-tr-29BT,6,10000,20.97152,0.586,0.603,0.586,0.532
1p46G-gemma-commoncrawl-tr-29BT,6,10500,22.020096,0.58,0.596,0.58,0.543
1p46G-gemma-commoncrawl-tr-29BT,6,11000,23.068672,0.58,0.612,0.58,0.534
1p46G-gemma-commoncrawl-tr-29BT,6,11500,24.117248,0.581,0.613,0.581,0.551
1p46G-gemma-commoncrawl-tr-29BT,6,12000,25.165824,0.577,0.612,0.577,0.539
1p46G-gemma-commoncrawl-tr-29BT,6,12500,26.2144,0.596,0.611,0.596,0.537
1p46G-gemma-commoncrawl-tr-29BT,6,13000,27.262976,0.6000000000000001,0.627,0.6000000000000001,0.537
1p46G-gemma-commoncrawl-tr-29BT,6,13500,28.311552,0.582,0.612,0.582,0.533
1p46G-gemma-commoncrawl-tr-29BT,6,14000,29.360128,0.598,0.623,0.598,0.534
1p46G-gemma-commoncrawl-tr-29BT,6,1500,3.145728,0.555,0.5660000000000001,0.555,0.499
1p46G-gemma-commoncrawl-tr-29BT,6,2000,4.194304,0.5720000000000001,0.598,0.5720000000000001,0.51
1p46G-gemma-commoncrawl-tr-29BT,6,2500,5.24288,0.593,0.5670000000000001,0.593,0.522
1p46G-gemma-commoncrawl-tr-29BT,6,3000,6.291456,0.596,0.591,0.596,0.523
1p46G-gemma-commoncrawl-tr-29BT,6,3500,7.340032,0.585,0.587,0.585,0.525
1p46G-gemma-commoncrawl-tr-29BT,6,4000,8.388608,0.5740000000000001,0.619,0.5740000000000001,0.512
1p46G-gemma-commoncrawl-tr-29BT,6,4500,9.437184,0.601,0.612,0.601,0.531
1p46G-gemma-commoncrawl-tr-29BT,6,500,1.048576,0.516,0.506,0.516,0.497
1p46G-gemma-commoncrawl-tr-29BT,6,5000,10.48576,0.586,0.603,0.586,0.52
1p46G-gemma-commoncrawl-tr-29BT,6,5500,11.534336,0.584,0.606,0.584,0.539
1p46G-gemma-commoncrawl-tr-29BT,6,6000,12.582912,0.546,0.583,0.546,0.523
1p46G-gemma-commoncrawl-tr-29BT,6,6500,13.631488,0.5710000000000001,0.602,0.5710000000000001,0.542
1p46G-gemma-commoncrawl-tr-29BT,6,7000,14.680064,0.583,0.608,0.583,0.529
1p46G-gemma-commoncrawl-tr-29BT,6,7500,15.72864,0.5700000000000001,0.584,0.5700000000000001,0.517
1p46G-gemma-commoncrawl-tr-29BT,6,8000,16.777216,0.5710000000000001,0.595,0.5710000000000001,0.556
1p46G-gemma-commoncrawl-tr-29BT,6,8500,17.825792,0.5710000000000001,0.59,0.5710000000000001,0.549
1p46G-gemma-commoncrawl-tr-29BT,6,9000,18.874368,0.561,0.587,0.561,0.535
1p46G-gemma-commoncrawl-tr-29BT,6,9500,19.922944,0.5720000000000001,0.599,0.5720000000000001,0.547
1p46G-gemma-orion-tr-29BT,6,0,0.0,0.49,0.494,0.49,0.47000000000000003
1p46G-gemma-orion-tr-29BT,6,1000,2.097152,0.54,0.5630000000000001,0.54,0.503
1p46G-gemma-orion-tr-29BT,6,10000,20.97152,0.601,0.638,0.601,0.584
1p46G-gemma-orion-tr-29BT,6,10500,22.020096,0.611,0.652,0.611,0.587
1p46G-gemma-orion-tr-29BT,6,11000,23.068672,0.639,0.671,0.639,0.561
1p46G-gemma-orion-tr-29BT,6,11500,24.117248,0.623,0.659,0.623,0.58
1p46G-gemma-orion-tr-29BT,6,12000,25.165824,0.608,0.64,0.608,0.585
1p46G-gemma-orion-tr-29BT,6,12500,26.2144,0.611,0.659,0.611,0.5710000000000001
1p46G-gemma-orion-tr-29BT,6,13000,27.262976,0.599,0.644,0.599,0.584
1p46G-gemma-orion-tr-29BT,6,13500,28.311552,0.623,0.657,0.623,0.5760000000000001
1p46G-gemma-orion-tr-29BT,6,14000,29.360128,0.606,0.635,0.606,0.5740000000000001
1p46G-gemma-orion-tr-29BT,6,1500,3.145728,0.592,0.602,0.592,0.483
1p46G-gemma-orion-tr-29BT,6,2000,4.194304,0.5680000000000001,0.604,0.5680000000000001,0.507
1p46G-gemma-orion-tr-29BT,6,2500,5.24288,0.557,0.581,0.557,0.507
1p46G-gemma-orion-tr-29BT,6,3000,6.291456,0.588,0.61,0.588,0.561
1p46G-gemma-orion-tr-29BT,6,3500,7.340032,0.583,0.615,0.583,0.53
