runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-commoncrawl-tr-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-tr-29BT,6,1000,2.097152,0.028,0.033088208200000004
1p46G-gemma-commoncrawl-tr-29BT,6,10000,20.97152,0.048,0.0626646756
1p46G-gemma-commoncrawl-tr-29BT,6,10500,22.020096,0.046,0.0544371664
1p46G-gemma-commoncrawl-tr-29BT,6,11000,23.068672,0.049,0.059364527300000004
1p46G-gemma-commoncrawl-tr-29BT,6,11500,24.117248,0.044,0.0633157137
1p46G-gemma-commoncrawl-tr-29BT,6,12000,25.165824,0.041,0.0560241776
1p46G-gemma-commoncrawl-tr-29BT,6,12500,26.2144,0.044,0.052171425300000004
1p46G-gemma-commoncrawl-tr-29BT,6,13000,27.262976,0.044,0.054551531300000004
1p46G-gemma-commoncrawl-tr-29BT,6,13500,28.311552,0.049,0.056825935300000005
1p46G-gemma-commoncrawl-tr-29BT,6,14000,29.360128,0.044,0.057930783300000004
1p46G-gemma-commoncrawl-tr-29BT,6,1500,3.145728,0.027,0.03444897
1p46G-gemma-commoncrawl-tr-29BT,6,2000,4.194304,0.037,0.0407608765
1p46G-gemma-commoncrawl-tr-29BT,6,2500,5.24288,0.032,0.0360645007
1p46G-gemma-commoncrawl-tr-29BT,6,3000,6.291456,0.025,0.0425968204
1p46G-gemma-commoncrawl-tr-29BT,6,3500,7.340032,0.029,0.040503899600000004
1p46G-gemma-commoncrawl-tr-29BT,6,4000,8.388608,0.031,0.047857907000000005
1p46G-gemma-commoncrawl-tr-29BT,6,4500,9.437184,0.035,0.046381750400000005
1p46G-gemma-commoncrawl-tr-29BT,6,500,1.048576,0.01,0.0071393041
1p46G-gemma-commoncrawl-tr-29BT,6,5000,10.48576,0.035,0.0551014971
1p46G-gemma-commoncrawl-tr-29BT,6,5500,11.534336,0.048,0.051731148500000004
1p46G-gemma-commoncrawl-tr-29BT,6,6000,12.582912,0.044,0.0514603895
1p46G-gemma-commoncrawl-tr-29BT,6,6500,13.631488,0.041,0.0492188119
1p46G-gemma-commoncrawl-tr-29BT,6,7000,14.680064,0.042,0.0516216361
1p46G-gemma-commoncrawl-tr-29BT,6,7500,15.72864,0.039,0.0549782027
1p46G-gemma-commoncrawl-tr-29BT,6,8000,16.777216,0.044,0.0523371755
1p46G-gemma-commoncrawl-tr-29BT,6,8500,17.825792,0.051000000000000004,0.0589422552
1p46G-gemma-commoncrawl-tr-29BT,6,9000,18.874368,0.046,0.0571555147
1p46G-gemma-commoncrawl-tr-29BT,6,9500,19.922944,0.042,0.0574995172
1p46G-gemma-orion-tr-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-orion-tr-29BT,6,1000,2.097152,0.024,0.0326236892
1p46G-gemma-orion-tr-29BT,6,10000,20.97152,0.04,0.061422124300000006
1p46G-gemma-orion-tr-29BT,6,10500,22.020096,0.052000000000000005,0.06285375
1p46G-gemma-orion-tr-29BT,6,11000,23.068672,0.046,0.0589563399
1p46G-gemma-orion-tr-29BT,6,11500,24.117248,0.049,0.0623323966
1p46G-gemma-orion-tr-29BT,6,12000,25.165824,0.049,0.060899209100000004
1p46G-gemma-orion-tr-29BT,6,12500,26.2144,0.042,0.0602923595
1p46G-gemma-orion-tr-29BT,6,13000,27.262976,0.046,0.058859941400000004
1p46G-gemma-orion-tr-29BT,6,13500,28.311552,0.047,0.063485305
1p46G-gemma-orion-tr-29BT,6,14000,29.360128,0.047,0.0637785218
1p46G-gemma-orion-tr-29BT,6,1500,3.145728,0.029,0.0361047605
1p46G-gemma-orion-tr-29BT,6,2000,4.194304,0.038,0.0417437471
1p46G-gemma-orion-tr-29BT,6,2500,5.24288,0.036000000000000004,0.0500736819
1p46G-gemma-orion-tr-29BT,6,3000,6.291456,0.033,0.0467352126
1p46G-gemma-orion-tr-29BT,6,3500,7.340032,0.023,0.0370402622
1p46G-gemma-orion-tr-29BT,6,4000,8.388608,0.03,0.0446344247
1p46G-gemma-orion-tr-29BT,6,4500,9.437184,0.037,0.0443501488
1p46G-gemma-orion-tr-29BT,6,500,1.048576,0.03,0.020429806300000002
1p46G-gemma-orion-tr-29BT,6,5000,10.48576,0.041,0.051795161000000006
1p46G-gemma-orion-tr-29BT,6,5500,11.534336,0.038,0.054545023500000005
1p46G-gemma-orion-tr-29BT,6,6000,12.582912,0.039,0.0510226055
1p46G-gemma-orion-tr-29BT,6,6500,13.631488,0.045,0.0563298085
1p46G-gemma-orion-tr-29BT,6,7000,14.680064,0.035,0.0549425117
1p46G-gemma-orion-tr-29BT,6,7500,15.72864,0.047,0.0566756973
1p46G-gemma-orion-tr-29BT,6,8000,16.777216,0.043000000000000003,0.054726846700000005
1p46G-gemma-orion-tr-29BT,6,8500,17.825792,0.041,0.0591455548
1p46G-gemma-orion-tr-29BT,6,9000,18.874368,0.039,0.0552398635
1p46G-gemma-orion-tr-29BT,6,9500,19.922944,0.04,0.061673443200000004
baseline-tr-,42,0,0.0,0.0,0.0
1p46G-gemma-aquila-tr-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-aquila-tr-29BT,6,1000,2.097152,0.028,0.0241353153
1p46G-gemma-aquila-tr-29BT,6,10000,20.97152,0.036000000000000004,0.053525059300000004
1p46G-gemma-aquila-tr-29BT,6,10500,22.020096,0.038,0.0506041902
1p46G-gemma-aquila-tr-29BT,6,11000,23.068672,0.036000000000000004,0.049041828700000005
1p46G-gemma-aquila-tr-29BT,6,11500,24.117248,0.036000000000000004,0.0512935426
1p46G-gemma-aquila-tr-29BT,6,12000,25.165824,0.044,0.050968294000000004
1p46G-gemma-aquila-tr-29BT,6,12500,26.2144,0.047,0.0486309361
1p46G-gemma-aquila-tr-29BT,6,13000,27.262976,0.042,0.054031689
1p46G-gemma-aquila-tr-29BT,6,13500,28.311552,0.038,0.0528763863
1p46G-gemma-aquila-tr-29BT,6,14000,29.360128,0.043000000000000003,0.052387338900000004
1p46G-gemma-aquila-tr-29BT,6,1500,3.145728,0.036000000000000004,0.041756788100000004
1p46G-gemma-aquila-tr-29BT,6,2000,4.194304,0.029,0.0307575803
1p46G-gemma-aquila-tr-29BT,6,2500,5.24288,0.033,0.0411294971
1p46G-gemma-aquila-tr-29BT,6,3000,6.291456,0.039,0.0356100813
1p46G-gemma-aquila-tr-29BT,6,3500,7.340032,0.039,0.045649703
1p46G-gemma-aquila-tr-29BT,6,4000,8.388608,0.037,0.041864800300000005
1p46G-gemma-aquila-tr-29BT,6,4500,9.437184,0.039,0.047698292600000004
1p46G-gemma-aquila-tr-29BT,6,500,1.048576,0.022,0.0186334423
1p46G-gemma-aquila-tr-29BT,6,5000,10.48576,0.039,0.045721032
1p46G-gemma-aquila-tr-29BT,6,5500,11.534336,0.045,0.0436608984
1p46G-gemma-aquila-tr-29BT,6,6000,12.582912,0.038,0.0497549274
1p46G-gemma-aquila-tr-29BT,6,6500,13.631488,0.035,0.0472508102
1p46G-gemma-aquila-tr-29BT,6,7000,14.680064,0.046,0.0455838847
1p46G-gemma-aquila-tr-29BT,6,7500,15.72864,0.044,0.0473101884
1p46G-gemma-aquila-tr-29BT,6,8000,16.777216,0.04,0.0485674684
1p46G-gemma-aquila-tr-29BT,6,8500,17.825792,0.041,0.051708403800000004
1p46G-gemma-aquila-tr-29BT,6,9000,18.874368,0.041,0.0519054028
1p46G-gemma-aquila-tr-29BT,6,9500,19.922944,0.043000000000000003,0.052258398000000005
1p46G-gemma-commoncrawl-tr-29BT,3,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-tr-29BT,3,1000,2.097152,0.029,0.031386269200000004
1p46G-gemma-commoncrawl-tr-29BT,3,10000,20.97152,0.05,0.061099882300000005
1p46G-gemma-commoncrawl-tr-29BT,3,10500,22.020096,0.05,0.0599292884
1p46G-gemma-commoncrawl-tr-29BT,3,11000,23.068672,0.044,0.0564368762
1p46G-gemma-commoncrawl-tr-29BT,3,11500,24.117248,0.039,0.0551125796
1p46G-gemma-commoncrawl-tr-29BT,3,12000,25.165824,0.046,0.0566385832
1p46G-gemma-commoncrawl-tr-29BT,3,12500,26.2144,0.045,0.055367671
1p46G-gemma-commoncrawl-tr-29BT,3,13000,27.262976,0.046,0.058294222900000005
1p46G-gemma-commoncrawl-tr-29BT,3,13500,28.311552,0.045,0.054145270100000004
1p46G-gemma-commoncrawl-tr-29BT,3,14000,29.360128,0.048,0.0534059263
1p46G-gemma-commoncrawl-tr-29BT,3,1500,3.145728,0.029,0.041968447900000004
1p46G-gemma-commoncrawl-tr-29BT,3,2000,4.194304,0.027,0.036498766700000004
1p46G-gemma-commoncrawl-tr-29BT,3,2500,5.24288,0.027,0.0345637128
1p46G-gemma-commoncrawl-tr-29BT,3,3000,6.291456,0.035,0.045992842000000006
1p46G-gemma-commoncrawl-tr-29BT,3,3500,7.340032,0.04,0.0403140399
1p46G-gemma-commoncrawl-tr-29BT,3,4000,8.388608,0.046,0.047119321900000004
1p46G-gemma-commoncrawl-tr-29BT,3,4500,9.437184,0.043000000000000003,0.049775508
1p46G-gemma-commoncrawl-tr-29BT,3,500,1.048576,0.023,0.020893911600000002
1p46G-gemma-commoncrawl-tr-29BT,3,5000,10.48576,0.044,0.0483199027
1p46G-gemma-commoncrawl-tr-29BT,3,5500,11.534336,0.042,0.0563781047
1p46G-gemma-commoncrawl-tr-29BT,3,6000,12.582912,0.047,0.0479288135
1p46G-gemma-commoncrawl-tr-29BT,3,6500,13.631488,0.046,0.0544585943
1p46G-gemma-commoncrawl-tr-29BT,3,7000,14.680064,0.048,0.0547050301
1p46G-gemma-commoncrawl-tr-29BT,3,7500,15.72864,0.051000000000000004,0.0607542228
1p46G-gemma-commoncrawl-tr-29BT,3,8000,16.777216,0.043000000000000003,0.0569866378
1p46G-gemma-commoncrawl-tr-29BT,3,8500,17.825792,0.042,0.0556657104
1p46G-gemma-commoncrawl-tr-29BT,3,9000,18.874368,0.043000000000000003,0.0540040724
1p46G-gemma-commoncrawl-tr-29BT,3,9500,19.922944,0.044,0.052317662300000005
1p46G-gemma-lynx-tr-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-lynx-tr-29BT,6,1000,2.097152,0.024,0.0225959191
1p46G-gemma-lynx-tr-29BT,6,10000,20.97152,0.05,0.0581989444
1p46G-gemma-lynx-tr-29BT,6,10500,22.020096,0.05,0.0652414131
1p46G-gemma-lynx-tr-29BT,6,11000,23.068672,0.053,0.0601752943
1p46G-gemma-lynx-tr-29BT,6,11500,24.117248,0.049,0.0582635912
1p46G-gemma-lynx-tr-29BT,6,12000,25.165824,0.049,0.061016449900000005
1p46G-gemma-lynx-tr-29BT,6,12500,26.2144,0.056,0.062368895900000006
1p46G-gemma-lynx-tr-29BT,6,13000,27.262976,0.042,0.0640207772
1p46G-gemma-lynx-tr-29BT,6,13500,28.311552,0.051000000000000004,0.0656339537
1p46G-gemma-lynx-tr-29BT,6,14000,29.360128,0.052000000000000005,0.0653498675
1p46G-gemma-lynx-tr-29BT,6,1500,3.145728,0.04,0.0334024821
1p46G-gemma-lynx-tr-29BT,6,2000,4.194304,0.038,0.0325549001
1p46G-gemma-lynx-tr-29BT,6,2500,5.24288,0.033,0.0380757753
1p46G-gemma-lynx-tr-29BT,6,3000,6.291456,0.042,0.0463798426
1p46G-gemma-lynx-tr-29BT,6,3500,7.340032,0.042,0.0439723385
1p46G-gemma-lynx-tr-29BT,6,4000,8.388608,0.05,0.0439346103
1p46G-gemma-lynx-tr-29BT,6,4500,9.437184,0.049,0.051227638900000004
1p46G-gemma-lynx-tr-29BT,6,500,1.048576,0.02,0.0176301252
1p46G-gemma-lynx-tr-29BT,6,5000,10.48576,0.037,0.0509902973
1p46G-gemma-lynx-tr-29BT,6,5500,11.534336,0.049,0.049298753800000004
1p46G-gemma-lynx-tr-29BT,6,6000,12.582912,0.048,0.0496750242
1p46G-gemma-lynx-tr-29BT,6,6500,13.631488,0.047,0.05342957
1p46G-gemma-lynx-tr-29BT,6,7000,14.680064,0.046,0.04904445
1p46G-gemma-lynx-tr-29BT,6,7500,15.72864,0.039,0.0483688428
1p46G-gemma-lynx-tr-29BT,6,8000,16.777216,0.042,0.0515955664
1p46G-gemma-lynx-tr-29BT,6,8500,17.825792,0.05,0.057491813200000005
1p46G-gemma-lynx-tr-29BT,6,9000,18.874368,0.047,0.0513866911
1p46G-gemma-lynx-tr-29BT,6,9500,19.922944,0.048,0.059033526
1p46G-gemma-helios-tr-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-helios-tr-29BT,6,1000,2.097152,0.02,0.0259474115
1p46G-gemma-helios-tr-29BT,6,10000,20.97152,0.046,0.06285738190000001
1p46G-gemma-helios-tr-29BT,6,10500,22.020096,0.05,0.0743067337
1p46G-gemma-helios-tr-29BT,6,11000,23.068672,0.047,0.0680649301
1p46G-gemma-helios-tr-29BT,6,11500,24.117248,0.045,0.0660493687
1p46G-gemma-helios-tr-29BT,6,12000,25.165824,0.046,0.06718030030000001
1p46G-gemma-helios-tr-29BT,6,12500,26.2144,0.045,0.0654969797
1p46G-gemma-helios-tr-29BT,6,13000,27.262976,0.049,0.07211854200000001
1p46G-gemma-helios-tr-29BT,6,13500,28.311552,0.047,0.07293247
1p46G-gemma-helios-tr-29BT,6,14000,29.360128,0.047,0.0682628551
1p46G-gemma-helios-tr-29BT,6,1500,3.145728,0.025,0.0361361309
1p46G-gemma-helios-tr-29BT,6,2000,4.194304,0.039,0.0398659621
1p46G-gemma-helios-tr-29BT,6,2500,5.24288,0.034,0.0484482888
1p46G-gemma-helios-tr-29BT,6,3000,6.291456,0.042,0.0473321067
1p46G-gemma-helios-tr-29BT,6,3500,7.340032,0.043000000000000003,0.0555307062
1p46G-gemma-helios-tr-29BT,6,4000,8.388608,0.039,0.0478187138
1p46G-gemma-helios-tr-29BT,6,4500,9.437184,0.045,0.058896754600000004
1p46G-gemma-helios-tr-29BT,6,500,1.048576,0.022,0.018182518300000002
1p46G-gemma-helios-tr-29BT,6,5000,10.48576,0.042,0.054943504000000004
1p46G-gemma-helios-tr-29BT,6,5500,11.534336,0.037,0.047414974400000004
1p46G-gemma-helios-tr-29BT,6,6000,12.582912,0.043000000000000003,0.0643244409
1p46G-gemma-helios-tr-29BT,6,6500,13.631488,0.041,0.0584196347
1p46G-gemma-helios-tr-29BT,6,7000,14.680064,0.048,0.0560137252
1p46G-gemma-helios-tr-29BT,6,7500,15.72864,0.04,0.0673679704
1p46G-gemma-helios-tr-29BT,6,8000,16.777216,0.05,0.0699768747
1p46G-gemma-helios-tr-29BT,6,8500,17.825792,0.044,0.0661007904
1p46G-gemma-helios-tr-29BT,6,9000,18.874368,0.047,0.06383068160000001
1p46G-gemma-helios-tr-29BT,6,9500,19.922944,0.053,0.06780508090000001
1p46G-gemma-commoncrawl-tr-29BT,4,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-tr-29BT,4,1000,2.097152,0.037,0.0389315032
1p46G-gemma-commoncrawl-tr-29BT,4,10000,20.97152,0.037,0.0583827887
1p46G-gemma-commoncrawl-tr-29BT,4,10500,22.020096,0.037,0.056776122400000004
1p46G-gemma-commoncrawl-tr-29BT,4,11000,23.068672,0.043000000000000003,0.0579200402
1p46G-gemma-commoncrawl-tr-29BT,4,11500,24.117248,0.039,0.0627406091
1p46G-gemma-commoncrawl-tr-29BT,4,12000,25.165824,0.038,0.0554871367
1p46G-gemma-commoncrawl-tr-29BT,4,12500,26.2144,0.037,0.0602995204
1p46G-gemma-commoncrawl-tr-29BT,4,13000,27.262976,0.035,0.057537201100000004
1p46G-gemma-commoncrawl-tr-29BT,4,13500,28.311552,0.035,0.0528355842
1p46G-gemma-commoncrawl-tr-29BT,4,14000,29.360128,0.033,0.0535571665
1p46G-gemma-commoncrawl-tr-29BT,4,1500,3.145728,0.045,0.0472292047
1p46G-gemma-commoncrawl-tr-29BT,4,2000,4.194304,0.039,0.0409365978
1p46G-gemma-commoncrawl-tr-29BT,4,2500,5.24288,0.038,0.0371055662
1p46G-gemma-commoncrawl-tr-29BT,4,3000,6.291456,0.041,0.040119590000000004
1p46G-gemma-commoncrawl-tr-29BT,4,3500,7.340032,0.033,0.0476398252
1p46G-gemma-commoncrawl-tr-29BT,4,4000,8.388608,0.038,0.049465900300000004
1p46G-gemma-commoncrawl-tr-29BT,4,4500,9.437184,0.043000000000000003,0.0527005615
1p46G-gemma-commoncrawl-tr-29BT,4,500,1.048576,0.024,0.014322909200000001
1p46G-gemma-commoncrawl-tr-29BT,4,5000,10.48576,0.038,0.0513307293
1p46G-gemma-commoncrawl-tr-29BT,4,5500,11.534336,0.041,0.0536914764
1p46G-gemma-commoncrawl-tr-29BT,4,6000,12.582912,0.036000000000000004,0.047723290200000004
1p46G-gemma-commoncrawl-tr-29BT,4,6500,13.631488,0.044,0.0532290386
1p46G-gemma-commoncrawl-tr-29BT,4,7000,14.680064,0.036000000000000004,0.0468265864
1p46G-gemma-commoncrawl-tr-29BT,4,7500,15.72864,0.038,0.0539842945
1p46G-gemma-commoncrawl-tr-29BT,4,8000,16.777216,0.044,0.0649590141
1p46G-gemma-commoncrawl-tr-29BT,4,8500,17.825792,0.039,0.0590392068
1p46G-gemma-commoncrawl-tr-29BT,4,9000,18.874368,0.035,0.047452176900000004
1p46G-gemma-commoncrawl-tr-29BT,4,9500,19.922944,0.038,0.0585659851
1p46G-gemma-commoncrawl-tr-29BT,5,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-tr-29BT,5,1000,2.097152,0.028,0.0318587165
1p46G-gemma-commoncrawl-tr-29BT,5,10000,20.97152,0.043000000000000003,0.058479807
