runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.2040573909,0.2592396387,0.2608916431,0.2621929095
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.21967400280000002,0.283483867,0.2742450374,0.2710704545
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.2203549732,0.2763808772,0.2722349155,0.28448388690000004
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.2200941699,0.27938990340000003,0.2781437902,0.2819040799
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.2210005079,0.2729572691,0.2678239304,0.279005157
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.2201744022,0.2804780281,0.268809193,0.2824121033
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.2226414375,0.2764259524,0.27074950340000004,0.2860862026
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.218800517,0.2730613414,0.2690311137,0.2819189354
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.2247817684,0.2711373986,0.2729436061,0.283045851
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.2237817457,0.27685342560000004,0.2702052591,0.28016178080000004
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.2249517138,0.2773305709,0.27260220420000003,0.2834088845
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.2147539302,0.2815584842,0.2644855949,0.30874642
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.21235892990000002,0.2781221785,0.2641277987,0.3021623086
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.2161904378,0.2762237157,0.2597340856,0.3045602062
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.22156132380000002,0.28201137860000003,0.2648422295,0.2702046821
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.2189698032,0.2738148046,0.2568524687,0.28276355140000003
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.2142513834,0.27262187930000004,0.26791515660000004,0.2883000844
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.2172713003,0.2775453068,0.2640485388,0.28848550570000003
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.21683009520000002,0.2767300153,0.2690443134,0.2970541479
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.2200291292,0.2797344299,0.2648761566,0.2830745505
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.2238670253,0.2774975771,0.2693088691,0.2911837789
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.2210471491,0.2765439825,0.2728481723,0.295767602
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.2122429699,0.27561641470000003,0.2647375433,0.282262138
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.2216786204,0.2729697359,0.2652012864,0.2930948732
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.2204739013,0.2750124276,0.2685267529,0.28206577990000004
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.22239121920000002,0.2763475973,0.2653032808,0.282586479
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.221456654,0.2750226784,0.2714317235,0.27931546020000003
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.2209232089,0.2795821744,0.2718355382,0.2947580613
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.2185908668,0.2774344486,0.2714541627,0.2847650286
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.2040573909,0.2592396387,0.2608916431,0.2621929095
1p46G-gemma-orion-zh-29BT,6,1000,2.097152,0.20817927490000002,0.2777377292,0.2864671448,0.2977549849
1p46G-gemma-orion-zh-29BT,6,10000,20.97152,0.2103978048,0.28070336960000003,0.2775701748,0.3055760253
1p46G-gemma-orion-zh-29BT,6,10500,22.020096,0.2089578676,0.281237718,0.28131826860000003,0.303957244
1p46G-gemma-orion-zh-29BT,6,11000,23.068672,0.2095516606,0.2765967071,0.2774058913,0.3065608123
1p46G-gemma-orion-zh-29BT,6,11500,24.117248,0.215029998,0.27926049950000004,0.27721743050000003,0.3027228168
1p46G-gemma-orion-zh-29BT,6,12000,25.165824,0.20980631660000001,0.2768092427,0.281166574,0.3087186831
1p46G-gemma-orion-zh-29BT,6,12500,26.2144,0.21018794170000002,0.2719946247,0.2770381547,0.3075553176
1p46G-gemma-orion-zh-29BT,6,13000,27.262976,0.2118956444,0.2764422612,0.2783163055,0.3067860281
1p46G-gemma-orion-zh-29BT,6,13500,28.311552,0.2121429487,0.2797545683,0.2785536171,0.3094471742
1p46G-gemma-orion-zh-29BT,6,14000,29.360128,0.2073476105,0.2793907798,0.27947506240000003,0.30136702790000003
1p46G-gemma-orion-zh-29BT,6,1500,3.145728,0.2014713405,0.2807617771,0.2723896245,0.2959487006
1p46G-gemma-orion-zh-29BT,6,2000,4.194304,0.20802172030000002,0.2849610665,0.27119890280000003,0.29885745350000004
1p46G-gemma-orion-zh-29BT,6,2500,5.24288,0.2013284703,0.2808724566,0.2718678888,0.3112762852
1p46G-gemma-orion-zh-29BT,6,3000,6.291456,0.21587991080000002,0.28587503340000003,0.2775884652,0.3183289761
1p46G-gemma-orion-zh-29BT,6,3500,7.340032,0.2068194864,0.2700166607,0.27022270730000003,0.3012276417
1p46G-gemma-orion-zh-29BT,6,4000,8.388608,0.21451586660000002,0.2765300336,0.26748897990000003,0.31124104950000003
1p46G-gemma-orion-zh-29BT,6,4500,9.437184,0.2087408745,0.2722010895,0.26832068540000004,0.3134600632
1p46G-gemma-orion-zh-29BT,6,500,1.048576,0.2115803782,0.28344641800000003,0.2895580163,0.30814205440000003
1p46G-gemma-orion-zh-29BT,6,5000,10.48576,0.21694876840000002,0.2761628003,0.276458119,0.30400129330000003
1p46G-gemma-orion-zh-29BT,6,5500,11.534336,0.207898619,0.272721829,0.2666241348,0.3072633192
1p46G-gemma-orion-zh-29BT,6,6000,12.582912,0.2085299506,0.2720704879,0.2739304504,0.2983686178
1p46G-gemma-orion-zh-29BT,6,6500,13.631488,0.2081634206,0.2740947178,0.2770940914,0.3162512304
1p46G-gemma-orion-zh-29BT,6,7000,14.680064,0.20786625450000001,0.2723925117,0.2760472151,0.3050233144
1p46G-gemma-orion-zh-29BT,6,7500,15.72864,0.2063438817,0.2705165639,0.2736477391,0.3048809931
1p46G-gemma-orion-zh-29BT,6,8000,16.777216,0.2126939227,0.27760758950000003,0.2788430574,0.30659726130000003
1p46G-gemma-orion-zh-29BT,6,8500,17.825792,0.21531836070000002,0.279836974,0.28219850690000003,0.3032105235
1p46G-gemma-orion-zh-29BT,6,9000,18.874368,0.21339997630000002,0.275052691,0.2789676385,0.30571901030000004
1p46G-gemma-orion-zh-29BT,6,9500,19.922944,0.21081956340000002,0.2772320026,0.274926604,0.3014179885
baseline-zh-,42,0,0.0,0.2664687056,0.2664687056,0.2664687056,0.2664687056
1p46G-gemma-lynx-zh-29BT,6,0,0.0,0.2040573909,0.2592396387,0.2612830655,0.26269796
1p46G-gemma-lynx-zh-29BT,6,1000,2.097152,0.198476599,0.2807276212,0.2796702095,0.3033522146
1p46G-gemma-lynx-zh-29BT,6,10000,20.97152,0.21235506710000002,0.283261774,0.2786762944,0.33079385040000003
1p46G-gemma-lynx-zh-29BT,6,10500,22.020096,0.21140428220000002,0.2849002245,0.2790609653,0.33449854970000004
1p46G-gemma-lynx-zh-29BT,6,11000,23.068672,0.2107040655,0.2857972259,0.2788521923,0.33850403430000003
1p46G-gemma-lynx-zh-29BT,6,11500,24.117248,0.2091122369,0.28012208110000003,0.2753633028,0.33782765600000003
1p46G-gemma-lynx-zh-29BT,6,12000,25.165824,0.2100707944,0.28248927090000003,0.2781608413,0.336211079
1p46G-gemma-lynx-zh-29BT,6,12500,26.2144,0.20676511760000002,0.2803004001,0.2719560663,0.33789464750000003
1p46G-gemma-lynx-zh-29BT,6,13000,27.262976,0.2055530223,0.27920957300000004,0.27670671550000003,0.3453452824
1p46G-gemma-lynx-zh-29BT,6,13500,28.311552,0.2077646525,0.2785222471,0.2753573293,0.33096664060000003
1p46G-gemma-lynx-zh-29BT,6,14000,29.360128,0.2065661021,0.2835569424,0.27280758780000003,0.3442240684
1p46G-gemma-lynx-zh-29BT,6,1500,3.145728,0.20199649660000002,0.28043203240000003,0.28202216010000003,0.3230475369
1p46G-gemma-lynx-zh-29BT,6,2000,4.194304,0.2172544573,0.2968302961,0.2917512316,0.3162422127
1p46G-gemma-lynx-zh-29BT,6,2500,5.24288,0.2098457206,0.2839296591,0.2835075848,0.3263797361
1p46G-gemma-lynx-zh-29BT,6,3000,6.291456,0.2118910943,0.29963501400000003,0.2845544302,0.3310306388
1p46G-gemma-lynx-zh-29BT,6,3500,7.340032,0.2174840412,0.2933475036,0.29300994150000004,0.345676568
1p46G-gemma-lynx-zh-29BT,6,4000,8.388608,0.2026839976,0.27881311670000003,0.2826503486,0.3206741227
1p46G-gemma-lynx-zh-29BT,6,4500,9.437184,0.2108292504,0.2850442089,0.2832880491,0.32468888900000004
1p46G-gemma-lynx-zh-29BT,6,500,1.048576,0.2059809993,0.2849650173,0.2877476567,0.3104539811
1p46G-gemma-lynx-zh-29BT,6,5000,10.48576,0.21606305820000002,0.2877852784,0.2884627468,0.3195405052
1p46G-gemma-lynx-zh-29BT,6,5500,11.534336,0.2109434583,0.2914473593,0.28715357550000004,0.31592247230000003
1p46G-gemma-lynx-zh-29BT,6,6000,12.582912,0.2105878499,0.2893808875,0.2816856317,0.32732488120000003
1p46G-gemma-lynx-zh-29BT,6,6500,13.631488,0.207002169,0.2876462906,0.27211109580000004,0.3084336703
1p46G-gemma-lynx-zh-29BT,6,7000,14.680064,0.2048634279,0.29079087870000003,0.2763161367,0.3403125637
1p46G-gemma-lynx-zh-29BT,6,7500,15.72864,0.20770193920000002,0.2837023333,0.2817616894,0.3332267782
1p46G-gemma-lynx-zh-29BT,6,8000,16.777216,0.2091077265,0.2882948456,0.2816051156,0.33238910320000004
1p46G-gemma-lynx-zh-29BT,6,8500,17.825792,0.20898087440000002,0.2902737058,0.27999413970000003,0.3207838965
1p46G-gemma-lynx-zh-29BT,6,9000,18.874368,0.2079966949,0.2923973506,0.2818822921,0.3324810543
1p46G-gemma-lynx-zh-29BT,6,9500,19.922944,0.2142855744,0.2910265076,0.2751858455,0.3411169495
1p46G-gemma-commoncrawl-zh-29BT,5,0,0.0,0.20431362700000003,0.2649279113,0.270862049,0.2898407021
1p46G-gemma-commoncrawl-zh-29BT,5,1000,2.097152,0.2091117831,0.287769684,0.2886793935,0.3093210044
1p46G-gemma-commoncrawl-zh-29BT,5,10000,20.97152,0.2190518065,0.2884358613,0.2809496371,0.3038682736
1p46G-gemma-commoncrawl-zh-29BT,5,10500,22.020096,0.22175504740000002,0.2905130869,0.2800084393,0.31213525340000003
1p46G-gemma-commoncrawl-zh-29BT,5,11000,23.068672,0.2151042649,0.2876479686,0.2806783954,0.3154702096
1p46G-gemma-commoncrawl-zh-29BT,5,11500,24.117248,0.2238215573,0.2959141455,0.2810492478,0.3083795449
1p46G-gemma-commoncrawl-zh-29BT,5,12000,25.165824,0.2168393404,0.2884285856,0.27887420490000003,0.3083525045
1p46G-gemma-commoncrawl-zh-29BT,5,12500,26.2144,0.2182274575,0.29738449110000004,0.27890786370000004,0.3197635165
1p46G-gemma-commoncrawl-zh-29BT,5,13000,27.262976,0.2168827761,0.2948733173,0.28009391100000003,0.322215277
1p46G-gemma-commoncrawl-zh-29BT,5,13500,28.311552,0.2180388707,0.29441565950000004,0.2840654702,0.3164558973
1p46G-gemma-commoncrawl-zh-29BT,5,14000,29.360128,0.2165694706,0.2905995819,0.28116808730000004,0.31476801
1p46G-gemma-commoncrawl-zh-29BT,5,1500,3.145728,0.211291217,0.2917222653,0.2868030468,0.2984359197
1p46G-gemma-commoncrawl-zh-29BT,5,2000,4.194304,0.2096047559,0.28206956440000003,0.2797413637,0.3002906711
1p46G-gemma-commoncrawl-zh-29BT,5,2500,5.24288,0.2093892745,0.2949647452,0.2817189484,0.29268039830000003
1p46G-gemma-commoncrawl-zh-29BT,5,3000,6.291456,0.20971997890000002,0.28979143360000004,0.2806449083,0.3052692412
1p46G-gemma-commoncrawl-zh-29BT,5,3500,7.340032,0.2080006593,0.28272343580000003,0.2825240416,0.2936302937
1p46G-gemma-commoncrawl-zh-29BT,5,4000,8.388608,0.22001101920000002,0.2984926699,0.2950113339,0.3017563048
1p46G-gemma-commoncrawl-zh-29BT,5,4500,9.437184,0.2212510899,0.3009367927,0.2924260249,0.3063891668
