runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.251,0.292,0.251,0.268
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.361,0.404,0.386,0.432
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.435,0.484,0.437,0.451
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.436,0.482,0.437,0.463
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.438,0.47500000000000003,0.434,0.47100000000000003
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.426,0.466,0.433,0.453
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.432,0.47000000000000003,0.432,0.46
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.429,0.468,0.419,0.444
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.431,0.47800000000000004,0.433,0.461
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.433,0.462,0.427,0.46900000000000003
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.439,0.47800000000000004,0.433,0.46
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.371,0.41500000000000004,0.406,0.447
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.387,0.41500000000000004,0.391,0.424
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.391,0.439,0.417,0.424
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.401,0.429,0.41100000000000003,0.46
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.40800000000000003,0.445,0.424,0.449
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.4,0.437,0.41400000000000003,0.445
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.403,0.45,0.422,0.438
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.312,0.334,0.316,0.317
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.4,0.443,0.406,0.442
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.402,0.452,0.421,0.435
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.422,0.458,0.427,0.429
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.40700000000000003,0.454,0.423,0.439
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.41500000000000004,0.464,0.419,0.442
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.422,0.462,0.426,0.455
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.422,0.47000000000000003,0.428,0.46
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.435,0.481,0.437,0.45
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.424,0.47000000000000003,0.439,0.434
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.43,0.484,0.439,0.448
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.251,0.292,0.251,0.268
1p46G-gemma-orion-zh-29BT,6,1000,2.097152,0.34800000000000003,0.389,0.368,0.371
1p46G-gemma-orion-zh-29BT,6,10000,20.97152,0.41000000000000003,0.447,0.425,0.453
1p46G-gemma-orion-zh-29BT,6,10500,22.020096,0.41300000000000003,0.452,0.426,0.445
1p46G-gemma-orion-zh-29BT,6,11000,23.068672,0.41000000000000003,0.447,0.427,0.456
1p46G-gemma-orion-zh-29BT,6,11500,24.117248,0.404,0.451,0.417,0.443
1p46G-gemma-orion-zh-29BT,6,12000,25.165824,0.405,0.457,0.436,0.458
1p46G-gemma-orion-zh-29BT,6,12500,26.2144,0.41300000000000003,0.455,0.426,0.459
1p46G-gemma-orion-zh-29BT,6,13000,27.262976,0.417,0.461,0.436,0.455
1p46G-gemma-orion-zh-29BT,6,13500,28.311552,0.41100000000000003,0.454,0.423,0.45
1p46G-gemma-orion-zh-29BT,6,14000,29.360128,0.41000000000000003,0.449,0.421,0.445
1p46G-gemma-orion-zh-29BT,6,1500,3.145728,0.374,0.402,0.376,0.4
1p46G-gemma-orion-zh-29BT,6,2000,4.194304,0.37,0.41100000000000003,0.391,0.402
1p46G-gemma-orion-zh-29BT,6,2500,5.24288,0.381,0.425,0.4,0.43
1p46G-gemma-orion-zh-29BT,6,3000,6.291456,0.37,0.41600000000000004,0.39,0.41400000000000003
1p46G-gemma-orion-zh-29BT,6,3500,7.340032,0.387,0.423,0.404,0.423
1p46G-gemma-orion-zh-29BT,6,4000,8.388608,0.386,0.43,0.397,0.41300000000000003
1p46G-gemma-orion-zh-29BT,6,4500,9.437184,0.401,0.433,0.41300000000000003,0.426
1p46G-gemma-orion-zh-29BT,6,500,1.048576,0.299,0.333,0.315,0.311
1p46G-gemma-orion-zh-29BT,6,5000,10.48576,0.401,0.437,0.40900000000000003,0.436
1p46G-gemma-orion-zh-29BT,6,5500,11.534336,0.399,0.432,0.403,0.444
1p46G-gemma-orion-zh-29BT,6,6000,12.582912,0.401,0.437,0.41200000000000003,0.429
1p46G-gemma-orion-zh-29BT,6,6500,13.631488,0.41000000000000003,0.434,0.42,0.427
1p46G-gemma-orion-zh-29BT,6,7000,14.680064,0.40900000000000003,0.445,0.417,0.447
1p46G-gemma-orion-zh-29BT,6,7500,15.72864,0.399,0.451,0.417,0.445
1p46G-gemma-orion-zh-29BT,6,8000,16.777216,0.405,0.448,0.424,0.436
1p46G-gemma-orion-zh-29BT,6,8500,17.825792,0.40800000000000003,0.451,0.419,0.445
1p46G-gemma-orion-zh-29BT,6,9000,18.874368,0.41600000000000004,0.453,0.423,0.442
1p46G-gemma-orion-zh-29BT,6,9500,19.922944,0.41200000000000003,0.455,0.435,0.452
baseline-zh-,42,0,0.0,0.2712919287,0.2712919287,0.2712919287,0.2712919287
1p46G-gemma-lynx-zh-29BT,6,0,0.0,0.251,0.292,0.252,0.268
1p46G-gemma-lynx-zh-29BT,6,1000,2.097152,0.33,0.364,0.355,0.34700000000000003
1p46G-gemma-lynx-zh-29BT,6,10000,20.97152,0.40900000000000003,0.438,0.417,0.424
1p46G-gemma-lynx-zh-29BT,6,10500,22.020096,0.398,0.427,0.401,0.42
1p46G-gemma-lynx-zh-29BT,6,11000,23.068672,0.399,0.427,0.405,0.422
1p46G-gemma-lynx-zh-29BT,6,11500,24.117248,0.404,0.432,0.41200000000000003,0.428
1p46G-gemma-lynx-zh-29BT,6,12000,25.165824,0.396,0.431,0.40700000000000003,0.431
1p46G-gemma-lynx-zh-29BT,6,12500,26.2144,0.406,0.434,0.41400000000000003,0.422
1p46G-gemma-lynx-zh-29BT,6,13000,27.262976,0.404,0.442,0.41000000000000003,0.43
1p46G-gemma-lynx-zh-29BT,6,13500,28.311552,0.405,0.437,0.41300000000000003,0.431
1p46G-gemma-lynx-zh-29BT,6,14000,29.360128,0.40700000000000003,0.439,0.42,0.426
1p46G-gemma-lynx-zh-29BT,6,1500,3.145728,0.329,0.361,0.352,0.388
1p46G-gemma-lynx-zh-29BT,6,2000,4.194304,0.363,0.384,0.375,0.401
1p46G-gemma-lynx-zh-29BT,6,2500,5.24288,0.38,0.389,0.383,0.402
1p46G-gemma-lynx-zh-29BT,6,3000,6.291456,0.39,0.41300000000000003,0.386,0.418
1p46G-gemma-lynx-zh-29BT,6,3500,7.340032,0.37,0.402,0.391,0.40700000000000003
1p46G-gemma-lynx-zh-29BT,6,4000,8.388608,0.373,0.422,0.397,0.405
1p46G-gemma-lynx-zh-29BT,6,4500,9.437184,0.376,0.41500000000000004,0.392,0.396
1p46G-gemma-lynx-zh-29BT,6,500,1.048576,0.293,0.337,0.296,0.315
1p46G-gemma-lynx-zh-29BT,6,5000,10.48576,0.39,0.421,0.403,0.4
1p46G-gemma-lynx-zh-29BT,6,5500,11.534336,0.397,0.425,0.394,0.428
1p46G-gemma-lynx-zh-29BT,6,6000,12.582912,0.381,0.417,0.394,0.423
1p46G-gemma-lynx-zh-29BT,6,6500,13.631488,0.395,0.422,0.403,0.425
