runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.2280863499,0.2250182671,0.2491358895,0.26989698430000003
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.2414745721,0.2740377728,0.2833839443,0.2560169862
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.2633601172,0.2896819097,0.2952937291,0.2884846061
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.2619832166,0.29988427170000004,0.3013405649,0.3082198551
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.26692026900000004,0.2981900277,0.2942348403,0.3061015768
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.2640538263,0.2930620198,0.2966402441,0.3007068577
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.267558892,0.2941311746,0.3007213848,0.30117270890000003
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.2625920948,0.2993983335,0.29336275300000003,0.3098863066
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.2669970971,0.2981442431,0.2964060313,0.309845017
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.26067263890000003,0.2996348954,0.29381283680000003,0.30724798810000004
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.26278168500000004,0.2974860056,0.2995000846,0.2998043153
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.2473392287,0.2754789419,0.2805679967,0.27657925040000003
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.24499598300000003,0.2721899667,0.28144249120000003,0.2803640405
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.2493145994,0.2919275552,0.2934514272,0.2823935308
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.25229092200000003,0.2916922865,0.29708136890000003,0.3064631507
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.24795104550000002,0.2880706568,0.2875975369,0.2942564713
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.25410704570000003,0.2878051424,0.2932869816,0.2952754559
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.2678647783,0.295959799,0.3022893215,0.30114777530000003
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.21803715240000002,0.2664161281,0.271386328,0.2626633364
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.25664395500000003,0.2942575605,0.304364204,0.30351995190000003
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.25581049370000003,0.29729050830000003,0.301095714,0.2981375506
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.25044865250000004,0.292287968,0.3019329599,0.3045365983
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.2476298238,0.2811033363,0.2949698739,0.30670929610000003
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.25861761910000003,0.3064349019,0.2947308708,0.3024149929
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.26355719040000003,0.29851988500000004,0.30745203730000004,0.2950916735
