runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.001,0.0021630569
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.012,0.09982338360000001
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.06,0.1217168617
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.06,0.1275282217
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.058,0.12360683130000001
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.058,0.1261784616
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.063,0.1245216881
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.052000000000000005,0.11812819690000001
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.055,0.1296096377
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.055,0.1249921363
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.059000000000000004,0.1305500365
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.024,0.1032833813
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.023,0.11310642
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.032,0.1117428038
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.045,0.11632983840000001
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.04,0.1232553198
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.047,0.1192688778
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.053,0.1177204844
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.011,0.0627618085
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.052000000000000005,0.126384138
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.065,0.133252027
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.058,0.1255759404
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.08,0.1282560606
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.065,0.13244567170000002
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.058,0.1245978643
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.05,0.1238610445
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.066,0.12577284460000002
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.058,0.1216901195
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.062,0.12240766830000001
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.001,0.0022136808000000003
1p46G-gemma-orion-zh-29BT,6,1000,2.097152,0.023,0.0911041148
1p46G-gemma-orion-zh-29BT,6,10000,20.97152,0.054,0.1302556652
1p46G-gemma-orion-zh-29BT,6,10500,22.020096,0.05,0.1243986625
1p46G-gemma-orion-zh-29BT,6,11000,23.068672,0.059000000000000004,0.1275860225
1p46G-gemma-orion-zh-29BT,6,11500,24.117248,0.049,0.1255135467
1p46G-gemma-orion-zh-29BT,6,12000,25.165824,0.062,0.1369689004
1p46G-gemma-orion-zh-29BT,6,12500,26.2144,0.064,0.1327077563
1p46G-gemma-orion-zh-29BT,6,13000,27.262976,0.052000000000000005,0.1355747608
1p46G-gemma-orion-zh-29BT,6,13500,28.311552,0.057,0.1356759059
1p46G-gemma-orion-zh-29BT,6,14000,29.360128,0.054,0.1306640043
1p46G-gemma-orion-zh-29BT,6,1500,3.145728,0.022,0.0907021825
1p46G-gemma-orion-zh-29BT,6,2000,4.194304,0.034,0.0905343743
1p46G-gemma-orion-zh-29BT,6,2500,5.24288,0.015,0.104445411
1p46G-gemma-orion-zh-29BT,6,3000,6.291456,0.022,0.0968323789
1p46G-gemma-orion-zh-29BT,6,3500,7.340032,0.032,0.1050272248
1p46G-gemma-orion-zh-29BT,6,4000,8.388608,0.028,0.104550153
1p46G-gemma-orion-zh-29BT,6,4500,9.437184,0.033,0.1154437526
1p46G-gemma-orion-zh-29BT,6,500,1.048576,0.019,0.042110291
1p46G-gemma-orion-zh-29BT,6,5000,10.48576,0.03,0.1073433374
1p46G-gemma-orion-zh-29BT,6,5500,11.534336,0.033,0.10791730170000001
1p46G-gemma-orion-zh-29BT,6,6000,12.582912,0.041,0.10671436890000001
1p46G-gemma-orion-zh-29BT,6,6500,13.631488,0.044,0.1135830075
1p46G-gemma-orion-zh-29BT,6,7000,14.680064,0.041,0.11648069150000001
1p46G-gemma-orion-zh-29BT,6,7500,15.72864,0.04,0.11589245540000001
1p46G-gemma-orion-zh-29BT,6,8000,16.777216,0.049,0.1193630601
1p46G-gemma-orion-zh-29BT,6,8500,17.825792,0.063,0.1282033417
1p46G-gemma-orion-zh-29BT,6,9000,18.874368,0.052000000000000005,0.1244704118
1p46G-gemma-orion-zh-29BT,6,9500,19.922944,0.05,0.1249109249
baseline-zh-,42,0,0.0,0.0,0.0
1p46G-gemma-lynx-zh-29BT,6,0,0.0,0.001,0.0020919348
1p46G-gemma-lynx-zh-29BT,6,1000,2.097152,0.012,0.0736347188
1p46G-gemma-lynx-zh-29BT,6,10000,20.97152,0.067,0.1475013735
1p46G-gemma-lynx-zh-29BT,6,10500,22.020096,0.073,0.1418248779
1p46G-gemma-lynx-zh-29BT,6,11000,23.068672,0.07,0.14764105090000001
1p46G-gemma-lynx-zh-29BT,6,11500,24.117248,0.065,0.1270841506
