runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.005,0.0040327951
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.013000000000000001,0.0044122463
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.01,0.0055459172
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.01,0.005613004400000001
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.011,0.0049507415
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.011,0.0051863898
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.008,0.0052217355000000005
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.008,0.005203550600000001
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.007,0.0048857704
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.01,0.0052972913000000005
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.005,0.0035934817
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.005,0.0035671813
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.009000000000000001,0.0046734352
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.018000000000000002,0.0049325227
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.01,0.0051379499
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.01,0.0059535448
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.014,0.0044559936
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.0,0.0020668072
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.012,0.004872478600000001
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.009000000000000001,0.005379763
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.008,0.0042443701
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.014,0.0040895622
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.004,0.0035698832000000003
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.01,0.0043587106
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.003,0.0045572691000000005
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.006,0.0045031855
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.013000000000000001,0.0048054676
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.007,0.0044458705
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-orion-zh-29BT,6,1000,2.097152,0.004,0.0050126709
1p46G-gemma-orion-zh-29BT,6,10000,20.97152,0.025,0.009305989
1p46G-gemma-orion-zh-29BT,6,10500,22.020096,0.025,0.0096798364
1p46G-gemma-orion-zh-29BT,6,11000,23.068672,0.027,0.0109297607
1p46G-gemma-orion-zh-29BT,6,11500,24.117248,0.024,0.010947499500000001
1p46G-gemma-orion-zh-29BT,6,12000,25.165824,0.027,0.0101468724
1p46G-gemma-orion-zh-29BT,6,12500,26.2144,0.028,0.0105578328
1p46G-gemma-orion-zh-29BT,6,13000,27.262976,0.026000000000000002,0.0106989324
1p46G-gemma-orion-zh-29BT,6,13500,28.311552,0.028,0.0111486975
1p46G-gemma-orion-zh-29BT,6,14000,29.360128,0.024,0.0112273053
1p46G-gemma-orion-zh-29BT,6,1500,3.145728,0.006,0.0056666141
1p46G-gemma-orion-zh-29BT,6,2000,4.194304,0.006,0.008334275300000001
1p46G-gemma-orion-zh-29BT,6,2500,5.24288,0.002,0.0046314578000000006
1p46G-gemma-orion-zh-29BT,6,3000,6.291456,0.004,0.0041592575
1p46G-gemma-orion-zh-29BT,6,3500,7.340032,0.008,0.005908179
1p46G-gemma-orion-zh-29BT,6,4000,8.388608,0.008,0.0075755435
1p46G-gemma-orion-zh-29BT,6,4500,9.437184,0.016,0.0063349171
1p46G-gemma-orion-zh-29BT,6,500,1.048576,0.018000000000000002,0.0029294372
1p46G-gemma-orion-zh-29BT,6,5000,10.48576,0.02,0.0124344035
1p46G-gemma-orion-zh-29BT,6,5500,11.534336,0.017,0.0066584902000000005
1p46G-gemma-orion-zh-29BT,6,6000,12.582912,0.02,0.0089973618
1p46G-gemma-orion-zh-29BT,6,6500,13.631488,0.017,0.0058154187
1p46G-gemma-orion-zh-29BT,6,7000,14.680064,0.021,0.0114802277
1p46G-gemma-orion-zh-29BT,6,7500,15.72864,0.02,0.012827582300000001
1p46G-gemma-orion-zh-29BT,6,8000,16.777216,0.019,0.007781413300000001
1p46G-gemma-orion-zh-29BT,6,8500,17.825792,0.021,0.0085811614
1p46G-gemma-orion-zh-29BT,6,9000,18.874368,0.025,0.0075270961
1p46G-gemma-orion-zh-29BT,6,9500,19.922944,0.02,0.0079761103
baseline-zh-,42,0,0.0,0.0,0.0
1p46G-gemma-lynx-zh-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-lynx-zh-29BT,6,1000,2.097152,0.001,0.0030959252000000003
1p46G-gemma-lynx-zh-29BT,6,10000,20.97152,0.003,0.0046793701
1p46G-gemma-lynx-zh-29BT,6,10500,22.020096,0.002,0.0045515312
1p46G-gemma-lynx-zh-29BT,6,11000,23.068672,0.001,0.0042374961
1p46G-gemma-lynx-zh-29BT,6,11500,24.117248,0.007,0.0054838489
1p46G-gemma-lynx-zh-29BT,6,12000,25.165824,0.008,0.0055026412
1p46G-gemma-lynx-zh-29BT,6,12500,26.2144,0.004,0.0041924941
1p46G-gemma-lynx-zh-29BT,6,13000,27.262976,0.008,0.0047545122
1p46G-gemma-lynx-zh-29BT,6,13500,28.311552,0.006,0.004977916000000001
1p46G-gemma-lynx-zh-29BT,6,14000,29.360128,0.008,0.0056565947
1p46G-gemma-lynx-zh-29BT,6,1500,3.145728,0.001,0.0031031364
1p46G-gemma-lynx-zh-29BT,6,2000,4.194304,0.001,0.0040968376
1p46G-gemma-lynx-zh-29BT,6,2500,5.24288,0.001,0.0034025289
1p46G-gemma-lynx-zh-29BT,6,3000,6.291456,0.001,0.0042616507
1p46G-gemma-lynx-zh-29BT,6,3500,7.340032,0.001,0.0030487352
1p46G-gemma-lynx-zh-29BT,6,4000,8.388608,0.0,0.0033950144
1p46G-gemma-lynx-zh-29BT,6,4500,9.437184,0.001,0.0036764639000000003
1p46G-gemma-lynx-zh-29BT,6,500,1.048576,0.033,0.0
1p46G-gemma-lynx-zh-29BT,6,5000,10.48576,0.002,0.0041736433
1p46G-gemma-lynx-zh-29BT,6,5500,11.534336,0.001,0.0042279723000000005
1p46G-gemma-lynx-zh-29BT,6,6000,12.582912,0.0,0.0037549565
1p46G-gemma-lynx-zh-29BT,6,6500,13.631488,0.001,0.0041422581
1p46G-gemma-lynx-zh-29BT,6,7000,14.680064,0.002,0.0042535123
1p46G-gemma-lynx-zh-29BT,6,7500,15.72864,0.003,0.0060481449
1p46G-gemma-lynx-zh-29BT,6,8000,16.777216,0.003,0.0040081332
1p46G-gemma-lynx-zh-29BT,6,8500,17.825792,0.008,0.0069669156
1p46G-gemma-lynx-zh-29BT,6,9000,18.874368,0.009000000000000001,0.0060791899
1p46G-gemma-lynx-zh-29BT,6,9500,19.922944,0.004,0.0047485009
1p46G-gemma-commoncrawl-zh-29BT,5,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-zh-29BT,5,1000,2.097152,0.002,0.0008803181000000001
1p46G-gemma-commoncrawl-zh-29BT,5,10000,20.97152,0.019,0.0074226178000000005
1p46G-gemma-commoncrawl-zh-29BT,5,10500,22.020096,0.019,0.010177777800000001
1p46G-gemma-commoncrawl-zh-29BT,5,11000,23.068672,0.019,0.009159903
1p46G-gemma-commoncrawl-zh-29BT,5,11500,24.117248,0.023,0.0107274854
1p46G-gemma-commoncrawl-zh-29BT,5,12000,25.165824,0.019,0.0099076441
1p46G-gemma-commoncrawl-zh-29BT,5,12500,26.2144,0.023,0.01044484
1p46G-gemma-commoncrawl-zh-29BT,5,13000,27.262976,0.021,0.0106885965
1p46G-gemma-commoncrawl-zh-29BT,5,13500,28.311552,0.022,0.0120224311
1p46G-gemma-commoncrawl-zh-29BT,5,14000,29.360128,0.022,0.0105585746
1p46G-gemma-commoncrawl-zh-29BT,5,1500,3.145728,0.014,0.0061592267
1p46G-gemma-commoncrawl-zh-29BT,5,2000,4.194304,0.01,0.0047006545
1p46G-gemma-commoncrawl-zh-29BT,5,2500,5.24288,0.002,0.0014385965
1p46G-gemma-commoncrawl-zh-29BT,5,3000,6.291456,0.013000000000000001,0.0048283601
1p46G-gemma-commoncrawl-zh-29BT,5,3500,7.340032,0.012,0.0038910789
1p46G-gemma-commoncrawl-zh-29BT,5,4000,8.388608,0.013000000000000001,0.0060200501
1p46G-gemma-commoncrawl-zh-29BT,5,4500,9.437184,0.015,0.0029814536
1p46G-gemma-commoncrawl-zh-29BT,5,500,1.048576,0.003,0.0018507937000000001
1p46G-gemma-commoncrawl-zh-29BT,5,5000,10.48576,0.014,0.006964667900000001
1p46G-gemma-commoncrawl-zh-29BT,5,5500,11.534336,0.016,0.0053307246
1p46G-gemma-commoncrawl-zh-29BT,5,6000,12.582912,0.017,0.0051422945
1p46G-gemma-commoncrawl-zh-29BT,5,6500,13.631488,0.019,0.0049895667
1p46G-gemma-commoncrawl-zh-29BT,5,7000,14.680064,0.017,0.0085864023
1p46G-gemma-commoncrawl-zh-29BT,5,7500,15.72864,0.017,0.0074327485
1p46G-gemma-commoncrawl-zh-29BT,5,8000,16.777216,0.014,0.0059197356
1p46G-gemma-commoncrawl-zh-29BT,5,8500,17.825792,0.011,0.0065765861
1p46G-gemma-commoncrawl-zh-29BT,5,9000,18.874368,0.016,0.0079663743
1p46G-gemma-commoncrawl-zh-29BT,5,9500,19.922944,0.023,0.010847222200000001
1p46G-gemma-commoncrawl-zh-29BT,3,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-zh-29BT,3,1000,2.097152,0.002,0.0002307692
1p46G-gemma-commoncrawl-zh-29BT,3,10000,20.97152,0.02,0.0091855707
1p46G-gemma-commoncrawl-zh-29BT,3,10500,22.020096,0.021,0.006416682000000001
1p46G-gemma-commoncrawl-zh-29BT,3,11000,23.068672,0.018000000000000002,0.008530043000000001
1p46G-gemma-commoncrawl-zh-29BT,3,11500,24.117248,0.019,0.0083870174
1p46G-gemma-commoncrawl-zh-29BT,3,12000,25.165824,0.021,0.0075315118000000006
1p46G-gemma-commoncrawl-zh-29BT,3,12500,26.2144,0.018000000000000002,0.005455411
1p46G-gemma-commoncrawl-zh-29BT,3,13000,27.262976,0.016,0.0047672358
1p46G-gemma-commoncrawl-zh-29BT,3,13500,28.311552,0.019,0.0070302177
1p46G-gemma-commoncrawl-zh-29BT,3,14000,29.360128,0.02,0.0063793334
1p46G-gemma-commoncrawl-zh-29BT,3,1500,3.145728,0.002,0.0012004372
1p46G-gemma-commoncrawl-zh-29BT,3,2000,4.194304,0.003,0.0026770263
1p46G-gemma-commoncrawl-zh-29BT,3,2500,5.24288,0.019,0.0025489861
1p46G-gemma-commoncrawl-zh-29BT,3,3000,6.291456,0.014,0.0053095459000000005
1p46G-gemma-commoncrawl-zh-29BT,3,3500,7.340032,0.015,0.005996085700000001
1p46G-gemma-commoncrawl-zh-29BT,3,4000,8.388608,0.009000000000000001,0.0029927126
1p46G-gemma-commoncrawl-zh-29BT,3,4500,9.437184,0.013000000000000001,0.0057263128
1p46G-gemma-commoncrawl-zh-29BT,3,500,1.048576,0.001,0.0003333333
1p46G-gemma-commoncrawl-zh-29BT,3,5000,10.48576,0.018000000000000002,0.0078138377
1p46G-gemma-commoncrawl-zh-29BT,3,5500,11.534336,0.022,0.007075049700000001
1p46G-gemma-commoncrawl-zh-29BT,3,6000,12.582912,0.02,0.0076037292
1p46G-gemma-commoncrawl-zh-29BT,3,6500,13.631488,0.018000000000000002,0.0084330777
1p46G-gemma-commoncrawl-zh-29BT,3,7000,14.680064,0.032,0.0111601074
1p46G-gemma-commoncrawl-zh-29BT,3,7500,15.72864,0.021,0.007451157000000001
1p46G-gemma-commoncrawl-zh-29BT,3,8000,16.777216,0.025,0.0086367847
1p46G-gemma-commoncrawl-zh-29BT,3,8500,17.825792,0.018000000000000002,0.007657903000000001
1p46G-gemma-commoncrawl-zh-29BT,3,9000,18.874368,0.019,0.0073974052
1p46G-gemma-commoncrawl-zh-29BT,3,9500,19.922944,0.019,0.006957055100000001
1p46G-gemma-commoncrawl-zh-29BT,4,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-zh-29BT,4,1000,2.097152,0.003,0.0020372857
1p46G-gemma-commoncrawl-zh-29BT,4,10000,20.97152,0.016,0.0062272634
1p46G-gemma-commoncrawl-zh-29BT,4,10500,22.020096,0.015,0.006419249100000001
1p46G-gemma-commoncrawl-zh-29BT,4,11000,23.068672,0.015,0.0063799165
1p46G-gemma-commoncrawl-zh-29BT,4,11500,24.117248,0.016,0.006971197
1p46G-gemma-commoncrawl-zh-29BT,4,12000,25.165824,0.02,0.0071709558
1p46G-gemma-commoncrawl-zh-29BT,4,12500,26.2144,0.024,0.0093289468
1p46G-gemma-commoncrawl-zh-29BT,4,13000,27.262976,0.023,0.0088193287
1p46G-gemma-commoncrawl-zh-29BT,4,13500,28.311552,0.017,0.0080902562
1p46G-gemma-commoncrawl-zh-29BT,4,14000,29.360128,0.018000000000000002,0.0097179725
1p46G-gemma-commoncrawl-zh-29BT,4,1500,3.145728,0.0,0.0
1p46G-gemma-commoncrawl-zh-29BT,4,2000,4.194304,0.004,0.0025924116
1p46G-gemma-commoncrawl-zh-29BT,4,2500,5.24288,0.002,0.0008481925000000001
1p46G-gemma-commoncrawl-zh-29BT,4,3000,6.291456,0.012,0.0051132493
1p46G-gemma-commoncrawl-zh-29BT,4,3500,7.340032,0.011,0.0046914426
1p46G-gemma-commoncrawl-zh-29BT,4,4000,8.388608,0.003,0.0033524912
1p46G-gemma-commoncrawl-zh-29BT,4,4500,9.437184,0.009000000000000001,0.0036073296
1p46G-gemma-commoncrawl-zh-29BT,4,500,1.048576,0.0,0.0
1p46G-gemma-commoncrawl-zh-29BT,4,5000,10.48576,0.016,0.007440370500000001
1p46G-gemma-commoncrawl-zh-29BT,4,5500,11.534336,0.01,0.006019809
1p46G-gemma-commoncrawl-zh-29BT,4,6000,12.582912,0.009000000000000001,0.0066108703
1p46G-gemma-commoncrawl-zh-29BT,4,6500,13.631488,0.011,0.0068000743
1p46G-gemma-commoncrawl-zh-29BT,4,7000,14.680064,0.021,0.0080149313
1p46G-gemma-commoncrawl-zh-29BT,4,7500,15.72864,0.012,0.0070510638
1p46G-gemma-commoncrawl-zh-29BT,4,8000,16.777216,0.017,0.0084385409
1p46G-gemma-commoncrawl-zh-29BT,4,8500,17.825792,0.016,0.0062289794
1p46G-gemma-commoncrawl-zh-29BT,4,9000,18.874368,0.012,0.0058266158000000005
1p46G-gemma-commoncrawl-zh-29BT,4,9500,19.922944,0.013000000000000001,0.0065522720000000005
1p46G-gemma-commoncrawl-zh-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-zh-29BT,6,1000,2.097152,0.001,0.0004204147
1p46G-gemma-commoncrawl-zh-29BT,6,10000,20.97152,0.021,0.008534350500000001
1p46G-gemma-commoncrawl-zh-29BT,6,10500,22.020096,0.019,0.007849245000000001
1p46G-gemma-commoncrawl-zh-29BT,6,11000,23.068672,0.016,0.0064961319
1p46G-gemma-commoncrawl-zh-29BT,6,11500,24.117248,0.018000000000000002,0.0077382562
1p46G-gemma-commoncrawl-zh-29BT,6,12000,25.165824,0.016,0.0052192846000000005
1p46G-gemma-commoncrawl-zh-29BT,6,12500,26.2144,0.016,0.0070225313
1p46G-gemma-commoncrawl-zh-29BT,6,13000,27.262976,0.015,0.0056727402
1p46G-gemma-commoncrawl-zh-29BT,6,13500,28.311552,0.015,0.0061906573
1p46G-gemma-commoncrawl-zh-29BT,6,14000,29.360128,0.014,0.0059429256
1p46G-gemma-commoncrawl-zh-29BT,6,1500,3.145728,0.012,0.0040696726
1p46G-gemma-commoncrawl-zh-29BT,6,2000,4.194304,0.008,0.0057067256
1p46G-gemma-commoncrawl-zh-29BT,6,2500,5.24288,0.019,0.0052534794
1p46G-gemma-commoncrawl-zh-29BT,6,3000,6.291456,0.013000000000000001,0.0038148482
1p46G-gemma-commoncrawl-zh-29BT,6,3500,7.340032,0.016,0.0064158181
1p46G-gemma-commoncrawl-zh-29BT,6,4000,8.388608,0.017,0.0043475625
1p46G-gemma-commoncrawl-zh-29BT,6,4500,9.437184,0.014,0.0071835746
1p46G-gemma-commoncrawl-zh-29BT,6,500,1.048576,0.011,0.0002
1p46G-gemma-commoncrawl-zh-29BT,6,5000,10.48576,0.018000000000000002,0.007837806400000001
1p46G-gemma-commoncrawl-zh-29BT,6,5500,11.534336,0.013000000000000001,0.0055396282000000005
1p46G-gemma-commoncrawl-zh-29BT,6,6000,12.582912,0.02,0.0069759487
1p46G-gemma-commoncrawl-zh-29BT,6,6500,13.631488,0.022,0.0086339891
1p46G-gemma-commoncrawl-zh-29BT,6,7000,14.680064,0.022,0.0082636029
1p46G-gemma-commoncrawl-zh-29BT,6,7500,15.72864,0.018000000000000002,0.0066319597000000004
1p46G-gemma-commoncrawl-zh-29BT,6,8000,16.777216,0.019,0.0058599751
1p46G-gemma-commoncrawl-zh-29BT,6,8500,17.825792,0.02,0.0071967344
1p46G-gemma-commoncrawl-zh-29BT,6,9000,18.874368,0.019,0.008144817700000001
1p46G-gemma-commoncrawl-zh-29BT,6,9500,19.922944,0.017,0.0071763124
1p46G-gemma-helios-zh-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-helios-zh-29BT,6,1000,2.097152,0.003,0.0042217886
1p46G-gemma-helios-zh-29BT,6,10000,20.97152,0.021,0.0100188441
1p46G-gemma-helios-zh-29BT,6,10500,22.020096,0.023,0.008405062100000001
1p46G-gemma-helios-zh-29BT,6,11000,23.068672,0.021,0.0068495553
1p46G-gemma-helios-zh-29BT,6,11500,24.117248,0.022,0.008374230600000001
1p46G-gemma-helios-zh-29BT,6,12000,25.165824,0.023,0.009887722600000001
1p46G-gemma-helios-zh-29BT,6,12500,26.2144,0.027,0.011122766800000001
1p46G-gemma-helios-zh-29BT,6,13000,27.262976,0.022,0.0079476332
1p46G-gemma-helios-zh-29BT,6,13500,28.311552,0.021,0.0087284078
1p46G-gemma-helios-zh-29BT,6,14000,29.360128,0.018000000000000002,0.0080447625
1p46G-gemma-helios-zh-29BT,6,1500,3.145728,0.011,0.0047630111
1p46G-gemma-helios-zh-29BT,6,2000,4.194304,0.006,0.0072374635
1p46G-gemma-helios-zh-29BT,6,2500,5.24288,0.019,0.0037925219
1p46G-gemma-helios-zh-29BT,6,3000,6.291456,0.024,0.0077221942
1p46G-gemma-helios-zh-29BT,6,3500,7.340032,0.022,0.009026335600000001
1p46G-gemma-helios-zh-29BT,6,4000,8.388608,0.023,0.0088676282
