runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.2375613531,0.24417556980000002,0.2508117876,0.2536345785
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.2570373329,0.2833138128,0.28404705010000003,0.2762624865
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.28294694670000003,0.3061412698,0.3061244365,0.3037077533
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.2827385243,0.30433954560000004,0.3079898854,0.3029315655
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.2837209249,0.3051213518,0.3084108948,0.30127037560000003
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.2845640099,0.3067001109,0.30552305900000004,0.2991340806
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.2854008266,0.3046978644,0.30658481260000003,0.2969838708
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.28280113490000003,0.3045283429,0.3045699781,0.2988762266
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.283409366,0.3068874279,0.3069775671,0.296067166
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.2851117856,0.3050907375,0.30678087330000003,0.2964486515
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.2870446367,0.3069128363,0.3085918738,0.29924021910000004
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.26450365940000004,0.2859838555,0.285454028,0.2834606901
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.2718231841,0.2933691832,0.29454862530000003,0.2900369795
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.2709049241,0.2954348743,0.2940451155,0.292155326
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.2734894862,0.30010065,0.3014170136,0.2929794542
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.2770278365,0.3014476782,0.3011861713,0.295853564
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.2769052912,0.3002739719,0.3013640956,0.2919222893
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.2759416368,0.2998230974,0.30085830210000003,0.29426233100000004
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.24641908240000002,0.2727506215,0.2768665319,0.2711090293
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.2736509756,0.2999759219,0.3009880636,0.29887100110000003
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.2814886583,0.3016334124,0.3072613569,0.2897471706
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.27751937520000003,0.2996903315,0.3038675124,0.29475437800000004
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.2788832837,0.3016081963,0.3046301332,0.30246056860000003
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.2797196618,0.30257459800000003,0.30458112800000003,0.2991401108
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.2796132448,0.30600786220000004,0.30466602530000003,0.3051432
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.2818588045,0.30247706080000003,0.3062878904,0.301877443
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.2833414146,0.30200611,0.30648860510000003,0.2988259717
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.2810348238,0.3033054545,0.303308578,0.2941572413
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.284295336,0.3060187005,0.3086194022,0.2953063997
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.2375613531,0.24417556980000002,0.2508117876,0.2536345785
1p46G-gemma-orion-zh-29BT,6,1000,2.097152,0.2432769638,0.2675173455,0.2663738261,0.26568811940000003
1p46G-gemma-orion-zh-29BT,6,10000,20.97152,0.2688471588,0.2922777314,0.287368897,0.2881232502
1p46G-gemma-orion-zh-29BT,6,10500,22.020096,0.2680349046,0.2913646595,0.28682017600000004,0.2910994978
1p46G-gemma-orion-zh-29BT,6,11000,23.068672,0.2688453382,0.2934697026,0.2866948177,0.2873565611
1p46G-gemma-orion-zh-29BT,6,11500,24.117248,0.2689739618,0.293511889,0.2901480878,0.2878604128
1p46G-gemma-orion-zh-29BT,6,12000,25.165824,0.2721428473,0.2972960412,0.29155235220000003,0.2945759545
1p46G-gemma-orion-zh-29BT,6,12500,26.2144,0.2689993848,0.2940986783,0.29034247150000003,0.2909540603
1p46G-gemma-orion-zh-29BT,6,13000,27.262976,0.2697229706,0.2935110073,0.2893331199,0.2871383583
1p46G-gemma-orion-zh-29BT,6,13500,28.311552,0.2728953826,0.2957743296,0.2917468017,0.29344679560000003
1p46G-gemma-orion-zh-29BT,6,14000,29.360128,0.2727324185,0.2936846755,0.29023154090000003,0.2906272751
1p46G-gemma-orion-zh-29BT,6,1500,3.145728,0.2502894512,0.27171872950000003,0.2745824059,0.2783792004
1p46G-gemma-orion-zh-29BT,6,2000,4.194304,0.24845604970000001,0.2706120617,0.2721111724,0.2735539809
1p46G-gemma-orion-zh-29BT,6,2500,5.24288,0.25127146240000003,0.2706687228,0.27740561750000003,0.279270152
1p46G-gemma-orion-zh-29BT,6,3000,6.291456,0.2571734056,0.2756234876,0.27917024900000004,0.2810770522
1p46G-gemma-orion-zh-29BT,6,3500,7.340032,0.2619608706,0.2802888597,0.28243257790000004,0.2822515221
