runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.536,0.536,0.536,0.52
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.502,0.502,0.502,0.505
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.537,0.537,0.537,0.592
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.529,0.529,0.529,0.595
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.55,0.55,0.55,0.561
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.531,0.531,0.531,0.5710000000000001
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.53,0.53,0.53,0.596
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.534,0.534,0.534,0.579
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.53,0.53,0.53,0.579
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.533,0.533,0.533,0.583
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.531,0.531,0.531,0.58
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.523,0.523,0.523,0.521
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.512,0.512,0.512,0.511
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.532,0.532,0.532,0.537
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.525,0.525,0.525,0.511
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.518,0.518,0.518,0.53
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.52,0.52,0.52,0.536
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.531,0.531,0.531,0.526
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.523,0.523,0.523,0.496
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.546,0.546,0.546,0.538
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.544,0.544,0.544,0.5700000000000001
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.536,0.536,0.536,0.5660000000000001
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.517,0.517,0.517,0.558
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.536,0.536,0.536,0.5720000000000001
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.537,0.537,0.537,0.5660000000000001
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.543,0.543,0.543,0.5700000000000001
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.529,0.529,0.529,0.533
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.554,0.554,0.554,0.5680000000000001
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.56,0.56,0.56,0.5720000000000001
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.536,0.536,0.536,0.52
