runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.0,0.0062251524
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.0010416667000000001,0.194640378
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.0208333333,0.28267363630000003
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.0208333333,0.2788684987
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.0229166667,0.28554542250000003
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.019791666700000002,0.2823593312
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.0166666667,0.2772965565
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.0135416667,0.269257868
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.0208333333,0.2861348268
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.0177083333,0.2749741998
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.015625,0.2712569338
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.0041666667,0.2022800885
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.014583333300000001,0.24272387150000002
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.0125,0.2586393449
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.0125,0.242792318
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.009375,0.2604236914
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.021875,0.2602249432
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.015625,0.2640567099
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.0010416667000000001,0.1062846909
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.0229166667,0.2623709783
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.018750000000000003,0.27166088780000003
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.0208333333,0.272176735
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.028124999999999997,0.2674852197
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.0177083333,0.27528665080000003
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.021875,0.2753648009
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.018750000000000003,0.2732000723
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.0208333333,0.2738078224
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.018750000000000003,0.2776632375
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.021875,0.2701821893
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.0,0.0062999366
1p46G-gemma-orion-zh-29BT,6,1000,2.097152,0.0031249999999999997,0.20457133200000002
1p46G-gemma-orion-zh-29BT,6,10000,20.97152,0.028124999999999997,0.2680110551
1p46G-gemma-orion-zh-29BT,6,10500,22.020096,0.0229166667,0.2570599216
1p46G-gemma-orion-zh-29BT,6,11000,23.068672,0.0270833333,0.2629430639
1p46G-gemma-orion-zh-29BT,6,11500,24.117248,0.019791666700000002,0.26725734
1p46G-gemma-orion-zh-29BT,6,12000,25.165824,0.0322916667,0.2685753386
1p46G-gemma-orion-zh-29BT,6,12500,26.2144,0.028124999999999997,0.2589282057
1p46G-gemma-orion-zh-29BT,6,13000,27.262976,0.0208333333,0.2757196357
1p46G-gemma-orion-zh-29BT,6,13500,28.311552,0.021875,0.276638227
1p46G-gemma-orion-zh-29BT,6,14000,29.360128,0.021875,0.2823628426
1p46G-gemma-orion-zh-29BT,6,1500,3.145728,0.0072916667,0.2048296384
1p46G-gemma-orion-zh-29BT,6,2000,4.194304,0.0052083333,0.19389747940000002
1p46G-gemma-orion-zh-29BT,6,2500,5.24288,0.0125,0.23266360300000002
1p46G-gemma-orion-zh-29BT,6,3000,6.291456,0.0114583333,0.2260293898
1p46G-gemma-orion-zh-29BT,6,3500,7.340032,0.0114583333,0.2276594952
1p46G-gemma-orion-zh-29BT,6,4000,8.388608,0.014583333300000001,0.2442521887
1p46G-gemma-orion-zh-29BT,6,4500,9.437184,0.0208333333,0.251265989
1p46G-gemma-orion-zh-29BT,6,500,1.048576,0.0010416667000000001,0.0823571922
1p46G-gemma-orion-zh-29BT,6,5000,10.48576,0.019791666700000002,0.2487824496
1p46G-gemma-orion-zh-29BT,6,5500,11.534336,0.0166666667,0.25170713100000003
1p46G-gemma-orion-zh-29BT,6,6000,12.582912,0.0177083333,0.2581418647
1p46G-gemma-orion-zh-29BT,6,6500,13.631488,0.0260416667,0.2599185298
1p46G-gemma-orion-zh-29BT,6,7000,14.680064,0.0208333333,0.2743614639
1p46G-gemma-orion-zh-29BT,6,7500,15.72864,0.028124999999999997,0.2622551052
1p46G-gemma-orion-zh-29BT,6,8000,16.777216,0.025,0.2602156912
1p46G-gemma-orion-zh-29BT,6,8500,17.825792,0.03125,0.2579615174
1p46G-gemma-orion-zh-29BT,6,9000,18.874368,0.0270833333,0.25557978130000003
1p46G-gemma-orion-zh-29BT,6,9500,19.922944,0.0208333333,0.2779040057
baseline-zh-,42,0,0.0,0.0,0.0
1p46G-gemma-lynx-zh-29BT,6,0,0.0,0.0,0.0062296228
1p46G-gemma-lynx-zh-29BT,6,1000,2.097152,0.0083333333,0.2058242349
1p46G-gemma-lynx-zh-29BT,6,10000,20.97152,0.038541666700000005,0.2825611542
1p46G-gemma-lynx-zh-29BT,6,10500,22.020096,0.0427083333,0.2561459934
1p46G-gemma-lynx-zh-29BT,6,11000,23.068672,0.0354166667,0.2545327772
1p46G-gemma-lynx-zh-29BT,6,11500,24.117248,0.0375,0.2392012366
1p46G-gemma-lynx-zh-29BT,6,12000,25.165824,0.0395833333,0.2536525516
1p46G-gemma-lynx-zh-29BT,6,12500,26.2144,0.0395833333,0.2573162653
1p46G-gemma-lynx-zh-29BT,6,13000,27.262976,0.0479166667,0.2663444713
1p46G-gemma-lynx-zh-29BT,6,13500,28.311552,0.0447916667,0.2710724576
1p46G-gemma-lynx-zh-29BT,6,14000,29.360128,0.0447916667,0.2682412169
1p46G-gemma-lynx-zh-29BT,6,1500,3.145728,0.0083333333,0.1738088605
1p46G-gemma-lynx-zh-29BT,6,2000,4.194304,0.00625,0.1783000783
1p46G-gemma-lynx-zh-29BT,6,2500,5.24288,0.009375,0.1526742891
1p46G-gemma-lynx-zh-29BT,6,3000,6.291456,0.00625,0.18801788020000001
1p46G-gemma-lynx-zh-29BT,6,3500,7.340032,0.0072916667,0.1233837252
1p46G-gemma-lynx-zh-29BT,6,4000,8.388608,0.0114583333,0.2147179722
1p46G-gemma-lynx-zh-29BT,6,4500,9.437184,0.0135416667,0.2264417222
1p46G-gemma-lynx-zh-29BT,6,500,1.048576,0.0010416667000000001,0.06491463060000001
1p46G-gemma-lynx-zh-29BT,6,5000,10.48576,0.03125,0.24832717070000002
1p46G-gemma-lynx-zh-29BT,6,5500,11.534336,0.015625,0.22578613490000002
1p46G-gemma-lynx-zh-29BT,6,6000,12.582912,0.0166666667,0.2154543012
1p46G-gemma-lynx-zh-29BT,6,6500,13.631488,0.0260416667,0.2612676223
1p46G-gemma-lynx-zh-29BT,6,7000,14.680064,0.0229166667,0.2533434696
1p46G-gemma-lynx-zh-29BT,6,7500,15.72864,0.0364583333,0.26527385330000003
1p46G-gemma-lynx-zh-29BT,6,8000,16.777216,0.0322916667,0.2469939603
1p46G-gemma-lynx-zh-29BT,6,8500,17.825792,0.0395833333,0.2615776025
1p46G-gemma-lynx-zh-29BT,6,9000,18.874368,0.0510416667,0.2516853399
1p46G-gemma-lynx-zh-29BT,6,9500,19.922944,0.0447916667,0.2597381462
1p46G-gemma-commoncrawl-zh-29BT,5,0,0.0,0.0,0.0061801016000000005
1p46G-gemma-commoncrawl-zh-29BT,5,1000,2.097152,0.0020833333000000002,0.12406955360000001
1p46G-gemma-commoncrawl-zh-29BT,5,10000,20.97152,0.034374999999999996,0.2655401882
1p46G-gemma-commoncrawl-zh-29BT,5,10500,22.020096,0.0375,0.26613856080000003
1p46G-gemma-commoncrawl-zh-29BT,5,11000,23.068672,0.0322916667,0.25120165440000003
1p46G-gemma-commoncrawl-zh-29BT,5,11500,24.117248,0.0364583333,0.2688130132
1p46G-gemma-commoncrawl-zh-29BT,5,12000,25.165824,0.034374999999999996,0.2592174257
1p46G-gemma-commoncrawl-zh-29BT,5,12500,26.2144,0.0375,0.27159076590000003
1p46G-gemma-commoncrawl-zh-29BT,5,13000,27.262976,0.0458333333,0.26690737870000003
1p46G-gemma-commoncrawl-zh-29BT,5,13500,28.311552,0.0395833333,0.2602582445
1p46G-gemma-commoncrawl-zh-29BT,5,14000,29.360128,0.0427083333,0.26073827780000003
1p46G-gemma-commoncrawl-zh-29BT,5,1500,3.145728,0.0031249999999999997,0.17171825070000002
1p46G-gemma-commoncrawl-zh-29BT,5,2000,4.194304,0.0072916667,0.22043609
1p46G-gemma-commoncrawl-zh-29BT,5,2500,5.24288,0.00625,0.1360352513
1p46G-gemma-commoncrawl-zh-29BT,5,3000,6.291456,0.0072916667,0.1711698441
1p46G-gemma-commoncrawl-zh-29BT,5,3500,7.340032,0.0177083333,0.2151424547
1p46G-gemma-commoncrawl-zh-29BT,5,4000,8.388608,0.0135416667,0.1606147665
1p46G-gemma-commoncrawl-zh-29BT,5,4500,9.437184,0.0229166667,0.1621554607
1p46G-gemma-commoncrawl-zh-29BT,5,500,1.048576,0.0,0.12203207690000001
1p46G-gemma-commoncrawl-zh-29BT,5,5000,10.48576,0.015625,0.24236676610000002
1p46G-gemma-commoncrawl-zh-29BT,5,5500,11.534336,0.014583333300000001,0.23240641420000002
1p46G-gemma-commoncrawl-zh-29BT,5,6000,12.582912,0.0302083333,0.2512464975
