runname,seed,steps,tokens,acc_norm,acc,acc_norm_token,acc_norm_pmi
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.24082232010000001,0.2364170338,0.2452276065,0.2364170338
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.2995594714,0.2966226138,0.2834067548,0.268722467
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.342143906,0.34948604990000004,0.315712188,0.2878120411
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.3362701909,0.3318649046,0.30396475770000003,0.2878120411
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.3392070485,0.3377386197,0.3113069016,0.2863436123
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.3377386197,0.3362701909,0.3083700441,0.2980910426
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.342143906,0.3348017621,0.31718061670000003,0.3010279001
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.33333333330000003,0.3274596182,0.3083700441,0.2995594714
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.342143906,0.3348017621,0.3127753304,0.3010279001
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.3406754772,0.3392070485,0.3230543319,0.3024963289
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.34654919240000004,0.34654919240000004,0.3274596182,0.3054331865
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.3113069016,0.3069016153,0.281938326,0.2790014684
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.2966226138,0.2922173275,0.2848751836,0.2790014684
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.2980910426,0.3024963289,0.2892804699,0.2980910426
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.3215859031,0.31424375920000003,0.2995594714,0.268722467
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.3186490455,0.3186490455,0.29074889870000004,0.3113069016
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.3127753304,0.3127753304,0.2980910426,0.29368575620000004
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.3083700441,0.3245227606,0.3069016153,0.2834067548
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.2878120411,0.29074889870000004,0.2804698972,0.2995594714
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.3113069016,0.31424375920000003,0.2966226138,0.2863436123
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.3010279001,0.3083700441,0.2834067548,0.2790014684
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.3113069016,0.3127753304,0.2966226138,0.2848751836
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.3450807636,0.3274596182,0.3127753304,0.3215859031
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.31718061670000003,0.3127753304,0.30396475770000003,0.2892804699
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.3259911894,0.33333333330000003,0.31424375920000003,0.2922173275
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.315712188,0.3245227606,0.30396475770000003,0.295154185
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.31718061670000003,0.3127753304,0.3069016153,0.2834067548
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.3348017621,0.3318649046,0.3069016153,0.281938326
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.3274596182,0.32011747430000004,0.2995594714,0.2804698972
