runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.0,0.0005576796
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.0021923532000000003,0.0238050547
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.0092408548,0.03492586
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.0087303752,0.0335733745
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.0082161125,0.034073340800000004
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.0123274527,0.034625584
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.011995997100000001,0.034931772300000004
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.0078732438,0.0329022616
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.0079293365,0.0348889645
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.0075751354,0.0327388452
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.010632169300000001,0.0343222566
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.0041798846,0.024343835600000002
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.0041399462,0.026605575500000003
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.002147593,0.0268490457
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.0090931643,0.0337097528
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.0072427789,0.0310152206
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.0089208694,0.0312786558
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.0138521301,0.0333572183
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.0049312607000000005,0.014009507000000001
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.0091208694,0.0331114443
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.0115864913,0.0334441082
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.0099255937,0.0319076166
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.0142874974,0.0345802263
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.010305535400000001,0.0317802908
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.0064075245,0.032810634000000005
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.0078732438,0.0325512628
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.00814661,0.0335428889
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.010877968200000001,0.0325928402
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.0083751354,0.0319324354
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.0,0.0005576796
1p46G-gemma-orion-zh-29BT,6,1000,2.097152,0.0045178509,0.0212042937
1p46G-gemma-orion-zh-29BT,6,10000,20.97152,0.0075112427,0.0286252843
1p46G-gemma-orion-zh-29BT,6,10500,22.020096,0.0069683741,0.028294110900000002
1p46G-gemma-orion-zh-29BT,6,11000,23.068672,0.0067560029,0.0286367244
1p46G-gemma-orion-zh-29BT,6,11500,24.117248,0.0068988716,0.0305271968
1p46G-gemma-orion-zh-29BT,6,12000,25.165824,0.0094017044,0.0295991785
1p46G-gemma-orion-zh-29BT,6,12500,26.2144,0.008846464600000001,0.028234060300000002
1p46G-gemma-orion-zh-29BT,6,13000,27.262976,0.0096264466,0.029771536600000002
1p46G-gemma-orion-zh-29BT,6,13500,28.311552,0.0071980187,0.0311014872
1p46G-gemma-orion-zh-29BT,6,14000,29.360128,0.0069102040000000005,0.0293400233
1p46G-gemma-orion-zh-29BT,6,1500,3.145728,0.0027712966,0.025714430400000002
1p46G-gemma-orion-zh-29BT,6,2000,4.194304,0.0029712966,0.026512278
1p46G-gemma-orion-zh-29BT,6,2500,5.24288,0.0027007554,0.027569706700000002
1p46G-gemma-orion-zh-29BT,6,3000,6.291456,0.0035836677000000003,0.0277521279
1p46G-gemma-orion-zh-29BT,6,3500,7.340032,0.0033141652,0.027655306600000002
1p46G-gemma-orion-zh-29BT,6,4000,8.388608,0.0029712966,0.029543419100000003
1p46G-gemma-orion-zh-29BT,6,4500,9.437184,0.0019923532,0.029009094200000002
1p46G-gemma-orion-zh-29BT,6,500,1.048576,0.0086722455,0.0088688902
1p46G-gemma-orion-zh-29BT,6,5000,10.48576,0.0041399462,0.027460822000000003
1p46G-gemma-orion-zh-29BT,6,5500,11.534336,0.00420841,0.0293059017
1p46G-gemma-orion-zh-29BT,6,6000,12.582912,0.0043065184,0.028783658700000003
1p46G-gemma-orion-zh-29BT,6,6500,13.631488,0.0047512786000000005,0.028626388200000002
1p46G-gemma-orion-zh-29BT,6,7000,14.680064,0.0074217223,0.0318902426
1p46G-gemma-orion-zh-29BT,6,7500,15.72864,0.0094235813,0.028161510600000002
1p46G-gemma-orion-zh-29BT,6,8000,16.777216,0.007878853600000001,0.028649071300000002
1p46G-gemma-orion-zh-29BT,6,8500,17.825792,0.0087322019,0.029867587900000003
1p46G-gemma-orion-zh-29BT,6,9000,18.874368,0.0074759883,0.029787172900000002
1p46G-gemma-orion-zh-29BT,6,9500,19.922944,0.0064578945,0.0290051723
baseline-zh-,42,0,0.0,0.0,0.0
1p46G-gemma-lynx-zh-29BT,6,0,0.0,0.0,0.000608441
1p46G-gemma-lynx-zh-29BT,6,1000,2.097152,0.0016883843000000001,0.0263733539
1p46G-gemma-lynx-zh-29BT,6,10000,20.97152,0.0016883843000000001,0.0281061974
1p46G-gemma-lynx-zh-29BT,6,10500,22.020096,0.0016883843000000001,0.0284530994
1p46G-gemma-lynx-zh-29BT,6,11000,23.068672,0.0016883843000000001,0.0285899418
1p46G-gemma-lynx-zh-29BT,6,11500,24.117248,0.0016883843000000001,0.028423195000000002
1p46G-gemma-lynx-zh-29BT,6,12000,25.165824,0.0018883843,0.028559245
1p46G-gemma-lynx-zh-29BT,6,12500,26.2144,0.0018883843,0.0286851799
1p46G-gemma-lynx-zh-29BT,6,13000,27.262976,0.0023007554,0.0288403234
1p46G-gemma-lynx-zh-29BT,6,13500,28.311552,0.0018883843,0.0285477204
1p46G-gemma-lynx-zh-29BT,6,14000,29.360128,0.0018883843,0.028777995400000003
1p46G-gemma-lynx-zh-29BT,6,1500,3.145728,0.001121812,0.025671567500000003
1p46G-gemma-lynx-zh-29BT,6,2000,4.194304,0.0016883843000000001,0.0270071674
1p46G-gemma-lynx-zh-29BT,6,2500,5.24288,0.0016883843000000001,0.0266894327
1p46G-gemma-lynx-zh-29BT,6,3000,6.291456,0.0016883843000000001,0.0281140312
1p46G-gemma-lynx-zh-29BT,6,3500,7.340032,0.0016883843000000001,0.0273403751
1p46G-gemma-lynx-zh-29BT,6,4000,8.388608,0.0016883843000000001,0.0269563664
1p46G-gemma-lynx-zh-29BT,6,4500,9.437184,0.0016883843000000001,0.0282080639
1p46G-gemma-lynx-zh-29BT,6,500,1.048576,0.009084616700000001,0.0013094874
1p46G-gemma-lynx-zh-29BT,6,5000,10.48576,0.0016883843000000001,0.028335135
1p46G-gemma-lynx-zh-29BT,6,5500,11.534336,0.0016883843000000001,0.0282181542
1p46G-gemma-lynx-zh-29BT,6,6000,12.582912,0.0016883843000000001,0.028370165200000002
1p46G-gemma-lynx-zh-29BT,6,6500,13.631488,0.0016883843000000001,0.028371289600000002
1p46G-gemma-lynx-zh-29BT,6,7000,14.680064,0.0016883843000000001,0.0281661736
1p46G-gemma-lynx-zh-29BT,6,7500,15.72864,0.0016883843000000001,0.028709056400000002
1p46G-gemma-lynx-zh-29BT,6,8000,16.777216,0.0016883843000000001,0.0282809403
1p46G-gemma-lynx-zh-29BT,6,8500,17.825792,0.0016883843000000001,0.02874443
1p46G-gemma-lynx-zh-29BT,6,9000,18.874368,0.0016883843000000001,0.028122368000000002
1p46G-gemma-lynx-zh-29BT,6,9500,19.922944,0.0016883843000000001,0.0280328237
1p46G-gemma-commoncrawl-zh-29BT,5,0,0.0,0.0,0.00042164000000000004
1p46G-gemma-commoncrawl-zh-29BT,5,1000,2.097152,0.00035523980000000003,0.004809905000000001
1p46G-gemma-commoncrawl-zh-29BT,5,10000,20.97152,0.0097827251,0.035104576900000004
1p46G-gemma-commoncrawl-zh-29BT,5,10500,22.020096,0.0124694036,0.0322819223
1p46G-gemma-commoncrawl-zh-29BT,5,11000,23.068672,0.0118856384,0.026065629400000002
1p46G-gemma-commoncrawl-zh-29BT,5,11500,24.117248,0.010407547900000001,0.025575646
1p46G-gemma-commoncrawl-zh-29BT,5,12000,25.165824,0.0092275659,0.026841729300000002
1p46G-gemma-commoncrawl-zh-29BT,5,12500,26.2144,0.0115303986,0.0287790684
1p46G-gemma-commoncrawl-zh-29BT,5,13000,27.262976,0.011300754000000001,0.0291946875
1p46G-gemma-commoncrawl-zh-29BT,5,13500,28.311552,0.010790274400000001,0.0327507905
1p46G-gemma-commoncrawl-zh-29BT,5,14000,29.360128,0.0128522107,0.034420003000000005
1p46G-gemma-commoncrawl-zh-29BT,5,1500,3.145728,0.0024170955,0.014692806800000001
1p46G-gemma-commoncrawl-zh-29BT,5,2000,4.194304,0.0013799821000000001,0.0146986511
1p46G-gemma-commoncrawl-zh-29BT,5,2500,5.24288,0.0,0.0032242747000000003
1p46G-gemma-commoncrawl-zh-29BT,5,3000,6.291456,0.0005552398000000001,0.0074783992
1p46G-gemma-commoncrawl-zh-29BT,5,3500,7.340032,0.0041523173000000005,0.0181068412
1p46G-gemma-commoncrawl-zh-29BT,5,4000,8.388608,0.0007676109,0.0064358966
1p46G-gemma-commoncrawl-zh-29BT,5,4500,9.437184,0.0035399462,0.014976293000000002
1p46G-gemma-commoncrawl-zh-29BT,5,500,1.048576,0.0004123711,0.0010693589
1p46G-gemma-commoncrawl-zh-29BT,5,5000,10.48576,0.0049312607000000005,0.0268028223
1p46G-gemma-commoncrawl-zh-29BT,5,5500,11.534336,0.0076637381,0.0181958861
